attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Jebel Ali,United Arab Emirates,Nature/Scenery/Park,Dhow Bay Nature Reserve,"Dhow Bay Nature Reserve is a nature in Jebel Ali, United Arab Emirates, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.7 USD. Recommended visit: 3 hours. Discover Dhow Bay Nature Reserve, a peaceful nature in Jebel Ali, United Arab Emirates, ideal for nature lovers. Open 08:00-20:00, entry 7.7 USD.",7.7,08:00-20:00,3 hours,3.7,"851 Kanda Street, Nakamura Ward, Jebel Ali",24.96878628979612,55.09335326931143,['with pets'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
2,Jebel Ali,United Arab Emirates,Nature/Scenery/Park,Al Maha Wildscape Trail,"Al Maha Wildscape Trail is a nature in Jebel Ali, United Arab Emirates, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover Al Maha Wildscape Trail, a peaceful nature in Jebel Ali, United Arab Emirates, ideal for nature lovers. Open 08:30-17:30, entry 5.15 USD.",5.15,08:30-17:30,3 hours,3.7,"167 Tanjong Pagar Road, Jebel Ali",25.01234781489234,55.09458404542836,"['with pets', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
3,Jebel Ali,United Arab Emirates,Nature/Scenery/Park,Al Dhafra Skyward Grove,"Al Dhafra Skyward Grove is a nature in Jebel Ali, United Arab Emirates, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Al Dhafra Skyward Grove, a peaceful nature in Jebel Ali, United Arab Emirates, ideal for nature lovers. Open 09:30-17:00, entry 22.61 USD.",22.61,09:30-17:00,3 hours,3.7,"517 Shinko-dori, Chuo-ku, Jebel Ali",24.999667605446792,55.08099295832874,"['with children', 'fast-paced budget travel', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'High speed WiFi']"
4,Jebel Ali,United Arab Emirates,Nature/Scenery/Park,Desert Horizon Trail,"Desert Horizon Trail is a nature in Jebel Ali, United Arab Emirates, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Desert Horizon Trail, a peaceful nature in Jebel Ali, United Arab Emirates, ideal for nature lovers. Open 08:00-22:00, entry 12.32 USD.",12.32,08:00-22:00,3 hours,3.7,"248-8901, Shibuya-ku, Jebel Ali",24.965358260282223,55.124541863593045,"['nightlife enthusiast', 'with pets', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours']"
5,Jebel Ali,United Arab Emirates,Nature/Scenery/Park,Azure Bay Twilight Tour,"Azure Bay Twilight Tour is a nature in Jebel Ali, United Arab Emirates, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Azure Bay Twilight Tour, a peaceful nature in Jebel Ali, United Arab Emirates, ideal for nature lovers. Open 08:30-17:00, entry 43.59 USD.",43.59,08:30-17:00,3 hours,3.7,"340 Ratchadaphisek Road, Khlong Toei District, Jebel Ali",24.95372291706952,55.0602170763482,"['couples trip', 'elderly travelers', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas', 'private tours', 'skip the line passes', 'VIP exclusive events']"
6,Jebel Ali,United Arab Emirates,Nature/Scenery/Park,Emerald Ridge Sanctuary,"Emerald Ridge Sanctuary is a nature in Jebel Ali, United Arab Emirates, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Emerald Ridge Sanctuary, a peaceful nature in Jebel Ali, United Arab Emirates, ideal for nature lovers. Open 09:30-17:00, entry 17.5 USD.",17.5,09:30-17:00,3 hours,3.7,"737 Seiki Street, Jebel Ali",24.95542259536108,55.1315305903707,"['luxury travelers', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
7,Jebel Ali,United Arab Emirates,Nature/Scenery/Park,Emberwood Sanctuary,"Emberwood Sanctuary is a nature in Jebel Ali, United Arab Emirates, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.4 USD. Recommended visit: 3 hours. Discover Emberwood Sanctuary, a peaceful nature in Jebel Ali, United Arab Emirates, ideal for nature lovers. Open 09:00-17:30, entry 14.4 USD.",14.4,09:00-17:30,3 hours,3.7,"328-12-8 Nishi-Honganji, Jebel Ali",25.037653546484457,55.11733293116832,"['nightlife enthusiast', 'foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
8,Jebel Ali,United Arab Emirates,Nature/Scenery/Park,Al Maktoum Nature Loop Express + Al Rahma Summit Sky Lift + Al Wadi Botanical Gardens Pass,"Al Maktoum Nature Loop Express + Al Rahma Summit Sky Lift + Al Wadi Botanical Gardens Pass is a nature in Jebel Ali, United Arab Emirates, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Al Maktoum Nature Loop Express + Al Rahma Summit Sky Lift + Al Wadi Botanical Gardens Pass, a peaceful nature in Jebel Ali, United Arab Emirates, ideal for nature lovers. Open 09:30-17:00, entry 14.98 USD.",14.98,09:30-17:00,3 hours,3.7,"927 Beach Road, Jebel Ali",24.97258330836812,55.13153034431651,"['solo women', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Food markets', 'tasting tours', 'parking']"
9,Jebel Ali,United Arab Emirates,Nature/Scenery/Park,Azure Horizon Grove,"Azure Horizon Grove is a nature in Jebel Ali, United Arab Emirates, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Azure Horizon Grove, a peaceful nature in Jebel Ali, United Arab Emirates, ideal for nature lovers. Open 08:30-19:00, entry 4.36 USD.",4.36,08:30-19:00,3 hours,3.7,"327/18 Phra Arthit Road, Jebel Ali",25.027090124705754,55.15146536012402,"['fast-paced budget travel', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
10,Jebel Ali,United Arab Emirates,Nature/Scenery/Park,Dune Horizon Playland,"Dune Horizon Playland is a nature in Jebel Ali, United Arab Emirates, popular for its natural scenery and relaxing atmosphere. Entry fee is 75.28 USD. Recommended visit: 3 hours. Discover Dune Horizon Playland, a peaceful nature in Jebel Ali, United Arab Emirates, ideal for nature lovers. Open 08:00-18:00, entry 75.28 USD.",75.28,08:00-18:00,3 hours,3.7,"525 Shiroiwa Street, Chuo Ward, Jebel Ali",24.94209772634961,55.11455565286992,"['nightlife enthusiast', 'with children', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events']"
