attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Antalya,Turkey,Nature/Scenery/Park,Lycian Wild Haven,"Lycian Wild Haven is a nature in Antalya, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Lycian Wild Haven, a peaceful nature in Antalya, Turkey, ideal for nature lovers. Open 08:30-18:00, entry 4.36 USD.",4.36,08:30-18:00,3 hours,3.7,"No. 456, Jiangbei District, Antalya",37.24060842058135,31.79216065668172,"['with pets', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas', 'parking']"
2,Antalya,Turkey,Nature/Scenery/Park,Cedarside Wildscape Trek,"Cedarside Wildscape Trek is a nature in Antalya, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.87 USD. Recommended visit: 3 hours. Discover Cedarside Wildscape Trek, a peaceful nature in Antalya, Turkey, ideal for nature lovers. Open 09:30-17:00, entry 4.87 USD.",4.87,09:30-17:00,3 hours,3.7,"156 Queen's Road Central, Antalya",37.185753964557534,31.608216111639187,"['photography', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
3,Antalya,Turkey,Nature/Scenery/Park,Ladera Skyward Haven,"Ladera Skyward Haven is a nature in Antalya, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 19.18 USD. Recommended visit: 3 hours. Discover Ladera Skyward Haven, a peaceful nature in Antalya, Turkey, ideal for nature lovers. Open 09:00-17:30, entry 19.18 USD.",19.18,09:00-17:30,3 hours,3.7,"237 Suthep Road, Antalya",37.15890166119105,29.96036476625289,"['road trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking', 'High speed WiFi']"
4,Antalya,Turkey,Nature/Scenery/Park,Lycian Shorewalk,"Lycian Shorewalk is a nature in Antalya, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Lycian Shorewalk, a peaceful nature in Antalya, Turkey, ideal for nature lovers. Open 09:00-18:00, entry 8.12 USD.",8.12,09:00-18:00,3 hours,3.7,"625 Sakura Street, Shibuya, Antalya",37.38449252682156,31.270793528617688,"['with children', 'road trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'parking', 'High speed WiFi']"
5,Antalya,Turkey,Nature/Scenery/Park,Moonlit Bay Excursion,"Moonlit Bay Excursion is a nature in Antalya, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Moonlit Bay Excursion, a peaceful nature in Antalya, Turkey, ideal for nature lovers. Open 09:30-17:00, entry 43.59 USD.",43.59,09:30-17:00,3 hours,3.7,"No. 456, Huaqiang North Road, Antalya",37.031431593569,30.032113675395724,"['with children', 'luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
6,Antalya,Turkey,Nature/Scenery/Park,Cerulean Ridge Sanctuary,"Cerulean Ridge Sanctuary is a nature in Antalya, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Cerulean Ridge Sanctuary, a peaceful nature in Antalya, Turkey, ideal for nature lovers. Open 08:30-20:00, entry 29.53 USD.",29.53,08:30-20:00,3 hours,3.7,"728 Sakura Street, Antalya",36.380850366909215,32.21711267572156,"['couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
7,Antalya,Turkey,Nature/Scenery/Park,Emerald Ridge Culinary Trail,"Emerald Ridge Culinary Trail is a nature in Antalya, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.95 USD. Recommended visit: 3 hours. Discover Emerald Ridge Culinary Trail, a peaceful nature in Antalya, Turkey, ideal for nature lovers. Open 19:00-23:00, entry 13.95 USD.",13.95,19:00-23:00,3 hours,3.7,"748 Seaside Promenade, Antalya",36.489945276131934,29.891614183721327,"['nightlife enthusiast', 'couples trip', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas']"
8,Antalya,Turkey,Nature/Scenery/Park,Kaleiçi Coastal Scenic Route,"Kaleiçi Coastal Scenic Route is a nature in Antalya, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.53 USD. Recommended visit: 3 hours. Discover Kaleiçi Coastal Scenic Route, a peaceful nature in Antalya, Turkey, ideal for nature lovers. Open 08:30-17:30, entry 12.53 USD.",12.53,08:30-17:30,3 hours,3.7,"320 Science Avenue, Antalya",36.44128440459868,30.294114069538026,"['fast-paced budget travel', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours', 'parking']"
9,Antalya,Turkey,Nature/Scenery/Park,Azure Horizon Sanctuary,"Azure Horizon Sanctuary is a nature in Antalya, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 15.4 USD. Recommended visit: 3 hours. Discover Azure Horizon Sanctuary, a peaceful nature in Antalya, Turkey, ideal for nature lovers. Open 09:30-17:00, entry 15.4 USD.",15.4,09:30-17:00,3 hours,3.7,"362/20 Rachadaphisek Road, Antalya",36.72671206059482,30.016328335404992,['with pets'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
10,Antalya,Turkey,Nature/Scenery/Park,Sunset Grove Adventure Hub,"Sunset Grove Adventure Hub is a nature in Antalya, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Sunset Grove Adventure Hub, a peaceful nature in Antalya, Turkey, ideal for nature lovers. Open 08:30-17:00, entry 17.5 USD.",17.5,08:30-17:00,3 hours,3.7,"976 Sakura Street, Naka-ku, Antalya",36.7649569884047,29.91991273593369,"['solo women', 'couples trip', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'Food markets', 'tasting tours']"
