attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Nashville,United States,Nature/Scenery/Park,Harmony Hollow Nature Reserve,"Harmony Hollow Nature Reserve is a nature in Nashville, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Harmony Hollow Nature Reserve, a peaceful nature in Nashville, United States, ideal for nature lovers. Open 08:30-17:30, entry 24.24 USD.",24.24,08:30-17:30,3 hours,3.7,"510 Sukhumvit Road, Khlong Toei District, Nashville",36.03357929535764,-86.76793387082269,"['solo women', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'parking']"
2,Nashville,United States,Nature/Scenery/Park,Harmony Hollow Wildscape Trek,"Harmony Hollow Wildscape Trek is a nature in Nashville, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover Harmony Hollow Wildscape Trek, a peaceful nature in Nashville, United States, ideal for nature lovers. Open 09:00-21:00, entry 5.15 USD.",5.15,09:00-21:00,3 hours,3.7,"659-2-11 Kita-Hiroshima, Kita-ku, Nashville",36.23131104183126,-86.71225617337265,"['nightlife enthusiast', 'fast-paced budget travel', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations']"
3,Nashville,United States,Nature/Scenery/Park,Cumberland Hollow Sanctuary,"Cumberland Hollow Sanctuary is a nature in Nashville, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Cumberland Hollow Sanctuary, a peaceful nature in Nashville, United States, ideal for nature lovers. Open 09:00-17:00, entry 7.57 USD.",7.57,09:00-17:00,3 hours,3.7,"900 Ssangmundong-ro, Yongsan-gu, Nashville",36.264614427630754,-86.76784581531253,"['nightlife enthusiast', 'fast-paced budget travel', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours']"
4,Nashville,United States,Nature/Scenery/Park,Harmony Hollow Trail,"Harmony Hollow Trail is a nature in Nashville, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Harmony Hollow Trail, a peaceful nature in Nashville, United States, ideal for nature lovers. Open 08:30-20:00, entry 43.59 USD.",43.59,08:30-20:00,3 hours,3.7,"No. 456, Riverside Lane, Nashville",36.29291427348702,-86.81178186771999,"['solo women', 'with pets', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'High speed WiFi']"
5,Nashville,United States,Nature/Scenery/Park,Riverlight Serenade Cruise,"Riverlight Serenade Cruise is a nature in Nashville, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 9.8 USD. Recommended visit: 3 hours. Discover Riverlight Serenade Cruise, a peaceful nature in Nashville, United States, ideal for nature lovers. Open 09:00-17:30, entry 9.8 USD.",9.8,09:00-17:30,3 hours,3.7,"783 Sakura Street, Shibuya, Nashville",36.105296336926784,-86.95642468250688,"['foodie', 'couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
6,Nashville,United States,Nature/Scenery/Park,Cedar Hollow Vista,"Cedar Hollow Vista is a nature in Nashville, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 26.32 USD. Recommended visit: 3 hours. Discover Cedar Hollow Vista, a peaceful nature in Nashville, United States, ideal for nature lovers. Open 09:00-18:00, entry 26.32 USD.",26.32,09:00-18:00,3 hours,3.7,"880-2-3 TeamLab Garden, Minato City, Nashville",36.11754698118615,-86.89534971042762,"['fast-paced budget travel', 'with pets', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
7,Nashville,United States,Nature/Scenery/Park,Cedar Hollow Ecosystem Trail,"Cedar Hollow Ecosystem Trail is a nature in Nashville, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Cedar Hollow Ecosystem Trail, a peaceful nature in Nashville, United States, ideal for nature lovers. Open 09:30-17:00, entry 2.0 USD.",2.0,09:30-17:00,3 hours,3.7,"No. 456, Yuzhong District, Nashville",36.15963000087146,-86.91960393981638,"['solo women', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
8,Nashville,United States,Nature/Scenery/Park,Ravenwood Skyline Adventure Pass,"Ravenwood Skyline Adventure Pass is a nature in Nashville, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.12 USD. Recommended visit: 3 hours. Discover Ravenwood Skyline Adventure Pass, a peaceful nature in Nashville, United States, ideal for nature lovers. Open 08:30-17:30, entry 4.12 USD.",4.12,08:30-17:30,3 hours,3.7,"No. 456, Xiamen Bay Road, Nashville",36.04437615540605,-86.701878373144,"['couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
9,Nashville,United States,Nature/Scenery/Park,Skyline Grove,"Skyline Grove is a nature in Nashville, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Skyline Grove, a peaceful nature in Nashville, United States, ideal for nature lovers. Open 08:30-17:00, entry 2059.2 USD.",2059.2,08:30-17:00,3 hours,3.7,"777 Shibuya Crossing Street, Shibuya Ward, Nashville",36.33843134679051,-86.77233731659352,"['solo women', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
10,Nashville,United States,Nature/Scenery/Park,Riverside Explorers Hub,"Riverside Explorers Hub is a nature in Nashville, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover Riverside Explorers Hub, a peaceful nature in Nashville, United States, ideal for nature lovers. Open 08:30-18:00, entry 116.65 USD.",116.65,08:30-18:00,3 hours,3.7,"328-12-8 Nishi-Honganji, Nashville",36.376564446220414,-86.77991008787436,"['with pets', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations']"
11,Nashville,United States,Nature/Scenery/Park,Harmony Bay Coastal Feast,"Harmony Bay Coastal Feast is a nature in Nashville, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Harmony Bay Coastal Feast, a peaceful nature in Nashville, United States, ideal for nature lovers. Open 10:00-18:00, entry 6.39 USD.",6.39,10:00-18:00,3 hours,3.7,"627 Seogwipo Street, Nashville",36.27080026589705,-86.9120810909357,"['fast-paced budget travel', 'solo women']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security']"
12,Nashville,United States,Nature/Scenery/Park,Harmony Hollow Nature Reserve No.2,"Harmony Hollow Nature Reserve is a nature in Nashville, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.17 USD. Recommended visit: 3 hours. Discover Harmony Hollow Nature Reserve, a peaceful nature in Nashville, United States, ideal for nature lovers. Open 18:00-21:00, entry 6.17 USD.",6.17,18:00-21:00,3 hours,3.7,"235 Seobu-ro, Suyeong-gu, Nashville",36.28857333225555,-86.87739949793767,['disabled traveler'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
13,Nashville,United States,Nature/Scenery/Park,Cedar Hollow Thermal Sanctuary,"Cedar Hollow Thermal Sanctuary is a nature in Nashville, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Cedar Hollow Thermal Sanctuary, a peaceful nature in Nashville, United States, ideal for nature lovers. Open 09:00-17:30, entry 22.61 USD.",22.61,09:00-17:30,3 hours,3.7,"855-89 Kitahiroshima, Nashville",36.1772910077632,-86.79888381296108,"['nightlife enthusiast', 'with pets', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'High speed WiFi']"
14,Nashville,United States,Nature/Scenery/Park,Cedar Hollow Reserve,"Cedar Hollow Reserve is a nature in Nashville, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Cedar Hollow Reserve, a peaceful nature in Nashville, United States, ideal for nature lovers. Open 06:00-20:00, entry 11.05 USD.",11.05,06:00-20:00,3 hours,3.7,"504 Shirokane-dai, Minato City, Nashville",36.09259036419407,-86.5471069198741,"['with pets', 'photography', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours']"
15,Nashville,United States,Nature/Scenery/Park,Ravenwood Green Sanctuary,"Ravenwood Green Sanctuary is a nature in Nashville, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Ravenwood Green Sanctuary, a peaceful nature in Nashville, United States, ideal for nature lovers. Open 08:30-17:30, entry 1.4 USD.",1.4,08:30-17:30,3 hours,3.7,"742 Sathorn Unique Tower, Silom Road, Nashville",36.2421484277815,-86.75966088636316,['elderly travelers'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'wheelchair rental', 'benches/rest areas']"
