id,name,lat,lon,price,cuisine,opentime,endtime,recommendedfood
0,珍宝海鲜JUMBO Seafood(北京SKP店),39.9104413,116.4786338,401.0,东南亚菜,11:30,21:00,"获奖新加坡辣椒螃蟹,新加坡娘惹炸彩虹鲷,黑胡椒螃蟹,梨香带子,麦片虾,蟹肉扒翡翠豆腐"
1,提督·TIDU(北京坊店),39.8975569,116.3949362,337.0,北京菜,11:00,21:00, 
2,沃夫冈牛排馆Wolfgang’s Steakhouse(三里屯店),39.9321798,116.4584324,1100.0,西餐,11:30,22:00,"肉眼牛排,西冷牛排,超厚焦脆培根,珍宝蟹饼"
3,北京璞瑄酒店·左岸,39.9237932,116.4101746,733.0,西餐,06:30,22:00, 
4,南门涮肉(天坛店),39.8737951,116.4135705,101.0,清真菜,06:30,22:30,"脆香肥牛,宏源手抓肉,鲜羊肉,炸烧饼,糖蒜,毛肚,鲅鱼丸,鲜百叶,羊肉,虾滑"
5,美·大董海参店(南新仓店),39.9323894,116.4310483,980.0,北京菜,11:00,22:00,"葵香鸡,黑牛肝菌孢子甘蓝,糖醋九肚鱼,鱼子酱脆皮鸭"
6,四季民福烤鸭店(故宫店),39.9145249,116.4028728,180.0,北京菜,10:30,21:30, 
7,北京中国大饭店·夏宫,39.9104852,116.458885,454.0,粤菜,11:30,21:00,"扬州大煮干丝,响油鳝糊,XO酱虾皮炒萝卜糕,烧鹅,蟹粉小笼包,焗餐包,夏宫虾饺皇"
8,北京宝格丽酒店·IL RISTORANTE NIKO ROMITO,39.9477281,116.4577405,1076.0,西餐,11:30,22:00,"意式细面配加拿大龙虾西班牙红虾,烤乳猪,炙烤澳大利亚M7西冷和牛,传统小牛肉及番茄自制意式千层面,腌制日本加吉鱼配鱼子酱,‍提拉米苏"
9,北京王府半岛酒店·Jing餐厅,39.9149462,116.4164071,1251.0,西餐,12:00,14:00,"扇贝,多佛龙利鱼,鳕鱼,热带风情,熏羔羊排"
10,北京璞瑄酒店·富春居,39.9235286,116.41,482.0,粤菜,11:30,21:30, 
11,北京瑞吉酒店·天宝阁中餐厅,39.911025,116.440194,352.0,粤菜,11:30,22:00,"汤皇大虾,加拿大野米煮辽参,天宝阁秘制佛跳墙,黑蒜煎和牛,顺德拆鱼羹,芝麻脆皮炸子鸡,鱼子酱焗深海鳕鱼"
12,新荣记(新源南路店),39.9477827,116.4567693,1017.0,江浙菜,11:30,21:00,"黄金脆带鱼,沙蒜烧豆面,和牛挞,脆皮妙龄鸽,农家盐卤豆腐煲,蜜汁红薯"
13,北京四季酒店·MIO,39.9501062,116.4666362,1042.0,西餐,11:30,22:00,"和牛排,轻煎羊外脊,手工意面,慢煮块根芹,香煎红鲷鱼,提拉米苏"
14,北京四季酒店·采逸轩,39.9502335,116.4665739,848.0,粤菜,11:30,22:00,"黑蒜大千爆虾球,脆皮炸子鸡,五粮液炒豆苗,海鲜炒饭,笋尖鲜虾饺,黑松露鲍鱼红烧肉,蟹酿橙,草莓柚子西米露,凸黄油"
15,蘭頌餐厅,39.9750377,116.47602,1706.0,西餐,11:30,22:00,"干式熟成澳洲M9和牛菲力,法国银鳕鱼配宫廷诺曼底酱汁与香橼,妙龄乳鸽配刺身级鹅肝与手打鱼泥,大连皱纹盘鲍配养马岛扇贝与墨鱼,有机酵母冰霜与泡沫配长白山黑加仑,法式菌菇清汤配绣球菌时蔬饺子 ,法式菌菇泥配兰皇温泉蛋黄与芝士泡沫,西班牙红魔虾配十五年达氏鳇鲟鱼子酱与红石榴"
16,护国寺小吃(护国寺总店),39.9351306,116.374839,32.0,小吃,06:00,21:00,"豆腐脑,糖耳朵,糊塌子,豆汁,肉饼,松肉,炒疙瘩,精品驴打滚,焦圈,羊杂汤"
17,晟永興烤鸭店(三里屯店),39.9407392,116.450036,458.0,北京菜,11:00,21:00,"鱼子酱烤鸭1只,香醇鹅肝,松露大虾球,芥末鸭掌,金甲深海黄鱼,河园烧羊腩"
18,北京全聚德(和平门店),39.8993388,116.3850209,197.0,北京菜,11:00,20:30, 
19,门框胡同百年卤煮(新街口店),39.9404877,116.3688519,53.0,小吃,09:30,02:00,"卤煮火烧,老北京炸灌肠,老北京羊肉串,老北京爆肚,老北京炸咯吱,老北京炸酱面"
20,北京全聚德(前门店),39.8966303,116.3983652,184.0,北京菜,11:00,21:00,"北京烤鸭,芥末鸭掌,盐水鸭肝,火燎鸭心"
21,北京三里屯通盈中心洲际酒店·恰牛扒房Char bar&grill,39.9328203,116.4549799,719.0,西餐,11:30,22:00,"战斧牛排,罗宾岛西冷牛排,加拿大扇贝和鱼子酱,凯撒沙拉配卡真大虾,意式柠檬草龙虾浓汤,奶油蘑菇汤"
22,北京康莱德酒店·陆羽餐厅,39.9272075,116.460645,373.0,粤菜,11:30,22:00, 
23,北京亲然美宿·大山咖啡coffee,40.4065056,116.5570805,80.0,咖啡店,09:00,19:00,"拿破仑,限量版提拉米苏,生椰拿铁,栗子蛋糕,dirty,焦糖苹果肉桂"
24,北京王府井文华东方酒店·紫膳餐厅,39.9126748,116.4091076,568.0,粤菜,06:30,22:00, 
