attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Santiago de Compostela,Spain,Nature/Scenery/Park,Celtas Green Haven,"Celtas Green Haven is a nature in Santiago de Compostela, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Celtas Green Haven, a peaceful nature in Santiago de Compostela, Spain, ideal for nature lovers. Open 09:00-18:00, entry 5.6 USD.",5.6,09:00-18:00,3 hours,3.7,"561 Pasir Ris Avenue, Santiago de Compostela",42.96867319686898,-8.44949928019871,"['fast-paced budget travel', 'foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
2,Santiago de Compostela,Spain,Nature/Scenery/Park,Celtic Grove Pathway,"Celtic Grove Pathway is a nature in Santiago de Compostela, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Celtic Grove Pathway, a peaceful nature in Santiago de Compostela, Spain, ideal for nature lovers. Open 09:00-19:00, entry 29.53 USD.",29.53,09:00-19:00,3 hours,3.7,"971 Shinjuku Innovation Street, Santiago de Compostela",42.87719327243068,-8.45311383035421,"['solo women', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
3,Santiago de Compostela,Spain,Nature/Scenery/Park,Cumbre de los Sueños Grove,"Cumbre de los Sueños Grove is a nature in Santiago de Compostela, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Cumbre de los Sueños Grove, a peaceful nature in Santiago de Compostela, Spain, ideal for nature lovers. Open 08:30-18:00, entry 94.11 USD.",94.11,08:30-18:00,3 hours,3.7,"170 Gwangnangno, Nowon-gu, Santiago de Compostela",42.85692930858858,-8.585096125737575,"['photography', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas', 'parking']"
4,Santiago de Compostela,Spain,Nature/Scenery/Park,Rías de la Luz Trail,"Rías de la Luz Trail is a nature in Santiago de Compostela, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Rías de la Luz Trail, a peaceful nature in Santiago de Compostela, Spain, ideal for nature lovers. Open 09:00-17:30, entry 7.57 USD.",7.57,09:00-17:30,3 hours,3.7,"927 Gwanghwamun-daero, Jongno-gu, Santiago de Compostela",42.878608141894986,-8.485891356606206,"['photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
5,Santiago de Compostela,Spain,Nature/Scenery/Park,Moonlit River Drift,"Moonlit River Drift is a nature in Santiago de Compostela, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.72 USD. Recommended visit: 3 hours. Discover Moonlit River Drift, a peaceful nature in Santiago de Compostela, Spain, ideal for nature lovers. Open 08:30-20:00, entry 6.72 USD.",6.72,08:30-20:00,3 hours,3.7,"200 Sakura Street, Shibuya Ward, Santiago de Compostela",42.84041673408068,-8.511511916386182,"['fast-paced budget travel', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
6,Santiago de Compostela,Spain,Nature/Scenery/Park,Cuesta del Sol Reserve,"Cuesta del Sol Reserve is a nature in Santiago de Compostela, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Cuesta del Sol Reserve, a peaceful nature in Santiago de Compostela, Spain, ideal for nature lovers. Open 08:30-19:00, entry 2059.2 USD.",2059.2,08:30-19:00,3 hours,3.7,"No. 456, Xizhimen South Road, Santiago de Compostela",42.92037080719677,-8.552211136502576,"['nightlife enthusiast', 'fast-paced budget travel', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'wheelchair rental', 'benches/rest areas']"
7,Santiago de Compostela,Spain,Nature/Scenery/Park,Cuesta Verde Culinary Heights,"Cuesta Verde Culinary Heights is a nature in Santiago de Compostela, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Cuesta Verde Culinary Heights, a peaceful nature in Santiago de Compostela, Spain, ideal for nature lovers. Open 19:00-23:00, entry 17.5 USD.",17.5,19:00-23:00,3 hours,3.7,"826-12, Gwanak-daero, Gwanak-gu, Santiago de Compostela",42.952983220370015,-8.59581358994363,"['solo women', 'couples trip', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas']"
8,Santiago de Compostela,Spain,Nature/Scenery/Park,Catedral Hills Express + Monte de Gois Sky Lift + Mirador de San Martin,"Catedral Hills Express + Monte de Gois Sky Lift + Mirador de San Martin is a nature in Santiago de Compostela, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.7 USD. Recommended visit: 3 hours. Discover Catedral Hills Express + Monte de Gois Sky Lift + Mirador de San Martin, a peaceful nature in Santiago de Compostela, Spain, ideal for nature lovers. Open 09:00-21:00, entry 7.7 USD.",7.7,09:00-21:00,3 hours,3.7,"493 Jurong East Street 21, Santiago de Compostela",42.91256731248868,-8.501136965805566,"['fast-paced budget travel', 'with pets', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours']"
9,Santiago de Compostela,Spain,Nature/Scenery/Park,Azure Horizon Point,"Azure Horizon Point is a nature in Santiago de Compostela, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Azure Horizon Point, a peaceful nature in Santiago de Compostela, Spain, ideal for nature lovers. Open 08:30-17:00, entry 14.98 USD.",14.98,08:30-17:00,3 hours,3.7,"No. 456, Xidan West Street, Santiago de Compostela",42.91439971143923,-8.586964552872578,"['foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
10,Santiago de Compostela,Spain,Nature/Scenery/Park,LushLift EcoAdventure Hub,"LushLift EcoAdventure Hub is a nature in Santiago de Compostela, Spain, popular for its natural scenery and relaxing atmosphere. Entry fee is 20.74 USD. Recommended visit: 3 hours. Discover LushLift EcoAdventure Hub, a peaceful nature in Santiago de Compostela, Spain, ideal for nature lovers. Open 09:30-17:00, entry 20.74 USD.",20.74,09:30-17:00,3 hours,3.7,"783 Beach Road, Santiago de Compostela",42.845474469602514,-8.492924184629382,"['with pets', 'photography', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
