attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Washington,United States,Nature/Scenery/Park,Evergreen Haven Preserve,"Evergreen Haven Preserve is a nature in Washington, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Evergreen Haven Preserve, a peaceful nature in Washington, United States, ideal for nature lovers. Open 09:00-18:00, entry 8.12 USD.",8.12,09:00-18:00,3 hours,3.7,"No. 1, Zhongnanhai Road, Washington",38.89614565264988,-76.9402332055981,"['nightlife enthusiast', 'photography', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'photo spots', 'guided photo tours', 'charging stations', 'High speed WiFi']"
2,Washington,United States,Nature/Scenery/Park,Greenwood Trail Discovery,"Greenwood Trail Discovery is a nature in Washington, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Greenwood Trail Discovery, a peaceful nature in Washington, United States, ideal for nature lovers. Open 08:30-17:00, entry 22.61 USD.",22.61,08:30-17:00,3 hours,3.7,"823/1 Sathorn Road, Sathorn, Washington",38.89295793576667,-77.00453555262455,"['disabled traveler', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'wheelchair rental', 'benches/rest areas', 'parking']"
3,Washington,United States,Nature/Scenery/Park,Evergreen Hollow Sanctuary,"Evergreen Hollow Sanctuary is a nature in Washington, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Evergreen Hollow Sanctuary, a peaceful nature in Washington, United States, ideal for nature lovers. Open 08:30-17:00, entry 11.76 USD.",11.76,08:30-17:00,3 hours,3.7,"895 Shibuya Crossing Street, Washington",38.93438195704432,-77.02984974831466,"['nightlife enthusiast', 'photography', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours']"
4,Washington,United States,Nature/Scenery/Park,Evergreen Bay Trail,"Evergreen Bay Trail is a nature in Washington, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 55.55 USD. Recommended visit: 3 hours. Discover Evergreen Bay Trail, a peaceful nature in Washington, United States, ideal for nature lovers. Open 10:00-18:00, entry 55.55 USD.",55.55,10:00-18:00,3 hours,3.7,"565 Shibuya Street, Shibuya Ward, Washington",38.90709328479119,-77.05267058746672,"['nightlife enthusiast', 'solo women', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'Food markets', 'tasting tours']"
5,Washington,United States,Nature/Scenery/Park,Celestial Bay Voyage,"Celestial Bay Voyage is a nature in Washington, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 294.64 USD. Recommended visit: 3 hours. Discover Celestial Bay Voyage, a peaceful nature in Washington, United States, ideal for nature lovers. Open 09:00-18:00, entry 294.64 USD.",294.64,09:00-18:00,3 hours,3.7,"No. 456 Riverside Lane, Washington",38.96232726937452,-77.01427436133184,"['fast-paced budget travel', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences']"
6,Washington,United States,Nature/Scenery/Park,Evergreen Hollow Preserve,"Evergreen Hollow Preserve is a nature in Washington, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Evergreen Hollow Preserve, a peaceful nature in Washington, United States, ideal for nature lovers. Open 08:00-20:00, entry 2.8 USD.",2.8,08:00-20:00,3 hours,3.7,"No. 588, Yantian Road, Yantian District, Washington",38.93667012311793,-77.08632366059265,"['nightlife enthusiast', 'solo women', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas']"
7,Washington,United States,Nature/Scenery/Park,Evergreen Ridge Culinary Escape,"Evergreen Ridge Culinary Escape is a nature in Washington, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Evergreen Ridge Culinary Escape, a peaceful nature in Washington, United States, ideal for nature lovers. Open 08:30-17:00, entry 17.5 USD.",17.5,08:30-17:00,3 hours,3.7,"868 Beachside Lane, Washington",38.88844780984077,-76.98191311104326,"['with children', 'fast-paced budget travel', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'wheelchair rental', 'benches/rest areas']"
8,Washington,United States,Nature/Scenery/Park,Skyline Summit Adventure Pass,"Skyline Summit Adventure Pass is a nature in Washington, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover Skyline Summit Adventure Pass, a peaceful nature in Washington, United States, ideal for nature lovers. Open 08:30-17:30, entry 5.15 USD.",5.15,08:30-17:30,3 hours,3.7,"641 Nihonbashi 2-chome, Chuo City, Washington",38.81034069678373,-77.01788500900906,['with pets'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
9,Washington,United States,Nature/Scenery/Park,Skyline Grove,"Skyline Grove is a nature in Washington, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Skyline Grove, a peaceful nature in Washington, United States, ideal for nature lovers. Open 08:30-17:30, entry 5.6 USD.",5.6,08:30-17:30,3 hours,3.7,"633 Suthep Road, Washington",38.92822717202165,-77.03539588183753,['foodie'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours']"
10,Washington,United States,Nature/Scenery/Park,Evergreen Explorers Hub,"Evergreen Explorers Hub is a nature in Washington, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.35 USD. Recommended visit: 3 hours. Discover Evergreen Explorers Hub, a peaceful nature in Washington, United States, ideal for nature lovers. Open 06:00-20:00, entry 7.35 USD.",7.35,06:00-20:00,3 hours,3.7,"200 Sukhumvit Road, Washington",38.9536324924037,-77.0284736119243,"['with children', 'solo women', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'High speed WiFi']"
