attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Vancouver,Canada,Nature/Scenery/Park,Skyline Green Haven,"Skyline Green Haven is a nature in Vancouver, Canada, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Skyline Green Haven, a peaceful nature in Vancouver, Canada, ideal for nature lovers. Open 09:30-17:00, entry 2.0 USD.",2.0,09:30-17:00,3 hours,3.7,"No. 588, Zhangying Road, Vancouver",49.26179983767189,-123.17748422479556,"['foodie', 'solo women', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'group tours', 'security', 'private tours', 'skip the line passes', 'VIP exclusive events']"
2,Vancouver,Canada,Nature/Scenery/Park,Greenway Grove Adventure,"Greenway Grove Adventure is a nature in Vancouver, Canada, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.44 USD. Recommended visit: 3 hours. Discover Greenway Grove Adventure, a peaceful nature in Vancouver, Canada, ideal for nature lovers. Open 10:00-22:00, entry 6.44 USD.",6.44,10:00-22:00,3 hours,3.7,"250 Sathorn Road, Vancouver",49.2330575044261,-123.02494986540032,['disabled traveler'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
3,Vancouver,Canada,Nature/Scenery/Park,Evergreen Haven,"Evergreen Haven is a nature in Vancouver, Canada, popular for its natural scenery and relaxing atmosphere. Entry fee is 3.36 USD. Recommended visit: 3 hours. Discover Evergreen Haven, a peaceful nature in Vancouver, Canada, ideal for nature lovers. Open 08:30-17:30, entry 3.36 USD.",3.36,08:30-17:30,3 hours,3.7,"154 Beach Road, Vancouver",49.23813901017415,-123.16456160603455,"['with pets', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours', 'parking']"
4,Vancouver,Canada,Nature/Scenery/Park,Lynnwood Baywalk Trail,"Lynnwood Baywalk Trail is a nature in Vancouver, Canada, popular for its natural scenery and relaxing atmosphere. Entry fee is 19.18 USD. Recommended visit: 3 hours. Discover Lynnwood Baywalk Trail, a peaceful nature in Vancouver, Canada, ideal for nature lovers. Open 06:00-20:00, entry 19.18 USD.",19.18,06:00-20:00,3 hours,3.7,"No. 128, Huangpu Park Road, Vancouver",49.23610820104017,-123.0643320650927,"['with pets', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
5,Vancouver,Canada,Nature/Scenery/Park,Moonbeam Bay Ferry,"Moonbeam Bay Ferry is a nature in Vancouver, Canada, popular for its natural scenery and relaxing atmosphere. Entry fee is 20.74 USD. Recommended visit: 3 hours. Discover Moonbeam Bay Ferry, a peaceful nature in Vancouver, Canada, ideal for nature lovers. Open 09:00-19:00, entry 20.74 USD.",20.74,09:00-19:00,3 hours,3.7,"No. 456, Xuefu Road, Vancouver",49.23308598339685,-123.18217182971615,"['nightlife enthusiast', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
6,Vancouver,Canada,Nature/Scenery/Park,Evergreen Heights Preserve,"Evergreen Heights Preserve is a nature in Vancouver, Canada, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.4 USD. Recommended visit: 3 hours. Discover Evergreen Heights Preserve, a peaceful nature in Vancouver, Canada, ideal for nature lovers. Open 09:00-17:30, entry 14.4 USD.",14.4,09:00-17:30,3 hours,3.7,"Hong Kong Country Park, Sai Kung, Vancouver",49.28746421597324,-123.09141058742048,"['with pets', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas']"
7,Vancouver,Canada,Nature/Scenery/Park,Evergreen Summit Experience,"Evergreen Summit Experience is a nature in Vancouver, Canada, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover Evergreen Summit Experience, a peaceful nature in Vancouver, Canada, ideal for nature lovers. Open 09:00-17:30, entry 37.95 USD.",37.95,09:00-17:30,3 hours,3.7,"731 Sukhumvit Road, Khlong Toei District, Vancouver",49.247500379974646,-123.15603413623477,"['fast-paced budget travel', 'elderly travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'wheelchair rental', 'benches/rest areas', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
8,Vancouver,Canada,Nature/Scenery/Park,Stanley Park Skyline Express + Grouse Mountain Cable Car Round Trip Pass,"Stanley Park Skyline Express + Grouse Mountain Cable Car Round Trip Pass is a nature in Vancouver, Canada, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Stanley Park Skyline Express + Grouse Mountain Cable Car Round Trip Pass, a peaceful nature in Vancouver, Canada, ideal for nature lovers. Open 08:30-17:00, entry 11.76 USD.",11.76,08:30-17:00,3 hours,3.7,"402 Shinsaibashi Street, Chuo Ward, Vancouver",49.22274468002293,-123.02379117521016,"['with children', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
9,Vancouver,Canada,Nature/Scenery/Park,Skyline Vista Point,"Skyline Vista Point is a nature in Vancouver, Canada, popular for its natural scenery and relaxing atmosphere. Entry fee is 294.64 USD. Recommended visit: 3 hours. Discover Skyline Vista Point, a peaceful nature in Vancouver, Canada, ideal for nature lovers. Open 09:00-21:00, entry 294.64 USD.",294.64,09:00-21:00,3 hours,3.7,"No. 2000 Century Avenue, Vancouver",49.26827996002664,-123.11549902335884,"['with pets', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
10,Vancouver,Canada,Nature/Scenery/Park,Greenwave Discovery Hub,"Greenwave Discovery Hub is a nature in Vancouver, Canada, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.3 USD. Recommended visit: 3 hours. Discover Greenwave Discovery Hub, a peaceful nature in Vancouver, Canada, ideal for nature lovers. Open 08:30-19:00, entry 13.3 USD.",13.3,08:30-19:00,3 hours,3.7,"594 Ulu Pandan Way, Vancouver",49.30691652406833,-123.12475288291208,"['foodie', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
