attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Syracuse,United States,Nature/Scenery/Park,Havenside Botanical Grove,"Havenside Botanical Grove is a nature in Syracuse, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Havenside Botanical Grove, a peaceful nature in Syracuse, United States, ideal for nature lovers. Open 10:00-22:00, entry 1.4 USD.",1.4,10:00-22:00,3 hours,3.7,"559 Thaweewong Road, Syracuse",43.06275782715738,-76.17730123944727,['solo women'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security']"
2,Syracuse,United States,Nature/Scenery/Park,Verdant Veil Trailhead,"Verdant Veil Trailhead is a nature in Syracuse, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.12 USD. Recommended visit: 3 hours. Discover Verdant Veil Trailhead, a peaceful nature in Syracuse, United States, ideal for nature lovers. Open 09:00-17:30, entry 4.12 USD.",4.12,09:00-17:30,3 hours,3.7,"809 Seongsan Road, Syracuse",43.03270105279484,-76.13535424931719,"['with children', 'solo women', 'with pets']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
3,Syracuse,United States,Nature/Scenery/Park,Evergreen Haven,"Evergreen Haven is a nature in Syracuse, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 19.18 USD. Recommended visit: 3 hours. Discover Evergreen Haven, a peaceful nature in Syracuse, United States, ideal for nature lovers. Open 08:00-20:00, entry 19.18 USD.",19.18,08:00-20:00,3 hours,3.7,"No. 123, Yuyuan Street, Syracuse",43.06680397468777,-76.14944963346416,"['solo women', 'photography', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours']"
4,Syracuse,United States,Nature/Scenery/Park,Syracuse Baywalk Discovery Trail,"Syracuse Baywalk Discovery Trail is a nature in Syracuse, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Syracuse Baywalk Discovery Trail, a peaceful nature in Syracuse, United States, ideal for nature lovers. Open 09:00-17:30, entry 17.5 USD.",17.5,09:00-17:30,3 hours,3.7,"194 Marina Bay Sands, Syracuse",43.07996204515801,-76.13750193754719,"['couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
5,Syracuse,United States,Nature/Scenery/Park,Moonlit Bay Adventure,"Moonlit Bay Adventure is a nature in Syracuse, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Moonlit Bay Adventure, a peaceful nature in Syracuse, United States, ideal for nature lovers. Open 09:30-17:00, entry 31.52 USD.",31.52,09:30-17:00,3 hours,3.7,"617 Gwanghwamun-ro, Jongno-gu, Syracuse",42.98946770642579,-76.15321895822983,"['fast-paced budget travel', 'couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
6,Syracuse,United States,Nature/Scenery/Park,Emerald Hollow Preserve,"Emerald Hollow Preserve is a nature in Syracuse, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 20.74 USD. Recommended visit: 3 hours. Discover Emerald Hollow Preserve, a peaceful nature in Syracuse, United States, ideal for nature lovers. Open 09:00-18:00, entry 20.74 USD.",20.74,09:00-18:00,3 hours,3.7,"788 Gwangmyeong-ro, Gwangmyeong-gu, Syracuse",43.02754972653318,-76.11461313566889,"['disabled traveler', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'wheelchair rental', 'benches/rest areas', 'parking']"
7,Syracuse,United States,Nature/Scenery/Park,Evergreen Vista Retreat,"Evergreen Vista Retreat is a nature in Syracuse, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Evergreen Vista Retreat, a peaceful nature in Syracuse, United States, ideal for nature lovers. Open 09:00-17:30, entry 11.76 USD.",11.76,09:00-17:30,3 hours,3.7,"No. 458, Xiamen Road, Syracuse",43.04817781283085,-76.14223514530158,"['couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
8,Syracuse,United States,Nature/Scenery/Park,Cayuga Skyline Express 1-Day Pass + Onondaga Hill Cable Car Round Trip + Herkimer Falls Trail Access,"Cayuga Skyline Express 1-Day Pass + Onondaga Hill Cable Car Round Trip + Herkimer Falls Trail Access is a nature in Syracuse, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Cayuga Skyline Express 1-Day Pass + Onondaga Hill Cable Car Round Trip + Herkimer Falls Trail Access, a peaceful nature in Syracuse, United States, ideal for nature lovers. Open 08:00-20:00, entry 29.53 USD.",29.53,08:00-20:00,3 hours,3.7,"344 Seiwa Street, Chuo Ward, Syracuse",43.03981571387663,-76.10620861443819,"['disabled traveler', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
9,Syracuse,United States,Nature/Scenery/Park,Skyline Vista Point,"Skyline Vista Point is a nature in Syracuse, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Skyline Vista Point, a peaceful nature in Syracuse, United States, ideal for nature lovers. Open 09:00-18:00, entry 5.6 USD.",5.6,09:00-18:00,3 hours,3.7,"422 Gukje-ro, Busanjin-gu, Syracuse",43.03523300975205,-76.1455674856198,"['photography', 'with pets', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours']"
10,Syracuse,United States,Nature/Scenery/Park,Eclipse Explorers' Grove,"Eclipse Explorers' Grove is a nature in Syracuse, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.7 USD. Recommended visit: 3 hours. Discover Eclipse Explorers' Grove, a peaceful nature in Syracuse, United States, ideal for nature lovers. Open 09:00-17:30, entry 7.7 USD.",7.7,09:00-17:30,3 hours,3.7,"601-8901 Shibuya, Syracuse",42.9979347757377,-76.16385352347626,"['photography', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']"
11,Syracuse,United States,Nature/Scenery/Park,Crimson Cove Shellwalk,"Crimson Cove Shellwalk is a nature in Syracuse, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover Crimson Cove Shellwalk, a peaceful nature in Syracuse, United States, ideal for nature lovers. Open 09:00-17:30, entry 5.15 USD.",5.15,09:00-17:30,3 hours,3.7,"633 Seogwipo Street, Syracuse",43.00239286131729,-76.15138660434171,"['with children', 'foodie', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours', 'High speed WiFi']"
12,Syracuse,United States,Nature/Scenery/Park,Syracuse Wildscape Haven,"Syracuse Wildscape Haven is a nature in Syracuse, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.27 USD. Recommended visit: 3 hours. Discover Syracuse Wildscape Haven, a peaceful nature in Syracuse, United States, ideal for nature lovers. Open 08:30-17:30, entry 33.27 USD.",33.27,08:30-17:30,3 hours,3.7,"446 Marina Bay Sands, Syracuse",43.047892867049214,-76.16522246847565,"['with pets', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
13,Syracuse,United States,Nature/Scenery/Park,Emerald Glen Mineral Springs,"Emerald Glen Mineral Springs is a nature in Syracuse, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 0.0 USD. Recommended visit: 3 hours. Discover Emerald Glen Mineral Springs, a peaceful nature in Syracuse, United States, ideal for nature lovers. Open 08:30-17:30, entry 0.0 USD.",0.0,08:30-17:30,3 hours,3.7,"243-10-5 Shibuya, Shibuya City, Syracuse",43.05996429578907,-76.16893638373139,"['fast-paced budget travel', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
14,Syracuse,United States,Nature/Scenery/Park,Cedar Hollow Vista,"Cedar Hollow Vista is a nature in Syracuse, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Cedar Hollow Vista, a peaceful nature in Syracuse, United States, ideal for nature lovers. Open 08:00-20:00, entry 14.98 USD.",14.98,08:00-20:00,3 hours,3.7,"No. 456 Cultural Avenue, Syracuse",43.0730655503496,-76.15967171269898,"['disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
15,Syracuse,United States,Nature/Scenery/Park,Herkimer Grove Sanctuary,"Herkimer Grove Sanctuary is a nature in Syracuse, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Herkimer Grove Sanctuary, a peaceful nature in Syracuse, United States, ideal for nature lovers. Open 08:00-17:30, entry 2059.2 USD.",2059.2,08:00-17:30,3 hours,3.7,"944 Sathorn Road, Silom District, Syracuse",42.99864212806699,-76.14977213833026,"['road trip', 'solo women', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking', 'group tours', 'security', 'High speed WiFi']"
16,Syracuse,United States,Nature/Scenery/Park,Skyline Vista Express,"Skyline Vista Express is a nature in Syracuse, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Skyline Vista Express, a peaceful nature in Syracuse, United States, ideal for nature lovers. Open 09:30-17:00, entry 43.59 USD.",43.59,09:30-17:00,3 hours,3.7,"156 Nathan Road, Syracuse",43.0047033747184,-76.1314483981611,"['nightlife enthusiast', 'with pets', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas']"
