attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Wellington,New Zealand,Nature/Scenery/Park,Matakohe Greenhaven,"Matakohe Greenhaven is a nature in Wellington, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 15.4 USD. Recommended visit: 3 hours. Discover Matakohe Greenhaven, a peaceful nature in Wellington, New Zealand, ideal for nature lovers. Open 08:30-17:30, entry 15.4 USD.",15.4,08:30-17:30,3 hours,3.7,"629 Sakura Street, Chuo Ward, Wellington",-41.25403565764163,175.26158541328613,"['nightlife enthusiast', 'foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
2,Wellington,New Zealand,Nature/Scenery/Park,Whakapapa Trail Discovery Walk,"Whakapapa Trail Discovery Walk is a nature in Wellington, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.12 USD. Recommended visit: 3 hours. Discover Whakapapa Trail Discovery Walk, a peaceful nature in Wellington, New Zealand, ideal for nature lovers. Open 08:00-20:00, entry 4.12 USD.",4.12,08:00-20:00,3 hours,3.7,"990 Shinsaibashi Dori, Chuo Ward, Wellington",-41.19048187754855,175.31913920344067,"['with children', 'solo women', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas']"
3,Wellington,New Zealand,Nature/Scenery/Park,Tara Peak Sanctuary,"Tara Peak Sanctuary is a nature in Wellington, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Tara Peak Sanctuary, a peaceful nature in Wellington, New Zealand, ideal for nature lovers. Open 09:00-19:00, entry 6.39 USD.",6.39,09:00-19:00,3 hours,3.7,"182 Sukhumvit Road, Khlong Toei District, Wellington",-40.88620914383996,175.4799147224983,['disabled traveler'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
4,Wellington,New Zealand,Nature/Scenery/Park,Harbour Haven Trail,"Harbour Haven Trail is a nature in Wellington, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Harbour Haven Trail, a peaceful nature in Wellington, New Zealand, ideal for nature lovers. Open 08:30-17:30, entry 11.76 USD.",11.76,08:30-17:30,3 hours,3.7,"No. 456, Xueyuan Road, Xihu District, Wellington",-40.82273649423489,175.51177801551017,"['nightlife enthusiast', 'with children', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'High speed WiFi']"
5,Wellington,New Zealand,Nature/Scenery/Park,Luminous Bay Voyage,"Luminous Bay Voyage is a nature in Wellington, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.53 USD. Recommended visit: 3 hours. Discover Luminous Bay Voyage, a peaceful nature in Wellington, New Zealand, ideal for nature lovers. Open 09:00-21:00, entry 12.53 USD.",12.53,09:00-21:00,3 hours,3.7,"204/12 Moo 5, Taling Chai, Muang, Wellington",-41.152644324949854,175.0858598211858,['road trip'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking']"
6,Wellington,New Zealand,Nature/Scenery/Park,Kahurangi Skywalk,"Kahurangi Skywalk is a nature in Wellington, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Kahurangi Skywalk, a peaceful nature in Wellington, New Zealand, ideal for nature lovers. Open 09:30-17:00, entry 31.52 USD.",31.52,09:30-17:00,3 hours,3.7,"755 Shuri Street, Wellington",-40.8244023843606,175.32350825821044,"['solo women', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Food markets', 'tasting tours', 'parking']"
7,Wellington,New Zealand,Nature/Scenery/Park,Kauri Ridge Culinary Trail,"Kauri Ridge Culinary Trail is a nature in Wellington, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.27 USD. Recommended visit: 3 hours. Discover Kauri Ridge Culinary Trail, a peaceful nature in Wellington, New Zealand, ideal for nature lovers. Open 09:00-18:00, entry 33.27 USD.",33.27,09:00-18:00,3 hours,3.7,"No. 456, West Lake Cultural Avenue, Wellington",-40.952072367248974,175.56830409894695,['with pets'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
8,Wellington,New Zealand,Nature/Scenery/Park,Kaitoke Skyway Adventure Pass,"Kaitoke Skyway Adventure Pass is a nature in Wellington, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.95 USD. Recommended visit: 3 hours. Discover Kaitoke Skyway Adventure Pass, a peaceful nature in Wellington, New Zealand, ideal for nature lovers. Open 09:00-18:00, entry 13.95 USD.",13.95,09:00-18:00,3 hours,3.7,"746-8745 Sapporo City, Nishi 1-chome, Wellington",-41.49762237020007,175.4215754971289,"['photography', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
9,Wellington,New Zealand,Nature/Scenery/Park,Baywatch Vista,"Baywatch Vista is a nature in Wellington, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 294.64 USD. Recommended visit: 3 hours. Discover Baywatch Vista, a peaceful nature in Wellington, New Zealand, ideal for nature lovers. Open 09:00-17:00, entry 294.64 USD.",294.64,09:00-17:00,3 hours,3.7,"694-8901 Sapporo City, Nishi 1-chome, Wellington",-41.2891908962912,175.45281796108017,"['couples trip', 'luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
10,Wellington,New Zealand,Nature/Scenery/Park,Verdant Vortex Playgrounds,"Verdant Vortex Playgrounds is a nature in Wellington, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover Verdant Vortex Playgrounds, a peaceful nature in Wellington, New Zealand, ideal for nature lovers. Open 09:00-21:00, entry 5.15 USD.",5.15,09:00-21:00,3 hours,3.7,"246-1 Kitahama, Wellington",-41.33225039969544,175.27928689209034,['with pets'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
