attraction_id,city_name,attraction_name,address,longitude,latitude,open_hours,ticket_price,overview,facilities,type,duration_of_visit,rate_of_restaurant,facilities_group,country
1,Sapporo,Sapporo JR Tower Sky View Deck,"480-1 Nishi 1-chome, Sapporo",141.204607,43.047989,09:00-21:00,12.4,"Sapporo JR Tower Sky View Deck is a nature in Sapporo, Japan, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.4 USD. Recommended visit: 3 hours. Discover Sapporo JR Tower Sky View Deck, a peaceful nature in Sapporo, Japan, ideal for nature lovers. Open 09:00-21:00, entry 12.4 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'group tours', 'security', 'food markets', 'tasting tours', 'family restrooms', 'nursing facilities', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi']",Nature/Scenery/Park,3 hours,3.7,"['Family with children', 'Pet Owners', 'Disabled Travelers', 'Solo Woman Travelers', 'foodie']",Japan
2,Sapporo,Sapporo Mount Moiwa Skyline and Mini Cable Car,"156-678 Nishi 1-chome, Sapporo",141.332806,43.109836,09:00-17:30,6.13,"Sapporo Mount Moiwa Skyline and Mini Cable Car is a nature in Sapporo, Japan, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.13 USD. Recommended visit: 3 hours. Discover Sapporo Mount Moiwa Skyline and Mini Cable Car, a peaceful nature in Sapporo, Japan, ideal for nature lovers. Open 09:00-17:30, entry 6.13 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'night markets', 'bars', 'evening shows', 'family restrooms', 'nursing facilities', 'parking', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Nature/Scenery/Park,3 hours,3.7,"['Family with children', 'Road trip', 'Elderly Travelers', 'Nightlife Enthusiast', 'Fast-Paced Budget Travel', 'Photography']",Japan
3,Sapporo,Sapporo Sky View Tower,"781-8 Nishi 12-chome, Sapporo",141.27816,43.017783,09:00-21:00,388.0,"Sapporo Sky View Tower is a nature in Sapporo, Japan, popular for its natural scenery and relaxing atmosphere. Entry fee is 388.0 USD. Recommended visit: 3 hours. Discover Sapporo Sky View Tower, a peaceful nature in Sapporo, Japan, ideal for nature lovers. Open 09:00-21:00, entry 388.0 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'group tours', 'security', 'night markets', 'bars', 'evening shows', 'parking', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Nature/Scenery/Park,3 hours,3.7,"['Road trip', 'Elderly Travelers', 'Pet Owners', 'Nightlife Enthusiast', 'Solo Woman Travelers']",Japan
4,Sapporo,JR Tower Sky View Deck T38,"160-801 Nishi 1-chome, Sapporo",141.382437,43.045051,09:00-18:00,38.78,"JR Tower Sky View Deck T38 is a nature in Sapporo, Japan, popular for its natural scenery and relaxing atmosphere. Entry fee is 38.78 USD. Recommended visit: 3 hours. Discover JR Tower Sky View Deck T38, a peaceful nature in Sapporo, Japan, ideal for nature lovers. Open 09:00-18:00, entry 38.78 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking', 'wheelchair rental', 'benches/rest areas']",Nature/Scenery/Park,3 hours,3.7,"['Road trip', 'Elderly Travelers', 'Pet Owners', 'Fast-Paced Budget Travel', 'couples trip', 'foodie']",Japan
5,Sapporo,Ocean View Marine Park Sapporo,"513-8543 Sapporo City, Nishi 10-chome, Minami-ku",141.316922,43.091374,09:00-17:30,19.5,"Ocean View Marine Park Sapporo is a theme park in Sapporo, Japan, popular for its memorable experiences. Entry fee is 19.5 USD. Recommended visit: 7 hours. Discover Ocean View Marine Park Sapporo, a notable theme park in Sapporo, Japan, ideal for visitors. Open 09:00-17:30, entry 19.5 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'wheelchair rental', 'benches/rest areas']",Theme Park/Amusement Park,7 hours,3.75,"['Road trip', 'Elderly Travelers', 'Nightlife Enthusiast', 'Disabled Travelers', 'Fast-Paced Budget Travel', 'couples trip']",Japan
6,Sapporo,Sapporo Skyline Viewpoint,"289 Hanazono Street, Sapporo",141.435731,43.183238,09:00-18:00,32.21,"Sapporo Skyline Viewpoint is a nature in Sapporo, Japan, popular for its natural scenery and relaxing atmosphere. Entry fee is 32.21 USD. Recommended visit: 3 hours. Discover Sapporo Skyline Viewpoint, a peaceful nature in Sapporo, Japan, ideal for nature lovers. Open 09:00-18:00, entry 32.21 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'family restrooms', 'nursing facilities', 'parking', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Nature/Scenery/Park,3 hours,3.7,"['Family with children', 'Road trip', 'Elderly Travelers', 'Solo Woman Travelers', 'Luxury Travelers']",Japan
7,Sapporo,Mt. Usu Cable Car & Toyako Skyview,"499-388 Shirogane, Toyako, Sapporo",141.271417,43.058591,08:30-17:00,4.34,"Mt. Usu Cable Car & Toyako Skyview is a nature in Sapporo, Japan, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.34 USD. Recommended visit: 3 hours. Discover Mt. Usu Cable Car & Toyako Skyview, a peaceful nature in Sapporo, Japan, ideal for nature lovers. Open 08:30-17:00, entry 4.34 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'family restrooms', 'nursing facilities', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations']",Nature/Scenery/Park,3 hours,3.7,"['Family with children', 'Pet Owners', 'Disabled Travelers', 'Fast-Paced Budget Travel', 'Photography']",Japan
8,Sapporo,Hokkaido Noboribetsu Heritage Village,"809-1 Shirokane 1-chome, Sapporo",141.357278,43.002659,09:00-17:00,5.4,"Hokkaido Noboribetsu Heritage Village is a historic site in Sapporo, Japan, popular for its memorable experiences. Entry fee is 5.4 USD. Recommended visit: 2 hours. Discover Hokkaido Noboribetsu Heritage Village, a notable historic site in Sapporo, Japan, ideal for visitors. Open 09:00-17:00, entry 5.4 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Historic Site/Landmark,2 hours,3.5,"['Elderly Travelers', 'Disabled Travelers', 'couples trip', 'Luxury Travelers', 'foodie', 'Photography']",Japan
9,Sapporo,Sky Panorama JR Tower Observation Deck,"108-8901 Sapporo City, Nishi 12-chome, Ote-ku",141.296557,43.026057,09:30-17:00,1.63,"Sky Panorama JR Tower Observation Deck is a nature in Sapporo, Japan, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.63 USD. Recommended visit: 3 hours. Discover Sky Panorama JR Tower Observation Deck, a peaceful nature in Sapporo, Japan, ideal for nature lovers. Open 09:30-17:00, entry 1.63 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences']",Nature/Scenery/Park,3 hours,3.7,"['Pet Owners', 'Nightlife Enthusiast', 'Fast-Paced Budget Travel', 'couples trip', 'Solo Woman Travelers', 'Luxury Travelers']",Japan
10,Sapporo,Private Transfer to Sapporo City Attractions,"576 Sakura Street, Sapporo",141.248728,43.149366,08:00-17:00,5.3,"Private Transfer to Sapporo City Attractions is a historic site in Sapporo, Japan, popular for its memorable experiences. Entry fee is 5.3 USD. Recommended visit: 2 hours. Discover Private Transfer to Sapporo City Attractions, a notable historic site in Sapporo, Japan, ideal for visitors. Open 08:00-17:00, entry 5.3 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'night markets', 'bars', 'evening shows', 'family restrooms', 'nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking', 'high speed WiFi']",Historic Site/Landmark,2 hours,3.5,"['Family with children', 'Road trip', 'Nightlife Enthusiast', 'couples trip', 'Solo Woman Travelers']",Japan
