attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Bologna,Italy,Nature/Scenery/Park,Verde Bosco di Bologna,"Verde Bosco di Bologna is a nature in Bologna, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Verde Bosco di Bologna, a peaceful nature in Bologna, Italy, ideal for nature lovers. Open 08:00-20:00, entry 6.39 USD.",6.39,08:00-20:00,3 hours,3.7,"932 Seaside Promenade, Bologna",44.483506010374654,11.315433641584212,"['photography', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
2,Bologna,Italy,Nature/Scenery/Park,VerdeVelo Park Adventure,"VerdeVelo Park Adventure is a nature in Bologna, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.44 USD. Recommended visit: 3 hours. Discover VerdeVelo Park Adventure, a peaceful nature in Bologna, Italy, ideal for nature lovers. Open 08:30-17:30, entry 6.44 USD.",6.44,08:30-17:30,3 hours,3.7,"No. 456, Xingcheng Road, Bologna",44.52552111147708,11.308301225931569,"['foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
3,Bologna,Italy,Nature/Scenery/Park,Cascata dei Sogni,"Cascata dei Sogni is a nature in Bologna, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.3 USD. Recommended visit: 3 hours. Discover Cascata dei Sogni, a peaceful nature in Bologna, Italy, ideal for nature lovers. Open 09:00-18:00, entry 13.3 USD.",13.3,09:00-18:00,3 hours,3.7,"No. 88, Huanqiu Road, Bologna",44.525866175387655,11.371969514915246,"['fast-paced budget travel', 'foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
4,Bologna,Italy,Nature/Scenery/Park,Emilia Greenway,"Emilia Greenway is a nature in Bologna, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Emilia Greenway, a peaceful nature in Bologna, Italy, ideal for nature lovers. Open 09:30-17:00, entry 14.98 USD.",14.98,09:30-17:00,3 hours,3.7,"313 Seaside Promenade, Bologna",44.503152035637214,11.28248672193292,"['couples trip', 'foodie', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'Food markets', 'tasting tours', 'High speed WiFi']"
5,Bologna,Italy,Nature/Scenery/Park,Luminous River Walk,"Luminous River Walk is a nature in Bologna, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Luminous River Walk, a peaceful nature in Bologna, Italy, ideal for nature lovers. Open 19:00-23:00, entry 11.76 USD.",11.76,19:00-23:00,3 hours,3.7,"No. 456, Cultural Avenue, Bologna",44.464157420188485,11.360631231997523,"['nightlife enthusiast', 'photography', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events']"
6,Bologna,Italy,Nature/Scenery/Park,Cima Verde Reserva,"Cima Verde Reserva is a nature in Bologna, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.53 USD. Recommended visit: 3 hours. Discover Cima Verde Reserva, a peaceful nature in Bologna, Italy, ideal for nature lovers. Open 09:00-18:00, entry 12.53 USD.",12.53,09:00-18:00,3 hours,3.7,"708 Seongsan Road, Bologna",44.5004851161036,11.38151126082208,"['fast-paced budget travel', 'photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
7,Bologna,Italy,Nature/Scenery/Park,Verde Vista Eco Retreat,"Verde Vista Eco Retreat is a nature in Bologna, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.95 USD. Recommended visit: 3 hours. Discover Verde Vista Eco Retreat, a peaceful nature in Bologna, Italy, ideal for nature lovers. Open 08:30-17:30, entry 13.95 USD.",13.95,08:30-17:30,3 hours,3.7,"932 Sakura Street, Bologna",44.53643100816338,11.366740583482503,"['luxury travelers', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
8,Bologna,Italy,Nature/Scenery/Park,Bologna Green Pass + Emilia Ridge Cable Car + La Corte Garden,"Bologna Green Pass + Emilia Ridge Cable Car + La Corte Garden is a nature in Bologna, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Bologna Green Pass + Emilia Ridge Cable Car + La Corte Garden, a peaceful nature in Bologna, Italy, ideal for nature lovers. Open 08:30-17:00, entry 2059.2 USD.",2059.2,08:30-17:00,3 hours,3.7,"No. 456 Riverside Avenue, Bologna",44.447479599775015,11.353945497431257,"['fast-paced budget travel', 'photography', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours']"
9,Bologna,Italy,Nature/Scenery/Park,Verde Vista,"Verde Vista is a nature in Bologna, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 3.36 USD. Recommended visit: 3 hours. Discover Verde Vista, a peaceful nature in Bologna, Italy, ideal for nature lovers. Open 09:30-17:00, entry 3.36 USD.",3.36,09:30-17:00,3 hours,3.7,"817 Shimbashi Street, Bologna",44.50620037544465,11.27845407756023,"['nightlife enthusiast', 'solo women', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas']"
10,Bologna,Italy,Nature/Scenery/Park,VerdeVelo Adventure Garden,"VerdeVelo Adventure Garden is a nature in Bologna, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover VerdeVelo Adventure Garden, a peaceful nature in Bologna, Italy, ideal for nature lovers. Open 09:00-17:30, entry 17.5 USD.",17.5,09:00-17:30,3 hours,3.7,"No. 456, Lishan Road, Bologna",44.48788088510467,11.296506283334908,['solo women'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security']"
11,Bologna,Italy,Nature/Scenery/Park,Bologna Baywalk,"Bologna Baywalk is a nature in Bologna, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 20.74 USD. Recommended visit: 3 hours. Discover Bologna Baywalk, a peaceful nature in Bologna, Italy, ideal for nature lovers. Open 08:30-17:00, entry 20.74 USD.",20.74,08:30-17:00,3 hours,3.7,"945 Shinsaibashi Street, Chuo Ward, Bologna",44.51431712471653,11.32366036640044,"['fast-paced budget travel', 'road trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'parking', 'High speed WiFi']"
12,Bologna,Italy,Nature/Scenery/Park,Bologna Green Haven,"Bologna Green Haven is a nature in Bologna, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Bologna Green Haven, a peaceful nature in Bologna, Italy, ideal for nature lovers. Open 09:00-21:00, entry 7.57 USD.",7.57,09:00-21:00,3 hours,3.7,"483 Ocean View Road, Bologna",44.54020887679542,11.356313269141443,"['solo women', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
