attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Eindhoven,Netherlands,Nature/Scenery/Park,Greenhaven Eco Reserve,"Greenhaven Eco Reserve is a nature in Eindhoven, Netherlands, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Greenhaven Eco Reserve, a peaceful nature in Eindhoven, Netherlands, ideal for nature lovers. Open 09:00-17:30, entry 4.36 USD.",4.36,09:00-17:30,3 hours,3.7,"871 Seaside Avenue, Eindhoven",51.43472885644872,5.418608180824695,"['with children', 'photography', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events']"
2,Eindhoven,Netherlands,Nature/Scenery/Park,Verdant Loop EcoTrail,"Verdant Loop EcoTrail is a nature in Eindhoven, Netherlands, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Verdant Loop EcoTrail, a peaceful nature in Eindhoven, Netherlands, ideal for nature lovers. Open 08:30-17:00, entry 2.0 USD.",2.0,08:30-17:00,3 hours,3.7,"No. 456, Xingye Road, Eindhoven",51.43570609874764,5.439854503315032,"['couples trip', 'disabled traveler', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'private tours', 'skip the line passes', 'VIP exclusive events']"
3,Eindhoven,Netherlands,Nature/Scenery/Park,Verdant Haven,"Verdant Haven is a nature in Eindhoven, Netherlands, popular for its natural scenery and relaxing atmosphere. Entry fee is 15.4 USD. Recommended visit: 3 hours. Discover Verdant Haven, a peaceful nature in Eindhoven, Netherlands, ideal for nature lovers. Open 09:00-19:00, entry 15.4 USD.",15.4,09:00-19:00,3 hours,3.7,"No. 456 Seaside Road, Eindhoven",51.41751736329472,5.448156383005304,"['with children', 'with pets', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours']"
4,Eindhoven,Netherlands,Nature/Scenery/Park,Eindhoven Greenway Loop,"Eindhoven Greenway Loop is a nature in Eindhoven, Netherlands, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Eindhoven Greenway Loop, a peaceful nature in Eindhoven, Netherlands, ideal for nature lovers. Open 09:00-17:30, entry 6.39 USD.",6.39,09:00-17:30,3 hours,3.7,"824 Gukje-ro, Gwangjin-gu, Eindhoven",51.40842630190323,5.465796943732197,"['with children', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences']"
5,Eindhoven,Netherlands,Nature/Scenery/Park,Luminous River Journey,"Luminous River Journey is a nature in Eindhoven, Netherlands, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Luminous River Journey, a peaceful nature in Eindhoven, Netherlands, ideal for nature lovers. Open 08:00-20:00, entry 43.59 USD.",43.59,08:00-20:00,3 hours,3.7,"746 Chinatown Complex, Eindhoven",51.49385726564678,5.502822462560163,"['solo women', 'with pets', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'High speed WiFi']"
6,Eindhoven,Netherlands,Nature/Scenery/Park,Verdant Haven No.2,"Verdant Haven is a nature in Eindhoven, Netherlands, popular for its natural scenery and relaxing atmosphere. Entry fee is 26.32 USD. Recommended visit: 3 hours. Discover Verdant Haven, a peaceful nature in Eindhoven, Netherlands, ideal for nature lovers. Open 09:30-17:00, entry 26.32 USD.",26.32,09:30-17:00,3 hours,3.7,"488 Chalong Bay Road, Eindhoven",51.4782537767851,5.394949627333622,"['with pets', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas', 'parking']"
7,Eindhoven,Netherlands,Nature/Scenery/Park,Verdant Vista Escapes,"Verdant Vista Escapes is a nature in Eindhoven, Netherlands, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Verdant Vista Escapes, a peaceful nature in Eindhoven, Netherlands, ideal for nature lovers. Open 10:00-18:00, entry 5.6 USD.",5.6,10:00-18:00,3 hours,3.7,"710 Shinsaibashi Dori, Chuo Ward, Eindhoven",51.413282228788425,5.456584363037646,"['solo women', 'with pets', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas']"
8,Eindhoven,Netherlands,Nature/Scenery/Park,Eindhoven Greenway Express,"Eindhoven Greenway Express is a nature in Eindhoven, Netherlands, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.72 USD. Recommended visit: 3 hours. Discover Eindhoven Greenway Express, a peaceful nature in Eindhoven, Netherlands, ideal for nature lovers. Open 08:30-17:30, entry 6.72 USD.",6.72,08:30-17:30,3 hours,3.7,"580 Shibuya Crossing Digital Plaza, Shibuya, Eindhoven",51.47567119788164,5.393837778774111,"['fast-paced budget travel', 'solo women', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences']"
9,Eindhoven,Netherlands,Nature/Scenery/Park,Horizon Haven,"Horizon Haven is a nature in Eindhoven, Netherlands, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Horizon Haven, a peaceful nature in Eindhoven, Netherlands, ideal for nature lovers. Open 08:00-19:00, entry 17.5 USD.",17.5,08:00-19:00,3 hours,3.7,"125 Queen's Road Central, Eindhoven",51.47154826214352,5.499718350680862,"['foodie', 'couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
10,Eindhoven,Netherlands,Nature/Scenery/Park,Verdant Vortex Playground,"Verdant Vortex Playground is a nature in Eindhoven, Netherlands, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Verdant Vortex Playground, a peaceful nature in Eindhoven, Netherlands, ideal for nature lovers. Open 08:30-19:00, entry 24.24 USD.",24.24,08:30-19:00,3 hours,3.7,"604/2 Charoenkrung Road, Thonburi District, Eindhoven",51.477407506276776,5.504974357868731,"['couples trip', 'photography', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours']"
11,Eindhoven,Netherlands,Nature/Scenery/Park,Azure Tide Reflections Bay,"Azure Tide Reflections Bay is a nature in Eindhoven, Netherlands, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.35 USD. Recommended visit: 3 hours. Discover Azure Tide Reflections Bay, a peaceful nature in Eindhoven, Netherlands, ideal for nature lovers. Open 08:00-18:00, entry 7.35 USD.",7.35,08:00-18:00,3 hours,3.7,"938 Sumo Street, Nakamura Ward, Eindhoven",51.4681764469362,5.44454258610819,"['solo women', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Food markets', 'tasting tours', 'parking']"
12,Eindhoven,Netherlands,Nature/Scenery/Park,Veldscape Eco Haven,"Veldscape Eco Haven is a nature in Eindhoven, Netherlands, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Veldscape Eco Haven, a peaceful nature in Eindhoven, Netherlands, ideal for nature lovers. Open 09:00-18:00, entry 31.52 USD.",31.52,09:00-18:00,3 hours,3.7,"292 Seaside Promenade, Eindhoven",51.46513697325794,5.475909921828112,"['nightlife enthusiast', 'photography', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours']"
13,Eindhoven,Netherlands,Nature/Scenery/Park,Velvet Valley Thermal Haven,"Velvet Valley Thermal Haven is a nature in Eindhoven, Netherlands, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.44 USD. Recommended visit: 3 hours. Discover Velvet Valley Thermal Haven, a peaceful nature in Eindhoven, Netherlands, ideal for nature lovers. Open 09:30-17:00, entry 6.44 USD.",6.44,09:30-17:00,3 hours,3.7,"No. 456, Yuzhong District, Eindhoven",51.41170047936023,5.465713235934146,['luxury travelers'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events']"
14,Eindhoven,Netherlands,Nature/Scenery/Park,Luminous Grove Walk,"Luminous Grove Walk is a nature in Eindhoven, Netherlands, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Luminous Grove Walk, a peaceful nature in Eindhoven, Netherlands, ideal for nature lovers. Open 08:30-17:00, entry 10.5 USD.",10.5,08:30-17:00,3 hours,3.7,"156 Fantasy Avenue, Eindhoven",51.46034804438083,5.445398849289691,"['nightlife enthusiast', 'with children', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'parking']"
