attraction_id,city_name,attraction_name,address,longitude,latitude,open_hours,ticket_price,overview,facilities,type,duration_of_visit,rate_of_restaurant,facilities_group,country
1,Seoul,Lotte World Adventure Seoul,"294 Gwanghwamun-ro, Jongno-gu, Seoul",127.117638,37.500158,10:00-22:00,1654.66,"Lotte World Adventure Seoul is a theme park in Seoul, South Korea, popular for its memorable experiences. Entry fee is 1654.66 USD. Recommended visit: 8 hours. Discover Lotte World Adventure Seoul, a notable theme park in Seoul, South Korea, ideal for visitors. Open 10:00-22:00, entry 1654.66 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'parking', 'photo spots', 'guided photo tours', 'charging stations']",Theme Park/Amusement Park,8 hours,3.75,"['Road trip', 'Pet Owners', 'Fast-Paced Budget Travel', 'Solo Woman Travelers', 'Luxury Travelers', 'Photography']",South Korea
2,Seoul,Alive Ocean Experience Seoul,"637 Gwanghwamun Street, Seoul",127.007412,37.541629,10:00-21:00,12.52,"Alive Ocean Experience Seoul is a theme park in Seoul, South Korea, popular for its memorable experiences. Entry fee is 12.52 USD. Recommended visit: 6 hours. Discover Alive Ocean Experience Seoul, a notable theme park in Seoul, South Korea, ideal for visitors. Open 10:00-21:00, entry 12.52 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences', 'family restrooms', 'nursing facilities', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Theme Park/Amusement Park,6 hours,3.75,"['Family with children', 'Elderly Travelers', 'Nightlife Enthusiast', 'couples trip', 'Photography']",South Korea
3,Seoul,Seoul Skyline Observation Deck,"121 Gwanghwamun-ro, Jongno-gu, Seoul",126.979837,37.481538,10:00-22:00,5.02,"Seoul Skyline Observation Deck is a nature in Seoul, South Korea, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.02 USD. Recommended visit: 3 hours. Discover Seoul Skyline Observation Deck, a peaceful nature in Seoul, South Korea, ideal for nature lovers. Open 10:00-22:00, entry 5.02 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'family restrooms', 'nursing facilities', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'photo spots', 'guided photo tours', 'charging stations']",Nature/Scenery/Park,3 hours,3.7,"['Family with children', 'Pet Owners', 'Disabled Travelers', 'couples trip', 'Solo Woman Travelers', 'Photography']",South Korea
4,Seoul,Seoul Sky Viewing Deck,"557 Gwanghwamun Street, Jongno-gu",126.785217,37.436516,09:00-21:00,18.82,"Seoul Sky Viewing Deck is a nature in Seoul, South Korea, popular for its natural scenery and relaxing atmosphere. Entry fee is 18.82 USD. Recommended visit: 3 hours. Discover Seoul Sky Viewing Deck, a peaceful nature in Seoul, South Korea, ideal for nature lovers. Open 09:00-21:00, entry 18.82 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'night markets', 'bars', 'evening shows', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations']",Nature/Scenery/Park,3 hours,3.7,"['Nightlife Enthusiast', 'Disabled Travelers', 'Fast-Paced Budget Travel', 'Luxury Travelers', 'Photography']",South Korea
5,Seoul,N Seoul Tower Viewpoint,"706, Gwangjangno, Jongno-gu, Seoul",127.129173,37.587968,09:00-18:00,14.61,"N Seoul Tower Viewpoint is a nature in Seoul, South Korea, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.61 USD. Recommended visit: 3 hours. Discover N Seoul Tower Viewpoint, a peaceful nature in Seoul, South Korea, ideal for nature lovers. Open 09:00-18:00, entry 14.61 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'group tours', 'security', 'night markets', 'bars', 'evening shows', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi']",Nature/Scenery/Park,3 hours,3.7,"['Road trip', 'Pet Owners', 'Nightlife Enthusiast', 'Disabled Travelers', 'Solo Woman Travelers']",South Korea
6,Seoul,Gangnam Cultural Heritage Park,"718-100, Gwangjeong-ro, Guro-gu, Seoul",127.147844,37.690489,09:00-17:30,14.93,"Gangnam Cultural Heritage Park is a historic site in Seoul, South Korea, popular for its memorable experiences. Entry fee is 14.93 USD. Recommended visit: 2 hours. Discover Gangnam Cultural Heritage Park, a notable historic site in Seoul, South Korea, ideal for visitors. Open 09:00-17:30, entry 14.93 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'food markets', 'tasting tours', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Historic Site/Landmark,2 hours,3.5,"['Elderly Travelers', 'Fast-Paced Budget Travel', 'Luxury Travelers', 'foodie', 'Photography']",South Korea
7,Seoul,Ocean World Seoul Aquarium,"885-12, Gwanghwamun 2-ga, Jongno-gu, Seoul",126.863839,37.691256,10:00-21:00,13.29,"Ocean World Seoul Aquarium is a theme park in Seoul, South Korea, popular for its memorable experiences. Entry fee is 13.29 USD. Recommended visit: 7 hours. Discover Ocean World Seoul Aquarium, a notable theme park in Seoul, South Korea, ideal for visitors. Open 10:00-21:00, entry 13.29 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'food markets', 'tasting tours', 'night markets', 'bars', 'evening shows', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations']",Theme Park/Amusement Park,7 hours,3.75,"['Road trip', 'Nightlife Enthusiast', 'Disabled Travelers', 'foodie', 'Photography']",South Korea
8,Seoul,Haeundae Sky Capsule Park,"271 Gwangsimni-ro, Gwangsimni-gu, Seoul",126.846644,37.448996,09:00-19:00,12.51,"Haeundae Sky Capsule Park is a nature in Seoul, South Korea, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.51 USD. Recommended visit: 3 hours. Discover Haeundae Sky Capsule Park, a peaceful nature in Seoul, South Korea, ideal for nature lovers. Open 09:00-19:00, entry 12.51 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations']",Nature/Scenery/Park,3 hours,3.7,"['Road trip', 'Fast-Paced Budget Travel', 'couples trip', 'Luxury Travelers', 'Photography']",South Korea
9,Seoul,COEX AquaWorld,"289 Gwanghwamunno 1-ga, Jongno-gu, Seoul",127.062542,37.431554,10:00-22:00,45.83,"COEX AquaWorld is a theme park in Seoul, South Korea, popular for its memorable experiences. Entry fee is 45.83 USD. Recommended visit: 8 hours. Discover COEX AquaWorld, a notable theme park in Seoul, South Korea, ideal for visitors. Open 10:00-22:00, entry 45.83 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'scenic spots', 'sunset cruises', 'special couples experiences', 'family restrooms', 'nursing facilities', 'wheelchair rental', 'benches/rest areas']",Theme Park/Amusement Park,8 hours,3.75,"['Family with children', 'Elderly Travelers', 'Pet Owners', 'Fast-Paced Budget Travel', 'couples trip', 'Luxury Travelers']",South Korea
10,Seoul,Seoul Skyview - A New Attraction to Explore Seoul's Skyline,"134 Gwangjang Street, Jongno-gu, Seoul",126.938512,37.450839,10:00-22:00,263.36,"Seoul Skyview - A New Attraction to Explore Seoul's Skyline is a nature in Seoul, South Korea, popular for its natural scenery and relaxing atmosphere. Entry fee is 263.36 USD. Recommended visit: 3 hours. Discover Seoul Skyview - A New Attraction to Explore Seoul's Skyline, a peaceful nature in Seoul, South Korea, ideal for nature lovers. Open 10:00-22:00, entry 263.36 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'food markets', 'tasting tours', 'family restrooms', 'nursing facilities', 'parking', 'photo spots', 'guided photo tours', 'charging stations']",Nature/Scenery/Park,3 hours,3.7,"['Family with children', 'Road trip', 'Pet Owners', 'Luxury Travelers', 'foodie', 'Photography']",South Korea
