attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Nanning,China,Nature/Scenery/Park,Lushan Green Haven,"Lushan Green Haven is a nature in Nanning, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 294.64 USD. Recommended visit: 3 hours. Discover Lushan Green Haven, a peaceful nature in Nanning, China, ideal for nature lovers. Open 08:00-22:00, entry 294.64 USD.",294.64,08:00-22:00,3 hours,3.7,"390-890 Kitahama Street, Nanning",22.421278599178954,108.15009966591306,"['with children', 'photography', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']"
2,Nanning,China,Nature/Scenery/Park,Verdant Veil Trail,"Verdant Veil Trail is a nature in Nanning, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Verdant Veil Trail, a peaceful nature in Nanning, China, ideal for nature lovers. Open 09:30-17:00, entry 6.39 USD.",6.39,09:30-17:00,3 hours,3.7,"No. 123, Yuyuan Street, Nanning",23.40066491902408,108.44438700052058,"['with pets', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'parking']"
3,Nanning,China,Nature/Scenery/Park,Verdant Heights Sanctuary,"Verdant Heights Sanctuary is a nature in Nanning, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Verdant Heights Sanctuary, a peaceful nature in Nanning, China, ideal for nature lovers. Open 08:30-17:30, entry 17.5 USD.",17.5,08:30-17:30,3 hours,3.7,"954 Sentosa Gateway, Nanning",23.67201929429526,108.46240593392685,"['with children', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'High speed WiFi']"
4,Nanning,China,Nature/Scenery/Park,Lushan Riverside Sanctuary,"Lushan Riverside Sanctuary is a nature in Nanning, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Lushan Riverside Sanctuary, a peaceful nature in Nanning, China, ideal for nature lovers. Open 09:00-17:30, entry 4.36 USD.",4.36,09:00-17:30,3 hours,3.7,"709 Seaside Avenue, Nanning",23.16185119408154,107.4027399386982,"['solo women', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'parking']"
5,Nanning,China,Nature/Scenery/Park,Lushan Moonlit River Walk,"Lushan Moonlit River Walk is a nature in Nanning, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Lushan Moonlit River Walk, a peaceful nature in Nanning, China, ideal for nature lovers. Open 08:00-20:00, entry 24.24 USD.",24.24,08:00-20:00,3 hours,3.7,"No. 456, Xinghai Road, Nanning",23.08091838143931,108.38633329261155,"['solo women', 'luxury travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'private tours', 'skip the line passes', 'VIP exclusive events', 'High speed WiFi']"
6,Nanning,China,Nature/Scenery/Park,Verdant Hollow Sanctuary,"Verdant Hollow Sanctuary is a nature in Nanning, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 75.28 USD. Recommended visit: 3 hours. Discover Verdant Hollow Sanctuary, a peaceful nature in Nanning, China, ideal for nature lovers. Open 09:00-18:00, entry 75.28 USD.",75.28,09:00-18:00,3 hours,3.7,"No. 456 Cultural Plaza, Nanning",22.71924405660869,109.03927772681617,"['nightlife enthusiast', 'with children', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'parking']"
7,Nanning,China,Nature/Scenery/Park,Verdant Ridge Culinary Escape,"Verdant Ridge Culinary Escape is a nature in Nanning, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Verdant Ridge Culinary Escape, a peaceful nature in Nanning, China, ideal for nature lovers. Open 08:30-17:00, entry 11.76 USD.",11.76,08:30-17:00,3 hours,3.7,"927 Gwanghwamun-daero, Jongno-gu, Nanning",23.56718333577246,107.84417090496582,"['fast-paced budget travel', 'photography', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations', 'High speed WiFi']"
8,Nanning,China,Nature/Scenery/Park,Lingjiang Riverside Eco Adventure Pass,"Lingjiang Riverside Eco Adventure Pass is a nature in Nanning, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.95 USD. Recommended visit: 3 hours. Discover Lingjiang Riverside Eco Adventure Pass, a peaceful nature in Nanning, China, ideal for nature lovers. Open 10:00-18:00, entry 13.95 USD.",13.95,10:00-18:00,3 hours,3.7,"156 Nathan Road, Nanning",22.81407578004657,108.95021127124568,"['nightlife enthusiast', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
9,Nanning,China,Nature/Scenery/Park,Azure Horizon Grove,"Azure Horizon Grove is a nature in Nanning, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Azure Horizon Grove, a peaceful nature in Nanning, China, ideal for nature lovers. Open 09:00-21:00, entry 10.5 USD.",10.5,09:00-21:00,3 hours,3.7,"No. 456, Zhongshan Road, Beilin District, Nanning",22.400803070487463,108.39354607283624,"['with children', 'photography', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences']"
10,Nanning,China,Nature/Scenery/Park,Lushan EcoTrek,"Lushan EcoTrek is a nature in Nanning, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover Lushan EcoTrek, a peaceful nature in Nanning, China, ideal for nature lovers. Open 18:00-21:00, entry 5.15 USD.",5.15,18:00-21:00,3 hours,3.7,"894 Beach Road, Nanning",22.806124776093306,108.09030063855468,"['solo women', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
