attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Richmond,United States,Nature/Scenery/Park,Willowbrook Green Haven,"Willowbrook Green Haven is a nature in Richmond, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover Willowbrook Green Haven, a peaceful nature in Richmond, United States, ideal for nature lovers. Open 10:00-22:00, entry 12.93 USD.",12.93,10:00-22:00,3 hours,3.7,"456 Seogwipo Road, Richmond",37.50171957316409,-77.50824104457686,"['with pets', 'photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
2,Richmond,United States,Nature/Scenery/Park,Willowbrook Wildscape Trek,"Willowbrook Wildscape Trek is a nature in Richmond, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Willowbrook Wildscape Trek, a peaceful nature in Richmond, United States, ideal for nature lovers. Open 08:30-17:00, entry 7.57 USD.",7.57,08:30-17:00,3 hours,3.7,"195 Gwanghwamun Street, Jongno-gu, Richmond",37.59266310857553,-77.4757570865788,"['nightlife enthusiast', 'with pets', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
3,Richmond,United States,Nature/Scenery/Park,Cedar Hollow Sanctuary,"Cedar Hollow Sanctuary is a nature in Richmond, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover Cedar Hollow Sanctuary, a peaceful nature in Richmond, United States, ideal for nature lovers. Open 09:00-19:00, entry 37.95 USD.",37.95,09:00-19:00,3 hours,3.7,"384 Sukhumvit Road, Richmond",37.56160319414259,-77.48328452239124,"['with pets', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
4,Richmond,United States,Nature/Scenery/Park,Willow Creek Nature Loop,"Willow Creek Nature Loop is a nature in Richmond, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.72 USD. Recommended visit: 3 hours. Discover Willow Creek Nature Loop, a peaceful nature in Richmond, United States, ideal for nature lovers. Open 09:00-18:00, entry 6.72 USD.",6.72,09:00-18:00,3 hours,3.7,"453 Marine Road, Patong Beach, Richmond",37.49209808093237,-77.50464973114974,"['with pets', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations']"
5,Richmond,United States,Nature/Scenery/Park,Moonbeam Bay Excursion,"Moonbeam Bay Excursion is a nature in Richmond, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Moonbeam Bay Excursion, a peaceful nature in Richmond, United States, ideal for nature lovers. Open 18:00-21:00, entry 10.5 USD.",10.5,18:00-21:00,3 hours,3.7,"944 Gwangbok-ro, Saha-gu, Richmond",37.45905310815264,-77.43317560353738,"['fast-paced budget travel', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
6,Richmond,United States,Nature/Scenery/Park,Emerald Hollow Nature Reserve,"Emerald Hollow Nature Reserve is a nature in Richmond, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 26.32 USD. Recommended visit: 3 hours. Discover Emerald Hollow Nature Reserve, a peaceful nature in Richmond, United States, ideal for nature lovers. Open 09:00-21:00, entry 26.32 USD.",26.32,09:00-21:00,3 hours,3.7,"No. 456, Cultural Street, Richmond",37.52763517903252,-77.43369614506912,['with pets'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
7,Richmond,United States,Nature/Scenery/Park,Verdant Vista Culinary Trail,"Verdant Vista Culinary Trail is a nature in Richmond, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Verdant Vista Culinary Trail, a peaceful nature in Richmond, United States, ideal for nature lovers. Open 08:30-17:30, entry 22.61 USD.",22.61,08:30-17:30,3 hours,3.7,"No. 456, Innovation Avenue, Richmond",37.57433324488986,-77.47675534155793,"['foodie', 'couples trip', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas']"
8,Richmond,United States,Nature/Scenery/Park,Hilltop Express Adventure Pass,"Hilltop Express Adventure Pass is a nature in Richmond, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.53 USD. Recommended visit: 3 hours. Discover Hilltop Express Adventure Pass, a peaceful nature in Richmond, United States, ideal for nature lovers. Open 08:30-20:00, entry 12.53 USD.",12.53,08:30-20:00,3 hours,3.7,"596 Shiroiwa Street, Richmond",37.57484414944811,-77.43457574843895,"['nightlife enthusiast', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
9,Richmond,United States,Nature/Scenery/Park,Horizon Grove,"Horizon Grove is a nature in Richmond, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Horizon Grove, a peaceful nature in Richmond, United States, ideal for nature lovers. Open 09:30-17:00, entry 43.59 USD.",43.59,09:30-17:00,3 hours,3.7,"211 Pasir Ris Avenue, Richmond",37.534252702028326,-77.43842044965507,"['with pets', 'solo women', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations']"
10,Richmond,United States,Nature/Scenery/Park,Greenhaven Explorers' Grove,"Greenhaven Explorers' Grove is a nature in Richmond, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Greenhaven Explorers' Grove, a peaceful nature in Richmond, United States, ideal for nature lovers. Open 08:30-17:00, entry 2059.2 USD.",2059.2,08:30-17:00,3 hours,3.7,"311/19 Sukhumvit Road, Richmond",37.55449758423013,-77.53363432042893,"['nightlife enthusiast', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
