attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Durango,Mexico,Nature/Scenery/Park,Verde Valley Reserve,"Verde Valley Reserve is a nature in Durango, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.95 USD. Recommended visit: 3 hours. Discover Verde Valley Reserve, a peaceful nature in Durango, Mexico, ideal for nature lovers. Open 09:00-17:30, entry 13.95 USD.",13.95,09:00-17:30,3 hours,3.7,"784 Shinkawa Street, Durango",24.00527425109576,-104.59167756161423,"['solo women', 'couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
2,Durango,Mexico,Nature/Scenery/Park,Canyon Vista Wildland Trek,"Canyon Vista Wildland Trek is a nature in Durango, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.27 USD. Recommended visit: 3 hours. Discover Canyon Vista Wildland Trek, a peaceful nature in Durango, Mexico, ideal for nature lovers. Open 08:30-17:00, entry 33.27 USD.",33.27,08:30-17:00,3 hours,3.7,"637 Gwanghwamun Street, Durango",24.0511049729492,-104.55943225199148,"['fast-paced budget travel', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
3,Durango,Mexico,Nature/Scenery/Park,Canyon Vista Sanctuary,"Canyon Vista Sanctuary is a nature in Durango, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.44 USD. Recommended visit: 3 hours. Discover Canyon Vista Sanctuary, a peaceful nature in Durango, Mexico, ideal for nature lovers. Open 08:00-18:00, entry 6.44 USD.",6.44,08:00-18:00,3 hours,3.7,"752 Sakura Street, Nakamura-ku, Durango",24.03165899324402,-104.72295600996982,"['with children', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
4,Durango,Mexico,Nature/Scenery/Park,Canyon Skywalk Trail,"Canyon Skywalk Trail is a nature in Durango, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Canyon Skywalk Trail, a peaceful nature in Durango, Mexico, ideal for nature lovers. Open 08:30-17:30, entry 29.53 USD.",29.53,08:30-17:30,3 hours,3.7,"384 Gukje-ro, Haeundae-gu, Durango",24.08387153846652,-104.57846089184038,"['with children', 'fast-paced budget travel', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'parking']"
5,Durango,Mexico,Nature/Scenery/Park,Celestial Bay Gondola,"Celestial Bay Gondola is a nature in Durango, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Celestial Bay Gondola, a peaceful nature in Durango, Mexico, ideal for nature lovers. Open 09:00-17:30, entry 24.24 USD.",24.24,09:00-17:30,3 hours,3.7,"545-8567 Sapporo City, Nishi 1-chome, Durango",24.013844060400068,-104.71614971237096,"['nightlife enthusiast', 'with children', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'High speed WiFi']"
6,Durango,Mexico,Nature/Scenery/Park,Cerro del Sol Vista,"Cerro del Sol Vista is a nature in Durango, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Cerro del Sol Vista, a peaceful nature in Durango, Mexico, ideal for nature lovers. Open 09:00-17:00, entry 43.59 USD.",43.59,09:00-17:00,3 hours,3.7,"389/1 Rachadaphisek Road, Khlong Toei District, Durango",24.01467762638824,-104.63215446705884,"['solo women', 'foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
7,Durango,Mexico,Nature/Scenery/Park,Verdant Peak Eats & Escapes,"Verdant Peak Eats & Escapes is a nature in Durango, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Verdant Peak Eats & Escapes, a peaceful nature in Durango, Mexico, ideal for nature lovers. Open 18:00-21:00, entry 5.6 USD.",5.6,18:00-21:00,3 hours,3.7,"201 Seaside Promenade, Chuo-ku, Durango",24.079816284509512,-104.56812652433618,"['fast-paced budget travel', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences']"
8,Durango,Mexico,Nature/Scenery/Park,Cerro de las Águilas Skyline Express,"Cerro de las Águilas Skyline Express is a nature in Durango, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Cerro de las Águilas Skyline Express, a peaceful nature in Durango, Mexico, ideal for nature lovers. Open 08:30-19:00, entry 6.39 USD.",6.39,08:30-19:00,3 hours,3.7,"358 Shinsaibashi Dori, Chuo Ward, Durango",24.019147038373195,-104.68520861855733,"['with pets', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations']"
9,Durango,Mexico,Nature/Scenery/Park,Skyline Vista,"Skyline Vista is a nature in Durango, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Skyline Vista, a peaceful nature in Durango, Mexico, ideal for nature lovers. Open 09:00-17:00, entry 22.61 USD.",22.61,09:00-17:00,3 hours,3.7,"114-12-8 Shibuya, Shibuya City, Durango",23.97956315531684,-104.67014117351437,"['nightlife enthusiast', 'fast-paced budget travel', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
10,Durango,Mexico,Nature/Scenery/Park,Verdant Vortex Playgrounds,"Verdant Vortex Playgrounds is a nature in Durango, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Verdant Vortex Playgrounds, a peaceful nature in Durango, Mexico, ideal for nature lovers. Open 09:00-18:00, entry 8.12 USD.",8.12,09:00-18:00,3 hours,3.7,"292 Seogwipo Coastal Road, Durango",23.97040690891961,-104.6531872143347,"['nightlife enthusiast', 'foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
