attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Sainte-Marie,Réunion,Nature/Scenery/Park,Lagoon of Whispering Winds,"Lagoon of Whispering Winds is a nature in Sainte-Marie, Réunion, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Lagoon of Whispering Winds, a peaceful nature in Sainte-Marie, Réunion, ideal for nature lovers. Open 08:30-17:30, entry 2059.2 USD.",2059.2,08:30-17:30,3 hours,3.7,"315-12-8 Shibuya, Shibuya City, Sainte-Marie",-20.910352439460706,55.53426884141295,"['with pets', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
2,Sainte-Marie,Réunion,Nature/Scenery/Park,Verdant Vale Eco-Walk,"Verdant Vale Eco-Walk is a nature in Sainte-Marie, Réunion, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.87 USD. Recommended visit: 3 hours. Discover Verdant Vale Eco-Walk, a peaceful nature in Sainte-Marie, Réunion, ideal for nature lovers. Open 10:00-22:00, entry 4.87 USD.",4.87,10:00-22:00,3 hours,3.7,"303 Sakura Street, Naka Ward, Sainte-Marie",-20.989097645058475,55.54547975007633,"['solo women', 'photography', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours']"
3,Sainte-Marie,Réunion,Nature/Scenery/Park,Verdant Haven Sanctuary,"Verdant Haven Sanctuary is a nature in Sainte-Marie, Réunion, popular for its natural scenery and relaxing atmosphere. Entry fee is 20.74 USD. Recommended visit: 3 hours. Discover Verdant Haven Sanctuary, a peaceful nature in Sainte-Marie, Réunion, ideal for nature lovers. Open 09:00-17:30, entry 20.74 USD.",20.74,09:00-17:30,3 hours,3.7,"161 Nai Harn Beach Road, Sainte-Marie",-20.90175024263105,55.544384619992,"['nightlife enthusiast', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'wheelchair rental', 'benches/rest areas']"
4,Sainte-Marie,Réunion,Nature/Scenery/Park,Lagoon Pathway Discovery,"Lagoon Pathway Discovery is a nature in Sainte-Marie, Réunion, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.7 USD. Recommended visit: 3 hours. Discover Lagoon Pathway Discovery, a peaceful nature in Sainte-Marie, Réunion, ideal for nature lovers. Open 09:00-18:00, entry 7.7 USD.",7.7,09:00-18:00,3 hours,3.7,"No. 456, Xinghai Road, Sainte-Marie",-20.947549473691577,55.536547466707184,"['foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
5,Sainte-Marie,Réunion,Nature/Scenery/Park,Moonlit Bay Excursion,"Moonlit Bay Excursion is a nature in Sainte-Marie, Réunion, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Moonlit Bay Excursion, a peaceful nature in Sainte-Marie, Réunion, ideal for nature lovers. Open 09:00-18:00, entry 43.59 USD.",43.59,09:00-18:00,3 hours,3.7,"244 Seogwipo Street, Sainte-Marie",-20.99891820668605,55.52177548438996,"['nightlife enthusiast', 'luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
6,Sainte-Marie,Réunion,Nature/Scenery/Park,Verdant Peak Sanctuary,"Verdant Peak Sanctuary is a nature in Sainte-Marie, Réunion, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Verdant Peak Sanctuary, a peaceful nature in Sainte-Marie, Réunion, ideal for nature lovers. Open 08:30-17:00, entry 12.32 USD.",12.32,08:30-17:00,3 hours,3.7,"624 Thomson Road, Sainte-Marie",-20.89890306280515,55.52399031546823,"['fast-paced budget travel', 'couples trip', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas']"
7,Sainte-Marie,Réunion,Nature/Scenery/Park,Verdant Heights EcoTrek,"Verdant Heights EcoTrek is a nature in Sainte-Marie, Réunion, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Verdant Heights EcoTrek, a peaceful nature in Sainte-Marie, Réunion, ideal for nature lovers. Open 09:00-17:30, entry 22.61 USD.",22.61,09:00-17:30,3 hours,3.7,"786 Jurong West Street 61, Sainte-Marie",-20.99121848244002,55.53506076371939,"['with children', 'fast-paced budget travel', 'solo women']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security']"
8,Sainte-Marie,Réunion,Nature/Scenery/Park,Lac du Mont Azure Adventure Pass,"Lac du Mont Azure Adventure Pass is a nature in Sainte-Marie, Réunion, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Lac du Mont Azure Adventure Pass, a peaceful nature in Sainte-Marie, Réunion, ideal for nature lovers. Open 08:00-20:00, entry 1.4 USD.",1.4,08:00-20:00,3 hours,3.7,"195-87 Shinkocho, Sainte-Marie",-20.963070259293648,55.52467398594713,"['solo women', 'photography', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences']"
9,Sainte-Marie,Réunion,Nature/Scenery/Park,Azure Horizon Outlook,"Azure Horizon Outlook is a nature in Sainte-Marie, Réunion, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Azure Horizon Outlook, a peaceful nature in Sainte-Marie, Réunion, ideal for nature lovers. Open 08:30-17:00, entry 31.52 USD.",31.52,08:30-17:00,3 hours,3.7,"967 Shinjuku Digital Plaza, Shinjuku, Sainte-Marie",-20.89893294738552,55.572732234229605,"['nightlife enthusiast', 'foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
10,Sainte-Marie,Réunion,Nature/Scenery/Park,Verdant Quest Playground,"Verdant Quest Playground is a nature in Sainte-Marie, Réunion, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover Verdant Quest Playground, a peaceful nature in Sainte-Marie, Réunion, ideal for nature lovers. Open 09:00-17:30, entry 5.15 USD.",5.15,09:00-17:30,3 hours,3.7,"986 Beach Road, Sainte-Marie",-20.930009954119,55.5095904286768,"['with children', 'solo women', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'High speed WiFi']"
