attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Ciudad de México,Mexico,Nature/Scenery/Park,Valle de los Jardines Encantados,"Valle de los Jardines Encantados is a nature in Ciudad de México, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.4 USD. Recommended visit: 3 hours. Discover Valle de los Jardines Encantados, a peaceful nature in Ciudad de México, Mexico, ideal for nature lovers. Open 08:30-17:00, entry 14.4 USD.",14.4,08:30-17:00,3 hours,3.7,"859 Shinjuku Park, Shinjuku City, Ciudad de México",19.3552878080675,-99.08233213256122,"['fast-paced budget travel', 'with pets', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events']"
2,Ciudad de México,Mexico,Nature/Scenery/Park,Verde Vista EcoTrail,"Verde Vista EcoTrail is a nature in Ciudad de México, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Verde Vista EcoTrail, a peaceful nature in Ciudad de México, Mexico, ideal for nature lovers. Open 10:00-18:00, entry 10.5 USD.",10.5,10:00-18:00,3 hours,3.7,"292-8901 Shibuya, 4-12-3 Shibuya-dori, Ciudad de México",19.338528856387217,-99.1440136705313,"['solo women', 'photography', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
3,Ciudad de México,Mexico,Nature/Scenery/Park,Cerro del Sol Oasis,"Cerro del Sol Oasis is a nature in Ciudad de México, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 15.4 USD. Recommended visit: 3 hours. Discover Cerro del Sol Oasis, a peaceful nature in Ciudad de México, Mexico, ideal for nature lovers. Open 18:00-21:00, entry 15.4 USD.",15.4,18:00-21:00,3 hours,3.7,"705 Jurong East Avenue 6, Ciudad de México",19.350800891536306,-99.16211422711751,"['with children', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
4,Ciudad de México,Mexico,Nature/Scenery/Park,Lago de los Sueños Park,"Lago de los Sueños Park is a nature in Ciudad de México, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 20.74 USD. Recommended visit: 3 hours. Discover Lago de los Sueños Park, a peaceful nature in Ciudad de México, Mexico, ideal for nature lovers. Open 08:30-17:30, entry 20.74 USD.",20.74,08:30-17:30,3 hours,3.7,"554 Saphan Lom Road, Ciudad de México",19.554783600957183,-99.12724895402772,"['nightlife enthusiast', 'with children', 'fast-paced budget travel']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours']"
5,Ciudad de México,Mexico,Nature/Scenery/Park,Lunar Lagoon Lantern Voyage,"Lunar Lagoon Lantern Voyage is a nature in Ciudad de México, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Lunar Lagoon Lantern Voyage, a peaceful nature in Ciudad de México, Mexico, ideal for nature lovers. Open 09:30-17:00, entry 2.0 USD.",2.0,09:30-17:00,3 hours,3.7,"724-8-11 Nippori, Taito City, Ciudad de México",19.27164146790608,-99.14424118246332,"['fast-paced budget travel', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours']"
6,Ciudad de México,Mexico,Nature/Scenery/Park,Cerro de las Flores Park,"Cerro de las Flores Park is a nature in Ciudad de México, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 55.55 USD. Recommended visit: 3 hours. Discover Cerro de las Flores Park, a peaceful nature in Ciudad de México, Mexico, ideal for nature lovers. Open 19:00-23:00, entry 55.55 USD.",55.55,19:00-23:00,3 hours,3.7,"446 Marina Bay Sands, Ciudad de México",19.41141911966212,-99.21800642541172,"['road trip', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
7,Ciudad de México,Mexico,Nature/Scenery/Park,Verde Vista Eco Retreat,"Verde Vista Eco Retreat is a nature in Ciudad de México, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.27 USD. Recommended visit: 3 hours. Discover Verde Vista Eco Retreat, a peaceful nature in Ciudad de México, Mexico, ideal for nature lovers. Open 08:30-17:00, entry 33.27 USD.",33.27,08:30-17:00,3 hours,3.7,"361-10 Gwangjanggongwon-ro, Jongno-gu, Ciudad de México",19.317955746109668,-99.11475035443613,"['with pets', 'photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
8,Ciudad de México,Mexico,Nature/Scenery/Park,Altamira Skyway and Sierra de las Nubes Cable Car Pass,"Altamira Skyway and Sierra de las Nubes Cable Car Pass is a nature in Ciudad de México, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Altamira Skyway and Sierra de las Nubes Cable Car Pass, a peaceful nature in Ciudad de México, Mexico, ideal for nature lovers. Open 09:30-17:00, entry 2.8 USD.",2.8,09:30-17:00,3 hours,3.7,"315 Hanazono Street, Ciudad de México",19.289449558369288,-99.11596891447472,"['fast-paced budget travel', 'solo women', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'High speed WiFi']"
9,Ciudad de México,Mexico,Nature/Scenery/Park,Skyline Sanctuary,"Skyline Sanctuary is a nature in Ciudad de México, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover Skyline Sanctuary, a peaceful nature in Ciudad de México, Mexico, ideal for nature lovers. Open 09:00-17:30, entry 37.95 USD.",37.95,09:00-17:30,3 hours,3.7,"No. 456 Riverside Avenue, Ciudad de México",19.36633401124812,-99.18799399193384,"['fast-paced budget travel', 'with pets', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
10,Ciudad de México,Mexico,Nature/Scenery/Park,Verde Vortex Playgrounds,"Verde Vortex Playgrounds is a nature in Ciudad de México, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 26.32 USD. Recommended visit: 3 hours. Discover Verde Vortex Playgrounds, a peaceful nature in Ciudad de México, Mexico, ideal for nature lovers. Open 08:00-20:00, entry 26.32 USD.",26.32,08:00-20:00,3 hours,3.7,"632/18 Sukhumvit Road, Khlong Tan Nuea, Ciudad de México",19.37236798971979,-99.12226178209576,"['with pets', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
11,Ciudad de México,Mexico,Nature/Scenery/Park,Lago de las Flores Azules,"Lago de las Flores Azules is a nature in Ciudad de México, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Lago de las Flores Azules, a peaceful nature in Ciudad de México, Mexico, ideal for nature lovers. Open 09:00-17:30, entry 8.12 USD.",8.12,09:00-17:30,3 hours,3.7,"615 Shinjuku Park, Shinjuku City, Ciudad de México",19.43265029974185,-99.16892805954,"['photography', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
12,Ciudad de México,Mexico,Nature/Scenery/Park,Altar de las Flores,"Altar de las Flores is a nature in Ciudad de México, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 294.64 USD. Recommended visit: 3 hours. Discover Altar de las Flores, a peaceful nature in Ciudad de México, Mexico, ideal for nature lovers. Open 08:30-17:00, entry 294.64 USD.",294.64,08:30-17:00,3 hours,3.7,"No. 48, Yuyuan Road, Ciudad de México",19.31782562423044,-99.22845279557616,"['with children', 'solo women', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas']"
13,Ciudad de México,Mexico,Nature/Scenery/Park,Cerro de las Aguas Termales,"Cerro de las Aguas Termales is a nature in Ciudad de México, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.7 USD. Recommended visit: 3 hours. Discover Cerro de las Aguas Termales, a peaceful nature in Ciudad de México, Mexico, ideal for nature lovers. Open 09:30-17:00, entry 7.7 USD.",7.7,09:30-17:00,3 hours,3.7,"804 Mandai Lane, Ciudad de México",19.29284232532929,-99.14262160334005,"['foodie', 'couples trip', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas']"
14,Ciudad de México,Mexico,Nature/Scenery/Park,Lagoon of Whispering Stones,"Lagoon of Whispering Stones is a nature in Ciudad de México, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 19.18 USD. Recommended visit: 3 hours. Discover Lagoon of Whispering Stones, a peaceful nature in Ciudad de México, Mexico, ideal for nature lovers. Open 08:00-17:30, entry 19.18 USD.",19.18,08:00-17:30,3 hours,3.7,"762 Sakura Street, Nakamura Ward, Ciudad de México",19.359242087839714,-99.00945171557343,"['nightlife enthusiast', 'with pets', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas']"
15,Ciudad de México,Mexico,Nature/Scenery/Park,Tenebris Green Haven,"Tenebris Green Haven is a nature in Ciudad de México, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Tenebris Green Haven, a peaceful nature in Ciudad de México, Mexico, ideal for nature lovers. Open 08:30-18:00, entry 2059.2 USD.",2059.2,08:30-18:00,3 hours,3.7,"483 Ocean View Road, Ciudad de México",19.361873709440665,-99.14497913125568,"['business travelers', 'couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'High speed WiFi', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
16,Ciudad de México,Mexico,Nature/Scenery/Park,Skyline Oasis Express,"Skyline Oasis Express is a nature in Ciudad de México, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.65 USD. Recommended visit: 3 hours. Discover Skyline Oasis Express, a peaceful nature in Ciudad de México, Mexico, ideal for nature lovers. Open 09:00-18:00, entry 8.65 USD.",8.65,09:00-18:00,3 hours,3.7,"No. 888, Guangming Avenue, Haizhu District, Ciudad de México",19.46117857592316,-99.19849631432996,"['solo women', 'with pets', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events']"
17,Ciudad de México,Mexico,Nature/Scenery/Park,Verdant Hollow Sanctuary,"Verdant Hollow Sanctuary is a nature in Ciudad de México, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 3.36 USD. Recommended visit: 3 hours. Discover Verdant Hollow Sanctuary, a peaceful nature in Ciudad de México, Mexico, ideal for nature lovers. Open 08:30-17:30, entry 3.36 USD.",3.36,08:30-17:30,3 hours,3.7,"607-8745 Shibuya, Ciudad de México",19.330924301923616,-99.13286725522212,"['nightlife enthusiast', 'solo women', 'with pets']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
