attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Belfast,United Kingdom,Nature/Scenery/Park,Lough Neagh Nature Reserve,"Lough Neagh Nature Reserve is a nature in Belfast, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.65 USD. Recommended visit: 3 hours. Discover Lough Neagh Nature Reserve, a peaceful nature in Belfast, United Kingdom, ideal for nature lovers. Open 08:00-18:00, entry 8.65 USD.",8.65,08:00-18:00,3 hours,3.7,"690-8523 Sapporo City, Higashi 1-chome, Belfast",54.60579247859671,-5.8177911921239325,"['with children', 'couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
2,Belfast,United Kingdom,Nature/Scenery/Park,Greenwood Walks Discovery Trail,"Greenwood Walks Discovery Trail is a nature in Belfast, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Greenwood Walks Discovery Trail, a peaceful nature in Belfast, United Kingdom, ideal for nature lovers. Open 08:30-17:00, entry 29.53 USD.",29.53,08:30-17:00,3 hours,3.7,"899 Sakura Street, Naka-ku, Belfast",54.59631869706487,-5.872585429677478,"['foodie', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
3,Belfast,United Kingdom,Nature/Scenery/Park,Lough Neagh Sanctuary,"Lough Neagh Sanctuary is a nature in Belfast, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Lough Neagh Sanctuary, a peaceful nature in Belfast, United Kingdom, ideal for nature lovers. Open 08:30-20:00, entry 12.32 USD.",12.32,08:30-20:00,3 hours,3.7,"No. 128, Yanshan Road, Belfast",54.64252829983031,-5.987746407586295,"['fast-paced budget travel', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
4,Belfast,United Kingdom,Nature/Scenery/Park,Lough Neagh Shoreline Walk,"Lough Neagh Shoreline Walk is a nature in Belfast, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Lough Neagh Shoreline Walk, a peaceful nature in Belfast, United Kingdom, ideal for nature lovers. Open 08:30-17:00, entry 6.39 USD.",6.39,08:30-17:00,3 hours,3.7,"976 Sakura Street, Naka-ku, Belfast",54.58982371344212,-5.913063002520089,"['road trip', 'foodie', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking', 'Food markets', 'tasting tours', 'High speed WiFi']"
5,Belfast,United Kingdom,Nature/Scenery/Park,Moonlit Bay Voyage,"Moonlit Bay Voyage is a nature in Belfast, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 75.28 USD. Recommended visit: 3 hours. Discover Moonlit Bay Voyage, a peaceful nature in Belfast, United Kingdom, ideal for nature lovers. Open 10:00-22:00, entry 75.28 USD.",75.28,10:00-22:00,3 hours,3.7,"609 Sukhumvit Road, Belfast",54.567112851920754,-5.937707099602829,"['with children', 'foodie', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours', 'High speed WiFi']"
6,Belfast,United Kingdom,Nature/Scenery/Park,Cairnview Heights,"Cairnview Heights is a nature in Belfast, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Cairnview Heights, a peaceful nature in Belfast, United Kingdom, ideal for nature lovers. Open 08:30-17:00, entry 8.12 USD.",8.12,08:30-17:00,3 hours,3.7,"778 Gwanghwamun Street, Jongno-gu, Belfast",54.58647379356432,-5.862420237312813,"['solo women', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
7,Belfast,United Kingdom,Nature/Scenery/Park,Evergreen Heights Eco Retreat,"Evergreen Heights Eco Retreat is a nature in Belfast, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Evergreen Heights Eco Retreat, a peaceful nature in Belfast, United Kingdom, ideal for nature lovers. Open 08:00-19:00, entry 94.11 USD.",94.11,08:00-19:00,3 hours,3.7,"570 Shirokane Street, Belfast",54.57357758532371,-5.908998195763059,"['disabled traveler', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
8,Belfast,United Kingdom,Nature/Scenery/Park,Lough Neagh Loop Explorer Pass,"Lough Neagh Loop Explorer Pass is a nature in Belfast, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Lough Neagh Loop Explorer Pass, a peaceful nature in Belfast, United Kingdom, ideal for nature lovers. Open 09:00-18:00, entry 24.24 USD.",24.24,09:00-18:00,3 hours,3.7,"399 Jurong Hill, Belfast",54.64870998843861,-5.991712004597563,"['with children', 'solo women', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'Food markets', 'tasting tours']"
9,Belfast,United Kingdom,Nature/Scenery/Park,Horizon Grove,"Horizon Grove is a nature in Belfast, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Horizon Grove, a peaceful nature in Belfast, United Kingdom, ideal for nature lovers. Open 08:30-17:00, entry 22.61 USD.",22.61,08:30-17:00,3 hours,3.7,"No. 128, Tianhe Road, Tianhe District, Belfast",54.56470942035668,-5.998947451408012,"['with children', 'fast-paced budget travel', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours']"
10,Belfast,United Kingdom,Nature/Scenery/Park,Greenwave Explorers Hub,"Greenwave Explorers Hub is a nature in Belfast, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.4 USD. Recommended visit: 3 hours. Discover Greenwave Explorers Hub, a peaceful nature in Belfast, United Kingdom, ideal for nature lovers. Open 09:00-21:00, entry 14.4 USD.",14.4,09:00-21:00,3 hours,3.7,"No. 456, Ancient Road, Belfast",54.57808156652202,-5.983658569221382,"['nightlife enthusiast', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences']"
