attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,San Juan,Puerto Rico,Nature/Scenery/Park,Coral Cove Botanical Reserve,"Coral Cove Botanical Reserve is a nature in San Juan, Puerto Rico, popular for its natural scenery and relaxing atmosphere. Entry fee is 20.74 USD. Recommended visit: 3 hours. Discover Coral Cove Botanical Reserve, a peaceful nature in San Juan, Puerto Rico, ideal for nature lovers. Open 09:00-19:00, entry 20.74 USD.",20.74,09:00-19:00,3 hours,3.7,"No. 456, Cultural Avenue, Chaoyang District, San Juan",18.3663162516631,-66.08659071488925,"['business travelers', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'High speed WiFi', 'wheelchair rental', 'benches/rest areas', 'parking']"
2,San Juan,Puerto Rico,Nature/Scenery/Park,El Yunque Whisper Trail,"El Yunque Whisper Trail is a nature in San Juan, Puerto Rico, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover El Yunque Whisper Trail, a peaceful nature in San Juan, Puerto Rico, ideal for nature lovers. Open 09:00-18:00, entry 37.95 USD.",37.95,09:00-18:00,3 hours,3.7,"844 Shibuya Crossing Street, San Juan",18.314587891751653,-66.04493107241333,"['nightlife enthusiast', 'fast-paced budget travel', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations']"
3,San Juan,Puerto Rico,Nature/Scenery/Park,Cerro del Sol Sanctuary,"Cerro del Sol Sanctuary is a nature in San Juan, Puerto Rico, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.65 USD. Recommended visit: 3 hours. Discover Cerro del Sol Sanctuary, a peaceful nature in San Juan, Puerto Rico, ideal for nature lovers. Open 09:00-18:00, entry 8.65 USD.",8.65,09:00-18:00,3 hours,3.7,"958-8 Shinsaibashi, Chuo Ward, San Juan",18.39361447730114,-66.10049698074347,"['with children', 'fast-paced budget travel', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
4,San Juan,Puerto Rico,Nature/Scenery/Park,Caribbean Tide Walk,"Caribbean Tide Walk is a nature in San Juan, Puerto Rico, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Caribbean Tide Walk, a peaceful nature in San Juan, Puerto Rico, ideal for nature lovers. Open 08:30-17:00, entry 10.5 USD.",10.5,08:30-17:00,3 hours,3.7,"546 Suthep Road, San Juan",18.38778338354891,-66.08264076991762,"['solo women', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
5,San Juan,Puerto Rico,Nature/Scenery/Park,Luna Bay Sunset Sail,"Luna Bay Sunset Sail is a nature in San Juan, Puerto Rico, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Luna Bay Sunset Sail, a peaceful nature in San Juan, Puerto Rico, ideal for nature lovers. Open 08:30-17:30, entry 31.52 USD.",31.52,08:30-17:30,3 hours,3.7,"429-8901, 3-12-5 Shibuya, San Juan",18.368866228818813,-66.04366519784057,"['solo women', 'with pets', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas']"
6,San Juan,Puerto Rico,Nature/Scenery/Park,Cerro del Sol Vista,"Cerro del Sol Vista is a nature in San Juan, Puerto Rico, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Cerro del Sol Vista, a peaceful nature in San Juan, Puerto Rico, ideal for nature lovers. Open 09:00-17:30, entry 12.32 USD.",12.32,09:00-17:30,3 hours,3.7,"No. 456, Riverside Avenue, Yuzhong District, San Juan",18.41223314892406,-66.09774406644135,"['nightlife enthusiast', 'with children', 'solo women']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'group tours', 'security']"
7,San Juan,Puerto Rico,Nature/Scenery/Park,Coral Ridge Culinary Trail,"Coral Ridge Culinary Trail is a nature in San Juan, Puerto Rico, popular for its natural scenery and relaxing atmosphere. Entry fee is 15.4 USD. Recommended visit: 3 hours. Discover Coral Ridge Culinary Trail, a peaceful nature in San Juan, Puerto Rico, ideal for nature lovers. Open 08:30-18:00, entry 15.4 USD.",15.4,08:30-18:00,3 hours,3.7,"No. 456, Snow Valley Road, San Juan",18.428127161386698,-66.09981032958491,"['fast-paced budget travel', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours', 'parking']"
8,San Juan,Puerto Rico,Nature/Scenery/Park,Cerro de la Cruz Adventure Pass,"Cerro de la Cruz Adventure Pass is a nature in San Juan, Puerto Rico, popular for its natural scenery and relaxing atmosphere. Entry fee is 3.36 USD. Recommended visit: 3 hours. Discover Cerro de la Cruz Adventure Pass, a peaceful nature in San Juan, Puerto Rico, ideal for nature lovers. Open 09:00-17:30, entry 3.36 USD.",3.36,09:00-17:30,3 hours,3.7,"No. 456, Green Valley Road, San Juan",18.45378683903425,-66.08376565841229,"['with children', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
9,San Juan,Puerto Rico,Nature/Scenery/Park,Azure Vista Grove,"Azure Vista Grove is a nature in San Juan, Puerto Rico, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Azure Vista Grove, a peaceful nature in San Juan, Puerto Rico, ideal for nature lovers. Open 08:00-18:00, entry 24.24 USD.",24.24,08:00-18:00,3 hours,3.7,"No. 456, Xiamen Bay Road, San Juan",18.403919415590124,-66.06952539108445,"['solo women', 'with pets', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events']"
10,San Juan,Puerto Rico,Nature/Scenery/Park,Coral Cove Discovery Park,"Coral Cove Discovery Park is a nature in San Juan, Puerto Rico, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.72 USD. Recommended visit: 3 hours. Discover Coral Cove Discovery Park, a peaceful nature in San Juan, Puerto Rico, ideal for nature lovers. Open 09:00-17:30, entry 6.72 USD.",6.72,09:00-17:30,3 hours,3.7,"862-876 Nishi 1-chome, San Juan",18.348380479092448,-66.0795899213683,"['road trip', 'solo women', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking', 'group tours', 'security', 'High speed WiFi']"
