attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Christchurch,New Zealand,Nature/Scenery/Park,Kaiapoi Valley Reserve,"Kaiapoi Valley Reserve is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Kaiapoi Valley Reserve, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 08:30-17:30, entry 12.32 USD.",12.32,08:30-17:30,3 hours,3.7,"595 Sukhumvit Road, Khlong Toei District, Christchurch",-43.48944538356421,172.6551334982809,"['solo women', 'photography', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events']"
2,Christchurch,New Zealand,Nature/Scenery/Park,Green Valley Wildscape Walk,"Green Valley Wildscape Walk is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Green Valley Wildscape Walk, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 10:00-22:00, entry 11.05 USD.",11.05,10:00-22:00,3 hours,3.7,"483 Ocean View Road, Christchurch",-43.55681155638001,172.52378627158896,"['nightlife enthusiast', 'fast-paced budget travel', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences']"
3,Christchurch,New Zealand,Nature/Scenery/Park,Havenside Sanctuary,"Havenside Sanctuary is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 9.8 USD. Recommended visit: 3 hours. Discover Havenside Sanctuary, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 08:30-17:00, entry 9.8 USD.",9.8,08:30-17:00,3 hours,3.7,"297 Jurong East Street 21, Christchurch",-43.48702178411341,172.6646166444781,"['solo women', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas', 'parking']"
4,Christchurch,New Zealand,Nature/Scenery/Park,Lagoon Bay Nature Trail,"Lagoon Bay Nature Trail is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Lagoon Bay Nature Trail, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 08:30-17:00, entry 4.36 USD.",4.36,08:30-17:00,3 hours,3.7,"384 Shimbashi Street, Shibuya Ward, Christchurch",-43.612463010698576,172.58207146059002,"['fast-paced budget travel', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
5,Christchurch,New Zealand,Nature/Scenery/Park,Lunar Bay Evening Voyage,"Lunar Bay Evening Voyage is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Lunar Bay Evening Voyage, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 08:30-17:00, entry 11.76 USD.",11.76,08:30-17:00,3 hours,3.7,"957 Clarke Quay, Christchurch",-43.463853314685686,172.5090261119236,"['with pets', 'couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
6,Christchurch,New Zealand,Nature/Scenery/Park,Larkspur Valley Reserve,"Larkspur Valley Reserve is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.7 USD. Recommended visit: 3 hours. Discover Larkspur Valley Reserve, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 08:30-17:00, entry 7.7 USD.",7.7,08:30-17:00,3 hours,3.7,"No. 48, Taiping Road, Christchurch",-43.47736908848524,172.4636253690871,"['photography', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
7,Christchurch,New Zealand,Nature/Scenery/Park,Verdant Ridge Eco Haven,"Verdant Ridge Eco Haven is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Verdant Ridge Eco Haven, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 09:30-17:00, entry 6.39 USD.",6.39,09:30-17:00,3 hours,3.7,"680 Shinkawa Street, Naka Ward, Christchurch",-43.58622239097444,172.56682866780153,"['solo women', 'photography', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
8,Christchurch,New Zealand,Nature/Scenery/Park,Kaituna Valley Scenic Loop,"Kaituna Valley Scenic Loop is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.53 USD. Recommended visit: 3 hours. Discover Kaituna Valley Scenic Loop, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 08:30-18:00, entry 12.53 USD.",12.53,08:30-18:00,3 hours,3.7,"839 Shinkawa Street, Naka Ward, Christchurch",-43.47185384701921,172.52863941756684,"['with children', 'fast-paced budget travel', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'wheelchair rental', 'benches/rest areas']"
9,Christchurch,New Zealand,Nature/Scenery/Park,Bayline Vista,"Bayline Vista is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Bayline Vista, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 08:00-20:00, entry 14.98 USD.",14.98,08:00-20:00,3 hours,3.7,"No. 456, Xuhui Park Road, Christchurch",-43.4709099916939,172.42064997012562,"['foodie', 'with pets', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events']"
10,Christchurch,New Zealand,Nature/Scenery/Park,Greenhaven Explorers' Hub,"Greenhaven Explorers' Hub is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 3.36 USD. Recommended visit: 3 hours. Discover Greenhaven Explorers' Hub, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 09:00-17:00, entry 3.36 USD.",3.36,09:00-17:00,3 hours,3.7,"364 Kita-Ku Waterfront Promenade, Christchurch",-43.54031470528791,172.45920732223468,"['solo women', 'luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
11,Christchurch,New Zealand,Nature/Scenery/Park,Lunar Bay Coastal Delights,"Lunar Bay Coastal Delights is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 20.74 USD. Recommended visit: 3 hours. Discover Lunar Bay Coastal Delights, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 08:30-17:00, entry 20.74 USD.",20.74,08:30-17:00,3 hours,3.7,"415 Nishi 1-chome, Christchurch",-43.52509614291262,172.47542267956996,"['foodie', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
12,Christchurch,New Zealand,Nature/Scenery/Park,Kaiapoi Wildscape Reserve,"Kaiapoi Wildscape Reserve is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 75.28 USD. Recommended visit: 3 hours. Discover Kaiapoi Wildscape Reserve, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 09:00-19:00, entry 75.28 USD.",75.28,09:00-19:00,3 hours,3.7,"730 Shibuya Crossing Street, Christchurch",-43.59083682762815,172.70624701342385,"['fast-paced budget travel', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
13,Christchurch,New Zealand,Nature/Scenery/Park,Kauri Valley Thermal Sanctuary,"Kauri Valley Thermal Sanctuary is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover Kauri Valley Thermal Sanctuary, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 08:30-17:30, entry 5.15 USD.",5.15,08:30-17:30,3 hours,3.7,"No. 456 Riverside Lane, Christchurch",-43.46594265188144,172.47421026755356,"['fast-paced budget travel', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
14,Christchurch,New Zealand,Nature/Scenery/Park,Verdant Gaze Bridge,"Verdant Gaze Bridge is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Verdant Gaze Bridge, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 09:00-18:00, entry 2.0 USD.",2.0,09:00-18:00,3 hours,3.7,"870 Garden Road, Christchurch",-43.54074962493063,172.58279954895588,"['luxury travelers', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
15,Christchurch,New Zealand,Nature/Scenery/Park,Kaiwharawhara Green Haven,"Kaiwharawhara Green Haven is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Kaiwharawhara Green Haven, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 09:30-17:00, entry 43.59 USD.",43.59,09:30-17:00,3 hours,3.7,"191 Hibikino Street, Christchurch",-43.53137602714448,172.58130563845685,"['with pets', 'luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
16,Christchurch,New Zealand,Nature/Scenery/Park,Skyline Coastal Carousel,"Skyline Coastal Carousel is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.95 USD. Recommended visit: 3 hours. Discover Skyline Coastal Carousel, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 09:00-17:30, entry 13.95 USD.",13.95,09:00-17:30,3 hours,3.7,"383 Shinsaibashi Dori, Chuo Ward, Christchurch",-43.46872368471288,172.47676221347055,"['couples trip', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
17,Christchurch,New Zealand,Nature/Scenery/Park,Larkspur Wildland Sanctuary,"Larkspur Wildland Sanctuary is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 26.32 USD. Recommended visit: 3 hours. Discover Larkspur Wildland Sanctuary, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 08:30-19:00, entry 26.32 USD.",26.32,08:30-19:00,3 hours,3.7,"No. 456, Cultural Park Road, Christchurch",-43.48704910137202,172.4812582036317,"['nightlife enthusiast', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
18,Christchurch,New Zealand,Nature/Scenery/Park,Kākāriki Green Sanctuary,"Kākāriki Green Sanctuary is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Kākāriki Green Sanctuary, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 08:00-20:00, entry 7.57 USD.",7.57,08:00-20:00,3 hours,3.7,"139-345 Shinko-cho, Christchurch",-43.63694001063425,172.5982859710717,"['couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
19,Christchurch,New Zealand,Nature/Scenery/Park,Kaiwharawhara Valley Walk & River Rail Experience,"Kaiwharawhara Valley Walk & River Rail Experience is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Kaiwharawhara Valley Walk & River Rail Experience, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 10:00-18:00, entry 31.52 USD.",31.52,10:00-18:00,3 hours,3.7,"779 Siam Road, Christchurch",-43.47005958944597,172.6658719141072,"['with children', 'photography', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
20,Christchurch,New Zealand,Nature/Scenery/Park,Azure Cove,"Azure Cove is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Azure Cove, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 09:00-17:30, entry 94.11 USD.",94.11,09:00-17:30,3 hours,3.7,"741 Sakura Street, Chuo Ward, Christchurch",-43.60738686861053,172.5990597138298,"['photography', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
21,Christchurch,New Zealand,Nature/Scenery/Park,Verdant Sentinel Ridge,"Verdant Sentinel Ridge is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Verdant Sentinel Ridge, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 08:30-17:30, entry 17.5 USD.",17.5,08:30-17:30,3 hours,3.7,"551 Shinkawa Street, Naka-ku, Christchurch",-43.58965429492518,172.61952822029642,['road trip'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking']"
22,Christchurch,New Zealand,Nature/Scenery/Park,Seaward Bay Coastal Hub,"Seaward Bay Coastal Hub is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Seaward Bay Coastal Hub, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 08:30-17:30, entry 2.8 USD.",2.8,08:30-17:30,3 hours,3.7,"256 Harbour Road, Christchurch",-43.465040766290365,172.434477649963,"['solo women', 'couples trip', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas']"
23,Christchurch,New Zealand,Nature/Scenery/Park,Whale's Breath Trail,"Whale's Breath Trail is a nature in Christchurch, New Zealand, popular for its natural scenery and relaxing atmosphere. Entry fee is 0.0 USD. Recommended visit: 3 hours. Discover Whale's Breath Trail, a peaceful nature in Christchurch, New Zealand, ideal for nature lovers. Open 09:00-21:00, entry 0.0 USD.",0.0,09:00-21:00,3 hours,3.7,"244 Shinsaibashi Dori, Chuo Ward, Christchurch",-43.588876412944856,172.79714317675106,"['with children', 'with pets', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations']"
