attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Gibraltar,Gibraltar,Nature/Scenery/Park,Rockside Reserve,"Rockside Reserve is a nature in Gibraltar, Gibraltar, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.3 USD. Recommended visit: 3 hours. Discover Rockside Reserve, a peaceful nature in Gibraltar, Gibraltar, ideal for nature lovers. Open 08:30-17:00, entry 13.3 USD.",13.3,08:30-17:00,3 hours,3.7,"961 Sakura Street, Nishi Ward, Gibraltar",36.14939070387893,-5.340221485425054,"['business travelers', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'High speed WiFi', 'wheelchair rental', 'benches/rest areas', 'parking']"
2,Gibraltar,Gibraltar,Nature/Scenery/Park,Rockside Wildscape Trek,"Rockside Wildscape Trek is a nature in Gibraltar, Gibraltar, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Rockside Wildscape Trek, a peaceful nature in Gibraltar, Gibraltar, ideal for nature lovers. Open 08:30-20:00, entry 2.0 USD.",2.0,08:30-20:00,3 hours,3.7,"325-8601, 2-15-11 Nishi-Shinjuku, Shinjuku City, Gibraltar",36.12768730969224,-5.3439659750239725,"['fast-paced budget travel', 'couples trip', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas']"
3,Gibraltar,Gibraltar,Nature/Scenery/Park,Skyward Haven Grove,"Skyward Haven Grove is a nature in Gibraltar, Gibraltar, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.35 USD. Recommended visit: 3 hours. Discover Skyward Haven Grove, a peaceful nature in Gibraltar, Gibraltar, ideal for nature lovers. Open 09:00-19:00, entry 7.35 USD.",7.35,09:00-19:00,3 hours,3.7,"No. 588, Longhua District Road, Longhua New District, Gibraltar",36.14968876098431,-5.341662244928118,"['nightlife enthusiast', 'with children', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
4,Gibraltar,Gibraltar,Nature/Scenery/Park,Rocky Shorewalk Trail,"Rocky Shorewalk Trail is a nature in Gibraltar, Gibraltar, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover Rocky Shorewalk Trail, a peaceful nature in Gibraltar, Gibraltar, ideal for nature lovers. Open 10:00-18:00, entry 116.65 USD.",116.65,10:00-18:00,3 hours,3.7,"272 Beach Road, Gibraltar",36.13152149504227,-5.345510031469614,"['with children', 'fast-paced budget travel', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'parking']"
5,Gibraltar,Gibraltar,Nature/Scenery/Park,Azure Bay Twilight Tour,"Azure Bay Twilight Tour is a nature in Gibraltar, Gibraltar, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover Azure Bay Twilight Tour, a peaceful nature in Gibraltar, Gibraltar, ideal for nature lovers. Open 08:00-22:00, entry 5.15 USD.",5.15,08:00-22:00,3 hours,3.7,"961 Seogwipo Street, Gibraltar",36.14521685544571,-5.346405912655007,"['nightlife enthusiast', 'disabled traveler', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'wheelchair rental', 'benches/rest areas']"
6,Gibraltar,Gibraltar,Nature/Scenery/Park,Skyward Cliffs Reserve,"Skyward Cliffs Reserve is a nature in Gibraltar, Gibraltar, popular for its natural scenery and relaxing atmosphere. Entry fee is 26.32 USD. Recommended visit: 3 hours. Discover Skyward Cliffs Reserve, a peaceful nature in Gibraltar, Gibraltar, ideal for nature lovers. Open 08:00-17:30, entry 26.32 USD.",26.32,08:00-17:30,3 hours,3.7,"No. 123 Xizhimen Wai Street, Gibraltar",36.12614664969453,-5.347316687984772,"['solo women', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
7,Gibraltar,Gibraltar,Nature/Scenery/Park,Skyward Vista Culinary Garden,"Skyward Vista Culinary Garden is a nature in Gibraltar, Gibraltar, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Skyward Vista Culinary Garden, a peaceful nature in Gibraltar, Gibraltar, ideal for nature lovers. Open 09:00-21:00, entry 8.12 USD.",8.12,09:00-21:00,3 hours,3.7,"712 Seaside Promenade, Gibraltar",36.13442570337092,-5.3477182627638,"['nightlife enthusiast', 'couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
8,Gibraltar,Gibraltar,Nature/Scenery/Park,Rockside Explorer Pass + Summit Sky Lift + Cliffside Views,"Rockside Explorer Pass + Summit Sky Lift + Cliffside Views is a nature in Gibraltar, Gibraltar, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.27 USD. Recommended visit: 3 hours. Discover Rockside Explorer Pass + Summit Sky Lift + Cliffside Views, a peaceful nature in Gibraltar, Gibraltar, ideal for nature lovers. Open 08:30-17:00, entry 33.27 USD.",33.27,08:30-17:00,3 hours,3.7,"363 Sukhumvit Road, Gibraltar",36.13967022201205,-5.349553875662931,"['elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
9,Gibraltar,Gibraltar,Nature/Scenery/Park,Skyline Outlook,"Skyline Outlook is a nature in Gibraltar, Gibraltar, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Skyline Outlook, a peaceful nature in Gibraltar, Gibraltar, ideal for nature lovers. Open 09:00-18:00, entry 22.61 USD.",22.61,09:00-18:00,3 hours,3.7,"423 Chalong Road, Gibraltar",36.12366927283994,-5.342785388961289,"['solo women', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
10,Gibraltar,Gibraltar,Nature/Scenery/Park,Rockside Explorers Hub,"Rockside Explorers Hub is a nature in Gibraltar, Gibraltar, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Rockside Explorers Hub, a peaceful nature in Gibraltar, Gibraltar, ideal for nature lovers. Open 08:00-20:00, entry 31.52 USD.",31.52,08:00-20:00,3 hours,3.7,"505 Nishi-Nakamichi, Chuo Ward, Gibraltar",36.14090867667659,-5.338527518682579,"['with children', 'solo women', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas']"
11,Gibraltar,Gibraltar,Nature/Scenery/Park,Rockside Coastal Garden,"Rockside Coastal Garden is a nature in Gibraltar, Gibraltar, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.4 USD. Recommended visit: 3 hours. Discover Rockside Coastal Garden, a peaceful nature in Gibraltar, Gibraltar, ideal for nature lovers. Open 08:30-17:00, entry 14.4 USD.",14.4,08:30-17:00,3 hours,3.7,"322 Sukhumvit Road, Khlong Toei District, Gibraltar",36.137619112618005,-5.34388892205724,"['couples trip', 'foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
12,Gibraltar,Gibraltar,Nature/Scenery/Park,Rockside Wildscape,"Rockside Wildscape is a nature in Gibraltar, Gibraltar, popular for its natural scenery and relaxing atmosphere. Entry fee is 75.28 USD. Recommended visit: 3 hours. Discover Rockside Wildscape, a peaceful nature in Gibraltar, Gibraltar, ideal for nature lovers. Open 08:00-19:00, entry 75.28 USD.",75.28,08:00-19:00,3 hours,3.7,"519 Shirokane-dai, Shibuya City, Gibraltar",36.14955990141336,-5.34303026224692,"['nightlife enthusiast', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours']"
