id,name,hotelname_en,featurehoteltype,lat,lon,price,numbed
0,南京南站逸扉酒店,UrCove by HYATT Nanjing South Railway Station,健身室,31.965803,118.801942,379,2
1,南京玄武饭店,Lakeview Xuanwu Hotel,桑拿,32.070791,118.783697,556,1
2,南京城市名人酒店,Celebrity City Hotel Nanjing,湖景房,32.062756,118.780628,431,1
3,南京维景国际大酒店,Grand Metropark Hotel Nanjing,泳池,32.040158,118.823291,467,1
4,南京高淳域见芳草地度假酒店,Wonderland  Resort Nan Jing,湖景房,31.350625,119.051378,541,1
5,美仑国际酒店(南京禄口机场店),Meilun International Hotel (Nanjing Lukou Airport),免费停车,31.733677,118.957325,361,1
6,南京古南都饭店,Nanjing Grand Hotel,泳池,32.051632,118.773456,527,1
7,南京固城湾开元名都度假酒店,Grand New Century Resort Gaochun Nanjing,泳池,31.317174,118.874748,552,1
8,南京开元大酒店,Dingye New Century Hotel Nanjing,泳池,32.060854,118.631036,378,2
9,南京汤山涵田·悦酒店,Nanjing Tangshan Hentique Spring Valley Hotel,SPA,32.046005,119.058134,499,1
10,康铂酒店(南京江宁河海大学地铁站店),Kangyi Hotel (Nanjing Jiangning Hehai University Subway Station),免费停车,31.898445,118.790809,306,1
11,南京仁恒柏薇酒店公寓,ParcVue Hotel Residence Nanjing,桑拿,32.028983,118.70421,552,2
12,南京富力万达嘉华酒店,Wanda Realm Nanjing,泳池,31.951971,118.845033,600,1
13,南京钟山宾馆(江苏省会议中心),Nanjing Zhongshan Hotel (Jiangsu Conference Center),泳池,32.040498,118.811714,369,2
14,南京苏宁环球套房饭店,Suning Universal Hotel,泳池,32.051134,118.774939,480,1
15,南京奥体博览中心优逸酒店,Youyi Hotel Nanjing Olympic Sports Expo Center,管家服务,31.983114,118.731653,537,1
16,南京瑞斯丽酒店,Swisstouches Hotel Nanjing,泳池,32.040405,118.642822,452,1
17,南京世茂滨江希尔顿酒店,Hilton Nanjing Riverside,泳池,32.077225,118.733025,595,1
18,南京隽恒酒店,Junheng Hotel,管家服务,32.054475,118.76297,380,1
19,美豪丽致酒店(南京南站明发广场地铁站店),Meihao Lizhi Hotel (Nanjing South Railway Station Mingfa Plaza Subway Station Store),管家服务,31.97784,118.799202,466,2
20,南京金陵状元楼大酒店,Jinling Mandarin Garden Hotel Nanjing,泳池,32.022119,118.788124,487,1
21,南京明发珍珠泉大酒店,Mingfa Pearl Spring Hotel,湖景房,32.11979,118.660805,387,2
22,南京空港温德姆花园酒店,Wyndham Garden Nanjing AIrport,泳池,31.788368,118.831132,499,1
23,南京水游城假日酒店,Holiday Inn Nanjing Aqua City,亲子主题房,32.024224,118.786014,518,1
24,南京怡华酒店,Yihua Hotel,泳池,32.062356,118.779652,378,2
25,南京北站文景酒店(星火路地铁站),Nanjing North Railway Station Wenjing Hotel,山景房,32.162325,118.689949,439,1
26,南京苏宁索菲特银河大酒店,Sofitel Nanjing Galaxy  Suning,泳池,32.067433,118.772321,512,1
27,李在凤粮仓酒店,Ruyi Xiangye Hot Spring Hotel,泳池,31.657284,118.962549,399,1
28,南京熹禾涵田酒店,XIHE HENTIQUE HOTEL,管家服务,32.020349,118.61598,480,2
29,南京玄武湖假日酒店,Holiday Inn Nanjing Xuanwu Lake,湖景房,32.066615,118.815767,548,2
30,南京金陵江滨酒店,Jinling Riverside Hotel,湖景房,32.010767,118.708706,474,2
31,南京湖滨金陵饭店,Jinling Resort,泳池,31.940443,118.816924,433,2
32,南京上秦淮假日酒店,Holiday Inn Nanjing Qinhuai South,桑拿,31.869777,118.829859,592,2
33,南京丽湖雅致酒店,Lakehome Nanjing,桑拿,31.937899,118.820346,533,1
34,南京上秦淮套房假日酒店,Holiday Inn Nanjing Qinhuai South Suites,湖景房,31.868713,118.829201,592,1
35,南京恒大酒店,Hengda Hotel,泳池,31.699581,119.066924,479,1
36,南京雨润涵月楼酒店,Han Yue Lou Hotel,SPA,32.007805,118.732859,569,1
37,南京翠屏新港假日酒店,Holiday Inn Nanjing Harbour,江河景房,32.163003,118.868089,565,2
38,南京金鹰珠江壹号国际酒店,Golden Eagle Summit Hotel,泳池,32.050677,118.785127,598,1
39,南京玄武苏宁诺富特酒店,Novotel Nanjing East Suning,泳池,32.085999,118.89133,422,2
40,南京金陵饭店,Jinling Hotel,SPA,32.042447,118.782824,680,2
41,桔子水晶南京总统府中山东路酒店,Crystal Orange Nanjing Presidential Palace Zhongshan East Road Hotel,免费停车,32.040044,118.801882,422,1
42,桔子水晶南京新街口酒店,Crystal Orange Hotel (Nanjing Xinjiekou),免费停车,32.034885,118.783734,456,1
43,南京南站万达美华酒店,Wanda Moments Nanjing South Railway Station,机器人服务,31.96475,118.801883,364,1
44,南京中心大酒店,Central Hotel,泳池,32.045436,118.783855,550,2
45,南京武家嘴国际大酒店,Wujiazui International Hotel,管家服务,31.334253,118.895206,448,2
46,南京紫清湖温泉度假酒店(野生动物世界店),Nanjing Ziqing Lake Hot Spring Resort (Wildlife World),桑拿,32.064524,119.032975,628,1
47,国际青年会议酒店(南京国际青年文化中心店),International Youth Convention Hotel (Nanjing International Youth Cultural Centre),泳池,31.991206,118.708629,590,2
48,南京金鹰尚美酒店,G.E. Summit Hotel,泳池,31.931395,118.819778,648,1
49,南京东方珍珠voco酒店,voco Nanjing Oriental Pearl,免费停车,32.048892,118.795365,602,2
50,南京新街口苏宁诺富特酒店,Novotel Nanjing Central Suning,免费停车,32.037035,118.786169,444,1
51,南京蜂巢酒店,Beehive Hotel,泳池,32.140808,118.677356,669,2
52,南京金鹰世界G酒店,"G·Hotel, Nanjing",泳池,32.024335,118.740927,956,1
53,南京金鹰国际酒店,Golden Eagle International Hotel,泳池,32.041678,118.778252,709,1
54,南京栖霞山涵田栖云山房酒店,Nanjing Qixia Mountain Hentique Qiyun Resorts,山景房,32.14832,118.955787,628,1
55,南京天丰大酒店,Tianfeng Hotel,免费停车,32.040464,118.787635,419,2
56,南京鲁能美高梅美荟酒店,Mhub by MGM Nanjing Jiangning,泳池,31.905776,118.889067,629,1
57,南京园博园悦榕庄,Banyan Tree Nanjing Garden Expo,SPA,32.076975,119.021676,1953,2
58,南京紫峰洲际酒店,InterContinental Nanjing,泳池,32.06101,118.783434,827,2
59,南京金茂威斯汀大酒店,The Westin Nanjing Xuanwu Lake,泳池,32.072352,118.783256,799,2
60,南京山水大酒店,Shanshui Hotel,免费停车,32.044572,118.806021,468,1
61,南京凯宾斯基酒店,Kempinski Hotel Nanjing,泳池,32.035341,118.805016,998,2
62,南京香格里拉大酒店,Shangri-La Nanjing,Boss推荐,32.077771,118.782672,820,1
63,南京南站希尔顿欢朋酒店,Hampton by Hilton (Nanjing South Railway Station),免费停车,31.946661,118.811247,472,2
64,南京希尔顿酒店,Hilton Nanjing,泳池,32.031116,118.73817,700,1
65,南京丽思卡尔顿酒店,"The Ritz-Carlton, Nanjing",桑拿,32.043963,118.784897,2391,2
66,南京THE TAI太和紫金大酒店,THE TAI HOTEL,管家服务,32.045633,118.794964,628,1
67,南京喜玛拉雅假日酒店,Holiday Inn Nanjing South Station,泳池,31.965233,118.805172,600,1
68,南京泊金黄埔酒店,Bojin Huangpu Hotel,免费停车,32.042469,118.811395,458,2
69,南京金奥国际酒店,Keyne Hotel Nanjing,桑拿,31.997874,118.724979,872,1
70,南京麒麟中山陵景区希尔顿欢朋酒店,Hilton Huanpeng Hotel in Nanjing Qilin Zhongshan Mausoleum Scenic Area,免费停车,32.017804,118.899318,378,1
71,南京南站美居酒店,Mercure Hotel,泳池,31.926494,118.800588,449,1
72,南京河西安达仕酒店,Andaz Nanjing Hexi,泳池,31.993356,118.721081,1027,1
73,花筑奢·老门东百戏园酒店(南京夫子庙店),Floral Lux Hotel Kun Opera,客栈,32.02647,118.781287,412,1
74,南京禄口机场铂尔曼大酒店,Pullman Nanjing Lukou Airport,泳池,31.731079,118.873411,786,1
75,书香世家酒店(南京新街口三元巷店),Scholars Hotel,亲子主题房,32.034799,118.782515,399,1
76,南京老门东漫心府,"Manxin Hotel of Laomendong,Nanjing",免费停车,32.007034,118.789064,508,1
77,南京卓美亚酒店,Jumeirah Nanjing,桑拿,31.990583,118.709366,1029,1
78,南京鼓楼晶丽酒店,Jingli Hotel,多功能厅,32.058742,118.779362,428,2
79,南京长江之舟华邑酒店,HUALUXE Nanjing Yangtze River,泳池,32.045013,118.666224,702,2
80,南京南站亚朵酒店,Atour Hotel (Nanjing South Railway Station),免费停车,31.966775,118.788329,491,1
81,南京丰盛五季凯悦臻选酒店,"Grand WUJI Hotel, The Unbound Collection by Hyatt",桑拿,31.977606,118.762291,847,1
82,南京中山陵景区苜蓿园地铁站亚朵酒店,"Atour Hotel, Liyuan Metro Station, Nanjing Zhongshan Mausoleum Scenic Area",免费停车,32.039135,118.841237,438,1
83,桔子水晶南京鼓楼酒店,Orange Crystal Nanjing Drum Tower Hotel,健身室,32.062154,118.781021,465,1
84,南京苏宁钟山国际高尔夫酒店,Nanjing Suning ZhongShan Golf Resort,桑拿,32.078742,118.878146,1199,1
85,吉尔福德酒店,Guildford Hotel,免费停车,32.021841,118.792736,453,1
86,南京奥体中心亚朵S酒店,Atour S Hotel Nanjing Olympic Sports Center,免费停车,31.992679,118.733289,429,1
87,桔子水晶南京夫子庙中山南路酒店,Crystal Orange Hotel (Nanjing Confucius Temple Zhongshan South Road),免费停车,32.028232,118.783351,431,1
88,亚朵酒店(南京禄口机场店),Atour Hotel (Nanjing Lukou International Airport),空气净化器,31.736607,118.872527,464,2
89,南京威斯汀温泉度假酒店,The Westin Nanjing Resort & Spa,SPA,32.070742,119.006678,1098,2
90,南京丽笙精选度假酒店,Radisson Collection Resort Nanjing,泳池,32.0745,119.010037,855,1
91,吉尔福德酒店(夫子庙老门东店),Guildford Hotel,免费停车,32.01818,118.787794,479,1
92,南京南都会酒店,NANDUHUI Hotel,窗外好景,32.013622,118.781235,611,1
93,南京隐南门东酒店,in N&S MEN DONG Hotel,泳池,32.012434,118.786244,742,1
94,南京鼓楼玄武湖轻居酒店,Nanjing Drum Tower Xuanwu Lake light Residence Hotel,免费停车,32.067193,118.780614,394,1
95,南京园博园voco酒店,voco Nanjing Garden Expo,桑拿,32.081181,119.011583,673,1
96,南京新晶丽酒店,New Jingli Hotel,免费停车,31.991565,118.793155,668,1
97,南京天诗居行政公寓,Tianshiju Executive Apartment (Nanjing International Youth Culture Center),酒店公寓,31.990627,118.708241,603,2
98,南京园博园英迪格酒店,"Indigo Nanjing Garden Expo, an IHG Hotel",桑拿,32.073085,119.000338,911,2
99,桔子水晶南京夫子庙酒店,Orange Crystal Nanjing Confucius Temple Hotel,机器人服务,32.026249,118.790221,405,1
100,南京仙林中心金鹰广场亚朵酒店,"Atour Hotel, Golden Eagle Plaza, Xianlin center, Nanjing",免费停车,32.096451,118.92117,482,1
101,建国·璞隐酒店(南京中山陵景区店),Jianguo Puyin Hotel Nanjing Zhongshan Mausoleum scenic spot store,免费停车,32.044144,118.841974,396,1
102,南京银城皇冠假日酒店,Crowne Plaza Nanjing Jiangning,泳池,31.942265,118.818319,697,1
103,江苏饭店,Jiangsu Hotel,免费停车,32.032336,118.79269,502,2
104,南京圣和府邸豪华精选酒店,"The Grand Mansion Hotel, Nanjing",桑拿,32.042409,118.798747,1422,1
105,Club Med地中海白日方舟·南京仙林度假村,Club Med Urban Oasis Xianlin Nanjing Resort,免费停车,32.080229,118.92734,1088,1
106,南京颐和芥子园酒店,Yihe Jieziyuan Hotel,泳池,32.012592,118.789,846,2
107,南京总统府亚朵酒店,Atour Hotel,健身室,32.039892,118.802383,456,2
108,南京扬子江国际会议中心酒店,Yangzi River International Conference Center,泳池,32.081109,118.70562,697,1
109,南京心颐荟·星俪辰酒店,Nanjing Citilink Hotel,免费停车,32.039161,118.735877,368,1
110,南京夫子庙银桥亚朵酒店,Nanjing Confucian Temple Yinqiao Yaduo Hotel,免费停车,32.013449,118.765177,447,2
111,南京珺懋酒店傲途格精选,"Nanjing, Jiangning, Autograph Collection",免费停车,32.071529,119.004178,1033,1
112,南京华泰万丽酒店,Renaissance Nanjing Olympic Centre Hotel,桑拿,32.002821,118.724709,897,2
113,金陵小城·满庭芳客栈,Jinling Xiaocheng Mantingfang Inn,管家服务,31.900023,118.722281,1279,2
114,罗莱夏朵·南京颐和公馆,Relais & Chateaux The Yihe Mansions,别墅,32.062601,118.770028,1273,1
115,南京牛首山希尔顿酒店,Hilton Nanjing Niushoushan,桑拿,31.911871,118.75473,1155,2
116,南京金融城Modena辉盛名致服务公寓(奥体博览中心店),Modena by Fraser Nanjing,桑拿,31.984598,118.714517,539,1
117,桔子水晶南京奥体中心酒店,Crystal Orange Hotel (Nanjing Olympic Sports Center),免费停车,32.010166,118.734548,422,2
118,南京世界村酒店,Global Village Hotel,泳池,31.330248,118.902251,388,1
119,世纪缘酒店(南京溧水店),SHIJIYUAN HOTEL(Nanjing Lishui Branch),管家服务,31.674408,119.019627,370,1
120,美豪丽致酒店(南京奥体国际博览中心店),Mehood Lestie Hotel (Nanjing Olympic Sports International Expo Center),免费停车,32.001756,118.727536,415,1
121,南京航空航天大学博物院亚朵酒店,"Atour Hotel Museum, Nanjing University of Aeronautics and Astronautics",管家服务,32.031177,118.817129,429,1
122,南京安朴酒店,The Amber House Nanjing,免费停车,31.970388,118.763812,498,1
123,南京夫子庙爱涛酒店,Nanjing Confucius Temple Aitao Hotel,江河景房,32.015943,118.792724,556,1
124,南京玄武湖智选假日酒店,Holiday Inn Express Nanjing Xuanwu Lake,儿童乐园,32.057089,118.81414,401,2
125,南京华山饭店,Huashan Hotel,免费停车,32.051194,118.806052,466,1
126,南京新地酒店,Xindi Hotel,免费停车,32.103097,118.932024,518,2
127,南京秦淮人家精品酒店,Nanjing family,免费停车,32.019491,118.791076,382,1
128,南京长江之舟逸衡酒店,Nanjing Yangtze River EVEN Hotel,免费停车,32.044567,118.664996,423,1
129,南京奥体国际博览中心漫心府,Nanjing Olympic Sports International Expo Center Manxinfu,家庭房,31.981384,118.710475,431,1
130,全季酒店(南京广州路省人民医院店),All Seasons Hotel (Nanjing Guangzhou Road Provincial People's Hospital Branch),免费停车,32.050757,118.773136,365,1
131,花筑·南京汤山左邻右舍温泉民宿,Floral Hotel·Nanjing Tangshan left adjacent right house hot spring homestay,免费停车,32.065053,119.06367,425,1
132,無同·CHINAR酒店(南京夫子庙店),WUTONG HOTEL,停车场,32.021603,118.79215,583,1
133,南京夫子庙夜泊秦淮尊经书院酒店,Nanjing Yebo Qinhuai Zunjing College Hotel,免费停车,32.021531,118.787813,519,2
134,南京南站软件大道地铁站亚朵酒店,Atour Hotel Nanjing South Railway Station Software Avenue Subway Station,免费停车,31.981562,118.775446,526,1
135,夫子庙柒·金陵精品酒店,Qi Hotel,免费停车,32.012162,118.784984,432,1
136,南京江宁航空航天大学亚朵酒店,Atour Hotel Nanjing Jiangning University of Aeronautics and Astronautics,停车场,31.928414,118.799494,403,2
137,南京奥体博览中心中山精品酒店,Nanjing Zhongshan Boutique Hotel,免费停车,31.994776,118.7283,510,1
138,南京南大国际会议中心,Nanjing University International Conference Center,多功能厅,32.114535,118.96371,436,1
139,花筑·僖堂民宿(南京夫子庙老门东店),Floral Hotel Xitang B&B (Nanjing Confucius Temple Laomendong Branch),家庭房,32.020721,118.792811,516,1
140,秦淮十里·明代嘉靖皇后故居·杏苑酒店(南京夫子庙老门东店),Qinhuai Ten Miles · Former Residence of Empress Jiajing of the Ming Dynasty · Xingyuan Hotel,多功能厅,32.012307,118.785241,498,1
141,南京慢城枕松云居,The Pinellow Dreams Hotel,免费停车,31.41383,119.073652,538,1
142,南京又见江南民宿(幕燕滨江燕子矶店),Youjian Jiangnan Hostel,管家服务,32.146815,118.817148,468,1
143,E·HOTEL逸住艺术酒店(南京南站南广场店),E·HOTEL  (Nanjing South Railway Station South Square Branch),家庭房,31.963017,118.797027,456,1
144,南京河西奥体中心希尔顿花园酒店,Hilton Garden Inn Nanjing Hexi Olympic Sports Center,免费停车,31.981071,118.736949,463,1
145,咏尚春温泉度假民宿,Shangchun Hot Spring Resort Hotel,免费停车,32.024647,118.969703,558,1
146,古南都逸居酒店(南京夫子庙建康路店),Grand Jiankang Hotel,管家服务,32.022771,118.787275,278,1
147,南京总统府逸里酒店,Presidential Palace YiLi Hotel Nanjing,家庭房,32.04008,118.802482,417,2
148,南京夫子庙秦淮游船码头亚朵酒店,Atour Hotel (Nanjing Fuzimiao Qinhuai cruise terminal),家庭房,32.020579,118.792507,472,1
149,楚韵花香温泉民宿村,CHUYUN HUAXIANG HOT SPRING HOMESTAY,免费停车,32.051523,118.480032,400,1
150,南京金轮万怡酒店,Courtyard by Marriott Nanjing Jiangning,免费停车,31.951886,118.821635,598,2
151,南京和福园酒店,Hefuyuan Hotel,免费停车,32.088221,118.786709,407,1
152,SANDJOY沙悦温泉酒店(南京汤山店),SANDJOY Shayue Hot Spring Hotel (Nanjing Tangshan),免费停车,32.04025,119.062429,507,1
153,南京紫清湖生态旅游温泉度假区,Nanjing Ziqinghu Hotspring Hotel,山景房,32.064513,119.032969,418,2
154,南京东苑宾馆,Nanjing Dongyuan Hotel,免费停车,32.055177,118.846655,503,2
155,南京青龙山庄酒店,Qinglongshanzhuang Hotel,免费停车,31.970062,118.929834,446,2
156,南京九华饭店,Jiuhua Hotel,免费停车,32.057651,118.807226,499,1
