attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Philadelphia,United States,Nature/Scenery/Park,Riverside Green Haven,"Riverside Green Haven is a nature in Philadelphia, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Riverside Green Haven, a peaceful nature in Philadelphia, United States, ideal for nature lovers. Open 08:00-17:30, entry 8.12 USD.",8.12,08:00-17:30,3 hours,3.7,"828 Siam Road, Philadelphia",40.08190826720422,-75.04702730212465,"['solo women', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'High speed WiFi']"
2,Philadelphia,United States,Nature/Scenery/Park,Wissahickon Wildway Adventure,"Wissahickon Wildway Adventure is a nature in Philadelphia, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 0.0 USD. Recommended visit: 3 hours. Discover Wissahickon Wildway Adventure, a peaceful nature in Philadelphia, United States, ideal for nature lovers. Open 08:00-18:00, entry 0.0 USD.",0.0,08:00-18:00,3 hours,3.7,"884-345 Nishi 1-chome, Philadelphia",39.920564518883815,-75.17362040741145,"['solo women', 'foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
3,Philadelphia,United States,Nature/Scenery/Park,Willowmere Grove,"Willowmere Grove is a nature in Philadelphia, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Willowmere Grove, a peaceful nature in Philadelphia, United States, ideal for nature lovers. Open 09:00-17:30, entry 17.5 USD.",17.5,09:00-17:30,3 hours,3.7,"960 Shinsaibashi Dori, Chuo Ward, Philadelphia",40.064784685604224,-75.01341827383024,['elderly travelers'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'wheelchair rental', 'benches/rest areas']"
4,Philadelphia,United States,Nature/Scenery/Park,Schuylkill River Walkway,"Schuylkill River Walkway is a nature in Philadelphia, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Schuylkill River Walkway, a peaceful nature in Philadelphia, United States, ideal for nature lovers. Open 19:00-23:00, entry 6.39 USD.",6.39,19:00-23:00,3 hours,3.7,"No. 456, Cultural Street, Philadelphia",40.07099497254917,-75.01188818323163,"['with children', 'photography', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours']"
5,Philadelphia,United States,Nature/Scenery/Park,Moonlit River Passage,"Moonlit River Passage is a nature in Philadelphia, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover Moonlit River Passage, a peaceful nature in Philadelphia, United States, ideal for nature lovers. Open 10:00-18:00, entry 116.65 USD.",116.65,10:00-18:00,3 hours,3.7,"759 Orchard Road, Philadelphia",39.99104639099292,-75.20582897079419,"['nightlife enthusiast', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
6,Philadelphia,United States,Nature/Scenery/Park,Willow Hollow Preserve,"Willow Hollow Preserve is a nature in Philadelphia, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.44 USD. Recommended visit: 3 hours. Discover Willow Hollow Preserve, a peaceful nature in Philadelphia, United States, ideal for nature lovers. Open 09:00-21:00, entry 6.44 USD.",6.44,09:00-21:00,3 hours,3.7,"104 Shimbashi Skyline, Minato City, Philadelphia",39.9925367337062,-75.15774250457164,"['nightlife enthusiast', 'with pets', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
7,Philadelphia,United States,Nature/Scenery/Park,Willow Creek Eclectic Garden,"Willow Creek Eclectic Garden is a nature in Philadelphia, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.27 USD. Recommended visit: 3 hours. Discover Willow Creek Eclectic Garden, a peaceful nature in Philadelphia, United States, ideal for nature lovers. Open 08:30-17:00, entry 33.27 USD.",33.27,08:30-17:00,3 hours,3.7,"No. 123 Guangdong Road, Philadelphia",40.043141097373855,-75.17250150888357,"['foodie', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
8,Philadelphia,United States,Nature/Scenery/Park,Schuylkill River Greenway Adventure Pass,"Schuylkill River Greenway Adventure Pass is a nature in Philadelphia, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Schuylkill River Greenway Adventure Pass, a peaceful nature in Philadelphia, United States, ideal for nature lovers. Open 18:00-21:00, entry 24.24 USD.",24.24,18:00-21:00,3 hours,3.7,"742 Sathorn Unique Tower, Silom Road, Philadelphia",40.02568227256199,-75.21345612478858,"['nightlife enthusiast', 'fast-paced budget travel', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours']"
9,Philadelphia,United States,Nature/Scenery/Park,Horizon Heights,"Horizon Heights is a nature in Philadelphia, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Horizon Heights, a peaceful nature in Philadelphia, United States, ideal for nature lovers. Open 08:00-20:00, entry 10.5 USD.",10.5,08:00-20:00,3 hours,3.7,"No. 456, Zhongshan Road, Philadelphia",40.080695489630585,-75.1697438373255,"['with pets', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours']"
10,Philadelphia,United States,Nature/Scenery/Park,Greenhaven Explorers' Grove,"Greenhaven Explorers' Grove is a nature in Philadelphia, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Greenhaven Explorers' Grove, a peaceful nature in Philadelphia, United States, ideal for nature lovers. Open 10:00-22:00, entry 7.57 USD.",7.57,10:00-22:00,3 hours,3.7,"No. 45 Zhongshan Road, Philadelphia",40.00700033155045,-75.20227955766316,"['nightlife enthusiast', 'with children', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'wheelchair rental', 'benches/rest areas']"
11,Philadelphia,United States,Nature/Scenery/Park,Cape May Coastal Delights,"Cape May Coastal Delights is a nature in Philadelphia, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Cape May Coastal Delights, a peaceful nature in Philadelphia, United States, ideal for nature lovers. Open 08:30-17:30, entry 43.59 USD.",43.59,08:30-17:30,3 hours,3.7,"271 Sukhumvit Road, Philadelphia",39.90443118979926,-75.14921250139757,"['nightlife enthusiast', 'solo women', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas']"
12,Philadelphia,United States,Nature/Scenery/Park,Wissahickon Wildscape,"Wissahickon Wildscape is a nature in Philadelphia, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Wissahickon Wildscape, a peaceful nature in Philadelphia, United States, ideal for nature lovers. Open 08:30-17:30, entry 2059.2 USD.",2059.2,08:30-17:30,3 hours,3.7,"No. 888, Cultural Avenue, Longgang District, Philadelphia",39.891040031686885,-75.25926937246892,"['foodie', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences']"
13,Philadelphia,United States,Nature/Scenery/Park,Willowbrook Thermal Haven,"Willowbrook Thermal Haven is a nature in Philadelphia, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Willowbrook Thermal Haven, a peaceful nature in Philadelphia, United States, ideal for nature lovers. Open 08:30-17:00, entry 12.32 USD.",12.32,08:30-17:00,3 hours,3.7,"No. 456, East Chang'an Avenue, Philadelphia",39.932853627671086,-75.18236875330464,"['business travelers', 'couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'High speed WiFi', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
14,Philadelphia,United States,Nature/Scenery/Park,Willow Watcher Grove,"Willow Watcher Grove is a nature in Philadelphia, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.95 USD. Recommended visit: 3 hours. Discover Willow Watcher Grove, a peaceful nature in Philadelphia, United States, ideal for nature lovers. Open 09:00-17:30, entry 13.95 USD.",13.95,09:00-17:30,3 hours,3.7,"607-8745 Shibuya, Philadelphia",40.07972071095413,-75.231514200858,"['solo women', 'photography', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'High speed WiFi']"
15,Philadelphia,United States,Nature/Scenery/Park,Schuylkill Green Haven,"Schuylkill Green Haven is a nature in Philadelphia, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.12 USD. Recommended visit: 3 hours. Discover Schuylkill Green Haven, a peaceful nature in Philadelphia, United States, ideal for nature lovers. Open 08:30-17:30, entry 4.12 USD.",4.12,08:30-17:30,3 hours,3.7,"No. 58, Xiyuan Road, Philadelphia",39.90275033414146,-75.2201568161156,"['nightlife enthusiast', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'High speed WiFi']"
