attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Adelaide,Australia,Nature/Scenery/Park,Warrakoo Green Haven,"Warrakoo Green Haven is a nature in Adelaide, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 15.4 USD. Recommended visit: 3 hours. Discover Warrakoo Green Haven, a peaceful nature in Adelaide, Australia, ideal for nature lovers. Open 06:00-20:00, entry 15.4 USD.",15.4,06:00-20:00,3 hours,3.7,"910 Jurong East Street 6, Adelaide",-34.73879853775721,138.65102253900343,"['fast-paced budget travel', 'couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
2,Adelaide,Australia,Nature/Scenery/Park,Warramboo Wildland Walk,"Warramboo Wildland Walk is a nature in Adelaide, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Warramboo Wildland Walk, a peaceful nature in Adelaide, Australia, ideal for nature lovers. Open 09:00-17:00, entry 1.4 USD.",1.4,09:00-17:00,3 hours,3.7,"175 Sakura Street, Adelaide",-35.05593453602699,138.5387118965417,['road trip'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking']"
3,Adelaide,Australia,Nature/Scenery/Park,Emberwood Sanctuary,"Emberwood Sanctuary is a nature in Adelaide, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Emberwood Sanctuary, a peaceful nature in Adelaide, Australia, ideal for nature lovers. Open 08:30-18:00, entry 10.5 USD.",10.5,08:30-18:00,3 hours,3.7,"No. 456, East Chang'an Avenue, Adelaide",-35.03753041610008,138.54810744787832,"['foodie', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
4,Adelaide,Australia,Nature/Scenery/Park,Mornington Bay Nature Trail,"Mornington Bay Nature Trail is a nature in Adelaide, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Mornington Bay Nature Trail, a peaceful nature in Adelaide, Australia, ideal for nature lovers. Open 09:30-17:00, entry 12.32 USD.",12.32,09:30-17:00,3 hours,3.7,"747/18 Moo 5, Khlong Luang Road, Nongkorn, Adelaide",-34.853957705982936,138.68410083886045,"['foodie', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
5,Adelaide,Australia,Nature/Scenery/Park,Moonlit Bay Voyage,"Moonlit Bay Voyage is a nature in Adelaide, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Moonlit Bay Voyage, a peaceful nature in Adelaide, Australia, ideal for nature lovers. Open 09:00-17:30, entry 8.12 USD.",8.12,09:00-17:30,3 hours,3.7,"486-8672 Shibuya, Adelaide",-34.86490042015787,138.68497721210392,"['with pets', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours']"
6,Adelaide,Australia,Nature/Scenery/Park,Ember Ridge Wildscape,"Ember Ridge Wildscape is a nature in Adelaide, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Ember Ridge Wildscape, a peaceful nature in Adelaide, Australia, ideal for nature lovers. Open 09:00-17:00, entry 14.98 USD.",14.98,09:00-17:00,3 hours,3.7,"934 Sakura Street, Chuo Ward, Adelaide",-34.85352333727735,138.64664589687175,"['with children', 'fast-paced budget travel', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'wheelchair rental', 'benches/rest areas']"
7,Adelaide,Australia,Nature/Scenery/Park,Wanderwood Heights Eco Retreat,"Wanderwood Heights Eco Retreat is a nature in Adelaide, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 0.0 USD. Recommended visit: 3 hours. Discover Wanderwood Heights Eco Retreat, a peaceful nature in Adelaide, Australia, ideal for nature lovers. Open 09:00-17:30, entry 0.0 USD.",0.0,09:00-17:30,3 hours,3.7,"843 Sukhumvit Road, Khlong Toei District, Adelaide",-34.64797645876531,138.78688682082907,"['with children', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
8,Adelaide,Australia,Nature/Scenery/Park,Kangaroo Valley Scenic Loop,"Kangaroo Valley Scenic Loop is a nature in Adelaide, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.44 USD. Recommended visit: 3 hours. Discover Kangaroo Valley Scenic Loop, a peaceful nature in Adelaide, Australia, ideal for nature lovers. Open 09:00-18:00, entry 6.44 USD.",6.44,09:00-18:00,3 hours,3.7,"844 Shibuya Crossing Street, Adelaide",-35.096952342741865,138.64854374216742,"['road trip', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
9,Adelaide,Australia,Nature/Scenery/Park,Horizon Bay Walk,"Horizon Bay Walk is a nature in Adelaide, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Horizon Bay Walk, a peaceful nature in Adelaide, Australia, ideal for nature lovers. Open 10:00-18:00, entry 24.24 USD.",24.24,10:00-18:00,3 hours,3.7,"827 Shinkocho, Chuo-ku, Adelaide",-34.77745383905909,138.67001420372077,"['photography', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
10,Adelaide,Australia,Nature/Scenery/Park,Greenhaven Explorers' Hub,"Greenhaven Explorers' Hub is a nature in Adelaide, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.95 USD. Recommended visit: 3 hours. Discover Greenhaven Explorers' Hub, a peaceful nature in Adelaide, Australia, ideal for nature lovers. Open 08:00-20:00, entry 13.95 USD.",13.95,08:00-20:00,3 hours,3.7,"261 Sakura Street, Nishi Ward, Adelaide",-34.94715648773242,138.60192208387693,"['nightlife enthusiast', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'wheelchair rental', 'benches/rest areas', 'parking']"
11,Adelaide,Australia,Nature/Scenery/Park,Sunset Bay Coastal Delights,"Sunset Bay Coastal Delights is a nature in Adelaide, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.4 USD. Recommended visit: 3 hours. Discover Sunset Bay Coastal Delights, a peaceful nature in Adelaide, Australia, ideal for nature lovers. Open 08:00-18:00, entry 14.4 USD.",14.4,08:00-18:00,3 hours,3.7,"842 Shinsaibashi Dori, Chuo Ward, Adelaide",-34.70491183742532,138.59609949055329,"['with children', 'fast-paced budget travel', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
12,Adelaide,Australia,Nature/Scenery/Park,Flinders Wildscape Reserve,"Flinders Wildscape Reserve is a nature in Adelaide, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 55.55 USD. Recommended visit: 3 hours. Discover Flinders Wildscape Reserve, a peaceful nature in Adelaide, Australia, ideal for nature lovers. Open 08:30-17:00, entry 55.55 USD.",55.55,08:30-17:00,3 hours,3.7,"No. 456, Xuefu Road, Adelaide",-35.154462452211064,138.70019774347583,"['nightlife enthusiast', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
13,Adelaide,Australia,Nature/Scenery/Park,Glenmere Thermal Retreat,"Glenmere Thermal Retreat is a nature in Adelaide, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Glenmere Thermal Retreat, a peaceful nature in Adelaide, Australia, ideal for nature lovers. Open 08:30-17:30, entry 22.61 USD.",22.61,08:30-17:30,3 hours,3.7,"332 Sumo Street, Shibuya, Adelaide",-34.86364962501588,138.59883190324135,"['nightlife enthusiast', 'with children', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences']"
14,Adelaide,Australia,Nature/Scenery/Park,Windy Hollow Reserve,"Windy Hollow Reserve is a nature in Adelaide, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 294.64 USD. Recommended visit: 3 hours. Discover Windy Hollow Reserve, a peaceful nature in Adelaide, Australia, ideal for nature lovers. Open 08:00-17:30, entry 294.64 USD.",294.64,08:00-17:30,3 hours,3.7,"No. 456, West Lake Scenic Avenue, Adelaide",-35.01260464949568,138.5498958567237,"['photography', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences']"
15,Adelaide,Australia,Nature/Scenery/Park,Riverland Green Haven,"Riverland Green Haven is a nature in Adelaide, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Riverland Green Haven, a peaceful nature in Adelaide, Australia, ideal for nature lovers. Open 09:00-21:00, entry 11.76 USD.",11.76,09:00-21:00,3 hours,3.7,"272 Shinsaibashi Dori, Chuo Ward, Adelaide",-34.68809185293111,138.7480028800388,"['foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
16,Adelaide,Australia,Nature/Scenery/Park,Glenelg Skyway Express,"Glenelg Skyway Express is a nature in Adelaide, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Glenelg Skyway Express, a peaceful nature in Adelaide, Australia, ideal for nature lovers. Open 08:30-20:00, entry 11.05 USD.",11.05,08:30-20:00,3 hours,3.7,"156 East Riverside Avenue, Adelaide",-35.27086641532619,138.53394175401948,"['couples trip', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
17,Adelaide,Australia,Nature/Scenery/Park,Wanderwood Sanctuary,"Wanderwood Sanctuary is a nature in Adelaide, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.35 USD. Recommended visit: 3 hours. Discover Wanderwood Sanctuary, a peaceful nature in Adelaide, Australia, ideal for nature lovers. Open 09:30-17:00, entry 7.35 USD.",7.35,09:30-17:00,3 hours,3.7,"852-8501 Sapporo City, Nishi 10-chome, Adelaide",-34.79876438530044,138.71908491072747,"['elderly travelers', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'wheelchair rental', 'benches/rest areas', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
18,Adelaide,Australia,Nature/Scenery/Park,Kangaroo Valley Heritage Grove,"Kangaroo Valley Heritage Grove is a nature in Adelaide, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 9.8 USD. Recommended visit: 3 hours. Discover Kangaroo Valley Heritage Grove, a peaceful nature in Adelaide, Australia, ideal for nature lovers. Open 09:00-17:30, entry 9.8 USD.",9.8,09:00-17:30,3 hours,3.7,"430 Rachadaphisek Road, Pathum Wan, Adelaide",-34.705166281154966,138.54211115566312,"['nightlife enthusiast', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
