attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Buffalo,United States,Nature/Scenery/Park,Emerald Glen Preserve,"Emerald Glen Preserve is a nature in Buffalo, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Emerald Glen Preserve, a peaceful nature in Buffalo, United States, ideal for nature lovers. Open 06:00-20:00, entry 31.52 USD.",31.52,06:00-20:00,3 hours,3.7,"961-8654 Minami-Sugamo, Buffalo",42.89577349091441,-78.83759576220262,"['photography', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
2,Buffalo,United States,Nature/Scenery/Park,Erie Bluffs Wildscape Trail,"Erie Bluffs Wildscape Trail is a nature in Buffalo, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover Erie Bluffs Wildscape Trail, a peaceful nature in Buffalo, United States, ideal for nature lovers. Open 09:00-21:00, entry 37.95 USD.",37.95,09:00-21:00,3 hours,3.7,"657/48 Moo 5, Damnoen Saduak, Buffalo",42.89048629373268,-78.89779516518975,"['fast-paced budget travel', 'photography', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences']"
3,Buffalo,United States,Nature/Scenery/Park,Evergreen Haven,"Evergreen Haven is a nature in Buffalo, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Evergreen Haven, a peaceful nature in Buffalo, United States, ideal for nature lovers. Open 08:30-17:00, entry 22.61 USD.",22.61,08:30-17:00,3 hours,3.7,"No. 456, Xuefu Road, Xiaoshan District, Buffalo",42.92708166491434,-78.81877204539732,"['with pets', 'couples trip', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas']"
4,Buffalo,United States,Nature/Scenery/Park,Buffalo Bayshore Walkway,"Buffalo Bayshore Walkway is a nature in Buffalo, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Buffalo Bayshore Walkway, a peaceful nature in Buffalo, United States, ideal for nature lovers. Open 09:00-17:30, entry 2059.2 USD.",2059.2,09:00-17:30,3 hours,3.7,"188 Nathan Road, Buffalo",42.94322508369205,-78.83469930444303,"['nightlife enthusiast', 'fast-paced budget travel', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'wheelchair rental', 'benches/rest areas']"
5,Buffalo,United States,Nature/Scenery/Park,Aurora Bay Sailing Tours,"Aurora Bay Sailing Tours is a nature in Buffalo, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Aurora Bay Sailing Tours, a peaceful nature in Buffalo, United States, ideal for nature lovers. Open 09:00-17:30, entry 4.36 USD.",4.36,09:00-17:30,3 hours,3.7,"No. 456, Xidan West Street, Buffalo",42.91116424725647,-78.87760347603873,"['with children', 'solo women', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'parking']"
6,Buffalo,United States,Nature/Scenery/Park,Evergreen Hollow Preserve,"Evergreen Hollow Preserve is a nature in Buffalo, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Evergreen Hollow Preserve, a peaceful nature in Buffalo, United States, ideal for nature lovers. Open 08:30-20:00, entry 29.53 USD.",29.53,08:30-20:00,3 hours,3.7,"422 Beach Road, Buffalo",42.87310998196337,-78.84936755577138,"['nightlife enthusiast', 'couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
7,Buffalo,United States,Nature/Scenery/Park,Evergreen Vista Culinary Trail,"Evergreen Vista Culinary Trail is a nature in Buffalo, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 75.28 USD. Recommended visit: 3 hours. Discover Evergreen Vista Culinary Trail, a peaceful nature in Buffalo, United States, ideal for nature lovers. Open 09:00-18:00, entry 75.28 USD.",75.28,09:00-18:00,3 hours,3.7,"745 Marina Bay Sands, Buffalo",42.860646714263176,-78.89196783923222,"['nightlife enthusiast', 'photography', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences']"
8,Buffalo,United States,Nature/Scenery/Park,Buffalo Skyline Summit Pass,"Buffalo Skyline Summit Pass is a nature in Buffalo, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover Buffalo Skyline Summit Pass, a peaceful nature in Buffalo, United States, ideal for nature lovers. Open 08:30-18:00, entry 12.93 USD.",12.93,08:30-18:00,3 hours,3.7,"372-12-8 Shibuya, Buffalo",42.88575016575849,-78.831451898348,"['with children', 'with pets', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'High speed WiFi']"
9,Buffalo,United States,Nature/Scenery/Park,Horizon Grove,"Horizon Grove is a nature in Buffalo, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Horizon Grove, a peaceful nature in Buffalo, United States, ideal for nature lovers. Open 09:00-18:00, entry 7.57 USD.",7.57,09:00-18:00,3 hours,3.7,"No. 1888, Innovation Road, Buffalo",42.93316604579112,-78.90495836824054,"['nightlife enthusiast', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
10,Buffalo,United States,Nature/Scenery/Park,Windswept Wildscape,"Windswept Wildscape is a nature in Buffalo, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 26.32 USD. Recommended visit: 3 hours. Discover Windswept Wildscape, a peaceful nature in Buffalo, United States, ideal for nature lovers. Open 08:30-17:30, entry 26.32 USD.",26.32,08:30-17:30,3 hours,3.7,"No. 88 Riverside Avenue, Buffalo",42.89254738435283,-78.83318131044254,"['nightlife enthusiast', 'photography', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events']"
11,Buffalo,United States,Nature/Scenery/Park,Lakeside Delight Culinary Garden,"Lakeside Delight Culinary Garden is a nature in Buffalo, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Lakeside Delight Culinary Garden, a peaceful nature in Buffalo, United States, ideal for nature lovers. Open 09:00-17:00, entry 11.76 USD.",11.76,09:00-17:00,3 hours,3.7,"551 Marine Drive, Patong Beach, Buffalo",42.86908106167007,-78.84975354821736,"['with pets', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
12,Buffalo,United States,Nature/Scenery/Park,Buffalo Wildscape Preserve,"Buffalo Wildscape Preserve is a nature in Buffalo, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Buffalo Wildscape Preserve, a peaceful nature in Buffalo, United States, ideal for nature lovers. Open 19:00-23:00, entry 5.6 USD.",5.6,19:00-23:00,3 hours,3.7,"No. 456, Jiangbeilu, Buffalo",42.84093106044186,-78.86639917214073,"['nightlife enthusiast', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
13,Buffalo,United States,Nature/Scenery/Park,Evergreen Thermal Retreat,"Evergreen Thermal Retreat is a nature in Buffalo, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.27 USD. Recommended visit: 3 hours. Discover Evergreen Thermal Retreat, a peaceful nature in Buffalo, United States, ideal for nature lovers. Open 08:30-17:00, entry 33.27 USD.",33.27,08:30-17:00,3 hours,3.7,"No. 456 Riverside Lane, Buffalo",42.95171624251386,-78.82360826695451,"['with children', 'with pets', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
