id,name,lat,lon,price,cuisine,opentime,endtime,recommendedfood
0,苏州金鸡湖托尼洛·兰博基尼书苑酒店·苏面坊,31.3205644,120.6824666,168.0,小吃,07:30,21:00,"蟹至尊,招牌三虾面,松鼠桂鱼面,秃黄油面,蟹粉虾仁面,蟹粉小笼,桂花鸡头米"
1,苏州香格里拉大酒店·香宫,31.2925698,120.5587863,231.0,江浙菜,11:30,21:00,"碧螺春虾仁,鱼汤小刀面,姑苏三虾狮子头,桂花鸡头米,鸡头米手剥虾仁,冰醉六月黄,松鼠桂鱼,苏式三虾拌面"
2,得月楼(观前店),31.3103672,120.6254894,153.0,江浙菜,10:30,21:00,"松鼠桂鱼,枣泥拉糕,得月童鸡,清炒虾仁,蟹粉豆腐,响油鳝糊"
3,苏州W酒店·苏滟中餐厅,31.3137961,120.6795015,450.0,江浙菜,11:30,21:30,"云上东坡醉千层,江南鲍鱼红烧肉,烤鸭"
4,苏州凯悦酒店·华池88中餐厅,31.3236925,120.7134433,438.0,江浙菜,11:00,22:00,"老北京果木烤鸭,醉江南炆火牛肉,天目湖鱼头皇,碧螺春手剥河虾仁,椒盐鸭骨架,石锅响油鳝糊"
5,苏州柏悦酒店·西洲轩,31.3137271,120.7188496,520.0,江浙菜,06:30,21:30, 
6,裕面堂·精品苏式面馆(石路店),31.3127907,120.6057527,128.0,小吃,08:00,20:00, 
7,孙盛兴奥灶面馆(山塘街店),31.3150572,120.6038128,57.0,小吃,08:00,22:00,"传统奥灶面,招牌奥灶鸭,爆鱼面,爆鳝,蟹粉面,熏鱼"
8,新聚丰菜馆(太监弄店),31.3104895,120.6261014,192.0,江浙菜,11:00,20:30,"清炒虾仁,响油鳝丝,松鼠桂鱼,樱桃汁肉,蟹粉豆腐,枣泥拉糕"
9,伴园私房菜(平江路总店),31.3208081,120.6332861,255.0,江浙菜,11:30,21:30,"香煎玫瑰鱼,南瓜小丸子,小米海参粥,苏帮手剥虾仁,糖醋排骨,凉拌冰草,冰草色拉,酱汁肉,炒空心菜,炒蘑菇"
10,江南雅厨(李公堤店),31.2987243,120.6943041,266.0,江浙菜,11:00,20:30,"招牌红烧牛小排,松露炙烤酱方,黑松露鲍菌菇,清溜虾仁,响油鳝糊配薄饼,园林里的白玉方糕"
11,苏州书香府邸平江府·木香中餐厅,31.3194472,120.633166,125.0,江浙菜,11:00,20:00,"松鼠桂鱼,响油鳝糊,苏州酱鸭"
12,苏城家宴(李公堤店),31.3022428,120.6889141,187.0,江浙菜,11:00,21:00, 
13,苏州南园宾馆·SOO荷1929,31.2976512,120.6315742,211.0,江浙菜,11:30,21:00,"佛跳墙,清炒手剥虾仁,响油鳝糊,油爆河虾,松鼠桂鱼,青菜烂糊面"
14,吴记小园楼(西北街店),31.3216184,120.6235644,89.0,江浙菜,10:00,21:00,"松鼠桂鱼,响油鳝糊,蛋黄锅巴,清炒虾仁,桂香甜藕,毛蟹年糕,面巾煲"
15,哑巴生煎(临顿路店),31.3150866,120.6284369,22.0,小吃,07:00,19:00,"素馅生煎,豆腐花,肉粽子,泡泡小馄饨,茉莉头汤,牛肉粉丝汤"
16,鮨 龍月,31.3149188,120.6691663,967.0,日本料理,11:00,20:30,"鹅肝寿司,牡丹虾,和牛海胆寿司,星鳗寿司,鲍鱼寿司,茶碗蒸"
17,量子制造·元(李公堤店),31.3024037,120.6945805,500.0,创意菜,11:30,21:00,"牛脸肉,草莓鹅肝慕斯,创意刺身,M9澳洲纯血黑和牛,大葱慕斯海参,黑松露波士顿龙虾炒饭"
18,苏州太湖万丽酒店·万丽轩中餐厅,31.2204769,120.3927962,353.0,江浙菜,11:00,21:30,"黑松露布袋豆腐,松鼠桂鱼,樱桃鹅肝,响油鳝糊,万丽流沙包,酱油炒饭"
19,苏州新城花园丽呈华廷酒店·味道苏州中餐厅,31.2939358,120.5719916,131.0,江浙菜,11:00,20:30,"奥灶面,卤鸭,爆鱼"
20,裕兴记(演艺中心店),31.3091684,120.6060745,100.0,小吃,06:30,20:30,"枫镇大肉,蟹粉虾仁面,什锦两面黄,酱爆猪肝,开洋葱油拌面,生炒鳝背"
21,山塘书香府邸·陶然轩,31.3168295,120.6031647,160.0,江浙菜,11:30,20:00,"清炒虾仁,苏式熏鱼,松鼠桂鱼,红烧河鳗,秘制红烧肉,太极白玉羹"
22,鹤园苏帮菜(平江路店),31.320494,120.6323241,101.0,江浙菜,08:00,20:00,"松鼠桂鱼,老苏州白什盘,桂花糖芋艿,新鲜现剥鸡头米,葱油拌面,响油鳝糊,糖油山芋,鸡汤小馄饨,白糖莲心粥,一品馄饨"
23,成善·红火锅料理,31.3018716,120.6846197,816.0,火锅,11:00,21:30,"法国吉拉多生蚝,黑毛肚,雪花牛肉,斑节虾,墨鱼滑,自家炸腐皮"
24,金海华·苏SHOW(李公堤旗舰店),31.3023105,120.6930668,464.0,创意菜,11:00,20:30,"匠心虾仁,火山岩烧霜降牛小排,陈酿花雕冰醉六月黄,红桂鸡头米,椰盅官燕杏仁露"
25,苏州洲际酒店·里瓦地中海扒房,31.3195103,120.7099883,958.0,西餐,11:30,21:30, 
26,西园寺素食(留园路店),31.314392,120.5871796,19.0,素食,07:00,15:00, 
27,鑫震源·苏式大虾生煎(山塘街店),31.3150289,120.6034431,31.0,小吃,07:00,22:30,"松茸净素,桂花豆沙小圆子,虾仁馄饨,牛肉粉丝汤,老卤酱鸡爪,松子枣泥拉糕"
28,同得兴(十全街店),31.2989179,120.6317766,69.0,小吃,07:00,13:00,"葱油香菇,糖醋面筋,黄金大排,苏式爆鱼,酱爆猪肝,雪菜毛豆"
29,蟹叁寳·蟹黄捞饭(苏州拙政园店),31.3204929,120.6278977,108.0,创意菜,10:30,21:00,"蟹黄金捞饭,蟹黄金捞面,蟹黄鸡汁面,酱香鸡爪,蟹粉春卷,上汤娃娃菜"
30,平江桃花源记(平江1店),31.3145852,120.6340612,43.0,江浙菜,10:00,21:00,"赤豆糊糖粥,面拖大排骨,溏心鸡头米,八仙鸡汤馄饨,手抓酱猪手,老平江熟醉蟹"
31,听香堂私家菜(平江路店),31.3234251,120.6324489,144.0,江浙菜,12:00,20:30,"蟹粉年糕,手抄虾仁,油爆虾,响油鳝糊,腌笃鲜汤,糖莲藕"
32,洋洋中餐馆(信投店),31.3167505,120.6700245,147.0,江浙菜,11:00,21:00,"松鼠桂鱼,北京烤鸭,石头烤牛肉,清炒河虾仁,外婆红烧肉,蚌肉金花菜"
33,苏州洲际酒店·金海华·悦食东方,31.3193022,120.7102171,684.0,粤菜,11:00,21:00,"橙粒冰鹅肝,澳洲和牛两面黄,白牛肝菌炒澳洲牛小排,杏仁白花胶,老鸭汤"
34,大蔬无界(诚品店),31.3209854,120.7103678,242.0,素食,11:00,22:00,"满城尽带黄金甲,卷珠帘,彩虹,炸腐衣豆排,耦合,巴蜀夫妻,接地气,黄咖喱,照烧杏鲍菇,糙米饭"
35,鼎膳·匠宴(高铁新城店),31.4174823,120.6432187,597.0,江浙菜,11:00,20:30,"苏式方肉,茉莉花鸽蛋冬瓜盅,苏式盐水老鹅头,茅台吊烧雪花牛肉,苏式红汤面,桂花鸡头米酸奶,茅台水晶肉"
36,苏州希尔顿酒店-BACIO意大利餐厅,31.324083,120.7341969,387.0,西餐,17:00,21:30,"战斧牛排,意大利帕尔玛火腿,进口生蚝,黑松露奶油蘑菇汤,巧克力火焰蛋糕,自制手工意面"
37,杜三珍(石路直营总店),31.3147759,120.6039819,58.0,小吃,07:30,18:00,"五香小肉,酱鸭,三珍酱肉,卤味鸡爪,酱汁肉,五香牛腱"
38,美味斋(西北街店),31.3217802,120.6243834,22.0,小吃,06:00,13:30,"炒肉焖肉面,油焖爆鳝面,辣酱面,爆鳝虾仁面,爆鱼焖肉面,素什锦"
39,伟记奥面馆(白塔东路店),31.3185739,120.6301358,24.0,小吃,06:00,19:00,"牛肉香菇面,大排香菇面,面筋面,爆鱼焖肉面,特色卤鸭面,奥香爆鳝面"
40,L'Arôme芳芳法国餐厅(苏州中心店),31.3153861,120.6789768,485.0,西餐,11:30,21:30,"惠林顿牛排,印象派睡莲扇贝,香煎法国热鹅肝,鹅肝牛排饭,凯撒色拉,招牌拿破仑千层酥"
41,洪禧楼·老广东海鲜酒楼(苏州中心店),31.3196625,120.6780397,151.0,粤菜,11:00,21:00,"酥皮牛奶包,广式黑椒骨,金汤花胶鸡,脆皮虾肠粉,蜜汁肥火叉烧"
42,凌轩阁·苏浙菜(李公堤店),31.3023246,120.6908857,237.0,江浙菜,10:00,22:00, 
43,龙鲜会·澳门生鲜火锅(诚品店),31.3207524,120.7091329,204.0,火锅,11:00,22:00,"食神招牌花胶鸡,澳洲和牛小排,斑节虾,炸响铃,王中王腐皮,食神炒饭"
44,小欢喜(南新路店),31.3114893,120.6059726,81.0,江浙菜,10:00,21:00,"香酥鸭,清溜虾仁,响油鳝糊,酒香金花菜,椒盐排条,炸猪排"
