hotel_id,city_name,country,name,about,address,longitude,latitude,amenities_group,amenities,price,rating,star,rate_of_restaurant
1,Lisbon,Portugal,Lisbon Pearl Inn 1,"Lisbon Pearl Inn 1 is a 4-star hotel in Lisbon, Portugal, offering Wi-Fi, Luggage storage, Air conditioning, Room cleaning service, Safety deposit box, Television, 24-hour front desk, Late room service, On-site bars, Rooftop lounges/nightclubs, Parking, EV charging for electric vehicles, Scenic rooms, Sunrise calls, Photography services/packages. Average price is 41.0 USD per night. Enjoy comfortable stays with a rating of 10.0/5. The on-site restaurant is rated 1/5.","387-890 Shirokane Street, Lisbon",-9.175917468447317,38.74662157247102,"['nightlife enthusiast', 'road trip', 'photography']","['Wi-Fi', 'Luggage storage', 'Air conditioning', 'Room cleaning service', 'Safety deposit box', 'Television', '24-hour front desk', 'Late room service', 'On-site bars', 'Rooftop lounges/nightclubs', 'Parking', 'EV charging for electric vehicles', 'Scenic rooms', 'Sunrise calls', 'Photography services/packages']",41.0,10.0,4.0,1
2,Lisbon,Portugal,Lisbon Plaza Resort 2,"Lisbon Plaza Resort 2 is a 4-star hotel in Lisbon, Portugal, offering Wi-Fi, Luggage storage, Air conditioning, Room cleaning service, Safety deposit box, Television, 24-hour front desk, Late room service, On-site bars, Rooftop lounges/nightclubs, Scenic rooms, Sunrise calls, Photography services/packages, Accessible entrances, Ramps/lifts, Accessible rooms/bathrooms, Braille/raised signage. Average price is 75.0 USD per night. Enjoy comfortable stays with a rating of 8.4/5. The on-site restaurant is rated 5/5.","280 Riverside Drive, Lisbon",-9.126318895984568,38.729874028597216,"['nightlife enthusiast', 'photography', 'disabled traveler']","['Wi-Fi', 'Luggage storage', 'Air conditioning', 'Room cleaning service', 'Safety deposit box', 'Television', '24-hour front desk', 'Late room service', 'On-site bars', 'Rooftop lounges/nightclubs', 'Scenic rooms', 'Sunrise calls', 'Photography services/packages', 'Accessible entrances', 'Ramps/lifts', 'Accessible rooms/bathrooms', 'Braille/raised signage']",75.0,8.4,4.5,5
3,Lisbon,Portugal,Lisbon Sunrise Inn 3,"Lisbon Sunrise Inn 3 is a 3-star hotel in Lisbon, Portugal, offering Wi-Fi, Luggage storage, Air conditioning, Room cleaning service, Safety deposit box, Television, Child-friendly rooms, Baby cots, Stroller storage, Diaper changing tables, Nursing rooms, Bathtubs/jacuzzis, Scenic rooms/villas, Spa, Pet-friendly, Pet rest area, Pet beds, Durable floors. Average price is 57.0 USD per night. Enjoy comfortable stays with a rating of 10.0/5. The on-site restaurant is rated 5/5.","351 Shibuya Crossing Street, Shibuya Ward, Lisbon",-9.104057832506712,38.78351005378389,"['with children', 'couples trip', 'with pets']","['Wi-Fi', 'Luggage storage', 'Air conditioning', 'Room cleaning service', 'Safety deposit box', 'Television', 'Child-friendly rooms', 'Baby cots', 'Stroller storage', 'Diaper changing tables', 'Nursing rooms', 'Bathtubs/jacuzzis', 'Scenic rooms/villas', 'Spa', 'Pet-friendly', 'Pet rest area', 'Pet beds', 'Durable floors']",57.0,10.0,3.0,5
4,Lisbon,Portugal,Lisbon Suites Resort 4,"Lisbon Suites Resort 4 is a 3-star hotel in Lisbon, Portugal, offering Wi-Fi, Luggage storage, Air conditioning, Room cleaning service, Safety deposit box, Television, Women-only floors/rooms, Privacy-conscious check-in, 24-hour security, Surveillance cameras, Double locks on doors, 24-hour front desk, Late room service, On-site bars, Rooftop lounges/nightclubs, Free Wi-Fi, Communal kitchens, Laundry, Lockers. Average price is 32.0 USD per night. Enjoy comfortable stays with a rating of 7.8/5. The on-site restaurant is rated 5/5.","No. 458, Xiamen Road, Lisbon",-9.176957523454904,38.73185853388004,"['solo women', 'nightlife enthusiast', 'fast-paced budget travel']","['Wi-Fi', 'Luggage storage', 'Air conditioning', 'Room cleaning service', 'Safety deposit box', 'Television', 'Women-only floors/rooms', 'Privacy-conscious check-in', '24-hour security', 'Surveillance cameras', 'Double locks on doors', '24-hour front desk', 'Late room service', 'On-site bars', 'Rooftop lounges/nightclubs', 'Free Wi-Fi', 'Communal kitchens', 'Laundry', 'Lockers']",32.0,7.8,3.0,5
5,Lisbon,Portugal,Alfama Riverside Retreat,"Alfama Riverside Retreat is a 4-star hotel in Lisbon, Portugal, offering Wi-Fi, Luggage storage, Air conditioning, Room cleaning service, Safety deposit box, Television, Women-only floors/rooms, Privacy-conscious check-in, 24-hour security, Surveillance cameras, Double locks on doors, Scenic rooms, Sunrise calls, Photography services/packages, Accessible entrances, Ramps/lifts, Accessible rooms/bathrooms, Braille/raised signage. Average price is 63.0 USD per night. Enjoy comfortable stays with a rating of 10.0/5. The on-site restaurant is rated 5/5.","154 Seogwipo Beach Road, Lisbon",-9.122146777154027,38.73362564663294,"['solo women', 'photography', 'disabled traveler']","['Wi-Fi', 'Luggage storage', 'Air conditioning', 'Room cleaning service', 'Safety deposit box', 'Television', 'Women-only floors/rooms', 'Privacy-conscious check-in', '24-hour security', 'Surveillance cameras', 'Double locks on doors', 'Scenic rooms', 'Sunrise calls', 'Photography services/packages', 'Accessible entrances', 'Ramps/lifts', 'Accessible rooms/bathrooms', 'Braille/raised signage']",63.0,10.0,4.0,5
6,Lisbon,Portugal,Lisbon Inn Suites 5,"Lisbon Inn Suites 5 is a 4-star hotel in Lisbon, Portugal, offering Wi-Fi, Luggage storage, Air conditioning, Room cleaning service, Safety deposit box, Television, High speed WiFi, Business center, Meeting rooms, Laundry service, Print machine, Bathtubs/jacuzzis, Scenic rooms/villas, Spa, Accessible entrances, Ramps/lifts, Accessible rooms/bathrooms, Braille/raised signage. Average price is 199.0 USD per night. Enjoy comfortable stays with a rating of 8.6/5. The on-site restaurant is rated 5/5.","No. 456, Xuehua Road, Lisbon",-9.193738076076698,38.705616581534535,"['business travelers', 'couples trip', 'disabled traveler']","['Wi-Fi', 'Luggage storage', 'Air conditioning', 'Room cleaning service', 'Safety deposit box', 'Television', 'High speed WiFi', 'Business center', 'Meeting rooms', 'Laundry service', 'Print machine', 'Bathtubs/jacuzzis', 'Scenic rooms/villas', 'Spa', 'Accessible entrances', 'Ramps/lifts', 'Accessible rooms/bathrooms', 'Braille/raised signage']",199.0,8.6,4.0,5
7,Lisbon,Portugal,Azure Vista Garden Resort,"Azure Vista Garden Resort is a 3-star hotel in Lisbon, Portugal, offering Wi-Fi, Luggage storage, Air conditioning, Room cleaning service, Safety deposit box, Television, Women-only floors/rooms, Privacy-conscious check-in, 24-hour security, Surveillance cameras, Double locks on doors, High speed WiFi, Business center, Meeting rooms, Laundry service, Print machine, Accessible entrances, Ramps/lifts, Accessible rooms/bathrooms, Braille/raised signage. Average price is 131.0 USD per night. Enjoy comfortable stays with a rating of 9.4/5. The on-site restaurant is rated 5/5.","686 Suthep Road, Lisbon",-9.142599478388812,38.74042377251026,"['solo women', 'business travelers', 'disabled traveler']","['Wi-Fi', 'Luggage storage', 'Air conditioning', 'Room cleaning service', 'Safety deposit box', 'Television', 'Women-only floors/rooms', 'Privacy-conscious check-in', '24-hour security', 'Surveillance cameras', 'Double locks on doors', 'High speed WiFi', 'Business center', 'Meeting rooms', 'Laundry service', 'Print machine', 'Accessible entrances', 'Ramps/lifts', 'Accessible rooms/bathrooms', 'Braille/raised signage']",131.0,9.4,3.0,5
8,Lisbon,Portugal,Lisbon Plaza Suites 6,"Lisbon Plaza Suites 6 is a 3-star hotel in Lisbon, Portugal, offering Wi-Fi, Luggage storage, Air conditioning, Room cleaning service, Safety deposit box, Television, Child-friendly rooms, Baby cots, Stroller storage, Diaper changing tables, Nursing rooms, 24-hour front desk, Late room service, On-site bars, Rooftop lounges/nightclubs, Free Wi-Fi, Communal kitchens, Laundry, Lockers. Average price is 364.0 USD per night. Enjoy comfortable stays with a rating of 8.8/5. The on-site restaurant is rated 5/5.","584-8901 Sapporo City, Lisbon",-9.148660130946016,38.74262712946815,"['with children', 'nightlife enthusiast', 'fast-paced budget travel']","['Wi-Fi', 'Luggage storage', 'Air conditioning', 'Room cleaning service', 'Safety deposit box', 'Television', 'Child-friendly rooms', 'Baby cots', 'Stroller storage', 'Diaper changing tables', 'Nursing rooms', '24-hour front desk', 'Late room service', 'On-site bars', 'Rooftop lounges/nightclubs', 'Free Wi-Fi', 'Communal kitchens', 'Laundry', 'Lockers']",364.0,8.8,3.5,5
9,Lisbon,Portugal,Sunset Views Garden Resort,"Sunset Views Garden Resort is a 3-star hotel in Lisbon, Portugal, offering Wi-Fi, Luggage storage, Air conditioning, Room cleaning service, Safety deposit box, Television, Parking, 24-hour front desk, EV charging for electric vehicles, Scenic rooms, Sunrise calls, Photography services/packages, Pet-friendly, Pet rest area, Pet beds, Durable floors. Average price is 180.0 USD per night. Enjoy comfortable stays with a rating of 6.0/5. The on-site restaurant is rated 2/5.","584-8901 Sapporo City, Lisbon",-9.176198535460491,38.70002925054746,"['road trip', 'photography', 'with pets']","['Wi-Fi', 'Luggage storage', 'Air conditioning', 'Room cleaning service', 'Safety deposit box', 'Television', 'Parking', '24-hour front desk', 'EV charging for electric vehicles', 'Scenic rooms', 'Sunrise calls', 'Photography services/packages', 'Pet-friendly', 'Pet rest area', 'Pet beds', 'Durable floors']",180.0,6.0,3.0,2
10,Lisbon,Portugal,Serenity Bay Palace Resort,"Serenity Bay Palace Resort is a 4-star hotel in Lisbon, Portugal, offering Wi-Fi, Luggage storage, Air conditioning, Room cleaning service, Safety deposit box, Television, Child-friendly rooms, Baby cots, Stroller storage, Diaper changing tables, Nursing rooms, Parking, 24-hour front desk, EV charging for electric vehicles, Accessible entrances, Ramps/lifts, Accessible rooms/bathrooms, Braille/raised signage. Average price is 83.0 USD per night. Enjoy comfortable stays with a rating of 9.0/5. The on-site restaurant is rated 5/5.","No. 456, Xingqing West Road, Lisbon",-9.114405692977517,38.72413194850764,"['with children', 'road trip', 'disabled traveler']","['Wi-Fi', 'Luggage storage', 'Air conditioning', 'Room cleaning service', 'Safety deposit box', 'Television', 'Child-friendly rooms', 'Baby cots', 'Stroller storage', 'Diaper changing tables', 'Nursing rooms', 'Parking', '24-hour front desk', 'EV charging for electric vehicles', 'Accessible entrances', 'Ramps/lifts', 'Accessible rooms/bathrooms', 'Braille/raised signage']",83.0,9.0,4.5,5
