attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Ponta Delgada,Portugal,Nature/Scenery/Park,Azores Green Haven,"Azores Green Haven is a nature in Ponta Delgada, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Azores Green Haven, a peaceful nature in Ponta Delgada, Portugal, ideal for nature lovers. Open 08:30-17:00, entry 17.5 USD.",17.5,08:30-17:00,3 hours,3.7,"453 Shimbashi Street, Shibuya Ward, Ponta Delgada",37.78739800971103,-25.634264036580152,"['nightlife enthusiast', 'with pets', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'High speed WiFi']"
2,Ponta Delgada,Portugal,Nature/Scenery/Park,Verde Vista Trail Discovery,"Verde Vista Trail Discovery is a nature in Ponta Delgada, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 3.36 USD. Recommended visit: 3 hours. Discover Verde Vista Trail Discovery, a peaceful nature in Ponta Delgada, Portugal, ideal for nature lovers. Open 10:00-18:00, entry 3.36 USD.",3.36,10:00-18:00,3 hours,3.7,"680 Seaside Promenade, Ponta Delgada",37.834716264611046,-25.798338890493003,"['nightlife enthusiast', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
3,Ponta Delgada,Portugal,Nature/Scenery/Park,Coveview Sanctuary,"Coveview Sanctuary is a nature in Ponta Delgada, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Coveview Sanctuary, a peaceful nature in Ponta Delgada, Portugal, ideal for nature lovers. Open 08:30-20:00, entry 1.4 USD.",1.4,08:30-20:00,3 hours,3.7,"No. 456 Xujiahui Road, Ponta Delgada",37.81436583481866,-25.73097427688337,"['with children', 'solo women', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations']"
4,Ponta Delgada,Portugal,Nature/Scenery/Park,Azores Coastal Pathway,"Azores Coastal Pathway is a nature in Ponta Delgada, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Azores Coastal Pathway, a peaceful nature in Ponta Delgada, Portugal, ideal for nature lovers. Open 08:30-17:30, entry 7.57 USD.",7.57,08:30-17:30,3 hours,3.7,"974 Gwanghwamun Street, Jongno-gu, Ponta Delgada",37.77478190969757,-25.63374489761696,"['with pets', 'couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
5,Ponta Delgada,Portugal,Nature/Scenery/Park,Moonlit Bay Journey,"Moonlit Bay Journey is a nature in Ponta Delgada, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 9.8 USD. Recommended visit: 3 hours. Discover Moonlit Bay Journey, a peaceful nature in Ponta Delgada, Portugal, ideal for nature lovers. Open 09:00-17:30, entry 9.8 USD.",9.8,09:00-17:30,3 hours,3.7,"758 Suthep Road, Ponta Delgada",37.79214470975611,-25.69656101283224,['nightlife enthusiast'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows']"
6,Ponta Delgada,Portugal,Nature/Scenery/Park,Crimson Ridge Vista,"Crimson Ridge Vista is a nature in Ponta Delgada, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Crimson Ridge Vista, a peaceful nature in Ponta Delgada, Portugal, ideal for nature lovers. Open 08:30-17:00, entry 11.05 USD.",11.05,08:30-17:00,3 hours,3.7,"440 Sakura-dori, Naka-ku, Ponta Delgada",37.79224353268506,-25.77273384594129,"['fast-paced budget travel', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
7,Ponta Delgada,Portugal,Nature/Scenery/Park,Verde Vista EcoTrail,"Verde Vista EcoTrail is a nature in Ponta Delgada, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 55.55 USD. Recommended visit: 3 hours. Discover Verde Vista EcoTrail, a peaceful nature in Ponta Delgada, Portugal, ideal for nature lovers. Open 08:30-17:30, entry 55.55 USD.",55.55,08:30-17:30,3 hours,3.7,"No. 125 Jianfu Temple Road, Ponta Delgada",37.88724786635105,-25.72859950958885,"['solo women', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
8,Ponta Delgada,Portugal,Nature/Scenery/Park,Serra d'Arga Explorer Pass + Vista do Pico Cable Car + Lagoa do Fogo Nature Loop,"Serra d'Arga Explorer Pass + Vista do Pico Cable Car + Lagoa do Fogo Nature Loop is a nature in Ponta Delgada, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover Serra d'Arga Explorer Pass + Vista do Pico Cable Car + Lagoa do Fogo Nature Loop, a peaceful nature in Ponta Delgada, Portugal, ideal for nature lovers. Open 09:30-17:00, entry 5.15 USD.",5.15,09:30-17:00,3 hours,3.7,"501 Seifukuen Street, Chuo Ward, Ponta Delgada",37.861066695906594,-25.74589103581364,"['with children', 'with pets', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas']"
9,Ponta Delgada,Portugal,Nature/Scenery/Park,Azure Horizon Outlook,"Azure Horizon Outlook is a nature in Ponta Delgada, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Azure Horizon Outlook, a peaceful nature in Ponta Delgada, Portugal, ideal for nature lovers. Open 09:30-17:00, entry 2.8 USD.",2.8,09:30-17:00,3 hours,3.7,"823 Suthep Road, Ponta Delgada",37.87796847330964,-25.758754403055185,"['with pets', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
10,Ponta Delgada,Portugal,Nature/Scenery/Park,VerdeVibe Explorer Hub,"VerdeVibe Explorer Hub is a nature in Ponta Delgada, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover VerdeVibe Explorer Hub, a peaceful nature in Ponta Delgada, Portugal, ideal for nature lovers. Open 08:00-20:00, entry 4.36 USD.",4.36,08:00-20:00,3 hours,3.7,"951 Sathorn Unique, Sathorn, Ponta Delgada",37.79073129409633,-25.642623486963107,"['fast-paced budget travel', 'couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
