attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Rio De Janeiro,Brazil,Nature/Scenery/Park,Serra Verde Botanical Haven,"Serra Verde Botanical Haven is a nature in Rio De Janeiro, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Serra Verde Botanical Haven, a peaceful nature in Rio De Janeiro, Brazil, ideal for nature lovers. Open 08:30-17:30, entry 14.98 USD.",14.98,08:30-17:30,3 hours,3.7,"372-12-8 Shibuya, Rio De Janeiro",-22.864380013884908,-43.45958191577664,"['foodie', 'photography', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences']"
2,Rio De Janeiro,Brazil,Nature/Scenery/Park,Verde Vale EcoTrail,"Verde Vale EcoTrail is a nature in Rio De Janeiro, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Verde Vale EcoTrail, a peaceful nature in Rio De Janeiro, Brazil, ideal for nature lovers. Open 08:30-17:30, entry 12.32 USD.",12.32,08:30-17:30,3 hours,3.7,"270/20 Maha Chai Road, Sathorn District, Rio De Janeiro",-23.01571994311418,-43.58647815974391,"['fast-paced budget travel', 'with pets', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas']"
3,Rio De Janeiro,Brazil,Nature/Scenery/Park,Cristalna Skyward Grove,"Cristalna Skyward Grove is a nature in Rio De Janeiro, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 55.55 USD. Recommended visit: 3 hours. Discover Cristalna Skyward Grove, a peaceful nature in Rio De Janeiro, Brazil, ideal for nature lovers. Open 08:00-20:00, entry 55.55 USD.",55.55,08:00-20:00,3 hours,3.7,"No. 456 Cultural Road, Rio De Janeiro",-22.93683371439344,-43.50888987099733,"['with pets', 'photography', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours']"
4,Rio De Janeiro,Brazil,Nature/Scenery/Park,Serra Verde Adventure Trail,"Serra Verde Adventure Trail is a nature in Rio De Janeiro, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.87 USD. Recommended visit: 3 hours. Discover Serra Verde Adventure Trail, a peaceful nature in Rio De Janeiro, Brazil, ideal for nature lovers. Open 08:30-17:00, entry 4.87 USD.",4.87,08:30-17:00,3 hours,3.7,"379 Gwanghwamun Street, Jongno-gu, Rio De Janeiro",-22.94762051408621,-43.20180369174812,"['solo women', 'couples trip', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas']"
5,Rio De Janeiro,Brazil,Nature/Scenery/Park,Lagoon Moonlight Voyage,"Lagoon Moonlight Voyage is a nature in Rio De Janeiro, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Lagoon Moonlight Voyage, a peaceful nature in Rio De Janeiro, Brazil, ideal for nature lovers. Open 09:00-17:30, entry 6.39 USD.",6.39,09:00-17:30,3 hours,3.7,"125 Queen's Road Central, Rio De Janeiro",-22.90742069599973,-43.42748674318784,"['fast-paced budget travel', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'parking']"
6,Rio De Janeiro,Brazil,Nature/Scenery/Park,Canyon Vista Reserve,"Canyon Vista Reserve is a nature in Rio De Janeiro, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover Canyon Vista Reserve, a peaceful nature in Rio De Janeiro, Brazil, ideal for nature lovers. Open 06:00-20:00, entry 12.93 USD.",12.93,06:00-20:00,3 hours,3.7,"306 Sukhumvit Road, Khlong Toei District, Rio De Janeiro",-22.897126565243088,-43.37697337504721,"['photography', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']"
7,Rio De Janeiro,Brazil,Nature/Scenery/Park,Verdant Vista Retreat,"Verdant Vista Retreat is a nature in Rio De Janeiro, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Verdant Vista Retreat, a peaceful nature in Rio De Janeiro, Brazil, ideal for nature lovers. Open 09:00-17:30, entry 22.61 USD.",22.61,09:00-17:30,3 hours,3.7,"728 Sakura Street, Rio De Janeiro",-23.02425680044989,-43.49234799813362,"['fast-paced budget travel', 'solo women']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security']"
8,Rio De Janeiro,Brazil,Nature/Scenery/Park,Carioca Skyline Adventure Pass,"Carioca Skyline Adventure Pass is a nature in Rio De Janeiro, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Carioca Skyline Adventure Pass, a peaceful nature in Rio De Janeiro, Brazil, ideal for nature lovers. Open 09:00-17:30, entry 8.12 USD.",8.12,09:00-17:30,3 hours,3.7,"923 Seomyeon-ro, Rio De Janeiro",-22.92747384793936,-43.18697742022525,"['nightlife enthusiast', 'photography', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'photo spots', 'guided photo tours', 'charging stations', 'High speed WiFi']"
9,Rio De Janeiro,Brazil,Nature/Scenery/Park,Azure Horizon Cliffs,"Azure Horizon Cliffs is a nature in Rio De Janeiro, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 51.08 USD. Recommended visit: 3 hours. Discover Azure Horizon Cliffs, a peaceful nature in Rio De Janeiro, Brazil, ideal for nature lovers. Open 08:30-17:30, entry 51.08 USD.",51.08,08:30-17:30,3 hours,3.7,"745 Sakura Street, Naka-ku, Rio De Janeiro",-22.943228456481343,-43.262912825526485,"['with children', 'fast-paced budget travel', 'solo women']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security']"
10,Rio De Janeiro,Brazil,Nature/Scenery/Park,Verde Vortex Playland,"Verde Vortex Playland is a nature in Rio De Janeiro, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Verde Vortex Playland, a peaceful nature in Rio De Janeiro, Brazil, ideal for nature lovers. Open 09:30-17:00, entry 7.57 USD.",7.57,09:30-17:00,3 hours,3.7,"No. 456 Xinglin Road, Rio De Janeiro",-22.89258087611413,-43.69004451666015,"['nightlife enthusiast', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'High speed WiFi']"
