attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Fuzhou,China,Nature/Scenery/Park,Lushan Green Haven,"Lushan Green Haven is a nature in Fuzhou, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Lushan Green Haven, a peaceful nature in Fuzhou, China, ideal for nature lovers. Open 09:00-17:30, entry 11.76 USD.",11.76,09:00-17:30,3 hours,3.7,"158 Sakura Street, Nakamura Ward, Fuzhou",26.483202933449547,119.43488703800394,"['photography', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'High speed WiFi']"
2,Fuzhou,China,Nature/Scenery/Park,Verdant Veil Trail,"Verdant Veil Trail is a nature in Fuzhou, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.17 USD. Recommended visit: 3 hours. Discover Verdant Veil Trail, a peaceful nature in Fuzhou, China, ideal for nature lovers. Open 09:00-17:00, entry 6.17 USD.",6.17,09:00-17:00,3 hours,3.7,"923 Seomyeon-ro, Fuzhou",26.386421846530407,119.35887315896956,"['fast-paced budget travel', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
3,Fuzhou,China,Nature/Scenery/Park,Verdant Haven Sanctuary,"Verdant Haven Sanctuary is a nature in Fuzhou, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 294.64 USD. Recommended visit: 3 hours. Discover Verdant Haven Sanctuary, a peaceful nature in Fuzhou, China, ideal for nature lovers. Open 08:30-18:00, entry 294.64 USD.",294.64,08:30-18:00,3 hours,3.7,"140 Gwanghwamun Street, Jongno-gu, Fuzhou",26.320480870182777,119.0907638168603,['couples trip'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences']"
4,Fuzhou,China,Nature/Scenery/Park,Lingxiu Riverwalk Trail,"Lingxiu Riverwalk Trail is a nature in Fuzhou, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.53 USD. Recommended visit: 3 hours. Discover Lingxiu Riverwalk Trail, a peaceful nature in Fuzhou, China, ideal for nature lovers. Open 08:30-20:00, entry 12.53 USD.",12.53,08:30-20:00,3 hours,3.7,"138-8901 Fukuoka City, 1-2-3 Nakasu, Fuzhou",26.374655914705592,119.3209333764425,"['with children', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
5,Fuzhou,China,Nature/Scenery/Park,Moonlit Bay Gondola,"Moonlit Bay Gondola is a nature in Fuzhou, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 55.55 USD. Recommended visit: 3 hours. Discover Moonlit Bay Gondola, a peaceful nature in Fuzhou, China, ideal for nature lovers. Open 08:00-20:00, entry 55.55 USD.",55.55,08:00-20:00,3 hours,3.7,"No. 456 Riverside Avenue, Yuexiu District, Fuzhou",25.56501557670812,119.27514184027112,"['couples trip', 'foodie', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'Food markets', 'tasting tours', 'High speed WiFi']"
6,Fuzhou,China,Nature/Scenery/Park,Emerald Ridge Sanctuary,"Emerald Ridge Sanctuary is a nature in Fuzhou, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover Emerald Ridge Sanctuary, a peaceful nature in Fuzhou, China, ideal for nature lovers. Open 08:00-19:00, entry 12.93 USD.",12.93,08:00-19:00,3 hours,3.7,"498 Sukhumvit Road, Fuzhou",25.7367293980568,118.73997144410376,"['nightlife enthusiast', 'with children']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities']"
7,Fuzhou,China,Nature/Scenery/Park,Evergreen Vista Culinary Grove,"Evergreen Vista Culinary Grove is a nature in Fuzhou, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Evergreen Vista Culinary Grove, a peaceful nature in Fuzhou, China, ideal for nature lovers. Open 08:00-20:00, entry 22.61 USD.",22.61,08:00-20:00,3 hours,3.7,"562 Seogwipo Street, Fuzhou",25.922627424685867,118.519312781057,"['with children', 'fast-paced budget travel', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'parking']"
8,Fuzhou,China,Nature/Scenery/Park,Fuzhou Green Valley Sky Cable & Summit Pass,"Fuzhou Green Valley Sky Cable & Summit Pass is a nature in Fuzhou, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 9.8 USD. Recommended visit: 3 hours. Discover Fuzhou Green Valley Sky Cable & Summit Pass, a peaceful nature in Fuzhou, China, ideal for nature lovers. Open 09:00-17:30, entry 9.8 USD.",9.8,09:00-17:30,3 hours,3.7,"132 Shinsaibashi Street, Chuo Ward, Fuzhou",25.721958544600948,118.5099201569172,"['fast-paced budget travel', 'luxury travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'High speed WiFi']"
9,Fuzhou,China,Nature/Scenery/Park,Azure Horizon Grove,"Azure Horizon Grove is a nature in Fuzhou, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 3.36 USD. Recommended visit: 3 hours. Discover Azure Horizon Grove, a peaceful nature in Fuzhou, China, ideal for nature lovers. Open 08:00-20:00, entry 3.36 USD.",3.36,08:00-20:00,3 hours,3.7,"961 Sakura Street, Nishi Ward, Fuzhou",25.69231904850172,118.72701083820724,"['couples trip', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
10,Fuzhou,China,Nature/Scenery/Park,Verdant Quest Playland,"Verdant Quest Playland is a nature in Fuzhou, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.87 USD. Recommended visit: 3 hours. Discover Verdant Quest Playland, a peaceful nature in Fuzhou, China, ideal for nature lovers. Open 06:00-20:00, entry 4.87 USD.",4.87,06:00-20:00,3 hours,3.7,"375 Phra Singh Road, Fuzhou",26.19346849208281,118.9993955499849,"['with children', 'solo women']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security']"
