attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Tromsø,Norway,Nature/Scenery/Park,Fjellskogen Arctic Refuge,"Fjellskogen Arctic Refuge is a nature in Tromsø, Norway, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Fjellskogen Arctic Refuge, a peaceful nature in Tromsø, Norway, ideal for nature lovers. Open 08:00-18:00, entry 24.24 USD.",24.24,08:00-18:00,3 hours,3.7,"No. 456 Riverside Promenade, Tromsø",69.87237184887493,18.784598930529025,"['with pets', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
2,Tromsø,Norway,Nature/Scenery/Park,Fjelltoppen Wildland Trek,"Fjelltoppen Wildland Trek is a nature in Tromsø, Norway, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Fjelltoppen Wildland Trek, a peaceful nature in Tromsø, Norway, ideal for nature lovers. Open 08:30-19:00, entry 1.4 USD.",1.4,08:30-19:00,3 hours,3.7,"580 Shinsaibashi-suji, Chuo Ward, Tromsø",69.47732611908737,18.67946902100212,"['fast-paced budget travel', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
3,Tromsø,Norway,Nature/Scenery/Park,Fjordlight Sanctuary,"Fjordlight Sanctuary is a nature in Tromsø, Norway, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover Fjordlight Sanctuary, a peaceful nature in Tromsø, Norway, ideal for nature lovers. Open 09:30-17:00, entry 37.95 USD.",37.95,09:30-17:00,3 hours,3.7,"No. 456, Xiangshan Road, Tromsø",69.46398893862403,18.78672798678626,"['road trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking', 'High speed WiFi']"
4,Tromsø,Norway,Nature/Scenery/Park,Northern Lights Trail,"Northern Lights Trail is a nature in Tromsø, Norway, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Northern Lights Trail, a peaceful nature in Tromsø, Norway, ideal for nature lovers. Open 08:00-20:00, entry 11.05 USD.",11.05,08:00-20:00,3 hours,3.7,"991 Charoenkrung Road, Samranjit, Tromsø",69.58882631277078,19.073832935455805,"['nightlife enthusiast', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'wheelchair rental', 'benches/rest areas', 'parking']"
5,Tromsø,Norway,Nature/Scenery/Park,Polar Glow Boat Tour,"Polar Glow Boat Tour is a nature in Tromsø, Norway, popular for its natural scenery and relaxing atmosphere. Entry fee is 3.36 USD. Recommended visit: 3 hours. Discover Polar Glow Boat Tour, a peaceful nature in Tromsø, Norway, ideal for nature lovers. Open 09:00-18:00, entry 3.36 USD.",3.36,09:00-18:00,3 hours,3.7,"226 Seocho-ro, Ssangmundong-gu, Tromsø",69.60881774215021,19.59443901495871,"['fast-paced budget travel', 'with pets', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours']"
6,Tromsø,Norway,Nature/Scenery/Park,Fjellhøgda Skyline Reserve,"Fjellhøgda Skyline Reserve is a nature in Tromsø, Norway, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Fjellhøgda Skyline Reserve, a peaceful nature in Tromsø, Norway, ideal for nature lovers. Open 08:30-17:30, entry 12.32 USD.",12.32,08:30-17:30,3 hours,3.7,"296 Suthep Road, Tromsø",69.56259465221831,19.93150427370815,"['nightlife enthusiast', 'photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
7,Tromsø,Norway,Nature/Scenery/Park,Arctic Skywalk & Sushi Haven,"Arctic Skywalk & Sushi Haven is a nature in Tromsø, Norway, popular for its natural scenery and relaxing atmosphere. Entry fee is 51.08 USD. Recommended visit: 3 hours. Discover Arctic Skywalk & Sushi Haven, a peaceful nature in Tromsø, Norway, ideal for nature lovers. Open 09:00-17:30, entry 51.08 USD.",51.08,09:00-17:30,3 hours,3.7,"957 Charoenkrung Road, Samran Riverside, Tromsø",69.9392781477026,19.01688914544302,"['foodie', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
8,Tromsø,Norway,Nature/Scenery/Park,Northern Lights Explorer Pass + Skytta Summit Cable Car + Midnight Glacier Trail,"Northern Lights Explorer Pass + Skytta Summit Cable Car + Midnight Glacier Trail is a nature in Tromsø, Norway, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.35 USD. Recommended visit: 3 hours. Discover Northern Lights Explorer Pass + Skytta Summit Cable Car + Midnight Glacier Trail, a peaceful nature in Tromsø, Norway, ideal for nature lovers. Open 08:30-17:00, entry 7.35 USD.",7.35,08:30-17:00,3 hours,3.7,"265 Suthep Road, Tromsø",69.53084633472808,18.21473618422001,"['solo women', 'with pets', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events']"
9,Tromsø,Norway,Nature/Scenery/Park,Fjord Horizon Outlook,"Fjord Horizon Outlook is a nature in Tromsø, Norway, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.44 USD. Recommended visit: 3 hours. Discover Fjord Horizon Outlook, a peaceful nature in Tromsø, Norway, ideal for nature lovers. Open 08:30-17:00, entry 6.44 USD.",6.44,08:30-17:00,3 hours,3.7,"506 Shinjuku Skywalk, Shinjuku, Tromsø",69.7112861932901,18.80752907354766,"['nightlife enthusiast', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
10,Tromsø,Norway,Nature/Scenery/Park,Polar Skyplay Hub,"Polar Skyplay Hub is a nature in Tromsø, Norway, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.17 USD. Recommended visit: 3 hours. Discover Polar Skyplay Hub, a peaceful nature in Tromsø, Norway, ideal for nature lovers. Open 08:00-19:00, entry 6.17 USD.",6.17,08:00-19:00,3 hours,3.7,"305 Shibuya Street, Shibuya Ward, Tromsø",69.5416105462485,18.37571084487661,"['fast-paced budget travel', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
