attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Tunis,Tunisia,Nature/Scenery/Park,Sahel Green Haven,"Sahel Green Haven is a nature in Tunis, Tunisia, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Sahel Green Haven, a peaceful nature in Tunis, Tunisia, ideal for nature lovers. Open 08:30-17:00, entry 2.0 USD.",2.0,08:30-17:00,3 hours,3.7,"722 Chalong Bay Road, Tunis",36.765779780560166,10.078170778078505,"['with pets', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas']"
2,Tunis,Tunisia,Nature/Scenery/Park,Mediterranean Wildscape Trail,"Mediterranean Wildscape Trail is a nature in Tunis, Tunisia, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Mediterranean Wildscape Trail, a peaceful nature in Tunis, Tunisia, ideal for nature lovers. Open 09:00-18:00, entry 11.76 USD.",11.76,09:00-18:00,3 hours,3.7,"No. 128, Tianhe Road, Tianhe District, Tunis",36.75420573850457,10.074880680112573,"['with children', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
3,Tunis,Tunisia,Nature/Scenery/Park,Sahel Serenity Grove,"Sahel Serenity Grove is a nature in Tunis, Tunisia, popular for its natural scenery and relaxing atmosphere. Entry fee is 19.18 USD. Recommended visit: 3 hours. Discover Sahel Serenity Grove, a peaceful nature in Tunis, Tunisia, ideal for nature lovers. Open 09:00-17:30, entry 19.18 USD.",19.18,09:00-17:30,3 hours,3.7,"254 Shibuya Crossing Street, Shibuya Ward, Tunis",36.73802806612334,10.175632664314785,"['nightlife enthusiast', 'photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
4,Tunis,Tunisia,Nature/Scenery/Park,Medina Bay Walk,"Medina Bay Walk is a nature in Tunis, Tunisia, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Medina Bay Walk, a peaceful nature in Tunis, Tunisia, ideal for nature lovers. Open 08:00-20:00, entry 29.53 USD.",29.53,08:00-20:00,3 hours,3.7,"356 Gukje-gil, Gukje-gu, Tunis",36.77642512886469,10.04783485525136,"['with children', 'elderly travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'wheelchair rental', 'benches/rest areas', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
5,Tunis,Tunisia,Nature/Scenery/Park,Moonlit Bay Excursion,"Moonlit Bay Excursion is a nature in Tunis, Tunisia, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.95 USD. Recommended visit: 3 hours. Discover Moonlit Bay Excursion, a peaceful nature in Tunis, Tunisia, ideal for nature lovers. Open 08:30-17:30, entry 13.95 USD.",13.95,08:30-17:30,3 hours,3.7,"570 Shirokane Street, Tunis",36.767952868884485,10.176732932604745,"['with children', 'fast-paced budget travel', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'wheelchair rental', 'benches/rest areas']"
6,Tunis,Tunisia,Nature/Scenery/Park,Sahel Skyline Reserve,"Sahel Skyline Reserve is a nature in Tunis, Tunisia, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.7 USD. Recommended visit: 3 hours. Discover Sahel Skyline Reserve, a peaceful nature in Tunis, Tunisia, ideal for nature lovers. Open 08:30-17:30, entry 7.7 USD.",7.7,08:30-17:30,3 hours,3.7,"647 Gwangalli Beach Road, Tunis",36.81182822657461,10.25068888981282,"['solo women', 'photography', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences']"
7,Tunis,Tunisia,Nature/Scenery/Park,Sahel Skyline Sanctuary,"Sahel Skyline Sanctuary is a nature in Tunis, Tunisia, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.87 USD. Recommended visit: 3 hours. Discover Sahel Skyline Sanctuary, a peaceful nature in Tunis, Tunisia, ideal for nature lovers. Open 09:00-17:30, entry 4.87 USD.",4.87,09:00-17:30,3 hours,3.7,"962 Seaside Promenade, Tunis",36.787614751513125,10.14728506207105,"['with children', 'couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
8,Tunis,Tunisia,Nature/Scenery/Park,Sousse Valley Green Pass + Djerba Hill Cable Car + Medenine Orchid Gardens,"Sousse Valley Green Pass + Djerba Hill Cable Car + Medenine Orchid Gardens is a nature in Tunis, Tunisia, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Sousse Valley Green Pass + Djerba Hill Cable Car + Medenine Orchid Gardens, a peaceful nature in Tunis, Tunisia, ideal for nature lovers. Open 08:30-17:30, entry 4.36 USD.",4.36,08:30-17:30,3 hours,3.7,"779 Shinsaibashi Dori, Chuo Ward, Tunis",36.80019453952044,10.184564143265334,"['with children', 'photography', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']"
9,Tunis,Tunisia,Nature/Scenery/Park,Azure Horizon Grove,"Azure Horizon Grove is a nature in Tunis, Tunisia, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Azure Horizon Grove, a peaceful nature in Tunis, Tunisia, ideal for nature lovers. Open 08:30-19:00, entry 22.61 USD.",22.61,08:30-19:00,3 hours,3.7,"367-8901 Sapporo City, Nishi 10-chome, Tunis",36.7096615235226,10.127352068751396,"['photography', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
10,Tunis,Tunisia,Nature/Scenery/Park,Sahel Skyline Adventure Park,"Sahel Skyline Adventure Park is a nature in Tunis, Tunisia, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Sahel Skyline Adventure Park, a peaceful nature in Tunis, Tunisia, ideal for nature lovers. Open 09:30-17:00, entry 11.05 USD.",11.05,09:30-17:00,3 hours,3.7,"224 Nishi-Hongokucho, Tunis",36.75613258152618,10.1033612953555,"['couples trip', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas']"
