attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Melbourne,Australia,Nature/Scenery/Park,Yarra Valley Wildscape,"Yarra Valley Wildscape is a nature in Melbourne, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Yarra Valley Wildscape, a peaceful nature in Melbourne, Australia, ideal for nature lovers. Open 09:00-17:30, entry 5.6 USD.",5.6,09:00-17:30,3 hours,3.7,"275 Sathorn Road, Wat Phra Singh, Melbourne",-37.83461410467545,145.4449606427068,"['with children', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
2,Melbourne,Australia,Nature/Scenery/Park,Wattlewood Trail Discovery,"Wattlewood Trail Discovery is a nature in Melbourne, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 3.36 USD. Recommended visit: 3 hours. Discover Wattlewood Trail Discovery, a peaceful nature in Melbourne, Australia, ideal for nature lovers. Open 08:00-20:00, entry 3.36 USD.",3.36,08:00-20:00,3 hours,3.7,"654 Thaweewong Road, Melbourne",-37.66194821464388,145.65330007926892,['with children'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities']"
3,Melbourne,Australia,Nature/Scenery/Park,Eclipse Grove Sanctuary,"Eclipse Grove Sanctuary is a nature in Melbourne, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.44 USD. Recommended visit: 3 hours. Discover Eclipse Grove Sanctuary, a peaceful nature in Melbourne, Australia, ideal for nature lovers. Open 08:30-17:00, entry 6.44 USD.",6.44,08:30-17:00,3 hours,3.7,"No. 456, Zhongshan Road, Melbourne",-37.63246123963581,144.67064091577393,"['fast-paced budget travel', 'foodie', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours', 'High speed WiFi']"
4,Melbourne,Australia,Nature/Scenery/Park,Bayview Coastal Walk,"Bayview Coastal Walk is a nature in Melbourne, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Bayview Coastal Walk, a peaceful nature in Melbourne, Australia, ideal for nature lovers. Open 09:00-17:30, entry 1.4 USD.",1.4,09:00-17:30,3 hours,3.7,"578 Sakura Street, Melbourne",-37.60180438778392,145.30741613153512,"['with children', 'solo women', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences']"
5,Melbourne,Australia,Nature/Scenery/Park,Lunar Bay Lantern Voyage,"Lunar Bay Lantern Voyage is a nature in Melbourne, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 26.32 USD. Recommended visit: 3 hours. Discover Lunar Bay Lantern Voyage, a peaceful nature in Melbourne, Australia, ideal for nature lovers. Open 09:00-17:30, entry 26.32 USD.",26.32,09:00-17:30,3 hours,3.7,"No. 456, Xinglong Road, Melbourne",-37.50768289520762,145.1915657503428,"['with children', 'luxury travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events', 'High speed WiFi']"
6,Melbourne,Australia,Nature/Scenery/Park,Crimson Ridge Reserve,"Crimson Ridge Reserve is a nature in Melbourne, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Crimson Ridge Reserve, a peaceful nature in Melbourne, Australia, ideal for nature lovers. Open 09:00-18:00, entry 2.0 USD.",2.0,09:00-18:00,3 hours,3.7,"276 Shima Street, Melbourne",-37.61420146872481,144.78828665909114,"['with children', 'solo women', 'with pets']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
7,Melbourne,Australia,Nature/Scenery/Park,Eclipse Ridge Eco Retreat,"Eclipse Ridge Eco Retreat is a nature in Melbourne, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Eclipse Ridge Eco Retreat, a peaceful nature in Melbourne, Australia, ideal for nature lovers. Open 09:00-21:00, entry 10.5 USD.",10.5,09:00-21:00,3 hours,3.7,"622-8567 Sapporo City, Nishi 1-chome, Melbourne",-37.584192634896766,145.74981027160916,"['with children', 'photography', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences']"
8,Melbourne,Australia,Nature/Scenery/Park,Yarra Valley Scenic Express + Cranbourne Rail Loop + Karingal Nature Walk,"Yarra Valley Scenic Express + Cranbourne Rail Loop + Karingal Nature Walk is a nature in Melbourne, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Yarra Valley Scenic Express + Cranbourne Rail Loop + Karingal Nature Walk, a peaceful nature in Melbourne, Australia, ideal for nature lovers. Open 18:00-21:00, entry 11.05 USD.",11.05,18:00-21:00,3 hours,3.7,"156 Queen's Road Central, Melbourne",-37.86269042383368,145.4097529191735,"['elderly travelers', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'wheelchair rental', 'benches/rest areas', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
9,Melbourne,Australia,Nature/Scenery/Park,Skyline Grove,"Skyline Grove is a nature in Melbourne, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Skyline Grove, a peaceful nature in Melbourne, Australia, ideal for nature lovers. Open 08:30-17:30, entry 29.53 USD.",29.53,08:30-17:30,3 hours,3.7,"No. 45 Xizhimen Wuyi Lane, Melbourne",-38.19026038928928,145.55394472387235,"['fast-paced budget travel', 'solo women']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security']"
10,Melbourne,Australia,Nature/Scenery/Park,Greenwave Discovery Hub,"Greenwave Discovery Hub is a nature in Melbourne, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover Greenwave Discovery Hub, a peaceful nature in Melbourne, Australia, ideal for nature lovers. Open 08:30-17:00, entry 37.95 USD.",37.95,08:30-17:00,3 hours,3.7,"386 Suthep Road, Melbourne",-37.97809210988289,145.580720004099,"['with children', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
11,Melbourne,Australia,Nature/Scenery/Park,Bayview Coastal Delights,"Bayview Coastal Delights is a nature in Melbourne, Australia, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Bayview Coastal Delights, a peaceful nature in Melbourne, Australia, ideal for nature lovers. Open 08:00-22:00, entry 43.59 USD.",43.59,08:00-22:00,3 hours,3.7,"250 Suthep Road, Melbourne",-37.55351585974165,145.1688964400178,"['nightlife enthusiast', 'solo women', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas']"
