attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Medina,Saudi Arabia,Nature/Scenery/Park,Al-Salam Green Haven,"Al-Salam Green Haven is a nature in Medina, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Al-Salam Green Haven, a peaceful nature in Medina, Saudi Arabia, ideal for nature lovers. Open 09:30-17:00, entry 7.57 USD.",7.57,09:30-17:00,3 hours,3.7,"370 Shinsaibashi Dori, Chuo Ward, Medina",23.776218692695647,40.98140849477593,"['fast-paced budget travel', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
2,Medina,Saudi Arabia,Nature/Scenery/Park,Al-Salam Greenway Trail,"Al-Salam Greenway Trail is a nature in Medina, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.12 USD. Recommended visit: 3 hours. Discover Al-Salam Greenway Trail, a peaceful nature in Medina, Saudi Arabia, ideal for nature lovers. Open 09:30-17:00, entry 4.12 USD.",4.12,09:30-17:00,3 hours,3.7,"377/1 Sukhumvit Road, Khlong Toei, Medina",26.488744816013984,38.94365394837943,"['photography', 'foodie', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours', 'High speed WiFi']"
3,Medina,Saudi Arabia,Nature/Scenery/Park,Al-Haram Oasis Sanctuary,"Al-Haram Oasis Sanctuary is a nature in Medina, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 9.8 USD. Recommended visit: 3 hours. Discover Al-Haram Oasis Sanctuary, a peaceful nature in Medina, Saudi Arabia, ideal for nature lovers. Open 09:00-17:00, entry 9.8 USD.",9.8,09:00-17:00,3 hours,3.7,"506 Sakura Street, Medina",24.5258185161514,41.26080608243782,"['nightlife enthusiast', 'solo women', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'High speed WiFi']"
4,Medina,Saudi Arabia,Nature/Scenery/Park,Al-Salam Coastal Walk,"Al-Salam Coastal Walk is a nature in Medina, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover Al-Salam Coastal Walk, a peaceful nature in Medina, Saudi Arabia, ideal for nature lovers. Open 08:00-22:00, entry 116.65 USD.",116.65,08:00-22:00,3 hours,3.7,"No. 567, Xingyun Road, Medina",24.73056213435002,37.990694095584345,"['photography', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours']"
5,Medina,Saudi Arabia,Nature/Scenery/Park,Moonlit Oasis Cruise,"Moonlit Oasis Cruise is a nature in Medina, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover Moonlit Oasis Cruise, a peaceful nature in Medina, Saudi Arabia, ideal for nature lovers. Open 09:00-21:00, entry 37.95 USD.",37.95,09:00-21:00,3 hours,3.7,"910-8 Shinkocho, Medina",23.997653526496048,41.789588103026574,"['photography', 'luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
6,Medina,Saudi Arabia,Nature/Scenery/Park,Sahara Ridge Viewpoint,"Sahara Ridge Viewpoint is a nature in Medina, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Sahara Ridge Viewpoint, a peaceful nature in Medina, Saudi Arabia, ideal for nature lovers. Open 09:00-17:30, entry 94.11 USD.",94.11,09:00-17:30,3 hours,3.7,"320 Science Avenue, Medina",24.355300042348,38.25602460885601,"['photography', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events']"
7,Medina,Saudi Arabia,Nature/Scenery/Park,Al-Salam Botanical Escapade,"Al-Salam Botanical Escapade is a nature in Medina, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Al-Salam Botanical Escapade, a peaceful nature in Medina, Saudi Arabia, ideal for nature lovers. Open 08:30-17:30, entry 10.5 USD.",10.5,08:30-17:30,3 hours,3.7,"No. 456 Seaside Promenade, Medina",23.76300642995093,38.94024645156604,"['nightlife enthusiast', 'with pets', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations']"
8,Medina,Saudi Arabia,Nature/Scenery/Park,Al-Salam Heights Scenic Circuit,"Al-Salam Heights Scenic Circuit is a nature in Medina, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Al-Salam Heights Scenic Circuit, a peaceful nature in Medina, Saudi Arabia, ideal for nature lovers. Open 09:00-17:30, entry 31.52 USD.",31.52,09:00-17:30,3 hours,3.7,"233 Shinkawa Street, Chuo Ward, Medina",24.550747909738256,40.14518521831107,"['photography', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
9,Medina,Saudi Arabia,Nature/Scenery/Park,Horizon Grove,"Horizon Grove is a nature in Medina, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Horizon Grove, a peaceful nature in Medina, Saudi Arabia, ideal for nature lovers. Open 08:30-17:00, entry 11.05 USD.",11.05,08:30-17:00,3 hours,3.7,"816 Chalong Beach Road, Medina",25.10657407534428,38.082801561631946,"['couples trip', 'elderly travelers', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas', 'private tours', 'skip the line passes', 'VIP exclusive events']"
10,Medina,Saudi Arabia,Nature/Scenery/Park,Al-Hamra EcoTerra,"Al-Hamra EcoTerra is a nature in Medina, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.3 USD. Recommended visit: 3 hours. Discover Al-Hamra EcoTerra, a peaceful nature in Medina, Saudi Arabia, ideal for nature lovers. Open 08:30-17:00, entry 13.3 USD.",13.3,08:30-17:00,3 hours,3.7,"No. 456, Xingcheng Road, Medina",23.577950414964707,39.50420538546514,"['fast-paced budget travel', 'foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
