attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Agadir,Morocco,Nature/Scenery/Park,Sahara Mirage Reserve,"Sahara Mirage Reserve is a nature in Agadir, Morocco, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Sahara Mirage Reserve, a peaceful nature in Agadir, Morocco, ideal for nature lovers. Open 18:00-21:00, entry 12.32 USD.",12.32,18:00-21:00,3 hours,3.7,"527 Shimbashi Street, Agadir",30.42857551436101,-9.6052193764073,"['with children', 'fast-paced budget travel', 'solo women']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security']"
2,Agadir,Morocco,Nature/Scenery/Park,Oasis Walkway Discovery Trail,"Oasis Walkway Discovery Trail is a nature in Agadir, Morocco, popular for its natural scenery and relaxing atmosphere. Entry fee is 20.74 USD. Recommended visit: 3 hours. Discover Oasis Walkway Discovery Trail, a peaceful nature in Agadir, Morocco, ideal for nature lovers. Open 08:30-19:00, entry 20.74 USD.",20.74,08:30-19:00,3 hours,3.7,"404 Sakura Street, Chuo Ward, Agadir",30.434770113674794,-9.558424767801538,"['with children', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
3,Agadir,Morocco,Nature/Scenery/Park,Sahara Vista Haven,"Sahara Vista Haven is a nature in Agadir, Morocco, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.65 USD. Recommended visit: 3 hours. Discover Sahara Vista Haven, a peaceful nature in Agadir, Morocco, ideal for nature lovers. Open 09:00-17:30, entry 8.65 USD.",8.65,09:00-17:30,3 hours,3.7,"250 Sathorn Road, Agadir",30.41731595118369,-9.591055427875958,"['business travelers', 'photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'High speed WiFi', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
4,Agadir,Morocco,Nature/Scenery/Park,Sahel Sunset Walk,"Sahel Sunset Walk is a nature in Agadir, Morocco, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Sahel Sunset Walk, a peaceful nature in Agadir, Morocco, ideal for nature lovers. Open 09:00-17:30, entry 10.5 USD.",10.5,09:00-17:30,3 hours,3.7,"No. 456, Xueyuan Road, Agadir",30.377263921129448,-9.582138002078404,"['solo women', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'private tours', 'skip the line passes', 'VIP exclusive events']"
5,Agadir,Morocco,Nature/Scenery/Park,Moonlit Bay Walk,"Moonlit Bay Walk is a nature in Agadir, Morocco, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Moonlit Bay Walk, a peaceful nature in Agadir, Morocco, ideal for nature lovers. Open 08:00-20:00, entry 43.59 USD.",43.59,08:00-20:00,3 hours,3.7,"943 Sukhumvit Road, Khlong Toei District, Agadir",30.422426140879665,-9.633293704417628,"['with children', 'photography', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours']"
6,Agadir,Morocco,Nature/Scenery/Park,Sahara Skyline Reserve,"Sahara Skyline Reserve is a nature in Agadir, Morocco, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.44 USD. Recommended visit: 3 hours. Discover Sahara Skyline Reserve, a peaceful nature in Agadir, Morocco, ideal for nature lovers. Open 08:30-17:30, entry 6.44 USD.",6.44,08:30-17:30,3 hours,3.7,"580 Shinsaibashi-suji, Chuo Ward, Agadir",30.377790045425943,-9.518154478768125,"['with pets', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations']"
7,Agadir,Morocco,Nature/Scenery/Park,Sahara Skyview Sanctuary,"Sahara Skyview Sanctuary is a nature in Agadir, Morocco, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.4 USD. Recommended visit: 3 hours. Discover Sahara Skyview Sanctuary, a peaceful nature in Agadir, Morocco, ideal for nature lovers. Open 09:00-18:00, entry 14.4 USD.",14.4,09:00-18:00,3 hours,3.7,"No. 128, West Chang'an Road, Agadir",30.43508500469668,-9.586078603819857,"['solo women', 'with pets', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events']"
8,Agadir,Morocco,Nature/Scenery/Park,Ouzoud Waterfalls Adventure Pass,"Ouzoud Waterfalls Adventure Pass is a nature in Agadir, Morocco, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Ouzoud Waterfalls Adventure Pass, a peaceful nature in Agadir, Morocco, ideal for nature lovers. Open 09:00-18:00, entry 7.57 USD.",7.57,09:00-18:00,3 hours,3.7,"No. 456, Huafeng Road, Agadir",30.39177996326189,-9.507340313892389,"['with children', 'solo women', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas']"
9,Agadir,Morocco,Nature/Scenery/Park,Azure Horizon Grove,"Azure Horizon Grove is a nature in Agadir, Morocco, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Azure Horizon Grove, a peaceful nature in Agadir, Morocco, ideal for nature lovers. Open 08:00-22:00, entry 8.12 USD.",8.12,08:00-22:00,3 hours,3.7,"644 Sathorn Road, Wat Phra Singh, Agadir",30.42227475111784,-9.523229712701138,"['fast-paced budget travel', 'solo women', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas']"
10,Agadir,Morocco,Nature/Scenery/Park,Sahara Sprout Playland,"Sahara Sprout Playland is a nature in Agadir, Morocco, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Sahara Sprout Playland, a peaceful nature in Agadir, Morocco, ideal for nature lovers. Open 19:00-23:00, entry 4.36 USD.",4.36,19:00-23:00,3 hours,3.7,"317 Nong Khai Road, Agadir",30.404297984711235,-9.514302443421396,"['nightlife enthusiast', 'solo women', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences']"
