attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Toulouse,France,Nature/Scenery/Park,Lavender Hollow Reserve,"Lavender Hollow Reserve is a nature in Toulouse, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 55.55 USD. Recommended visit: 3 hours. Discover Lavender Hollow Reserve, a peaceful nature in Toulouse, France, ideal for nature lovers. Open 09:00-18:00, entry 55.55 USD.",55.55,09:00-18:00,3 hours,3.7,"707 Sakura Street, Naka-ku, Toulouse",43.60737919047276,1.4087782437638825,"['nightlife enthusiast', 'luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
2,Toulouse,France,Nature/Scenery/Park,Verdant Veil Trail,"Verdant Veil Trail is a nature in Toulouse, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Verdant Veil Trail, a peaceful nature in Toulouse, France, ideal for nature lovers. Open 08:00-20:00, entry 12.32 USD.",12.32,08:00-20:00,3 hours,3.7,"No. 125, Huaqing Road, Toulouse",43.6458773913841,1.4979828631372385,"['business travelers', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'High speed WiFi', 'Food markets', 'tasting tours', 'parking']"
3,Toulouse,France,Nature/Scenery/Park,Cathedral Hollow Grove,"Cathedral Hollow Grove is a nature in Toulouse, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover Cathedral Hollow Grove, a peaceful nature in Toulouse, France, ideal for nature lovers. Open 08:30-17:30, entry 5.15 USD.",5.15,08:30-17:30,3 hours,3.7,"473-890 Nishi 1-chome, Toulouse",43.62266107771516,1.4198922643456782,"['nightlife enthusiast', 'fast-paced budget travel', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations']"
4,Toulouse,France,Nature/Scenery/Park,Lavender Hill Trails,"Lavender Hill Trails is a nature in Toulouse, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.35 USD. Recommended visit: 3 hours. Discover Lavender Hill Trails, a peaceful nature in Toulouse, France, ideal for nature lovers. Open 09:00-17:30, entry 7.35 USD.",7.35,09:00-17:30,3 hours,3.7,"678 Suthep Road, Toulouse",43.57844345317756,1.4412500910321926,"['nightlife enthusiast', 'solo women', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations']"
5,Toulouse,France,Nature/Scenery/Park,Lumière River Drift,"Lumière River Drift is a nature in Toulouse, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.95 USD. Recommended visit: 3 hours. Discover Lumière River Drift, a peaceful nature in Toulouse, France, ideal for nature lovers. Open 09:30-17:00, entry 13.95 USD.",13.95,09:30-17:00,3 hours,3.7,"865 Marina Bay Sands, Toulouse",43.58521170925481,1.4379488170985415,"['fast-paced budget travel', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'parking']"
6,Toulouse,France,Nature/Scenery/Park,Montségur Vista,"Montségur Vista is a nature in Toulouse, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover Montségur Vista, a peaceful nature in Toulouse, France, ideal for nature lovers. Open 08:30-19:00, entry 37.95 USD.",37.95,08:30-19:00,3 hours,3.7,"158 Tai Tam Road, Toulouse",43.60019445223494,1.4430029157889517,"['with children', 'solo women', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'High speed WiFi']"
7,Toulouse,France,Nature/Scenery/Park,Verdant Vista Escapade,"Verdant Vista Escapade is a nature in Toulouse, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Verdant Vista Escapade, a peaceful nature in Toulouse, France, ideal for nature lovers. Open 09:00-18:00, entry 29.53 USD.",29.53,09:00-18:00,3 hours,3.7,"885-12, Gwanghwamun 2-ga, Jongno-gu, Toulouse",43.55110469321874,1.4569939743733429,"['nightlife enthusiast', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'wheelchair rental', 'benches/rest areas', 'parking']"
8,Toulouse,France,Nature/Scenery/Park,Montsouls Summit Adventure Pass,"Montsouls Summit Adventure Pass is a nature in Toulouse, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.65 USD. Recommended visit: 3 hours. Discover Montsouls Summit Adventure Pass, a peaceful nature in Toulouse, France, ideal for nature lovers. Open 09:00-21:00, entry 8.65 USD.",8.65,09:00-21:00,3 hours,3.7,"No. 1088, Shennan Road, Futian District, Toulouse",43.6401490415079,1.4080250646631227,"['nightlife enthusiast', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'photo spots', 'guided photo tours', 'charging stations']"
9,Toulouse,France,Nature/Scenery/Park,Verdant Horizon,"Verdant Horizon is a nature in Toulouse, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 294.64 USD. Recommended visit: 3 hours. Discover Verdant Horizon, a peaceful nature in Toulouse, France, ideal for nature lovers. Open 09:30-17:00, entry 294.64 USD.",294.64,09:30-17:00,3 hours,3.7,"857/20 Maha Chai Road, Pathum Wan, Toulouse",43.560802085054135,1.484429492578581,['photography'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations']"
10,Toulouse,France,Nature/Scenery/Park,Lumière Wildspace,"Lumière Wildspace is a nature in Toulouse, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Lumière Wildspace, a peaceful nature in Toulouse, France, ideal for nature lovers. Open 09:00-18:00, entry 5.6 USD.",5.6,09:00-18:00,3 hours,3.7,"706 Shinsaibashi Street, Toulouse",43.58059156433886,1.4719265143910452,"['photography', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
