car_id,city_name,price_per_day,pickup_location,car_type,capacity,extra_services,extra_services_group
1,Nuremberg,42.69,Nuremberg Airport,Compact,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'Child seats', 'Child locks', 'Pet seat belts', 'Pet-friendly']","['road trip', 'with children', 'with pets']"
2,Nuremberg,53.47,Nuremberg Airport,Compact,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Late pick up services']","['road trip', 'luxury travelers', 'nightlife enthusiast']"
3,Nuremberg,44.23,Nuremberg Airport,Compact,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'Roadside emergency support', 'WiFi']","['photography', 'road trip', 'business travelers']"
4,Nuremberg,47.91,Nuremberg Airport,Economy,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Women-only cars', 'Airport safe waiting areas']","['road trip', 'disabled traveler', 'solo women']"
5,Nuremberg,51.08,Nuremberg Airport,Economy,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Pet seat belts', 'Pet-friendly']","['photography', 'luxury travelers', 'with pets']"
6,Nuremberg,57.2,Nuremberg Airport,Economy,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'WiFi', 'Late pick up services']","['luxury travelers', 'business travelers', 'nightlife enthusiast']"
7,Nuremberg,62.77,Nuremberg Airport,Sedan,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Women-only cars', 'Airport safe waiting areas', 'Advanced Driving Assistance Systems']","['disabled traveler', 'solo women', 'elderly travelers']"
8,Nuremberg,53.23,Nuremberg Airport,Sedan,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'Child seats', 'Child locks', 'Pet seat belts', 'Pet-friendly']","['road trip', 'with children', 'with pets']"
9,Nuremberg,70.4,Nuremberg Airport,Sedan,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Child seats', 'Child locks']","['road trip', 'luxury travelers', 'with children']"
10,Nuremberg,104.49,Nuremberg Airport,SUV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'WiFi']","['road trip', 'disabled traveler', 'business travelers']"
11,Nuremberg,99.84,Nuremberg Airport,SUV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Women-only cars', 'Airport safe waiting areas', 'Advanced Driving Assistance Systems']","['disabled traveler', 'solo women', 'elderly travelers']"
12,Nuremberg,73.86,Nuremberg Airport,SUV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Women-only cars', 'Airport safe waiting areas']","['disabled traveler', 'luxury travelers', 'solo women']"
13,Nuremberg,137.53,Nuremberg Airport,Minivan,7,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'Child seats', 'Child locks', 'Pet seat belts', 'Pet-friendly']","['photography', 'with children', 'with pets']"
14,Nuremberg,112.25,Nuremberg Airport,Minivan,7,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Child seats', 'Child locks', 'Late pick up services']","['luxury travelers', 'with children', 'nightlife enthusiast']"
15,Nuremberg,111.86,Nuremberg Airport,Minivan,7,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'First-class car', 'Chauffeured cars', 'Guide/driver package']","['photography', 'disabled traveler', 'luxury travelers']"
16,Nuremberg,142.85,Nuremberg Airport,Luxury,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'Late pick up services', 'Pet seat belts', 'Pet-friendly']","['photography', 'nightlife enthusiast', 'with pets']"
17,Nuremberg,108.8,Nuremberg Airport,Luxury,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'Child seats', 'Child locks', 'Late pick up services']","['photography', 'with children', 'nightlife enthusiast']"
18,Nuremberg,158.63,Nuremberg Airport,Luxury,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'WiFi', 'Late pick up services', 'Advanced Driving Assistance Systems']","['business travelers', 'nightlife enthusiast', 'elderly travelers']"
19,Nuremberg,118.52,Nuremberg Airport,Convertible,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'Pet seat belts', 'Pet-friendly', 'Advanced Driving Assistance Systems']","['photography', 'with pets', 'elderly travelers']"
20,Nuremberg,127.54,Nuremberg Airport,Convertible,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'WiFi', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Women-only cars', 'Airport safe waiting areas']","['business travelers', 'disabled traveler', 'solo women']"
21,Nuremberg,130.41,Nuremberg Airport,Convertible,4,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'WiFi', 'Women-only cars', 'Airport safe waiting areas', 'Advanced Driving Assistance Systems']","['business travelers', 'solo women', 'elderly travelers']"
22,Nuremberg,64.56,Nuremberg Airport,EV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'Wheelchair space', 'Hand controls', 'Accessible cars', 'Pet seat belts', 'Pet-friendly']","['road trip', 'disabled traveler', 'with pets']"
23,Nuremberg,69.86,Nuremberg Airport,EV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Child seats', 'Child locks', 'Women-only cars', 'Airport safe waiting areas', 'Late pick up services']","['with children', 'solo women', 'nightlife enthusiast']"
24,Nuremberg,106.62,Nuremberg Airport,EV,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Child seats', 'Child locks', 'WiFi', 'Pet seat belts', 'Pet-friendly']","['with children', 'business travelers', 'with pets']"
25,Nuremberg,69.69,Nuremberg Airport,Wagon,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Child seats', 'Child locks', 'Pet seat belts', 'Pet-friendly', 'Advanced Driving Assistance Systems']","['with children', 'with pets', 'elderly travelers']"
26,Nuremberg,98.46,Nuremberg Airport,Wagon,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Roadside emergency support', 'First-class car', 'Chauffeured cars', 'Guide/driver package', 'Late pick up services']","['road trip', 'luxury travelers', 'nightlife enthusiast']"
27,Nuremberg,76.6,Nuremberg Airport,Wagon,5,"['GPS navigation', 'Unlimited mileage', 'Insurance included', 'Free cancellation', 'Air conditioning', '24/7 customer support', 'Remote shoots', 'Roadside emergency support', 'WiFi']","['photography', 'road trip', 'business travelers']"
