attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Ujung Pandang,Indonesia,Nature/Scenery/Park,Sulawesi Green Haven,"Sulawesi Green Haven is a nature in Ujung Pandang, Indonesia, popular for its natural scenery and relaxing atmosphere. Entry fee is 0.0 USD. Recommended visit: 3 hours. Discover Sulawesi Green Haven, a peaceful nature in Ujung Pandang, Indonesia, ideal for nature lovers. Open 10:00-22:00, entry 0.0 USD.",0.0,10:00-22:00,3 hours,3.7,"805 Sukhumvit Road, Ujung Pandang",-5.157038829413343,119.39270479277492,"['elderly travelers', 'photography', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'wheelchair rental', 'benches/rest areas', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
2,Ujung Pandang,Indonesia,Nature/Scenery/Park,Tanjung Raya Greenway Trek,"Tanjung Raya Greenway Trek is a nature in Ujung Pandang, Indonesia, popular for its natural scenery and relaxing atmosphere. Entry fee is 9.8 USD. Recommended visit: 3 hours. Discover Tanjung Raya Greenway Trek, a peaceful nature in Ujung Pandang, Indonesia, ideal for nature lovers. Open 08:30-17:30, entry 9.8 USD.",9.8,08:30-17:30,3 hours,3.7,"269 Shibuya Crossing, Shibuya Ward, Ujung Pandang",-5.170047906123569,119.42834772957868,"['nightlife enthusiast', 'fast-paced budget travel', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations']"
3,Ujung Pandang,Indonesia,Nature/Scenery/Park,Emberleaf Sanctuary,"Emberleaf Sanctuary is a nature in Ujung Pandang, Indonesia, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Emberleaf Sanctuary, a peaceful nature in Ujung Pandang, Indonesia, ideal for nature lovers. Open 09:00-18:00, entry 4.36 USD.",4.36,09:00-18:00,3 hours,3.7,"493 Shinjuku Park, Shinjuku, Ujung Pandang",-5.182785276422913,119.3940704569025,"['disabled traveler', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'wheelchair rental', 'benches/rest areas']"
4,Ujung Pandang,Indonesia,Nature/Scenery/Park,Beneath the Tides Trail,"Beneath the Tides Trail is a nature in Ujung Pandang, Indonesia, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Beneath the Tides Trail, a peaceful nature in Ujung Pandang, Indonesia, ideal for nature lovers. Open 09:00-18:00, entry 5.6 USD.",5.6,09:00-18:00,3 hours,3.7,"No. 456 Xingcheng Road, Ujung Pandang",-5.123883943040925,119.536136050428,"['nightlife enthusiast', 'fast-paced budget travel', 'with pets']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
5,Ujung Pandang,Indonesia,Nature/Scenery/Park,Lagoon Moonlit Sail,"Lagoon Moonlit Sail is a nature in Ujung Pandang, Indonesia, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Lagoon Moonlit Sail, a peaceful nature in Ujung Pandang, Indonesia, ideal for nature lovers. Open 08:00-20:00, entry 43.59 USD.",43.59,08:00-20:00,3 hours,3.7,"214 Gwanghwamun-ro, Jongno-gu, Ujung Pandang",-5.0930001750168685,119.52310673068204,"['fast-paced budget travel', 'with pets', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
6,Ujung Pandang,Indonesia,Nature/Scenery/Park,Emerald Ridge Sanctuary,"Emerald Ridge Sanctuary is a nature in Ujung Pandang, Indonesia, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover Emerald Ridge Sanctuary, a peaceful nature in Ujung Pandang, Indonesia, ideal for nature lovers. Open 09:00-17:30, entry 12.93 USD.",12.93,09:00-17:30,3 hours,3.7,"944 Gwangbok-ro, Saha-gu, Ujung Pandang",-5.139466807783282,119.4312186715058,"['road trip', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
7,Ujung Pandang,Indonesia,Nature/Scenery/Park,Verdant Vista Escapade,"Verdant Vista Escapade is a nature in Ujung Pandang, Indonesia, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Verdant Vista Escapade, a peaceful nature in Ujung Pandang, Indonesia, ideal for nature lovers. Open 09:00-17:30, entry 94.11 USD.",94.11,09:00-17:30,3 hours,3.7,"No. 456 Riverside Lane, Ujung Pandang",-5.145995025103932,119.457514260499,"['photography', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas', 'parking']"
8,Ujung Pandang,Indonesia,Nature/Scenery/Park,Bromo Skyline Adventure Pass,"Bromo Skyline Adventure Pass is a nature in Ujung Pandang, Indonesia, popular for its natural scenery and relaxing atmosphere. Entry fee is 19.18 USD. Recommended visit: 3 hours. Discover Bromo Skyline Adventure Pass, a peaceful nature in Ujung Pandang, Indonesia, ideal for nature lovers. Open 08:30-17:00, entry 19.18 USD.",19.18,08:30-17:00,3 hours,3.7,"676 Sukhumvit Road, Ujung Pandang",-5.073563147207932,119.51828379771138,"['with pets', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
9,Ujung Pandang,Indonesia,Nature/Scenery/Park,Tide Horizon Retreat,"Tide Horizon Retreat is a nature in Ujung Pandang, Indonesia, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Tide Horizon Retreat, a peaceful nature in Ujung Pandang, Indonesia, ideal for nature lovers. Open 09:00-19:00, entry 11.05 USD.",11.05,09:00-19:00,3 hours,3.7,"1 Harbour Road, Wan Chai, Ujung Pandang",-5.154312037770674,119.43857135847529,"['with children', 'photography', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
10,Ujung Pandang,Indonesia,Nature/Scenery/Park,TerraTrek Discovery Hub,"TerraTrek Discovery Hub is a nature in Ujung Pandang, Indonesia, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover TerraTrek Discovery Hub, a peaceful nature in Ujung Pandang, Indonesia, ideal for nature lovers. Open 09:30-17:00, entry 1.4 USD.",1.4,09:30-17:00,3 hours,3.7,"508 Seaside Promenade, Ujung Pandang",-5.144660939666576,119.39632563156302,"['foodie', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences']"
