attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Dalaman,Turkey,Nature/Scenery/Park,Lemnos Green Haven,"Lemnos Green Haven is a nature in Dalaman, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover Lemnos Green Haven, a peaceful nature in Dalaman, Turkey, ideal for nature lovers. Open 08:30-17:30, entry 37.95 USD.",37.95,08:30-17:30,3 hours,3.7,"866 Seokjang-ro, Ssangmundong-gu, Dalaman",36.73289334478135,28.87881922395785,"['nightlife enthusiast', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
2,Dalaman,Turkey,Nature/Scenery/Park,Verdant Valley Trek,"Verdant Valley Trek is a nature in Dalaman, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Verdant Valley Trek, a peaceful nature in Dalaman, Turkey, ideal for nature lovers. Open 09:00-19:00, entry 24.24 USD.",24.24,09:00-19:00,3 hours,3.7,"373 Sakura Street, Naka Ward, Dalaman",36.67283483161795,28.82726013515505,"['solo women', 'with pets', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
3,Dalaman,Turkey,Nature/Scenery/Park,Emerald Hollow Sanctuary,"Emerald Hollow Sanctuary is a nature in Dalaman, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.4 USD. Recommended visit: 3 hours. Discover Emerald Hollow Sanctuary, a peaceful nature in Dalaman, Turkey, ideal for nature lovers. Open 08:30-17:30, entry 14.4 USD.",14.4,08:30-17:30,3 hours,3.7,"No. 456, Xizhimen Street, Dalaman",36.86389299878519,28.83525383250561,"['fast-paced budget travel', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'wheelchair rental', 'benches/rest areas', 'parking']"
4,Dalaman,Turkey,Nature/Scenery/Park,Sunset Bay Walkway,"Sunset Bay Walkway is a nature in Dalaman, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Sunset Bay Walkway, a peaceful nature in Dalaman, Turkey, ideal for nature lovers. Open 09:00-21:00, entry 2059.2 USD.",2059.2,09:00-21:00,3 hours,3.7,"568 Tanjong Pagar Road, Dalaman",36.78052037580152,28.790083615327173,"['fast-paced budget travel', 'photography', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']"
5,Dalaman,Turkey,Nature/Scenery/Park,Moonlit Bay Excursion,"Moonlit Bay Excursion is a nature in Dalaman, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Moonlit Bay Excursion, a peaceful nature in Dalaman, Turkey, ideal for nature lovers. Open 09:00-17:30, entry 1.4 USD.",1.4,09:00-17:30,3 hours,3.7,"314-8901 Sapporo City, Nishi 1-chome, Dalaman",36.89888085937703,29.038815485436285,['fast-paced budget travel'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours']"
6,Dalaman,Turkey,Nature/Scenery/Park,Emerald Ridge Sanctuary,"Emerald Ridge Sanctuary is a nature in Dalaman, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.44 USD. Recommended visit: 3 hours. Discover Emerald Ridge Sanctuary, a peaceful nature in Dalaman, Turkey, ideal for nature lovers. Open 09:30-17:00, entry 6.44 USD.",6.44,09:30-17:00,3 hours,3.7,"518 Shinko Street, Dalaman",36.89740992128992,29.09101961533256,"['fast-paced budget travel', 'couples trip', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas']"
7,Dalaman,Turkey,Nature/Scenery/Park,Verdant Vista Eco Retreat,"Verdant Vista Eco Retreat is a nature in Dalaman, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.7 USD. Recommended visit: 3 hours. Discover Verdant Vista Eco Retreat, a peaceful nature in Dalaman, Turkey, ideal for nature lovers. Open 08:00-18:00, entry 7.7 USD.",7.7,08:00-18:00,3 hours,3.7,"No. 456, Guangming Road, Futian District, Dalaman",36.95844654722515,29.018953995417963,"['with pets', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas', 'parking']"
8,Dalaman,Turkey,Nature/Scenery/Park,Lycian Heights Adventure Pass,"Lycian Heights Adventure Pass is a nature in Dalaman, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Lycian Heights Adventure Pass, a peaceful nature in Dalaman, Turkey, ideal for nature lovers. Open 09:00-17:30, entry 12.32 USD.",12.32,09:00-17:30,3 hours,3.7,"499 Samseong-ro, Ssangmundong-gu, Dalaman",36.78394577760412,28.778185947763944,"['foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
9,Dalaman,Turkey,Nature/Scenery/Park,Azure Horizon Grove,"Azure Horizon Grove is a nature in Dalaman, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.17 USD. Recommended visit: 3 hours. Discover Azure Horizon Grove, a peaceful nature in Dalaman, Turkey, ideal for nature lovers. Open 09:30-17:00, entry 6.17 USD.",6.17,09:30-17:00,3 hours,3.7,"325 Tanjong Pagar Road, Dalaman",36.810917076004685,28.83418396652204,['foodie'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours']"
10,Dalaman,Turkey,Nature/Scenery/Park,Greenwave Discovery Park,"Greenwave Discovery Park is a nature in Dalaman, Turkey, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Greenwave Discovery Park, a peaceful nature in Dalaman, Turkey, ideal for nature lovers. Open 09:00-17:30, entry 2.0 USD.",2.0,09:00-17:30,3 hours,3.7,"128 Victoria Street, Dalaman",36.9982264728317,29.12225950151794,"['couples trip', 'luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
