id,name,hotelname_en,featurehoteltype,lat,lon,price,numbed
0,成都东方美豪丽致酒店,Chengdu Oriental Mehood Lestie Hotel,管家服务,30.629545,103.974556,399,2
1,索菲斯锦苑宾馆(成都春熙路文殊院店),Sofis Jinyuan Hotel,管家服务,30.67709,104.071223,416,2
2,成都城市名人酒店,Celebrity City Hotel,桑拿,30.654071,104.06535,353,2
3,成都悠泊豪生荟酒店,Howard Johnson Upark Business Club Chengdu,家庭房,30.6042,103.988209,408,2
4,美豪丽致酒店成都天府新区环球中心会展店,"Meiholi Zhi Hotel (Huayang Branch, Tianfu New District)",桑拿,30.520868,104.05269,349,2
5,成都丽呈明宇丽雅饭店(春熙太古里店),Lia! By Minyoun Chengdu Rezen Hotel (Chunxi Taikoo Li Store),SPA,30.657361,104.069198,481,1
6,雅悦蓝天酒店,Elegant Azure Hotel,管家服务,30.631369,104.144984,367,1
7,成都帝盛酒店(春熙路文殊院店),Dorsett Chengdu,行政酒廊,30.667408,104.067398,398,2
8,成都璞悦天府酒店,Projoy Hotel Tianfu,泳池,30.525961,104.068655,499,2
9,成都凯宾斯基饭店,Kempinski Hotel Chengdu,SPA,30.618637,104.066265,602,1
10,成都宽窄人民公园地铁站亚朵S酒店,Chengdu Kuanzhai People's Park Subway Station Atour S Hotel,管家服务,30.65955,104.057812,508,1
11,成都雅居乐豪生大酒店,Howard Johnson Agile Plaza Chengdu,桑拿,30.490282,104.136449,468,2
12,成都恒邦天府喜来登酒店,Sheraton Chengdu Pidu,桑拿,30.788063,103.857226,588,2
13,瓦当瓦舍酒店(成都金融环球中心店),Traveling With Hotel (Chengdu Financial Global Center),智能客控,30.585958,104.056659,288,1
14,成都友豪锦江酒店,Youhao Jinjiang Hotel,管家服务,30.633102,103.994523,399,2
15,成都祥宇宾馆,Xiangyu Hotel,免费停车,30.636985,104.076656,424,2
16,成都新华宾馆,Chengdu Xinhua Hotel,山景房,30.674357,104.065188,399,2
17,成都新希望高新中心假日酒店,Holiday Inn Chengdu High-Tech Center,茶室,30.728004,103.973285,437,2
18,成都双流机场杰恩酒店(奥特莱斯店),Gene Hotel,免费停车,30.60387,103.939776,301,1
19,成都东方广场假日酒店 (春熙路太古里店),Holiday Inn Chengdu Oriental Plaza,泳池,30.647978,104.088831,598,2
