attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Liberia,Costa Rica,Nature/Scenery/Park,Verde Haven Eco Reserve,"Verde Haven Eco Reserve is a nature in Liberia, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Verde Haven Eco Reserve, a peaceful nature in Liberia, Costa Rica, ideal for nature lovers. Open 08:00-20:00, entry 17.5 USD.",17.5,08:00-20:00,3 hours,3.7,"543 Shibuya Street, Shibuya Ward, Liberia",10.60378386769836,-85.42291239646205,['road trip'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking']"
2,Liberia,Costa Rica,Nature/Scenery/Park,Verdant Valley Trail,"Verdant Valley Trail is a nature in Liberia, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Verdant Valley Trail, a peaceful nature in Liberia, Costa Rica, ideal for nature lovers. Open 08:30-17:00, entry 2.8 USD.",2.8,08:30-17:00,3 hours,3.7,"631 Sakura Street, Naka-ku, Liberia",10.583593669190408,-85.42712977073668,"['nightlife enthusiast', 'with children', 'fast-paced budget travel']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours']"
3,Liberia,Costa Rica,Nature/Scenery/Park,Verdant Haven Sanctuary,"Verdant Haven Sanctuary is a nature in Liberia, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Verdant Haven Sanctuary, a peaceful nature in Liberia, Costa Rica, ideal for nature lovers. Open 08:00-17:30, entry 1.4 USD.",1.4,08:00-17:30,3 hours,3.7,"No. 456 Ocean View Avenue, Liberia",10.454027577408183,-85.44309733569672,"['fast-paced budget travel', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations']"
4,Liberia,Costa Rica,Nature/Scenery/Park,Liberia Baywalk Discovery,"Liberia Baywalk Discovery is a nature in Liberia, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover Liberia Baywalk Discovery, a peaceful nature in Liberia, Costa Rica, ideal for nature lovers. Open 09:00-19:00, entry 12.93 USD.",12.93,09:00-19:00,3 hours,3.7,"655 Beach Road, Liberia",10.6035201975984,-85.38515918826835,"['with children', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events']"
5,Liberia,Costa Rica,Nature/Scenery/Park,Moonbeam Bay Walk,"Moonbeam Bay Walk is a nature in Liberia, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Moonbeam Bay Walk, a peaceful nature in Liberia, Costa Rica, ideal for nature lovers. Open 09:00-17:30, entry 11.76 USD.",11.76,09:00-17:30,3 hours,3.7,"No. 123, Xishui Road, Liberia",10.5889712578093,-85.50717859247617,"['photography', 'foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
6,Liberia,Costa Rica,Nature/Scenery/Park,Emerald Ridge Preserve,"Emerald Ridge Preserve is a nature in Liberia, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Emerald Ridge Preserve, a peaceful nature in Liberia, Costa Rica, ideal for nature lovers. Open 18:00-21:00, entry 7.57 USD.",7.57,18:00-21:00,3 hours,3.7,"476 Chao Phraya River Promenade, Wat Phra Si Rattanakosin, Liberia",10.634703325372996,-85.45837857746395,"['photography', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours']"
7,Liberia,Costa Rica,Nature/Scenery/Park,Verdant Vista Eco Retreat,"Verdant Vista Eco Retreat is a nature in Liberia, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Verdant Vista Eco Retreat, a peaceful nature in Liberia, Costa Rica, ideal for nature lovers. Open 09:00-18:00, entry 4.36 USD.",4.36,09:00-18:00,3 hours,3.7,"No. 456, Ocean View Road, Liberia",10.513586792929432,-85.50562419473847,"['luxury travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'High speed WiFi']"
8,Liberia,Costa Rica,Nature/Scenery/Park,Liberia Skyline Explorer Pass + Cerro Loma Cable Car Round Trip + El Cielo Gardens,"Liberia Skyline Explorer Pass + Cerro Loma Cable Car Round Trip + El Cielo Gardens is a nature in Liberia, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Liberia Skyline Explorer Pass + Cerro Loma Cable Car Round Trip + El Cielo Gardens, a peaceful nature in Liberia, Costa Rica, ideal for nature lovers. Open 08:30-17:30, entry 2059.2 USD.",2059.2,08:30-17:30,3 hours,3.7,"893 Seaside Promenade, Liberia",10.640386239185112,-85.47477941772897,"['with pets', 'couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
9,Liberia,Costa Rica,Nature/Scenery/Park,Horizon Haven,"Horizon Haven is a nature in Liberia, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 0.0 USD. Recommended visit: 3 hours. Discover Horizon Haven, a peaceful nature in Liberia, Costa Rica, ideal for nature lovers. Open 08:30-17:00, entry 0.0 USD.",0.0,08:30-17:00,3 hours,3.7,"340 Sakura Street, Nishi Ward, Liberia",10.677218241886264,-85.36758995883197,"['foodie', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
10,Liberia,Costa Rica,Nature/Scenery/Park,Verdant Vistas Playground,"Verdant Vistas Playground is a nature in Liberia, Costa Rica, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Verdant Vistas Playground, a peaceful nature in Liberia, Costa Rica, ideal for nature lovers. Open 08:30-17:30, entry 24.24 USD.",24.24,08:30-17:30,3 hours,3.7,"156 Guangzhou Tower Road, Liberia",10.579560414128006,-85.40537461314347,"['nightlife enthusiast', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
