attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Vitória,Brazil,Nature/Scenery/Park,Lagoa dos Sonhos Natural Reserve,"Lagoa dos Sonhos Natural Reserve is a nature in Vitória, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Lagoa dos Sonhos Natural Reserve, a peaceful nature in Vitória, Brazil, ideal for nature lovers. Open 09:00-17:00, entry 4.36 USD.",4.36,09:00-17:00,3 hours,3.7,"357 Sakura Street, Naka-ku, Vitória",-20.500356931560145,-29.32569898996285,"['photography', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
2,Vitória,Brazil,Nature/Scenery/Park,Canyon Vista Trail,"Canyon Vista Trail is a nature in Vitória, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.35 USD. Recommended visit: 3 hours. Discover Canyon Vista Trail, a peaceful nature in Vitória, Brazil, ideal for nature lovers. Open 09:00-17:30, entry 7.35 USD.",7.35,09:00-17:30,3 hours,3.7,"No. 456, Cultural Avenue, Chaoyang District, Vitória",-20.49982431418704,-29.338237326315493,"['with children', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
3,Vitória,Brazil,Nature/Scenery/Park,Canyonview Sanctuary,"Canyonview Sanctuary is a nature in Vitória, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Canyonview Sanctuary, a peaceful nature in Vitória, Brazil, ideal for nature lovers. Open 08:30-17:00, entry 2.8 USD.",2.8,08:30-17:00,3 hours,3.7,"498 Sukhumvit Road, Vitória",-20.32186687669896,-40.3501384527686,"['couples trip', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'Food markets', 'tasting tours']"
4,Vitória,Brazil,Nature/Scenery/Park,Lagoa das Marés Adventure Trail,"Lagoa das Marés Adventure Trail is a nature in Vitória, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.72 USD. Recommended visit: 3 hours. Discover Lagoa das Marés Adventure Trail, a peaceful nature in Vitória, Brazil, ideal for nature lovers. Open 09:00-21:00, entry 6.72 USD.",6.72,09:00-21:00,3 hours,3.7,"684 Shinsaibashi Street, Vitória",-20.260219135100023,-40.28087837617195,"['nightlife enthusiast', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
5,Vitória,Brazil,Nature/Scenery/Park,Moonlit Bay Excursion,"Moonlit Bay Excursion is a nature in Vitória, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover Moonlit Bay Excursion, a peaceful nature in Vitória, Brazil, ideal for nature lovers. Open 08:30-17:00, entry 116.65 USD.",116.65,08:30-17:00,3 hours,3.7,"859 Shinjuku Park, Shinjuku City, Vitória",-20.30800111111189,-40.32555543375866,"['fast-paced budget travel', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations']"
6,Vitória,Brazil,Nature/Scenery/Park,Cerro das Laranjeiras Viewpoint,"Cerro das Laranjeiras Viewpoint is a nature in Vitória, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Cerro das Laranjeiras Viewpoint, a peaceful nature in Vitória, Brazil, ideal for nature lovers. Open 09:00-17:30, entry 17.5 USD.",17.5,09:00-17:30,3 hours,3.7,"552 Shinsaibashi Dori, Chuo Ward, Vitória",-20.275394436022545,-40.317383438422205,"['nightlife enthusiast', 'with pets', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations']"
7,Vitória,Brazil,Nature/Scenery/Park,Verde Peak Eatscape,"Verde Peak Eatscape is a nature in Vitória, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover Verde Peak Eatscape, a peaceful nature in Vitória, Brazil, ideal for nature lovers. Open 09:30-17:00, entry 37.95 USD.",37.95,09:30-17:00,3 hours,3.7,"586 Phra Singh Road, Vitória",-20.285853276959813,-40.31829082034778,"['with children', 'solo women', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'parking']"
8,Vitória,Brazil,Nature/Scenery/Park,Cordilheira Verde Adventure Pass + Pico dos Pombais Sky Lift Ticket + Lagoa do Boi Nature Trail,"Cordilheira Verde Adventure Pass + Pico dos Pombais Sky Lift Ticket + Lagoa do Boi Nature Trail is a nature in Vitória, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Cordilheira Verde Adventure Pass + Pico dos Pombais Sky Lift Ticket + Lagoa do Boi Nature Trail, a peaceful nature in Vitória, Brazil, ideal for nature lovers. Open 09:00-19:00, entry 43.59 USD.",43.59,09:00-19:00,3 hours,3.7,"227 Nishinari-cho, Nishi-ku, Vitória",-20.26937336803984,-40.252928955411896,"['with children', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
9,Vitória,Brazil,Nature/Scenery/Park,Coastline Haven,"Coastline Haven is a nature in Vitória, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Coastline Haven, a peaceful nature in Vitória, Brazil, ideal for nature lovers. Open 10:00-18:00, entry 24.24 USD.",24.24,10:00-18:00,3 hours,3.7,"638 Shinsaibashi Street, Vitória",-20.264435929497555,-40.31678127159023,"['with children', 'fast-paced budget travel', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations']"
10,Vitória,Brazil,Nature/Scenery/Park,VerdeVista Discovery Hub,"VerdeVista Discovery Hub is a nature in Vitória, Brazil, popular for its natural scenery and relaxing atmosphere. Entry fee is 51.08 USD. Recommended visit: 3 hours. Discover VerdeVista Discovery Hub, a peaceful nature in Vitória, Brazil, ideal for nature lovers. Open 09:00-18:00, entry 51.08 USD.",51.08,09:00-18:00,3 hours,3.7,"826 Sukhumvit Road, Khlong Toei District, Vitória",-20.2586639929768,-40.262202054617205,"['solo women', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas', 'parking']"
