attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Sacramento,United States,Nature/Scenery/Park,Willowbrook Botanical Haven,"Willowbrook Botanical Haven is a nature in Sacramento, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.72 USD. Recommended visit: 3 hours. Discover Willowbrook Botanical Haven, a peaceful nature in Sacramento, United States, ideal for nature lovers. Open 08:00-22:00, entry 6.72 USD.",6.72,08:00-22:00,3 hours,3.7,"440 Gwangalli-ro, Sacramento",38.47848513658395,-121.54460127225305,"['solo women', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences']"
2,Sacramento,United States,Nature/Scenery/Park,Willowbrook Wildscape Walk,"Willowbrook Wildscape Walk is a nature in Sacramento, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 294.64 USD. Recommended visit: 3 hours. Discover Willowbrook Wildscape Walk, a peaceful nature in Sacramento, United States, ideal for nature lovers. Open 10:00-18:00, entry 294.64 USD.",294.64,10:00-18:00,3 hours,3.7,"827 Rachadaphisek Road, Sathorn, Sacramento",38.630923248282535,-121.43192683749136,"['photography', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
3,Sacramento,United States,Nature/Scenery/Park,Cedar Hollow Sanctuary,"Cedar Hollow Sanctuary is a nature in Sacramento, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.65 USD. Recommended visit: 3 hours. Discover Cedar Hollow Sanctuary, a peaceful nature in Sacramento, United States, ideal for nature lovers. Open 08:30-17:30, entry 8.65 USD.",8.65,08:30-17:30,3 hours,3.7,"No. 456 Harmony Avenue, Sacramento",38.673421962180846,-121.53825371668344,"['with children', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
4,Sacramento,United States,Nature/Scenery/Park,Sutter Creek Nature Trail,"Sutter Creek Nature Trail is a nature in Sacramento, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover Sutter Creek Nature Trail, a peaceful nature in Sacramento, United States, ideal for nature lovers. Open 08:00-17:30, entry 37.95 USD.",37.95,08:00-17:30,3 hours,3.7,"No. 456, Xiamen Bay Road, Sacramento",38.594707780913474,-121.46838992394252,"['solo women', 'photography', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'High speed WiFi']"
5,Sacramento,United States,Nature/Scenery/Park,Moonlit River Glide,"Moonlit River Glide is a nature in Sacramento, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover Moonlit River Glide, a peaceful nature in Sacramento, United States, ideal for nature lovers. Open 08:30-17:00, entry 116.65 USD.",116.65,08:30-17:00,3 hours,3.7,"501 Sakura Street, Naka-ku, Sacramento",38.51196929883445,-121.51499538278011,"['with pets', 'photography', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations', 'High speed WiFi']"
6,Sacramento,United States,Nature/Scenery/Park,Cedar Hollow Preserve,"Cedar Hollow Preserve is a nature in Sacramento, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Cedar Hollow Preserve, a peaceful nature in Sacramento, United States, ideal for nature lovers. Open 08:30-18:00, entry 2.8 USD.",2.8,08:30-18:00,3 hours,3.7,"453 Seifukuen Street, Chuo Ward, Sacramento",38.46686538097815,-121.47199286842692,"['nightlife enthusiast', 'fast-paced budget travel', 'with pets']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
7,Sacramento,United States,Nature/Scenery/Park,Verdant Ridge Culinary Trail,"Verdant Ridge Culinary Trail is a nature in Sacramento, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 15.4 USD. Recommended visit: 3 hours. Discover Verdant Ridge Culinary Trail, a peaceful nature in Sacramento, United States, ideal for nature lovers. Open 09:00-17:30, entry 15.4 USD.",15.4,09:00-17:30,3 hours,3.7,"878 Seogwipo Street, Sacramento",38.527378758926126,-121.3796621168047,['photography'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations']"
8,Sacramento,United States,Nature/Scenery/Park,Sutter Creek Summit Express,"Sutter Creek Summit Express is a nature in Sacramento, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.27 USD. Recommended visit: 3 hours. Discover Sutter Creek Summit Express, a peaceful nature in Sacramento, United States, ideal for nature lovers. Open 08:30-19:00, entry 33.27 USD.",33.27,08:30-19:00,3 hours,3.7,"No. 128, Yanshan Road, Sacramento",38.57231336894903,-121.42350918478402,"['solo women', 'with pets', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours']"
9,Sacramento,United States,Nature/Scenery/Park,Horizon Bluffs,"Horizon Bluffs is a nature in Sacramento, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Horizon Bluffs, a peaceful nature in Sacramento, United States, ideal for nature lovers. Open 08:00-20:00, entry 14.98 USD.",14.98,08:00-20:00,3 hours,3.7,"417 Seaside Promenade, Sacramento",38.50481798566897,-121.5190430930574,"['with children', 'luxury travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events', 'High speed WiFi']"
10,Sacramento,United States,Nature/Scenery/Park,Greenhaven Discovery Hub,"Greenhaven Discovery Hub is a nature in Sacramento, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Greenhaven Discovery Hub, a peaceful nature in Sacramento, United States, ideal for nature lovers. Open 08:30-17:00, entry 31.52 USD.",31.52,08:30-17:00,3 hours,3.7,"158-8543 Shibuya, Sacramento",38.50267179694465,-121.51242826411678,"['fast-paced budget travel', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'High speed WiFi']"
