attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Hyderabad,India,Nature/Scenery/Park,Velugu Green Haven,"Velugu Green Haven is a nature in Hyderabad, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Velugu Green Haven, a peaceful nature in Hyderabad, India, ideal for nature lovers. Open 09:00-18:00, entry 7.57 USD.",7.57,09:00-18:00,3 hours,3.7,"No. 456, Xuhui Park Road, Hyderabad",17.34678787360314,78.43248213071118,"['with pets', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
2,Hyderabad,India,Nature/Scenery/Park,Velugu Greenway Trail,"Velugu Greenway Trail is a nature in Hyderabad, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Velugu Greenway Trail, a peaceful nature in Hyderabad, India, ideal for nature lovers. Open 09:00-17:30, entry 22.61 USD.",22.61,09:00-17:30,3 hours,3.7,"492 Suginami Street, Suginami Ward, Hyderabad",17.47142862358297,78.43109961972759,"['nightlife enthusiast', 'solo women', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations']"
3,Hyderabad,India,Nature/Scenery/Park,Velvet Dunes Sanctuary,"Velvet Dunes Sanctuary is a nature in Hyderabad, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.72 USD. Recommended visit: 3 hours. Discover Velvet Dunes Sanctuary, a peaceful nature in Hyderabad, India, ideal for nature lovers. Open 08:30-17:30, entry 6.72 USD.",6.72,08:30-17:30,3 hours,3.7,"362-567 Nishi-Ku, Hyderabad",17.41816630472944,78.42161507322442,"['with pets', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
4,Hyderabad,India,Nature/Scenery/Park,Pearlwood Trail,"Pearlwood Trail is a nature in Hyderabad, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Pearlwood Trail, a peaceful nature in Hyderabad, India, ideal for nature lovers. Open 09:00-17:30, entry 29.53 USD.",29.53,09:00-17:30,3 hours,3.7,"252-8673 Shibuya, Hyderabad",17.441013659387394,78.44947232980276,"['with children', 'business travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'High speed WiFi', 'parking']"
5,Hyderabad,India,Nature/Scenery/Park,Moonlit River Journey,"Moonlit River Journey is a nature in Hyderabad, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Moonlit River Journey, a peaceful nature in Hyderabad, India, ideal for nature lovers. Open 08:00-22:00, entry 2.8 USD.",2.8,08:00-22:00,3 hours,3.7,"No. 456, Cultural Avenue, Hyderabad",17.352191228020086,78.48037561297359,"['road trip', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
6,Hyderabad,India,Nature/Scenery/Park,Velugu Hills Retreat,"Velugu Hills Retreat is a nature in Hyderabad, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Velugu Hills Retreat, a peaceful nature in Hyderabad, India, ideal for nature lovers. Open 09:00-17:00, entry 5.6 USD.",5.6,09:00-17:00,3 hours,3.7,"161 Nishi-Shinjuku, Shinjuku Ward, Hyderabad",17.35179184947876,78.50648202920823,"['nightlife enthusiast', 'with children', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'wheelchair rental', 'benches/rest areas']"
7,Hyderabad,India,Nature/Scenery/Park,Green Peak Culinary Escapes,"Green Peak Culinary Escapes is a nature in Hyderabad, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Green Peak Culinary Escapes, a peaceful nature in Hyderabad, India, ideal for nature lovers. Open 09:00-17:30, entry 17.5 USD.",17.5,09:00-17:30,3 hours,3.7,"No. 456, Yuzhong Road, Hyderabad",17.53034403265812,78.45248666524313,['solo women'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security']"
8,Hyderabad,India,Nature/Scenery/Park,Charminar Hills Adventure Pass,"Charminar Hills Adventure Pass is a nature in Hyderabad, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 55.55 USD. Recommended visit: 3 hours. Discover Charminar Hills Adventure Pass, a peaceful nature in Hyderabad, India, ideal for nature lovers. Open 08:00-19:00, entry 55.55 USD.",55.55,08:00-19:00,3 hours,3.7,"No. 588, Innovation Road, Hyderabad",17.335838740913466,78.45693989897775,"['with pets', 'photography', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']"
9,Hyderabad,India,Nature/Scenery/Park,Horizon Heights,"Horizon Heights is a nature in Hyderabad, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.87 USD. Recommended visit: 3 hours. Discover Horizon Heights, a peaceful nature in Hyderabad, India, ideal for nature lovers. Open 08:00-20:00, entry 4.87 USD.",4.87,08:00-20:00,3 hours,3.7,"No. 456, South Zhongshan Road, Hyderabad",17.486587491683135,78.40444444898766,"['fast-paced budget travel', 'photography', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
10,Hyderabad,India,Nature/Scenery/Park,Green Haven Playland,"Green Haven Playland is a nature in Hyderabad, India, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Green Haven Playland, a peaceful nature in Hyderabad, India, ideal for nature lovers. Open 09:30-17:00, entry 24.24 USD.",24.24,09:30-17:00,3 hours,3.7,"845 Gwanghwamun-ro, Jongno-gu, Hyderabad",17.340215225510825,78.42016742938333,['with children'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities']"
