attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Caselle,Italy,Nature/Scenery/Park,Verde Oasis Reserve,"Verde Oasis Reserve is a nature in Caselle, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Verde Oasis Reserve, a peaceful nature in Caselle, Italy, ideal for nature lovers. Open 08:30-18:00, entry 2.8 USD.",2.8,08:30-18:00,3 hours,3.7,"816 Beach Road, Caselle",45.498183379299086,10.222055934575858,"['foodie', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas', 'parking']"
2,Caselle,Italy,Nature/Scenery/Park,Verde Vale Discovery Trail,"Verde Vale Discovery Trail is a nature in Caselle, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 9.8 USD. Recommended visit: 3 hours. Discover Verde Vale Discovery Trail, a peaceful nature in Caselle, Italy, ideal for nature lovers. Open 09:00-17:30, entry 9.8 USD.",9.8,09:00-17:30,3 hours,3.7,"No. 456, Yantou Road, Dapeng New District, Caselle",45.49799003188261,10.22235771005866,"['with pets', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
3,Caselle,Italy,Nature/Scenery/Park,Verde Alta Sanctuary,"Verde Alta Sanctuary is a nature in Caselle, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover Verde Alta Sanctuary, a peaceful nature in Caselle, Italy, ideal for nature lovers. Open 19:00-23:00, entry 37.95 USD.",37.95,19:00-23:00,3 hours,3.7,"No. 45, West Gate, Haidian District, Caselle",45.49806382436668,10.222442482369257,"['nightlife enthusiast', 'luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
4,Caselle,Italy,Nature/Scenery/Park,Lago di Montagnola Trails,"Lago di Montagnola Trails is a nature in Caselle, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.87 USD. Recommended visit: 3 hours. Discover Lago di Montagnola Trails, a peaceful nature in Caselle, Italy, ideal for nature lovers. Open 06:00-20:00, entry 4.87 USD.",4.87,06:00-20:00,3 hours,3.7,"No. 456, Xuehua Road, Caselle",45.49787157748184,10.222089188420505,"['with pets', 'photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
5,Caselle,Italy,Nature/Scenery/Park,Lagoon Moonlight Voyage,"Lagoon Moonlight Voyage is a nature in Caselle, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Lagoon Moonlight Voyage, a peaceful nature in Caselle, Italy, ideal for nature lovers. Open 10:00-18:00, entry 14.98 USD.",14.98,10:00-18:00,3 hours,3.7,"No. 456, Xiamen Bay Road, Caselle",45.49865054849136,10.22228896455922,"['photography', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences']"
6,Caselle,Italy,Nature/Scenery/Park,Verde Cima Reserve,"Verde Cima Reserve is a nature in Caselle, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Verde Cima Reserve, a peaceful nature in Caselle, Italy, ideal for nature lovers. Open 08:00-19:00, entry 7.57 USD.",7.57,08:00-19:00,3 hours,3.7,"No. 456, Xiamen Bay Road, Caselle",45.49855769177898,10.222270469602542,"['solo women', 'photography', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences']"
7,Caselle,Italy,Nature/Scenery/Park,Verdant Ridge Culinary Trail,"Verdant Ridge Culinary Trail is a nature in Caselle, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Verdant Ridge Culinary Trail, a peaceful nature in Caselle, Italy, ideal for nature lovers. Open 09:00-17:30, entry 17.5 USD.",17.5,09:00-17:30,3 hours,3.7,"641 Seongsan-ro, Caselle",45.49860503979229,10.222113786520469,"['business travelers', 'with pets', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'High speed WiFi', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'parking']"
8,Caselle,Italy,Nature/Scenery/Park,Valley of the Silver Ferns,"Valley of the Silver Ferns is a nature in Caselle, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Valley of the Silver Ferns, a peaceful nature in Caselle, Italy, ideal for nature lovers. Open 09:00-17:30, entry 11.05 USD.",11.05,09:00-17:30,3 hours,3.7,"338 Gwangalli Beach Road, Caselle",45.49821542492567,10.222233875215084,"['nightlife enthusiast', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
9,Caselle,Italy,Nature/Scenery/Park,Azure Horizon Grove,"Azure Horizon Grove is a nature in Caselle, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.72 USD. Recommended visit: 3 hours. Discover Azure Horizon Grove, a peaceful nature in Caselle, Italy, ideal for nature lovers. Open 08:30-19:00, entry 6.72 USD.",6.72,08:30-19:00,3 hours,3.7,"No. 456, Cultural Avenue, Caselle",45.498251547941365,10.22206833529406,"['solo women', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'parking']"
10,Caselle,Italy,Nature/Scenery/Park,VerdeVelo Adventure Hub,"VerdeVelo Adventure Hub is a nature in Caselle, Italy, popular for its natural scenery and relaxing atmosphere. Entry fee is 51.08 USD. Recommended visit: 3 hours. Discover VerdeVelo Adventure Hub, a peaceful nature in Caselle, Italy, ideal for nature lovers. Open 08:00-18:00, entry 51.08 USD.",51.08,08:00-18:00,3 hours,3.7,"541 Sim Lim Tower, Caselle",45.49795200195493,10.222204272113707,"['fast-paced budget travel', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
