attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Otopeni,Romania,Nature/Scenery/Park,Valea Verde Natural Reserve,"Valea Verde Natural Reserve is a nature in Otopeni, Romania, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.65 USD. Recommended visit: 3 hours. Discover Valea Verde Natural Reserve, a peaceful nature in Otopeni, Romania, ideal for nature lovers. Open 09:00-17:30, entry 8.65 USD.",8.65,09:00-17:30,3 hours,3.7,"No. 456, Green Valley Road, Otopeni",44.582060797291554,26.074831024693296,"['with children', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
2,Otopeni,Romania,Nature/Scenery/Park,Verde Valley EcoTrail,"Verde Valley EcoTrail is a nature in Otopeni, Romania, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.17 USD. Recommended visit: 3 hours. Discover Verde Valley EcoTrail, a peaceful nature in Otopeni, Romania, ideal for nature lovers. Open 09:00-21:00, entry 6.17 USD.",6.17,09:00-21:00,3 hours,3.7,"No. 456, West Cultural Street, Otopeni",44.5384105720968,26.041347519915,['fast-paced budget travel'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours']"
3,Otopeni,Romania,Nature/Scenery/Park,Verde Haven Sanctuary,"Verde Haven Sanctuary is a nature in Otopeni, Romania, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover Verde Haven Sanctuary, a peaceful nature in Otopeni, Romania, ideal for nature lovers. Open 08:00-20:00, entry 12.93 USD.",12.93,08:00-20:00,3 hours,3.7,"764 Sakura Street, Naka-ku, Otopeni",44.57388716871827,26.085230713671013,"['with pets', 'couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
4,Otopeni,Romania,Nature/Scenery/Park,Valea Verde Adventure Trail,"Valea Verde Adventure Trail is a nature in Otopeni, Romania, popular for its natural scenery and relaxing atmosphere. Entry fee is 9.8 USD. Recommended visit: 3 hours. Discover Valea Verde Adventure Trail, a peaceful nature in Otopeni, Romania, ideal for nature lovers. Open 09:00-19:00, entry 9.8 USD.",9.8,09:00-19:00,3 hours,3.7,"680 Shinkawa Street, Naka Ward, Otopeni",44.54036031976891,26.06593200403786,"['nightlife enthusiast', 'fast-paced budget travel', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'High speed WiFi']"
5,Otopeni,Romania,Nature/Scenery/Park,Moonlit River Drift,"Moonlit River Drift is a nature in Otopeni, Romania, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.7 USD. Recommended visit: 3 hours. Discover Moonlit River Drift, a peaceful nature in Otopeni, Romania, ideal for nature lovers. Open 09:00-17:30, entry 7.7 USD.",7.7,09:00-17:30,3 hours,3.7,"712 Seaside Promenade, Otopeni",44.57526274372739,26.090378304466785,"['fast-paced budget travel', 'solo women', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations']"
6,Otopeni,Romania,Nature/Scenery/Park,Verde Peak Sanctuary,"Verde Peak Sanctuary is a nature in Otopeni, Romania, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Verde Peak Sanctuary, a peaceful nature in Otopeni, Romania, ideal for nature lovers. Open 08:30-17:30, entry 11.76 USD.",11.76,08:30-17:30,3 hours,3.7,"No. 456, Cultural Street, Otopeni",44.55779905347588,26.12082664329874,"['with children', 'business travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'High speed WiFi', 'parking']"
7,Otopeni,Romania,Nature/Scenery/Park,Verdant Peak Culinary Escape,"Verdant Peak Culinary Escape is a nature in Otopeni, Romania, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Verdant Peak Culinary Escape, a peaceful nature in Otopeni, Romania, ideal for nature lovers. Open 09:00-18:00, entry 22.61 USD.",22.61,09:00-18:00,3 hours,3.7,"420-234 Kitahama Street, Otopeni",44.58866127475461,26.09525510886451,"['photography', 'couples trip', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas']"
8,Otopeni,Romania,Nature/Scenery/Park,Valea Verde Express 1-Day Pass + Piatra Verde Skyride + Cascada Alba,"Valea Verde Express 1-Day Pass + Piatra Verde Skyride + Cascada Alba is a nature in Otopeni, Romania, popular for its natural scenery and relaxing atmosphere. Entry fee is 20.74 USD. Recommended visit: 3 hours. Discover Valea Verde Express 1-Day Pass + Piatra Verde Skyride + Cascada Alba, a peaceful nature in Otopeni, Romania, ideal for nature lovers. Open 19:00-23:00, entry 20.74 USD.",20.74,19:00-23:00,3 hours,3.7,"998 Jurong East Avenue 6, Otopeni",44.543442699296655,26.09619864424244,['disabled traveler'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
9,Otopeni,Romania,Nature/Scenery/Park,Horizon Haven,"Horizon Haven is a nature in Otopeni, Romania, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.44 USD. Recommended visit: 3 hours. Discover Horizon Haven, a peaceful nature in Otopeni, Romania, ideal for nature lovers. Open 08:30-19:00, entry 6.44 USD.",6.44,08:30-19:00,3 hours,3.7,"192 Sakura Street, Otopeni",44.56736657486756,26.05659502595148,"['nightlife enthusiast', 'with children', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'wheelchair rental', 'benches/rest areas']"
10,Otopeni,Romania,Nature/Scenery/Park,Verde Explorers' Haven,"Verde Explorers' Haven is a nature in Otopeni, Romania, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Verde Explorers' Haven, a peaceful nature in Otopeni, Romania, ideal for nature lovers. Open 08:30-17:00, entry 31.52 USD.",31.52,08:30-17:00,3 hours,3.7,"No. 456, Zhongshan Road, Otopeni",44.56140026851976,26.11547218624008,"['photography', 'luxury travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events', 'High speed WiFi']"
