attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Davao,Philippines,Nature/Scenery/Park,Talomo Wild Haven,"Talomo Wild Haven is a nature in Davao, Philippines, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Talomo Wild Haven, a peaceful nature in Davao, Philippines, ideal for nature lovers. Open 09:00-17:30, entry 43.59 USD.",43.59,09:00-17:30,3 hours,3.7,"No. 125 Jianfu Temple Road, Davao",7.475622725905039,125.45385753115676,"['fast-paced budget travel', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences']"
2,Davao,Philippines,Nature/Scenery/Park,Emerald Canopy Adventure,"Emerald Canopy Adventure is a nature in Davao, Philippines, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Emerald Canopy Adventure, a peaceful nature in Davao, Philippines, ideal for nature lovers. Open 19:00-23:00, entry 12.32 USD.",12.32,19:00-23:00,3 hours,3.7,"No. 888, West Lake Scenic Area, Davao",6.977530155792004,125.37421466601928,"['with children', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
3,Davao,Philippines,Nature/Scenery/Park,Cedar Hollow Sanctuary,"Cedar Hollow Sanctuary is a nature in Davao, Philippines, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Cedar Hollow Sanctuary, a peaceful nature in Davao, Philippines, ideal for nature lovers. Open 10:00-18:00, entry 2.8 USD.",2.8,10:00-18:00,3 hours,3.7,"No. 456, Xizhimen South Street, Davao",7.067536497499256,125.60070118069504,"['with children', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
4,Davao,Philippines,Nature/Scenery/Park,Barracuda Bay Trail,"Barracuda Bay Trail is a nature in Davao, Philippines, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Barracuda Bay Trail, a peaceful nature in Davao, Philippines, ideal for nature lovers. Open 08:00-19:00, entry 2059.2 USD.",2059.2,08:00-19:00,3 hours,3.7,"506 Sakura Street, Nishi-ku, Davao",7.516715671148571,125.40211577101518,"['photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
5,Davao,Philippines,Nature/Scenery/Park,Azure Bay Night Voyage,"Azure Bay Night Voyage is a nature in Davao, Philippines, popular for its natural scenery and relaxing atmosphere. Entry fee is 20.74 USD. Recommended visit: 3 hours. Discover Azure Bay Night Voyage, a peaceful nature in Davao, Philippines, ideal for nature lovers. Open 09:00-17:00, entry 20.74 USD.",20.74,09:00-17:00,3 hours,3.7,"213 Nakanoshima-dori, Chuo-ku, Davao",7.490903306383576,125.307399068805,"['nightlife enthusiast', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
6,Davao,Philippines,Nature/Scenery/Park,Emerald Ridge Viewpoint,"Emerald Ridge Viewpoint is a nature in Davao, Philippines, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Emerald Ridge Viewpoint, a peaceful nature in Davao, Philippines, ideal for nature lovers. Open 08:30-17:00, entry 31.52 USD.",31.52,08:30-17:00,3 hours,3.7,"No. 188, Huanshi Road, Davao",7.13506951207262,125.50384515755124,"['fast-paced budget travel', 'with pets', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas']"
7,Davao,Philippines,Nature/Scenery/Park,Emerald Ridge Culinary Escapes,"Emerald Ridge Culinary Escapes is a nature in Davao, Philippines, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Emerald Ridge Culinary Escapes, a peaceful nature in Davao, Philippines, ideal for nature lovers. Open 09:00-19:00, entry 94.11 USD.",94.11,09:00-19:00,3 hours,3.7,"377 Shinsaibashi Dogenzaka, Chuo Ward, Davao",7.178095824818931,125.49248420195822,"['fast-paced budget travel', 'solo women', 'with pets']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
8,Davao,Philippines,Nature/Scenery/Park,Mount Apo Summit Express + Davao River Cableway Combo Pass,"Mount Apo Summit Express + Davao River Cableway Combo Pass is a nature in Davao, Philippines, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Mount Apo Summit Express + Davao River Cableway Combo Pass, a peaceful nature in Davao, Philippines, ideal for nature lovers. Open 09:30-17:00, entry 6.39 USD.",6.39,09:30-17:00,3 hours,3.7,"938 Beach Road, Davao",7.319340487768903,125.26655007609678,"['with pets', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
9,Davao,Philippines,Nature/Scenery/Park,Azure Horizon Grove,"Azure Horizon Grove is a nature in Davao, Philippines, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Azure Horizon Grove, a peaceful nature in Davao, Philippines, ideal for nature lovers. Open 08:30-17:00, entry 2.0 USD.",2.0,08:30-17:00,3 hours,3.7,"855 Gwangjang Street, Mapo-gu, Davao",7.332760595623542,125.29315348400112,"['fast-paced budget travel', 'solo women', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'Food markets', 'tasting tours']"
10,Davao,Philippines,Nature/Scenery/Park,Talikay Jungle Explorers,"Talikay Jungle Explorers is a nature in Davao, Philippines, popular for its natural scenery and relaxing atmosphere. Entry fee is 51.08 USD. Recommended visit: 3 hours. Discover Talikay Jungle Explorers, a peaceful nature in Davao, Philippines, ideal for nature lovers. Open 10:00-22:00, entry 51.08 USD.",51.08,10:00-22:00,3 hours,3.7,"No. 456 Cultural Square, Davao",7.554146162491265,125.42289251659297,"['with pets', 'photography', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events']"
