attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Faro,Portugal,Nature/Scenery/Park,Algarve Wild Haven,"Algarve Wild Haven is a nature in Faro, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 3.36 USD. Recommended visit: 3 hours. Discover Algarve Wild Haven, a peaceful nature in Faro, Portugal, ideal for nature lovers. Open 08:30-17:30, entry 3.36 USD.",3.36,08:30-17:30,3 hours,3.7,"893 Seibei-cho, Faro",37.01429595245834,-7.923617567807943,"['business travelers', 'couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'High speed WiFi', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
2,Faro,Portugal,Nature/Scenery/Park,Algarve Wildflower Trail,"Algarve Wildflower Trail is a nature in Faro, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 294.64 USD. Recommended visit: 3 hours. Discover Algarve Wildflower Trail, a peaceful nature in Faro, Portugal, ideal for nature lovers. Open 08:30-17:30, entry 294.64 USD.",294.64,08:30-17:30,3 hours,3.7,"123 Queen's Road Central, Faro",37.10089471532344,-7.994780623872699,['nightlife enthusiast'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows']"
3,Faro,Portugal,Nature/Scenery/Park,Aldeia Verde Sanctuary,"Aldeia Verde Sanctuary is a nature in Faro, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.72 USD. Recommended visit: 3 hours. Discover Aldeia Verde Sanctuary, a peaceful nature in Faro, Portugal, ideal for nature lovers. Open 09:00-18:00, entry 6.72 USD.",6.72,09:00-18:00,3 hours,3.7,"No. 588, Dongping Road, Faro",37.11763662988421,-7.921462417480571,"['nightlife enthusiast', 'with pets', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'parking']"
4,Faro,Portugal,Nature/Scenery/Park,Algarve Shoreline Sanctuary,"Algarve Shoreline Sanctuary is a nature in Faro, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Algarve Shoreline Sanctuary, a peaceful nature in Faro, Portugal, ideal for nature lovers. Open 09:00-18:00, entry 94.11 USD.",94.11,09:00-18:00,3 hours,3.7,"679 Sathorn Unique Tower, Silom Road, Faro",37.08021495081992,-7.878558731952665,"['with children', 'fast-paced budget travel', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours']"
5,Faro,Portugal,Nature/Scenery/Park,Moonlit Bay Excursion,"Moonlit Bay Excursion is a nature in Faro, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Moonlit Bay Excursion, a peaceful nature in Faro, Portugal, ideal for nature lovers. Open 08:30-20:00, entry 4.36 USD.",4.36,08:30-20:00,3 hours,3.7,"496 Sukhumvit Road, Khlong Toei District, Faro",36.97923783892124,-7.879744662511733,"['with pets', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations']"
6,Faro,Portugal,Nature/Scenery/Park,Cerro das Laranjeiras Viewpoint,"Cerro das Laranjeiras Viewpoint is a nature in Faro, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Cerro das Laranjeiras Viewpoint, a peaceful nature in Faro, Portugal, ideal for nature lovers. Open 08:00-20:00, entry 14.98 USD.",14.98,08:00-20:00,3 hours,3.7,"986 Sukhumvit Road, Khlong Toei District, Faro",37.04276789254986,-7.938859470090237,"['couples trip', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
7,Faro,Portugal,Nature/Scenery/Park,Verdant Vista Escapade,"Verdant Vista Escapade is a nature in Faro, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.12 USD. Recommended visit: 3 hours. Discover Verdant Vista Escapade, a peaceful nature in Faro, Portugal, ideal for nature lovers. Open 09:30-17:00, entry 4.12 USD.",4.12,09:30-17:00,3 hours,3.7,"272 Sakura Street, Nakamura Ward, Faro",37.05661213998631,-7.914037880725759,"['fast-paced budget travel', 'with pets', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
8,Faro,Portugal,Nature/Scenery/Park,Algarve Skyline Summit Pass + Ria Formosa Cable Car Round Trip,"Algarve Skyline Summit Pass + Ria Formosa Cable Car Round Trip is a nature in Faro, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.53 USD. Recommended visit: 3 hours. Discover Algarve Skyline Summit Pass + Ria Formosa Cable Car Round Trip, a peaceful nature in Faro, Portugal, ideal for nature lovers. Open 08:30-17:00, entry 12.53 USD.",12.53,08:30-17:00,3 hours,3.7,"No. 123 Xujiahui Road, Faro",37.00330767331273,-7.862629042912413,"['fast-paced budget travel', 'solo women', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences']"
9,Faro,Portugal,Nature/Scenery/Park,Horizon Vista,"Horizon Vista is a nature in Faro, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Horizon Vista, a peaceful nature in Faro, Portugal, ideal for nature lovers. Open 09:30-17:00, entry 6.39 USD.",6.39,09:30-17:00,3 hours,3.7,"663 Shimbashi Street, Shibuya Ward, Faro",37.06204114113177,-7.966984576664288,"['with children', 'fast-paced budget travel', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
10,Faro,Portugal,Nature/Scenery/Park,Lagoon Leap Adventure Park,"Lagoon Leap Adventure Park is a nature in Faro, Portugal, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Lagoon Leap Adventure Park, a peaceful nature in Faro, Portugal, ideal for nature lovers. Open 08:00-19:00, entry 29.53 USD.",29.53,08:00-19:00,3 hours,3.7,"680-12-28 Nishi-Nakamichi, Chuo Ward, Faro",37.00680934902824,-7.906204376828051,"['road trip', 'with pets', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'High speed WiFi']"
