attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Fort Lauderdale,United States,Nature/Scenery/Park,Everglades Wildscape Preserve,"Everglades Wildscape Preserve is a nature in Fort Lauderdale, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Everglades Wildscape Preserve, a peaceful nature in Fort Lauderdale, United States, ideal for nature lovers. Open 08:30-17:00, entry 17.5 USD.",17.5,08:30-17:00,3 hours,3.7,"677 Sakura Street, Fort Lauderdale",26.14886028359769,-80.11577589059448,"['business travelers', 'photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'High speed WiFi', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
2,Fort Lauderdale,United States,Nature/Scenery/Park,Tidal Canopy Trail,"Tidal Canopy Trail is a nature in Fort Lauderdale, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.27 USD. Recommended visit: 3 hours. Discover Tidal Canopy Trail, a peaceful nature in Fort Lauderdale, United States, ideal for nature lovers. Open 08:30-17:00, entry 33.27 USD.",33.27,08:30-17:00,3 hours,3.7,"No. 588, Yipin Road, Fort Lauderdale",26.113699759361623,-80.13955766855392,"['foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
3,Fort Lauderdale,United States,Nature/Scenery/Park,Emerald Canopy Sanctuary,"Emerald Canopy Sanctuary is a nature in Fort Lauderdale, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Emerald Canopy Sanctuary, a peaceful nature in Fort Lauderdale, United States, ideal for nature lovers. Open 08:30-17:00, entry 4.36 USD.",4.36,08:30-17:00,3 hours,3.7,"953-12-8 Kita-Nakamise, Fort Lauderdale",26.201931251715823,-80.1930895363273,"['fast-paced budget travel', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
4,Fort Lauderdale,United States,Nature/Scenery/Park,Everglades Tide Walk,"Everglades Tide Walk is a nature in Fort Lauderdale, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 294.64 USD. Recommended visit: 3 hours. Discover Everglades Tide Walk, a peaceful nature in Fort Lauderdale, United States, ideal for nature lovers. Open 09:00-21:00, entry 294.64 USD.",294.64,09:00-21:00,3 hours,3.7,"894 Suthep Road, Fort Lauderdale",26.16626538367242,-80.1080642664789,"['nightlife enthusiast', 'business travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'High speed WiFi', 'parking']"
5,Fort Lauderdale,United States,Nature/Scenery/Park,Moonlit Bay Excursion,"Moonlit Bay Excursion is a nature in Fort Lauderdale, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 15.4 USD. Recommended visit: 3 hours. Discover Moonlit Bay Excursion, a peaceful nature in Fort Lauderdale, United States, ideal for nature lovers. Open 10:00-18:00, entry 15.4 USD.",15.4,10:00-18:00,3 hours,3.7,"No. 456 Riverside Promenade, Fort Lauderdale",26.11924606254065,-80.11415933053216,"['with children', 'solo women', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations']"
6,Fort Lauderdale,United States,Nature/Scenery/Park,Emerald Dunes Preserve,"Emerald Dunes Preserve is a nature in Fort Lauderdale, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Emerald Dunes Preserve, a peaceful nature in Fort Lauderdale, United States, ideal for nature lovers. Open 08:30-19:00, entry 2.8 USD.",2.8,08:30-19:00,3 hours,3.7,"No. 456 Riverside Lane, Fort Lauderdale",26.1121169652575,-80.16905632986625,"['with pets', 'photography', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences']"
7,Fort Lauderdale,United States,Nature/Scenery/Park,Tropical Vista Eco Haven,"Tropical Vista Eco Haven is a nature in Fort Lauderdale, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Tropical Vista Eco Haven, a peaceful nature in Fort Lauderdale, United States, ideal for nature lovers. Open 08:30-17:00, entry 2059.2 USD.",2059.2,08:30-17:00,3 hours,3.7,"No. 456, Ocean View Road, Fort Lauderdale",26.20641553191431,-80.10631563861553,"['fast-paced budget travel', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
8,Fort Lauderdale,United States,Nature/Scenery/Park,Bayside Scenic Loop Express + Pinecrest Summit Skyride + Riverwalk Gardens,"Bayside Scenic Loop Express + Pinecrest Summit Skyride + Riverwalk Gardens is a nature in Fort Lauderdale, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 3.36 USD. Recommended visit: 3 hours. Discover Bayside Scenic Loop Express + Pinecrest Summit Skyride + Riverwalk Gardens, a peaceful nature in Fort Lauderdale, United States, ideal for nature lovers. Open 09:00-19:00, entry 3.36 USD.",3.36,09:00-19:00,3 hours,3.7,"525 Bras Basah Road, Fort Lauderdale",26.110891894598137,-80.10638167138548,"['nightlife enthusiast', 'fast-paced budget travel', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours']"
9,Fort Lauderdale,United States,Nature/Scenery/Park,Tidal Haven Grove,"Tidal Haven Grove is a nature in Fort Lauderdale, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Tidal Haven Grove, a peaceful nature in Fort Lauderdale, United States, ideal for nature lovers. Open 09:00-17:30, entry 94.11 USD.",94.11,09:00-17:30,3 hours,3.7,"817 Sakura Street, Naka-ku, Fort Lauderdale",26.118338560984064,-80.12116248057916,"['nightlife enthusiast', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'wheelchair rental', 'benches/rest areas', 'parking']"
10,Fort Lauderdale,United States,Nature/Scenery/Park,Tropical Treetop Explorers,"Tropical Treetop Explorers is a nature in Fort Lauderdale, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Tropical Treetop Explorers, a peaceful nature in Fort Lauderdale, United States, ideal for nature lovers. Open 09:00-17:30, entry 5.6 USD.",5.6,09:00-17:30,3 hours,3.7,"No. 456, East Chang'an Avenue, Fort Lauderdale",26.209461465779032,-80.10389279199607,"['with children', 'solo women', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences']"
