attraction_id,city_name,attraction_name,address,longitude,latitude,open_hours,ticket_price,overview,facilities,type,duration_of_visit,rate_of_restaurant,facilities_group,country
1,Guangzhou,Changlong Wildlife Adventure Park,"No. 567, Guangming Road, Haizhu District",113.188203,22.860654,08:30-17:00,7.7,"Changlong Wildlife Adventure Park is a theme park in Guangzhou, China, popular for its memorable experiences. Entry fee is 7.7 USD. Recommended visit: 6 hours. Discover Changlong Wildlife Adventure Park, a notable theme park in Guangzhou, China, ideal for visitors. Open 08:30-17:00, entry 7.7 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'food markets', 'tasting tours', 'parking']",Theme Park/Amusement Park,6 hours,3.75,"['Road trip', 'Pet Owners', 'Fast-Paced Budget Travel', 'Solo Woman Travelers', 'Luxury Travelers', 'foodie']",China
2,Guangzhou,Guangzhou Changlong Leisure Complex,"No. 128, Guanglong Road, Haizhu District",113.455952,23.618003,08:30-21:00,20.02,"Guangzhou Changlong Leisure Complex is a theme park in Guangzhou, China, popular for its memorable experiences. Entry fee is 20.02 USD. Recommended visit: 7 hours. Discover Guangzhou Changlong Leisure Complex, a notable theme park in Guangzhou, China, ideal for visitors. Open 08:30-21:00, entry 20.02 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Theme Park/Amusement Park,7 hours,3.75,"['Road trip', 'Elderly Travelers', 'Pet Owners', 'couples trip', 'Photography']",China
3,Guangzhou,Guangzhou Sky Tower,"No. 333 Tianhe Road, Tianhe District",113.674878,23.307281,09:00-22:00,9.66,"Guangzhou Sky Tower is a historic site in Guangzhou, China, popular for its memorable experiences. Entry fee is 9.66 USD. Recommended visit: 2 hours. Discover Guangzhou Sky Tower, a notable historic site in Guangzhou, China, ideal for visitors. Open 09:00-22:00, entry 9.66 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'night markets', 'bars', 'evening shows', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Historic Site/Landmark,2 hours,3.5,"['Elderly Travelers', 'Pet Owners', 'Nightlife Enthusiast', 'Disabled Travelers', 'Fast-Paced Budget Travel', 'Photography']",China
4,Guangzhou,Guangzhou Changlong International Circus,"No. 128, Lingxi Road, Haizhu District, Guangzhou",113.199766,23.185301,10:00-22:00,22.26,"Guangzhou Changlong International Circus is a theme park in Guangzhou, China, popular for its memorable experiences. Entry fee is 22.26 USD. Recommended visit: 7 hours. Discover Guangzhou Changlong International Circus, a notable theme park in Guangzhou, China, ideal for visitors. Open 10:00-22:00, entry 22.26 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking', 'photo spots', 'guided photo tours', 'charging stations']",Theme Park/Amusement Park,7 hours,3.75,"['Road trip', 'Pet Owners', 'couples trip', 'Solo Woman Travelers', 'Luxury Travelers', 'Photography']",China
5,Guangzhou,Pearl River Night Cruise,"No. 456 Riverside Lane, Yuexiu District",113.626742,23.282501,08:00-22:00,7.7,"Pearl River Night Cruise is a nature in Guangzhou, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.7 USD. Recommended visit: 3 hours. Discover Pearl River Night Cruise, a peaceful nature in Guangzhou, China, ideal for nature lovers. Open 08:00-22:00, entry 7.7 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'night markets', 'bars', 'evening shows', 'family restrooms', 'nursing facilities', 'wheelchair rental', 'benches/rest areas']",Nature/Scenery/Park,3 hours,3.7,"['Family with children', 'Elderly Travelers', 'Pet Owners', 'Nightlife Enthusiast', 'couples trip', 'foodie']",China
6,Guangzhou,Changlong Joyland Park,"No. 128, Huanshi Road, Tianhe District, Guangzhou",113.50977,23.018202,08:30-20:00,40.6,"Changlong Joyland Park is a theme park in Guangzhou, China, popular for its memorable experiences. Entry fee is 40.6 USD. Recommended visit: 8 hours. Discover Changlong Joyland Park, a notable theme park in Guangzhou, China, ideal for visitors. Open 08:30-20:00, entry 40.6 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Theme Park/Amusement Park,8 hours,3.75,"['Road trip', 'Elderly Travelers', 'Pet Owners', 'Fast-Paced Budget Travel', 'Luxury Travelers']",China
7,Guangzhou,Changlong Water Adventure Park,"No. 888, Guangming Avenue, Haizhu District, Guangzhou",113.598226,22.752231,08:30-18:00,27.72,"Changlong Water Adventure Park is a theme park in Guangzhou, China, popular for its memorable experiences. Entry fee is 27.72 USD. Recommended visit: 7 hours. Discover Changlong Water Adventure Park, a notable theme park in Guangzhou, China, ideal for visitors. Open 08:30-18:00, entry 27.72 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'night markets', 'bars', 'evening shows', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Theme Park/Amusement Park,7 hours,3.75,"['Road trip', 'Elderly Travelers', 'Pet Owners', 'Nightlife Enthusiast', 'Disabled Travelers']",China
8,Guangzhou,Chen Family Cultural Hall,"No. 45 Xinglin Road, Yuexiu District",113.708592,23.102961,08:30-17:30,1.4,"Chen Family Cultural Hall is a historic site in Guangzhou, China, popular for its memorable experiences. Entry fee is 1.4 USD. Recommended visit: 2 hours. Discover Chen Family Cultural Hall, a notable historic site in Guangzhou, China, ideal for visitors. Open 08:30-17:30, entry 1.4 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'food markets', 'tasting tours', 'night markets', 'bars', 'evening shows', 'parking', 'photo spots', 'guided photo tours', 'charging stations']",Historic Site/Landmark,2 hours,3.5,"['Road trip', 'Nightlife Enthusiast', 'Solo Woman Travelers', 'Luxury Travelers', 'foodie', 'Photography']",China
9,Guangzhou,Guangdong Science Hub,"No. 188, Science Avenue, Nansha District",113.626192,22.986566,09:00-18:00,7.0,"Guangdong Science Hub is a theme park in Guangzhou, China, popular for its memorable experiences. Entry fee is 7.0 USD. Recommended visit: 6 hours. Discover Guangdong Science Hub, a notable theme park in Guangzhou, China, ideal for visitors. Open 09:00-18:00, entry 7.0 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'night markets', 'bars', 'evening shows', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'photo spots', 'guided photo tours', 'charging stations']",Theme Park/Amusement Park,6 hours,3.75,"['Nightlife Enthusiast', 'Disabled Travelers', 'couples trip', 'Luxury Travelers', 'foodie', 'Photography']",China
10,Guangzhou,Guangdong Cultural Heritage Center,"No. 128, Tianhe Road, Tianhe District, Guangzhou",113.298975,23.202808,09:00-18:00,4.2,"Guangdong Cultural Heritage Center is a historic site in Guangzhou, China, popular for its memorable experiences. Entry fee is 4.2 USD. Recommended visit: 2 hours. Discover Guangdong Cultural Heritage Center, a notable historic site in Guangzhou, China, ideal for visitors. Open 09:00-18:00, entry 4.2 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'group tours', 'security', 'food markets', 'tasting tours', 'night markets', 'bars', 'evening shows', 'parking']",Historic Site/Landmark,2 hours,3.5,"['Road trip', 'Pet Owners', 'Nightlife Enthusiast', 'Fast-Paced Budget Travel', 'Solo Woman Travelers', 'foodie']",China
