attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Bordeaux,France,Nature/Scenery/Park,Lac des Reflets,"Lac des Reflets is a nature in Bordeaux, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.72 USD. Recommended visit: 3 hours. Discover Lac des Reflets, a peaceful nature in Bordeaux, France, ideal for nature lovers. Open 08:30-19:00, entry 6.72 USD.",6.72,08:30-19:00,3 hours,3.7,"No. 567 Green Valley Road, Bordeaux",44.84387744963362,-0.6118233844069878,"['solo women', 'business travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'High speed WiFi', 'parking']"
2,Bordeaux,France,Nature/Scenery/Park,L'Évasion Botanique,"L'Évasion Botanique is a nature in Bordeaux, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover L'Évasion Botanique, a peaceful nature in Bordeaux, France, ideal for nature lovers. Open 08:30-17:30, entry 7.57 USD.",7.57,08:30-17:30,3 hours,3.7,"505 Rachadaphiseikhan Road, Bordeaux",44.90824871649271,-0.551888357581214,"['with pets', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events']"
3,Bordeaux,France,Nature/Scenery/Park,Vineyard Haven,"Vineyard Haven is a nature in Bordeaux, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Vineyard Haven, a peaceful nature in Bordeaux, France, ideal for nature lovers. Open 09:30-17:00, entry 2.8 USD.",2.8,09:30-17:00,3 hours,3.7,"No. 456, Zhongshan Road, Bordeaux",44.85079222701157,-0.5952088340934285,"['fast-paced budget travel', 'solo women', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'Food markets', 'tasting tours']"
4,Bordeaux,France,Nature/Scenery/Park,Gironde Riverwalk Path,"Gironde Riverwalk Path is a nature in Bordeaux, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Gironde Riverwalk Path, a peaceful nature in Bordeaux, France, ideal for nature lovers. Open 08:30-17:00, entry 6.39 USD.",6.39,08:30-17:00,3 hours,3.7,"No. 456 West Lake Road, Bordeaux",44.82790597707832,-0.594075230669233,"['with pets', 'photography', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
5,Bordeaux,France,Nature/Scenery/Park,Lumière River Drift,"Lumière River Drift is a nature in Bordeaux, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 294.64 USD. Recommended visit: 3 hours. Discover Lumière River Drift, a peaceful nature in Bordeaux, France, ideal for nature lovers. Open 08:30-17:30, entry 294.64 USD.",294.64,08:30-17:30,3 hours,3.7,"960 Shibuya Crossing Street, Bordeaux",44.88336575311574,-0.5404683563550172,"['solo women', 'luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
6,Bordeaux,France,Nature/Scenery/Park,La Colline des Reflets,"La Colline des Reflets is a nature in Bordeaux, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover La Colline des Reflets, a peaceful nature in Bordeaux, France, ideal for nature lovers. Open 08:30-17:30, entry 5.15 USD.",5.15,08:30-17:30,3 hours,3.7,"328 Khlong Toei Road, Bordeaux",44.838338413855865,-0.560959299439064,"['with pets', 'photography', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations', 'private tours', 'skip the line passes', 'VIP exclusive events']"
7,Bordeaux,France,Nature/Scenery/Park,Verdant Ridge Culinary Escape,"Verdant Ridge Culinary Escape is a nature in Bordeaux, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.53 USD. Recommended visit: 3 hours. Discover Verdant Ridge Culinary Escape, a peaceful nature in Bordeaux, France, ideal for nature lovers. Open 08:30-17:30, entry 12.53 USD.",12.53,08:30-17:30,3 hours,3.7,"No. 123 Guangdong Road, Bordeaux",44.84461074885368,-0.6151121669121465,"['luxury travelers', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
8,Bordeaux,France,Nature/Scenery/Park,Les Jardins de la Garonne Express,"Les Jardins de la Garonne Express is a nature in Bordeaux, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Les Jardins de la Garonne Express, a peaceful nature in Bordeaux, France, ideal for nature lovers. Open 08:30-18:00, entry 22.61 USD.",22.61,08:30-18:00,3 hours,3.7,"969 Seaside Promenade, Bordeaux",44.84010635681887,-0.621835875397424,['photography'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations']"
9,Bordeaux,France,Nature/Scenery/Park,L'Étang des Reflets,"L'Étang des Reflets is a nature in Bordeaux, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover L'Étang des Reflets, a peaceful nature in Bordeaux, France, ideal for nature lovers. Open 08:30-17:30, entry 2059.2 USD.",2059.2,08:30-17:30,3 hours,3.7,"158 Nathan Road, Bordeaux",44.83990333135058,-0.6000288102656903,"['solo women', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
10,Bordeaux,France,Nature/Scenery/Park,Lumière Gardens Playground,"Lumière Gardens Playground is a nature in Bordeaux, France, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.17 USD. Recommended visit: 3 hours. Discover Lumière Gardens Playground, a peaceful nature in Bordeaux, France, ideal for nature lovers. Open 08:00-22:00, entry 6.17 USD.",6.17,08:00-22:00,3 hours,3.7,"559 Shinsaibashi Street, Chuo Ward, Bordeaux",44.900116753501216,-0.5598689122941393,['nightlife enthusiast'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows']"
