attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,La Romana,Dominican Republic,Nature/Scenery/Park,Coral Bay Nature Reserve,"Coral Bay Nature Reserve is a nature in La Romana, Dominican Republic, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Coral Bay Nature Reserve, a peaceful nature in La Romana, Dominican Republic, ideal for nature lovers. Open 09:00-21:00, entry 17.5 USD.",17.5,09:00-21:00,3 hours,3.7,"No. 1888, Xin'an Road, Futian District, La Romana",18.519346608701607,-68.86821762758409,"['with children', 'business travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'High speed WiFi', 'parking']"
2,La Romana,Dominican Republic,Nature/Scenery/Park,Verdant Vista Adventure Trail,"Verdant Vista Adventure Trail is a nature in La Romana, Dominican Republic, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.65 USD. Recommended visit: 3 hours. Discover Verdant Vista Adventure Trail, a peaceful nature in La Romana, Dominican Republic, ideal for nature lovers. Open 08:30-17:00, entry 8.65 USD.",8.65,08:30-17:00,3 hours,3.7,"819 Shiroiwa Street, La Romana",18.48226572553991,-68.9016769724745,"['nightlife enthusiast', 'photography', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences']"
3,La Romana,Dominican Republic,Nature/Scenery/Park,Cielo Verde Sanctuary,"Cielo Verde Sanctuary is a nature in La Romana, Dominican Republic, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Cielo Verde Sanctuary, a peaceful nature in La Romana, Dominican Republic, ideal for nature lovers. Open 06:00-20:00, entry 5.6 USD.",5.6,06:00-20:00,3 hours,3.7,"716 Beach Road, La Romana",18.4066873841682,-68.97940475153953,"['with children', 'with pets', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
4,La Romana,Dominican Republic,Nature/Scenery/Park,Coral Bay Nature Trail,"Coral Bay Nature Trail is a nature in La Romana, Dominican Republic, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Coral Bay Nature Trail, a peaceful nature in La Romana, Dominican Republic, ideal for nature lovers. Open 08:30-17:30, entry 2.8 USD.",2.8,08:30-17:30,3 hours,3.7,"123 Hollywood Road, La Romana",18.51579710657318,-68.85431604372947,"['with pets', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
5,La Romana,Dominican Republic,Nature/Scenery/Park,Moonlit Bay Excursion,"Moonlit Bay Excursion is a nature in La Romana, Dominican Republic, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Moonlit Bay Excursion, a peaceful nature in La Romana, Dominican Republic, ideal for nature lovers. Open 09:30-17:00, entry 12.32 USD.",12.32,09:30-17:00,3 hours,3.7,"218 Nakanoshima-dori, Kita-ku, La Romana",18.48677714769245,-68.9009605978843,"['fast-paced budget travel', 'road trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'parking', 'High speed WiFi']"
6,La Romana,Dominican Republic,Nature/Scenery/Park,Cielo Verde Heights,"Cielo Verde Heights is a nature in La Romana, Dominican Republic, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Cielo Verde Heights, a peaceful nature in La Romana, Dominican Republic, ideal for nature lovers. Open 09:00-17:30, entry 4.36 USD.",4.36,09:00-17:30,3 hours,3.7,"156 Queen's Road East, La Romana",18.516574996344342,-68.87572797490068,"['couples trip', 'with pets', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations']"
7,La Romana,Dominican Republic,Nature/Scenery/Park,Verdant Vista Eco Haven,"Verdant Vista Eco Haven is a nature in La Romana, Dominican Republic, popular for its natural scenery and relaxing atmosphere. Entry fee is 20.74 USD. Recommended visit: 3 hours. Discover Verdant Vista Eco Haven, a peaceful nature in La Romana, Dominican Republic, ideal for nature lovers. Open 08:30-17:00, entry 20.74 USD.",20.74,08:30-17:00,3 hours,3.7,"785-12-8 Shibuya, Shibuya City, La Romana",18.48885883893775,-68.8965346923206,"['nightlife enthusiast', 'solo women', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences']"
8,La Romana,Dominican Republic,Nature/Scenery/Park,Cueva de las Mariposas Eco Adventure,"Cueva de las Mariposas Eco Adventure is a nature in La Romana, Dominican Republic, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Cueva de las Mariposas Eco Adventure, a peaceful nature in La Romana, Dominican Republic, ideal for nature lovers. Open 09:00-17:00, entry 94.11 USD.",94.11,09:00-17:00,3 hours,3.7,"No. 456, West Lake Scenic Road, La Romana",18.47362506425559,-68.93816088531459,"['solo women', 'with pets', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas']"
9,La Romana,Dominican Republic,Nature/Scenery/Park,Azure Horizon Retreat,"Azure Horizon Retreat is a nature in La Romana, Dominican Republic, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover Azure Horizon Retreat, a peaceful nature in La Romana, Dominican Republic, ideal for nature lovers. Open 08:30-17:30, entry 5.15 USD.",5.15,08:30-17:30,3 hours,3.7,"691 Seaside Promenade, La Romana",18.437718679510784,-68.90764758800103,"['with children', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
10,La Romana,Dominican Republic,Nature/Scenery/Park,VerdeVista Playland,"VerdeVista Playland is a nature in La Romana, Dominican Republic, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover VerdeVista Playland, a peaceful nature in La Romana, Dominican Republic, ideal for nature lovers. Open 09:00-17:30, entry 31.52 USD.",31.52,09:00-17:30,3 hours,3.7,"No. 456, Cultural Street, La Romana",18.35400807730846,-68.99928056070905,['with children'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities']"
