attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Mazatlàn,Mexico,Nature/Scenery/Park,Verde Mirage Reserve,"Verde Mirage Reserve is a nature in Mazatlàn, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 19.18 USD. Recommended visit: 3 hours. Discover Verde Mirage Reserve, a peaceful nature in Mazatlàn, Mexico, ideal for nature lovers. Open 10:00-18:00, entry 19.18 USD.",19.18,10:00-18:00,3 hours,3.7,"492 Suginami Street, Suginami Ward, Mazatlàn",23.79824695813788,-105.98626189129294,['with pets'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
2,Mazatlàn,Mexico,Nature/Scenery/Park,Verde Lago Adventure Trail,"Verde Lago Adventure Trail is a nature in Mazatlàn, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Verde Lago Adventure Trail, a peaceful nature in Mazatlàn, Mexico, ideal for nature lovers. Open 08:30-17:00, entry 94.11 USD.",94.11,08:30-17:00,3 hours,3.7,"296 Shibuya Street, Shibuya Ward, Mazatlàn",23.84964510301536,-106.0260311765961,"['fast-paced budget travel', 'photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
3,Mazatlàn,Mexico,Nature/Scenery/Park,Cielo Verde Sanctuary,"Cielo Verde Sanctuary is a nature in Mazatlàn, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.7 USD. Recommended visit: 3 hours. Discover Cielo Verde Sanctuary, a peaceful nature in Mazatlàn, Mexico, ideal for nature lovers. Open 08:30-17:00, entry 7.7 USD.",7.7,08:30-17:00,3 hours,3.7,"595 Jangsaengpo-ro, Gangseo-gu, Mazatlàn",23.566405071426267,-106.52901806423527,"['nightlife enthusiast', 'fast-paced budget travel', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
4,Mazatlàn,Mexico,Nature/Scenery/Park,Azul Bay Adventure Trail,"Azul Bay Adventure Trail is a nature in Mazatlàn, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Azul Bay Adventure Trail, a peaceful nature in Mazatlàn, Mexico, ideal for nature lovers. Open 08:30-20:00, entry 14.98 USD.",14.98,08:30-20:00,3 hours,3.7,"No. 456, Riverside Promenade, Mazatlàn",23.12963858571906,-106.20608238747172,"['with children', 'photography', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'High speed WiFi']"
5,Mazatlàn,Mexico,Nature/Scenery/Park,Lagoon Moonlight Voyage,"Lagoon Moonlight Voyage is a nature in Mazatlàn, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 20.74 USD. Recommended visit: 3 hours. Discover Lagoon Moonlight Voyage, a peaceful nature in Mazatlàn, Mexico, ideal for nature lovers. Open 08:30-17:00, entry 20.74 USD.",20.74,08:30-17:00,3 hours,3.7,"574 Seimei Avenue, Mazatlàn",23.58949685509284,-106.54196747160492,"['nightlife enthusiast', 'couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
6,Mazatlàn,Mexico,Nature/Scenery/Park,Cielo Verde Summit,"Cielo Verde Summit is a nature in Mazatlàn, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Cielo Verde Summit, a peaceful nature in Mazatlàn, Mexico, ideal for nature lovers. Open 08:30-17:00, entry 12.32 USD.",12.32,08:30-17:00,3 hours,3.7,"387 Seiwa Street, Chuo-ku, Mazatlàn",23.171758741569736,-106.2762923907352,"['solo women', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
7,Mazatlàn,Mexico,Nature/Scenery/Park,Verdant Vista Culinary Escape,"Verdant Vista Culinary Escape is a nature in Mazatlàn, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.35 USD. Recommended visit: 3 hours. Discover Verdant Vista Culinary Escape, a peaceful nature in Mazatlàn, Mexico, ideal for nature lovers. Open 08:30-17:00, entry 7.35 USD.",7.35,08:30-17:00,3 hours,3.7,"570 Thaweewong Road, Mazatlàn",23.82418896576545,-106.0804548523836,"['with children', 'with pets', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events']"
8,Mazatlàn,Mexico,Nature/Scenery/Park,Cerro de la Cruz Adventure Pass,"Cerro de la Cruz Adventure Pass is a nature in Mazatlàn, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.12 USD. Recommended visit: 3 hours. Discover Cerro de la Cruz Adventure Pass, a peaceful nature in Mazatlàn, Mexico, ideal for nature lovers. Open 09:00-17:30, entry 4.12 USD.",4.12,09:00-17:30,3 hours,3.7,"No. 456 Xizhimen Street, Mazatlàn",23.27479307676481,-106.27352655960487,"['couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
9,Mazatlàn,Mexico,Nature/Scenery/Park,Azure Horizon Grove,"Azure Horizon Grove is a nature in Mazatlàn, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.44 USD. Recommended visit: 3 hours. Discover Azure Horizon Grove, a peaceful nature in Mazatlàn, Mexico, ideal for nature lovers. Open 09:00-17:30, entry 6.44 USD.",6.44,09:00-17:30,3 hours,3.7,"No. 88, Chang'an Avenue, Mazatlàn",23.77241505422671,-106.01466909428636,"['nightlife enthusiast', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'photo spots', 'guided photo tours', 'charging stations']"
10,Mazatlàn,Mexico,Nature/Scenery/Park,Verdant Vortex Playground,"Verdant Vortex Playground is a nature in Mazatlàn, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.53 USD. Recommended visit: 3 hours. Discover Verdant Vortex Playground, a peaceful nature in Mazatlàn, Mexico, ideal for nature lovers. Open 09:00-17:30, entry 12.53 USD.",12.53,09:00-17:30,3 hours,3.7,"462 Nishi-Namba Street, Chuo Ward, Mazatlàn",23.293985919714004,-106.29833342442171,"['solo women', 'couples trip', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas']"
