attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Sanya,China,Nature/Scenery/Park,Lantern Bay Nature Reserve,"Lantern Bay Nature Reserve is a nature in Sanya, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 294.64 USD. Recommended visit: 3 hours. Discover Lantern Bay Nature Reserve, a peaceful nature in Sanya, China, ideal for nature lovers. Open 08:30-18:00, entry 294.64 USD.",294.64,08:30-18:00,3 hours,3.7,"No. 128, Xingqing West Road, Sanya",18.381009581722108,109.39279980667992,"['fast-paced budget travel', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
2,Sanya,China,Nature/Scenery/Park,Lushan Greenway Adventure,"Lushan Greenway Adventure is a nature in Sanya, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 0.0 USD. Recommended visit: 3 hours. Discover Lushan Greenway Adventure, a peaceful nature in Sanya, China, ideal for nature lovers. Open 09:00-18:00, entry 0.0 USD.",0.0,09:00-18:00,3 hours,3.7,"728 Shinjuku Skywalk, Shinjuku, Sanya",18.33582465724825,109.26201270682864,"['fast-paced budget travel', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
3,Sanya,China,Nature/Scenery/Park,Emberleaf Sanctuary,"Emberleaf Sanctuary is a nature in Sanya, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Emberleaf Sanctuary, a peaceful nature in Sanya, China, ideal for nature lovers. Open 08:30-20:00, entry 43.59 USD.",43.59,08:30-20:00,3 hours,3.7,"159 Sakura Street, Shibuya Ward, Sanya",18.50188995697692,109.32407411647216,"['with children', 'solo women', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences']"
4,Sanya,China,Nature/Scenery/Park,Tropical Shoreline Sanctuary,"Tropical Shoreline Sanctuary is a nature in Sanya, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Tropical Shoreline Sanctuary, a peaceful nature in Sanya, China, ideal for nature lovers. Open 09:00-17:30, entry 31.52 USD.",31.52,09:00-17:30,3 hours,3.7,"No. 123 Huaihai Road, Sanya",18.307898559067336,109.35860084499345,"['photography', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours']"
5,Sanya,China,Nature/Scenery/Park,Lagoon Moonlight Voyage,"Lagoon Moonlight Voyage is a nature in Sanya, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover Lagoon Moonlight Voyage, a peaceful nature in Sanya, China, ideal for nature lovers. Open 09:00-18:00, entry 12.93 USD.",12.93,09:00-18:00,3 hours,3.7,"No. 125, Meisha Road, Nanshan District, Sanya",18.450317305021933,109.71108749243244,"['nightlife enthusiast', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'parking']"
6,Sanya,China,Nature/Scenery/Park,Emerald Ridge Sanctuary,"Emerald Ridge Sanctuary is a nature in Sanya, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 75.28 USD. Recommended visit: 3 hours. Discover Emerald Ridge Sanctuary, a peaceful nature in Sanya, China, ideal for nature lovers. Open 08:00-20:00, entry 75.28 USD.",75.28,08:00-20:00,3 hours,3.7,"559 Thaweewong Road, Sanya",18.516391242614905,109.2891767897917,"['foodie', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
7,Sanya,China,Nature/Scenery/Park,Tropical Vista Sanctuary,"Tropical Vista Sanctuary is a nature in Sanya, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Tropical Vista Sanctuary, a peaceful nature in Sanya, China, ideal for nature lovers. Open 09:00-17:00, entry 17.5 USD.",17.5,09:00-17:00,3 hours,3.7,"124 Nishi-Nakamichi, Sanya",18.331229888591377,109.72773279520452,"['nightlife enthusiast', 'fast-paced budget travel', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours']"
8,Sanya,China,Nature/Scenery/Park,Lantern Bay Coastal Trail and Sky Bridge Access Pass,"Lantern Bay Coastal Trail and Sky Bridge Access Pass is a nature in Sanya, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Lantern Bay Coastal Trail and Sky Bridge Access Pass, a peaceful nature in Sanya, China, ideal for nature lovers. Open 08:30-17:30, entry 24.24 USD.",24.24,08:30-17:30,3 hours,3.7,"554-8543, 2-12-8 Yachiyo, Tama, Sanya",18.368254893878177,109.39001588374208,"['nightlife enthusiast', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
9,Sanya,China,Nature/Scenery/Park,Azure Horizon Sanctuary,"Azure Horizon Sanctuary is a nature in Sanya, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Azure Horizon Sanctuary, a peaceful nature in Sanya, China, ideal for nature lovers. Open 08:30-17:00, entry 4.36 USD.",4.36,08:30-17:00,3 hours,3.7,"779 Sakura Street, Chuo-ku, Sanya",18.45195907312884,109.14957184624284,"['with pets', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'parking']"
10,Sanya,China,Nature/Scenery/Park,Tropical Treetop Explorers,"Tropical Treetop Explorers is a nature in Sanya, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.17 USD. Recommended visit: 3 hours. Discover Tropical Treetop Explorers, a peaceful nature in Sanya, China, ideal for nature lovers. Open 09:00-21:00, entry 6.17 USD.",6.17,09:00-21:00,3 hours,3.7,"No. 456 Riverside Lane, Sanya",18.24866921676524,109.531536323462,['couples trip'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences']"
