attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Köln,Germany,Nature/Scenery/Park,Rhinebank Botanical Haven,"Rhinebank Botanical Haven is a nature in Köln, Germany, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Rhinebank Botanical Haven, a peaceful nature in Köln, Germany, ideal for nature lovers. Open 08:30-17:30, entry 10.5 USD.",10.5,08:30-17:30,3 hours,3.7,"No. 333 Tianhe Road, Köln",50.88625517895257,7.052895669491954,"['fast-paced budget travel', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours']"
2,Köln,Germany,Nature/Scenery/Park,Rhinebank Greenway Adventure,"Rhinebank Greenway Adventure is a nature in Köln, Germany, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.27 USD. Recommended visit: 3 hours. Discover Rhinebank Greenway Adventure, a peaceful nature in Köln, Germany, ideal for nature lovers. Open 08:30-17:00, entry 33.27 USD.",33.27,08:30-17:00,3 hours,3.7,"992 Seaside Promenade, Köln",50.846840060594566,7.068536578674,['disabled traveler'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
3,Köln,Germany,Nature/Scenery/Park,Lindenwood Sanctuary,"Lindenwood Sanctuary is a nature in Köln, Germany, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.4 USD. Recommended visit: 3 hours. Discover Lindenwood Sanctuary, a peaceful nature in Köln, Germany, ideal for nature lovers. Open 08:00-20:00, entry 14.4 USD.",14.4,08:00-20:00,3 hours,3.7,"No. 456, West Lake Cultural Road, Köln",50.850288135700914,6.920608352885691,"['couples trip', 'luxury travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking']"
4,Köln,Germany,Nature/Scenery/Park,Rhine Riverside Sanctuary,"Rhine Riverside Sanctuary is a nature in Köln, Germany, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.12 USD. Recommended visit: 3 hours. Discover Rhine Riverside Sanctuary, a peaceful nature in Köln, Germany, ideal for nature lovers. Open 09:00-17:30, entry 4.12 USD.",4.12,09:00-17:30,3 hours,3.7,"280 Riverside Drive, Köln",50.87762765956359,6.95745198549128,"['nightlife enthusiast', 'solo women', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
5,Köln,Germany,Nature/Scenery/Park,Moonlit Rhine Drift,"Moonlit Rhine Drift is a nature in Köln, Germany, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.65 USD. Recommended visit: 3 hours. Discover Moonlit Rhine Drift, a peaceful nature in Köln, Germany, ideal for nature lovers. Open 08:00-20:00, entry 8.65 USD.",8.65,08:00-20:00,3 hours,3.7,"599 Sumo Street, Köln",50.93189917318279,7.110369858108582,"['nightlife enthusiast', 'with children', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'parking']"
6,Köln,Germany,Nature/Scenery/Park,Himmelblick Heights,"Himmelblick Heights is a nature in Köln, Germany, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Himmelblick Heights, a peaceful nature in Köln, Germany, ideal for nature lovers. Open 09:00-18:00, entry 22.61 USD.",22.61,09:00-18:00,3 hours,3.7,"No. 456, Cultural Arts Avenue, Köln",50.925691280994805,6.921711719567537,"['with children', 'photography', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']"
7,Köln,Germany,Nature/Scenery/Park,Verdant Heights Eatscape,"Verdant Heights Eatscape is a nature in Köln, Germany, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Verdant Heights Eatscape, a peaceful nature in Köln, Germany, ideal for nature lovers. Open 08:00-19:00, entry 17.5 USD.",17.5,08:00-19:00,3 hours,3.7,"973 Suthep Road, Köln",50.90967673723857,6.8717992722473245,"['nightlife enthusiast', 'solo women', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas']"
8,Köln,Germany,Nature/Scenery/Park,Rhine Riverside Adventure Pass,"Rhine Riverside Adventure Pass is a nature in Köln, Germany, popular for its natural scenery and relaxing atmosphere. Entry fee is 51.08 USD. Recommended visit: 3 hours. Discover Rhine Riverside Adventure Pass, a peaceful nature in Köln, Germany, ideal for nature lovers. Open 08:30-17:00, entry 51.08 USD.",51.08,08:30-17:00,3 hours,3.7,"618 Hibikino Street, Köln",50.85877822038704,7.106392469899379,"['with children', 'photography', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']"
9,Köln,Germany,Nature/Scenery/Park,River's Edge Sanctuary,"River's Edge Sanctuary is a nature in Köln, Germany, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.3 USD. Recommended visit: 3 hours. Discover River's Edge Sanctuary, a peaceful nature in Köln, Germany, ideal for nature lovers. Open 09:30-17:00, entry 13.3 USD.",13.3,09:30-17:00,3 hours,3.7,"588 Suthep Road, Köln",50.95984965782101,6.94436057225501,"['photography', 'couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
10,Köln,Germany,Nature/Scenery/Park,Skyline Explorers Hub,"Skyline Explorers Hub is a nature in Köln, Germany, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Skyline Explorers Hub, a peaceful nature in Köln, Germany, ideal for nature lovers. Open 10:00-22:00, entry 14.98 USD.",14.98,10:00-22:00,3 hours,3.7,"256 Victoria Harbour Promenade, Central, Köln",50.974356544991295,6.967328057480163,"['fast-paced budget travel', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
