attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Tianjin,China,Nature/Scenery/Park,Lushan Green Haven,"Lushan Green Haven is a nature in Tianjin, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.44 USD. Recommended visit: 3 hours. Discover Lushan Green Haven, a peaceful nature in Tianjin, China, ideal for nature lovers. Open 10:00-22:00, entry 6.44 USD.",6.44,10:00-22:00,3 hours,3.7,"765 Gwangjang Market St, Jongno-gu, Tianjin",39.46241607113055,117.67322530414302,"['with children', 'with pets', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
2,Tianjin,China,Nature/Scenery/Park,Greenwood Trail Discovery,"Greenwood Trail Discovery is a nature in Tianjin, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 0.0 USD. Recommended visit: 3 hours. Discover Greenwood Trail Discovery, a peaceful nature in Tianjin, China, ideal for nature lovers. Open 08:00-22:00, entry 0.0 USD.",0.0,08:00-22:00,3 hours,3.7,"484/10 Sukhumvit Road, Khlong Toei District, Tianjin",39.55667267902575,116.93867461735344,['fast-paced budget travel'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours']"
3,Tianjin,China,Nature/Scenery/Park,Hengshan Tranquil Grove,"Hengshan Tranquil Grove is a nature in Tianjin, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Hengshan Tranquil Grove, a peaceful nature in Tianjin, China, ideal for nature lovers. Open 08:30-17:30, entry 10.5 USD.",10.5,08:30-17:30,3 hours,3.7,"412 Sathorn Road, Wat Arun District, Tianjin",39.651586660274376,117.25539539845136,"['with children', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours', 'parking']"
4,Tianjin,China,Nature/Scenery/Park,Pearl Bay Nature Trail,"Pearl Bay Nature Trail is a nature in Tianjin, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.3 USD. Recommended visit: 3 hours. Discover Pearl Bay Nature Trail, a peaceful nature in Tianjin, China, ideal for nature lovers. Open 08:00-20:00, entry 13.3 USD.",13.3,08:00-20:00,3 hours,3.7,"No. 123, Art Avenue, Tianjin",38.63914376645171,117.2941951095904,"['fast-paced budget travel', 'solo women', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
5,Tianjin,China,Nature/Scenery/Park,Lunar Bay Lantern Voyage,"Lunar Bay Lantern Voyage is a nature in Tianjin, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Lunar Bay Lantern Voyage, a peaceful nature in Tianjin, China, ideal for nature lovers. Open 09:00-21:00, entry 22.61 USD.",22.61,09:00-21:00,3 hours,3.7,"272 Shinsaibashi Dori, Chuo Ward, Tianjin",39.41673103852839,117.15819656375672,"['disabled traveler', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'wheelchair rental', 'benches/rest areas', 'parking']"
6,Tianjin,China,Nature/Scenery/Park,Emerald Hollow Valley,"Emerald Hollow Valley is a nature in Tianjin, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Emerald Hollow Valley, a peaceful nature in Tianjin, China, ideal for nature lovers. Open 09:00-18:00, entry 2.0 USD.",2.0,09:00-18:00,3 hours,3.7,"798 Seaside Promenade, Tianjin",39.57720409391004,117.8100917379648,"['with children', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'wheelchair rental', 'benches/rest areas', 'parking']"
7,Tianjin,China,Nature/Scenery/Park,Greenwave Eco Haven,"Greenwave Eco Haven is a nature in Tianjin, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Greenwave Eco Haven, a peaceful nature in Tianjin, China, ideal for nature lovers. Open 09:30-17:00, entry 6.39 USD.",6.39,09:30-17:00,3 hours,3.7,"No. 456 Cultural Avenue, Tianjin",38.79418990791145,116.8534209158768,"['solo women', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Food markets', 'tasting tours']"
8,Tianjin,China,Nature/Scenery/Park,Huanghe Riverside EcoPass + Xingang Summit Sky Cable + Yanshan Art Trail,"Huanghe Riverside EcoPass + Xingang Summit Sky Cable + Yanshan Art Trail is a nature in Tianjin, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Huanghe Riverside EcoPass + Xingang Summit Sky Cable + Yanshan Art Trail, a peaceful nature in Tianjin, China, ideal for nature lovers. Open 08:30-17:00, entry 24.24 USD.",24.24,08:30-17:00,3 hours,3.7,"492 Seaside Promenade, Tianjin",39.40572407320352,117.35581393931017,"['couples trip', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
9,Tianjin,China,Nature/Scenery/Park,Azure Horizon Grove,"Azure Horizon Grove is a nature in Tianjin, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.65 USD. Recommended visit: 3 hours. Discover Azure Horizon Grove, a peaceful nature in Tianjin, China, ideal for nature lovers. Open 08:30-17:00, entry 8.65 USD.",8.65,08:30-17:00,3 hours,3.7,"No. 456 Cultural Square, Beilin District, Tianjin",38.75890939194548,116.96150377593614,"['foodie', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
10,Tianjin,China,Nature/Scenery/Park,Skyline Explorers Hub,"Skyline Explorers Hub is a nature in Tianjin, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 75.28 USD. Recommended visit: 3 hours. Discover Skyline Explorers Hub, a peaceful nature in Tianjin, China, ideal for nature lovers. Open 08:00-18:00, entry 75.28 USD.",75.28,08:00-18:00,3 hours,3.7,"No. 456, Innovation Avenue, Futian District, Tianjin",38.82372927553036,117.02961382733956,"['solo women', 'with pets', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'High speed WiFi']"
11,Tianjin,China,Nature/Scenery/Park,Azure Bay Coastal Delight,"Azure Bay Coastal Delight is a nature in Tianjin, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.98 USD. Recommended visit: 3 hours. Discover Azure Bay Coastal Delight, a peaceful nature in Tianjin, China, ideal for nature lovers. Open 06:00-20:00, entry 14.98 USD.",14.98,06:00-20:00,3 hours,3.7,"304 Shimo-Yasuda, Tama, Tianjin",39.47260761022346,116.81524015307586,"['with children', 'fast-paced budget travel', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'city passes', 'luggage storage', 'self-guided tours', 'parking']"
12,Tianjin,China,Nature/Scenery/Park,Haihe EcoWander,"Haihe EcoWander is a nature in Tianjin, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Haihe EcoWander, a peaceful nature in Tianjin, China, ideal for nature lovers. Open 09:00-21:00, entry 5.6 USD.",5.6,09:00-21:00,3 hours,3.7,"817 Sakura Street, Naka-ku, Tianjin",39.283384564343805,116.90526054250296,"['luxury travelers', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
