attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Monterrey,Mexico,Nature/Scenery/Park,Sierra Verde Reserve,"Sierra Verde Reserve is a nature in Monterrey, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 19.18 USD. Recommended visit: 3 hours. Discover Sierra Verde Reserve, a peaceful nature in Monterrey, Mexico, ideal for nature lovers. Open 09:00-21:00, entry 19.18 USD.",19.18,09:00-21:00,3 hours,3.7,"535 Sumida River Promenade, Monterrey",25.75366731181464,-100.33943621608144,"['nightlife enthusiast', 'with children', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations']"
2,Monterrey,Mexico,Nature/Scenery/Park,Verde Valley Trek,"Verde Valley Trek is a nature in Monterrey, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Verde Valley Trek, a peaceful nature in Monterrey, Mexico, ideal for nature lovers. Open 08:30-17:00, entry 29.53 USD.",29.53,08:30-17:00,3 hours,3.7,"No. 1, Tiananmen East Road, Monterrey",25.72482872013223,-100.42607738244858,"['fast-paced budget travel', 'photography', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations', 'High speed WiFi']"
3,Monterrey,Mexico,Nature/Scenery/Park,Cerro del Sol Sanctuary,"Cerro del Sol Sanctuary is a nature in Monterrey, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 75.28 USD. Recommended visit: 3 hours. Discover Cerro del Sol Sanctuary, a peaceful nature in Monterrey, Mexico, ideal for nature lovers. Open 09:00-17:30, entry 75.28 USD.",75.28,09:00-17:30,3 hours,3.7,"No. 456, Zhongshan Road, Monterrey",25.702186069462147,-100.26840845545163,"['with pets', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
4,Monterrey,Mexico,Nature/Scenery/Park,Sierra Skywalk Trails,"Sierra Skywalk Trails is a nature in Monterrey, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Sierra Skywalk Trails, a peaceful nature in Monterrey, Mexico, ideal for nature lovers. Open 08:00-20:00, entry 5.6 USD.",5.6,08:00-20:00,3 hours,3.7,"No. 123, Xingang Road, Haizhu District, Monterrey",25.71427325843757,-100.4078524448514,"['solo women', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'High speed WiFi']"
5,Monterrey,Mexico,Nature/Scenery/Park,Azure Skywalk,"Azure Skywalk is a nature in Monterrey, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.0 USD. Recommended visit: 3 hours. Discover Azure Skywalk, a peaceful nature in Monterrey, Mexico, ideal for nature lovers. Open 08:30-17:00, entry 2.0 USD.",2.0,08:30-17:00,3 hours,3.7,"No. 88, Zhongshan Road, Monterrey",25.78802832260086,-100.38535709223548,"['fast-paced budget travel', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
6,Monterrey,Mexico,Nature/Scenery/Park,Cerro del Sol Vista,"Cerro del Sol Vista is a nature in Monterrey, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Cerro del Sol Vista, a peaceful nature in Monterrey, Mexico, ideal for nature lovers. Open 09:00-17:00, entry 31.52 USD.",31.52,09:00-17:00,3 hours,3.7,"518 Sakura Street, Naka Ward, Monterrey",25.769293291253145,-100.39059880792726,"['solo women', 'with pets', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas']"
7,Monterrey,Mexico,Nature/Scenery/Park,Cerro Verde Japanese Garden,"Cerro Verde Japanese Garden is a nature in Monterrey, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.65 USD. Recommended visit: 3 hours. Discover Cerro Verde Japanese Garden, a peaceful nature in Monterrey, Mexico, ideal for nature lovers. Open 08:00-20:00, entry 8.65 USD.",8.65,08:00-20:00,3 hours,3.7,"525 Bras Basah Road, Monterrey",25.691388217812246,-100.2744595401031,"['solo women', 'with pets', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas']"
8,Monterrey,Mexico,Nature/Scenery/Park,Sierra de los Cerros Adventure Pass,"Sierra de los Cerros Adventure Pass is a nature in Monterrey, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.35 USD. Recommended visit: 3 hours. Discover Sierra de los Cerros Adventure Pass, a peaceful nature in Monterrey, Mexico, ideal for nature lovers. Open 08:30-17:00, entry 7.35 USD.",7.35,08:30-17:00,3 hours,3.7,"465 Sukhumvit Road, Monterrey",25.55262203388728,-100.21563765785324,"['luxury travelers', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
9,Monterrey,Mexico,Nature/Scenery/Park,Skyline Vista,"Skyline Vista is a nature in Monterrey, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Skyline Vista, a peaceful nature in Monterrey, Mexico, ideal for nature lovers. Open 09:00-17:30, entry 43.59 USD.",43.59,09:00-17:30,3 hours,3.7,"902 Shirokane Street, Chuo Ward, Monterrey",25.69912572183042,-100.30232447369188,"['solo women', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'parking']"
10,Monterrey,Mexico,Nature/Scenery/Park,VerdeVista Playgrounds,"VerdeVista Playgrounds is a nature in Monterrey, Mexico, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover VerdeVista Playgrounds, a peaceful nature in Monterrey, Mexico, ideal for nature lovers. Open 09:00-18:00, entry 6.39 USD.",6.39,09:00-18:00,3 hours,3.7,"454 Sukhumvit Road, Monterrey",25.564128421603225,-100.23263349875164,"['fast-paced budget travel', 'with pets', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'parking']"
