attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,West Midlands,United Kingdom,Nature/Scenery/Park,Brimstone Green Haven,"Brimstone Green Haven is a nature in West Midlands, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover Brimstone Green Haven, a peaceful nature in West Midlands, United Kingdom, ideal for nature lovers. Open 09:30-17:00, entry 116.65 USD.",116.65,09:30-17:00,3 hours,3.7,"No. 456, Riverside Avenue, Yuzhong District, Birmingham, West Midlands",52.59807248947185,-1.956402361916091,"['with children', 'business travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'High speed WiFi', 'parking']"
2,West Midlands,United Kingdom,Nature/Scenery/Park,Greenfield Walkway Adventure,"Greenfield Walkway Adventure is a nature in West Midlands, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 0.0 USD. Recommended visit: 3 hours. Discover Greenfield Walkway Adventure, a peaceful nature in West Midlands, United Kingdom, ideal for nature lovers. Open 10:00-22:00, entry 0.0 USD.",0.0,10:00-22:00,3 hours,3.7,"No. 128 Qingshuihe Road, Birmingham, West Midlands",52.52843731010403,-1.937547697291508,"['couples trip', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
3,West Midlands,United Kingdom,Nature/Scenery/Park,Hollowbrook Sanctuary,"Hollowbrook Sanctuary is a nature in West Midlands, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 9.8 USD. Recommended visit: 3 hours. Discover Hollowbrook Sanctuary, a peaceful nature in West Midlands, United Kingdom, ideal for nature lovers. Open 09:00-17:30, entry 9.8 USD.",9.8,09:00-17:30,3 hours,3.7,"No. 456, Green Pine Road, Birmingham, West Midlands",52.55990720676063,-2.1492463105684507,"['nightlife enthusiast', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
4,West Midlands,United Kingdom,Nature/Scenery/Park,Birmingham Riverside Walk,"Birmingham Riverside Walk is a nature in West Midlands, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Birmingham Riverside Walk, a peaceful nature in West Midlands, United Kingdom, ideal for nature lovers. Open 08:00-20:00, entry 10.5 USD.",10.5,08:00-20:00,3 hours,3.7,"576 Sakura Street, Birmingham, West Midlands",52.54237316393634,-1.8538065088439395,"['luxury travelers', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'wheelchair rental', 'benches/rest areas']"
5,West Midlands,United Kingdom,Nature/Scenery/Park,Silverwater River Glide,"Silverwater River Glide is a nature in West Midlands, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Silverwater River Glide, a peaceful nature in West Midlands, United Kingdom, ideal for nature lovers. Open 09:00-17:30, entry 8.12 USD.",8.12,09:00-17:30,3 hours,3.7,"896 Suthep Road, Birmingham, West Midlands",52.51101323609048,-1.972761377426022,"['nightlife enthusiast', 'foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
6,West Midlands,United Kingdom,Nature/Scenery/Park,Hollow Woodland Reserve,"Hollow Woodland Reserve is a nature in West Midlands, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Hollow Woodland Reserve, a peaceful nature in West Midlands, United Kingdom, ideal for nature lovers. Open 09:00-19:00, entry 2059.2 USD.",2059.2,09:00-19:00,3 hours,3.7,"580 Shibuya Crossing Digital Plaza, Shibuya, Birmingham, West Midlands",52.37338888410155,-1.685425214751111,"['solo women', 'with pets', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'High speed WiFi']"
7,West Midlands,United Kingdom,Nature/Scenery/Park,Greenwood Heights Eco Haven,"Greenwood Heights Eco Haven is a nature in West Midlands, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover Greenwood Heights Eco Haven, a peaceful nature in West Midlands, United Kingdom, ideal for nature lovers. Open 09:30-17:00, entry 37.95 USD.",37.95,09:30-17:00,3 hours,3.7,"907 Sakura Street, Naka Ward, Birmingham, West Midlands",52.39652101625519,-1.812847138618649,"['nightlife enthusiast', 'solo women', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations']"
8,West Midlands,United Kingdom,Nature/Scenery/Park,Birmingham Greenway Express Pass + Edgbaston Heights Cable Car Round Trip + Tipton Valley Trail,"Birmingham Greenway Express Pass + Edgbaston Heights Cable Car Round Trip + Tipton Valley Trail is a nature in West Midlands, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Birmingham Greenway Express Pass + Edgbaston Heights Cable Car Round Trip + Tipton Valley Trail, a peaceful nature in West Midlands, United Kingdom, ideal for nature lovers. Open 08:00-22:00, entry 24.24 USD.",24.24,08:00-22:00,3 hours,3.7,"375 Phra Singh Road, Birmingham, West Midlands",52.44738700751248,-2.03802054238871,"['disabled traveler', 'with pets', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas']"
9,West Midlands,United Kingdom,Nature/Scenery/Park,Green Horizon Pavilion,"Green Horizon Pavilion is a nature in West Midlands, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Green Horizon Pavilion, a peaceful nature in West Midlands, United Kingdom, ideal for nature lovers. Open 08:30-17:00, entry 5.6 USD.",5.6,08:30-17:00,3 hours,3.7,"No. 128, West Chang'an Road, Birmingham, West Midlands",52.44094702734184,-1.5383153271544483,"['with children', 'foodie', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences']"
10,West Midlands,United Kingdom,Nature/Scenery/Park,Greenhaven Explorers' Grove,"Greenhaven Explorers' Grove is a nature in West Midlands, United Kingdom, popular for its natural scenery and relaxing atmosphere. Entry fee is 43.59 USD. Recommended visit: 3 hours. Discover Greenhaven Explorers' Grove, a peaceful nature in West Midlands, United Kingdom, ideal for nature lovers. Open 08:30-17:00, entry 43.59 USD.",43.59,08:30-17:00,3 hours,3.7,"230/12 Sathorn Road, Silom District, Birmingham, West Midlands",52.61799009788725,-1.945851546707377,"['with children', 'with pets', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours']"
