attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Riyadh,Saudi Arabia,Nature/Scenery/Park,Al-Sayyid Oasis Preserve,"Al-Sayyid Oasis Preserve is a nature in Riyadh, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 0.0 USD. Recommended visit: 3 hours. Discover Al-Sayyid Oasis Preserve, a peaceful nature in Riyadh, Saudi Arabia, ideal for nature lovers. Open 08:00-19:00, entry 0.0 USD.",0.0,08:00-19:00,3 hours,3.7,"809 Siam Road, Riyadh",24.210160342990488,47.042838499415296,"['couples trip', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
2,Riyadh,Saudi Arabia,Nature/Scenery/Park,Al-Hamra Greenway Trail,"Al-Hamra Greenway Trail is a nature in Riyadh, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 55.55 USD. Recommended visit: 3 hours. Discover Al-Hamra Greenway Trail, a peaceful nature in Riyadh, Saudi Arabia, ideal for nature lovers. Open 09:00-21:00, entry 55.55 USD.",55.55,09:00-21:00,3 hours,3.7,"No. 456, Yuyuan Road, Riyadh",26.21297811362279,46.89508377708599,"['foodie', 'couples trip', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas']"
3,Riyadh,Saudi Arabia,Nature/Scenery/Park,Al-Sayyid Oasis Sanctuary,"Al-Sayyid Oasis Sanctuary is a nature in Riyadh, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Al-Sayyid Oasis Sanctuary, a peaceful nature in Riyadh, Saudi Arabia, ideal for nature lovers. Open 08:00-17:30, entry 11.76 USD.",11.76,08:00-17:30,3 hours,3.7,"No. 128, Meisha Road, Riyadh",24.715901991194016,43.44113180166929,"['with children', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences']"
4,Riyadh,Saudi Arabia,Nature/Scenery/Park,Desert Horizon Trail,"Desert Horizon Trail is a nature in Riyadh, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 116.65 USD. Recommended visit: 3 hours. Discover Desert Horizon Trail, a peaceful nature in Riyadh, Saudi Arabia, ideal for nature lovers. Open 09:00-17:30, entry 116.65 USD.",116.65,09:00-17:30,3 hours,3.7,"698 Sakura Street, Chuo Ward, Riyadh",22.27546529856584,46.66590448293338,"['with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
5,Riyadh,Saudi Arabia,Nature/Scenery/Park,Nocturne Oasis Walk,"Nocturne Oasis Walk is a nature in Riyadh, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Nocturne Oasis Walk, a peaceful nature in Riyadh, Saudi Arabia, ideal for nature lovers. Open 08:30-18:00, entry 2.8 USD.",2.8,08:30-18:00,3 hours,3.7,"566 Seogwipo Street, Riyadh",22.42182132994868,47.95269335321804,"['solo women', 'photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
6,Riyadh,Saudi Arabia,Nature/Scenery/Park,Al-Hamra Heights Viewpoint,"Al-Hamra Heights Viewpoint is a nature in Riyadh, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.17 USD. Recommended visit: 3 hours. Discover Al-Hamra Heights Viewpoint, a peaceful nature in Riyadh, Saudi Arabia, ideal for nature lovers. Open 09:30-17:00, entry 6.17 USD.",6.17,09:30-17:00,3 hours,3.7,"No. 128, Huanshi Road, Tianhe District, Riyadh",25.27069038385194,44.53684019742758,"['nightlife enthusiast', 'with children', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'wheelchair rental', 'benches/rest areas']"
7,Riyadh,Saudi Arabia,Nature/Scenery/Park,Al-Saif Green Haven,"Al-Saif Green Haven is a nature in Riyadh, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 26.32 USD. Recommended visit: 3 hours. Discover Al-Saif Green Haven, a peaceful nature in Riyadh, Saudi Arabia, ideal for nature lovers. Open 08:30-17:00, entry 26.32 USD.",26.32,08:30-17:00,3 hours,3.7,"No. 1888, Xin'an Road, Futian District, Riyadh",21.69828648135851,43.514742584552025,"['with children', 'couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
8,Riyadh,Saudi Arabia,Nature/Scenery/Park,Al-Muraykhah Skyline Adventure,"Al-Muraykhah Skyline Adventure is a nature in Riyadh, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Al-Muraykhah Skyline Adventure, a peaceful nature in Riyadh, Saudi Arabia, ideal for nature lovers. Open 09:00-17:30, entry 94.11 USD.",94.11,09:00-17:30,3 hours,3.7,"No. 456 Snow Valley Road, Riyadh",23.824536646084773,45.241445270119065,"['nightlife enthusiast', 'with children', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'parking']"
9,Riyadh,Saudi Arabia,Nature/Scenery/Park,Horizon Grove,"Horizon Grove is a nature in Riyadh, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 3.36 USD. Recommended visit: 3 hours. Discover Horizon Grove, a peaceful nature in Riyadh, Saudi Arabia, ideal for nature lovers. Open 09:00-17:30, entry 3.36 USD.",3.36,09:00-17:30,3 hours,3.7,"659-2-11 Kita-Hiroshima, Kita-ku, Riyadh",21.91564210058125,46.89785297462788,"['foodie', 'photography', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences']"
10,Riyadh,Saudi Arabia,Nature/Scenery/Park,Sahara Skyline Adventure Park,"Sahara Skyline Adventure Park is a nature in Riyadh, Saudi Arabia, popular for its natural scenery and relaxing atmosphere. Entry fee is 75.28 USD. Recommended visit: 3 hours. Discover Sahara Skyline Adventure Park, a peaceful nature in Riyadh, Saudi Arabia, ideal for nature lovers. Open 09:00-18:00, entry 75.28 USD.",75.28,09:00-18:00,3 hours,3.7,"776 Seocho-ro, Suyeong-gu, Riyadh",25.10516674201017,43.3879492178271,"['fast-paced budget travel', 'foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
