attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,N'Djamena,Chad,Nature/Scenery/Park,Kousséri Green Haven,"Kousséri Green Haven is a nature in N'Djamena, Chad, popular for its natural scenery and relaxing atmosphere. Entry fee is 3.36 USD. Recommended visit: 3 hours. Discover Kousséri Green Haven, a peaceful nature in N'Djamena, Chad, ideal for nature lovers. Open 06:00-20:00, entry 3.36 USD.",3.36,06:00-20:00,3 hours,3.7,"613 Sakura Street, Chuo Ward, N'Djamena",12.063388519500524,15.126342395745716,"['photography', 'foodie', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours', 'High speed WiFi']"
2,N'Djamena,Chad,Nature/Scenery/Park,Verdant Haven EcoTrail,"Verdant Haven EcoTrail is a nature in N'Djamena, Chad, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover Verdant Haven EcoTrail, a peaceful nature in N'Djamena, Chad, ideal for nature lovers. Open 08:00-22:00, entry 37.95 USD.",37.95,08:00-22:00,3 hours,3.7,"609-8543 Sapporo City, Nishi 1-chome, N'Djamena",12.144041551641187,15.031056734932692,"['with pets', 'couples trip', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas']"
3,N'Djamena,Chad,Nature/Scenery/Park,Sahel Serenity Grove,"Sahel Serenity Grove is a nature in N'Djamena, Chad, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.3 USD. Recommended visit: 3 hours. Discover Sahel Serenity Grove, a peaceful nature in N'Djamena, Chad, ideal for nature lovers. Open 08:30-19:00, entry 13.3 USD.",13.3,08:30-19:00,3 hours,3.7,"No. 456, Green Valley Road, N'Djamena",12.08469041853547,15.044434351857236,"['fast-paced budget travel', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
4,N'Djamena,Chad,Nature/Scenery/Park,Sahel Horizon Trail,"Sahel Horizon Trail is a nature in N'Djamena, Chad, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.35 USD. Recommended visit: 3 hours. Discover Sahel Horizon Trail, a peaceful nature in N'Djamena, Chad, ideal for nature lovers. Open 08:30-17:00, entry 7.35 USD.",7.35,08:30-17:00,3 hours,3.7,"No. 1500 Century Avenue, N'Djamena",12.11053546656646,14.94488654954949,"['photography', 'foodie', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours', 'High speed WiFi']"
5,N'Djamena,Chad,Nature/Scenery/Park,Moonlit River Serenade,"Moonlit River Serenade is a nature in N'Djamena, Chad, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Moonlit River Serenade, a peaceful nature in N'Djamena, Chad, ideal for nature lovers. Open 08:30-17:30, entry 22.61 USD.",22.61,08:30-17:30,3 hours,3.7,"No. 128, Xueyuan Road, N'Djamena",12.220850279198231,14.981802794660853,"['with children', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
6,N'Djamena,Chad,Nature/Scenery/Park,Koumba Ridge Viewpoint,"Koumba Ridge Viewpoint is a nature in N'Djamena, Chad, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Koumba Ridge Viewpoint, a peaceful nature in N'Djamena, Chad, ideal for nature lovers. Open 08:30-17:00, entry 2059.2 USD.",2059.2,08:30-17:00,3 hours,3.7,"967 Shinjuku Digital Plaza, Shinjuku, N'Djamena",12.207463359687758,15.016775030580591,"['with children', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
7,N'Djamena,Chad,Nature/Scenery/Park,Verdant Vista Eco Retreat,"Verdant Vista Eco Retreat is a nature in N'Djamena, Chad, popular for its natural scenery and relaxing atmosphere. Entry fee is 15.4 USD. Recommended visit: 3 hours. Discover Verdant Vista Eco Retreat, a peaceful nature in N'Djamena, Chad, ideal for nature lovers. Open 08:00-20:00, entry 15.4 USD.",15.4,08:00-20:00,3 hours,3.7,"376 Sakura Street, Naka-ku, N'Djamena",12.209042660002858,14.933878809366634,"['nightlife enthusiast', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
8,N'Djamena,Chad,Nature/Scenery/Park,Koumbi-Saleh Greenway Adventure,"Koumbi-Saleh Greenway Adventure is a nature in N'Djamena, Chad, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Koumbi-Saleh Greenway Adventure, a peaceful nature in N'Djamena, Chad, ideal for nature lovers. Open 09:00-17:30, entry 31.52 USD.",31.52,09:00-17:30,3 hours,3.7,"322 Sukhumvit Road, Khlong Toei District, N'Djamena",12.175311314703045,15.109928990183503,['disabled traveler'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
9,N'Djamena,Chad,Nature/Scenery/Park,Horizon Grove,"Horizon Grove is a nature in N'Djamena, Chad, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Horizon Grove, a peaceful nature in N'Djamena, Chad, ideal for nature lovers. Open 08:00-20:00, entry 6.39 USD.",6.39,08:00-20:00,3 hours,3.7,"260 Gwanghwamun-ro, Jongno-gu, N'Djamena",12.160034395527529,15.128426021179816,"['nightlife enthusiast', 'solo women', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'Food markets', 'tasting tours']"
10,N'Djamena,Chad,Nature/Scenery/Park,Zephyr Wildscape,"Zephyr Wildscape is a nature in N'Djamena, Chad, popular for its natural scenery and relaxing atmosphere. Entry fee is 26.32 USD. Recommended visit: 3 hours. Discover Zephyr Wildscape, a peaceful nature in N'Djamena, Chad, ideal for nature lovers. Open 08:30-17:00, entry 26.32 USD.",26.32,08:30-17:00,3 hours,3.7,"408 Seaside Promenade, N'Djamena",12.084455767435683,15.155821459690976,"['with children', 'photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
