attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Baku,Azerbaijan,Nature/Scenery/Park,Shirvan Green Haven,"Shirvan Green Haven is a nature in Baku, Azerbaijan, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Shirvan Green Haven, a peaceful nature in Baku, Azerbaijan, ideal for nature lovers. Open 09:00-17:30, entry 7.57 USD.",7.57,09:00-17:30,3 hours,3.7,"350 Sakura Street, Naka Ward, Baku",40.43538751156188,50.5794442638169,"['fast-paced budget travel', 'couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
2,Baku,Azerbaijan,Nature/Scenery/Park,Shirvan Grove Adventure Trail,"Shirvan Grove Adventure Trail is a nature in Baku, Azerbaijan, popular for its natural scenery and relaxing atmosphere. Entry fee is 15.4 USD. Recommended visit: 3 hours. Discover Shirvan Grove Adventure Trail, a peaceful nature in Baku, Azerbaijan, ideal for nature lovers. Open 08:00-17:30, entry 15.4 USD.",15.4,08:00-17:30,3 hours,3.7,"385 Seaside Promenade, Baku",40.42671290183223,49.89450990443165,"['with children', 'foodie', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours', 'private tours', 'skip the line passes', 'VIP exclusive events']"
3,Baku,Azerbaijan,Nature/Scenery/Park,Shirvanshah's Green Haven,"Shirvanshah's Green Haven is a nature in Baku, Azerbaijan, popular for its natural scenery and relaxing atmosphere. Entry fee is 13.95 USD. Recommended visit: 3 hours. Discover Shirvanshah's Green Haven, a peaceful nature in Baku, Azerbaijan, ideal for nature lovers. Open 09:30-17:00, entry 13.95 USD.",13.95,09:30-17:00,3 hours,3.7,"156 Nathan Road, Baku",40.52149135546718,49.88183183470143,"['with pets', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas', 'parking']"
4,Baku,Azerbaijan,Nature/Scenery/Park,Shirvanshah's Shorewalk,"Shirvanshah's Shorewalk is a nature in Baku, Azerbaijan, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.36 USD. Recommended visit: 3 hours. Discover Shirvanshah's Shorewalk, a peaceful nature in Baku, Azerbaijan, ideal for nature lovers. Open 08:30-17:30, entry 4.36 USD.",4.36,08:30-17:30,3 hours,3.7,"No. 456, Riverside Promenade, Baku",39.95733597123834,49.86240836917413,"['fast-paced budget travel', 'with pets', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'photo spots', 'guided photo tours', 'charging stations']"
5,Baku,Azerbaijan,Nature/Scenery/Park,Aurora Bay Journey,"Aurora Bay Journey is a nature in Baku, Azerbaijan, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Aurora Bay Journey, a peaceful nature in Baku, Azerbaijan, ideal for nature lovers. Open 09:30-17:00, entry 11.05 USD.",11.05,09:30-17:00,3 hours,3.7,"772 Sairee Road, Baku",39.56473971447558,49.85522303988997,"['with pets', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'High speed WiFi']"
6,Baku,Azerbaijan,Nature/Scenery/Park,Verdant Heights Reserve,"Verdant Heights Reserve is a nature in Baku, Azerbaijan, popular for its natural scenery and relaxing atmosphere. Entry fee is 20.74 USD. Recommended visit: 3 hours. Discover Verdant Heights Reserve, a peaceful nature in Baku, Azerbaijan, ideal for nature lovers. Open 08:30-17:30, entry 20.74 USD.",20.74,08:30-17:30,3 hours,3.7,"815-1, Gukje-gil, Seo-gu, Baku",39.79412118505927,49.43280996654261,"['nightlife enthusiast', 'with pets', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'wheelchair rental', 'benches/rest areas']"
7,Baku,Azerbaijan,Nature/Scenery/Park,Verdant Vista Culinary Haven,"Verdant Vista Culinary Haven is a nature in Baku, Azerbaijan, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Verdant Vista Culinary Haven, a peaceful nature in Baku, Azerbaijan, ideal for nature lovers. Open 08:30-17:00, entry 8.12 USD.",8.12,08:30-17:00,3 hours,3.7,"328 Khlong Toei Road, Baku",40.110417017053685,50.52982095410074,"['nightlife enthusiast', 'solo women', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
8,Baku,Azerbaijan,Nature/Scenery/Park,Shirvan Skyline Adventure Pass,"Shirvan Skyline Adventure Pass is a nature in Baku, Azerbaijan, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Shirvan Skyline Adventure Pass, a peaceful nature in Baku, Azerbaijan, ideal for nature lovers. Open 08:00-19:00, entry 2059.2 USD.",2059.2,08:00-19:00,3 hours,3.7,"665 Sukhumvit Road, Baku",39.81616074066194,49.80439200520239,"['with children', 'foodie', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours', 'High speed WiFi']"
9,Baku,Azerbaijan,Nature/Scenery/Park,Azure Horizon Grove,"Azure Horizon Grove is a nature in Baku, Azerbaijan, popular for its natural scenery and relaxing atmosphere. Entry fee is 2.8 USD. Recommended visit: 3 hours. Discover Azure Horizon Grove, a peaceful nature in Baku, Azerbaijan, ideal for nature lovers. Open 18:00-21:00, entry 2.8 USD.",2.8,18:00-21:00,3 hours,3.7,"667 Thaweewong Road, Baku",40.43181205181894,50.77927951604455,"['fast-paced budget travel', 'photography', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'photo spots', 'guided photo tours', 'charging stations', 'parking']"
10,Baku,Azerbaijan,Nature/Scenery/Park,Shimmering Grove Adventure Hub,"Shimmering Grove Adventure Hub is a nature in Baku, Azerbaijan, popular for its natural scenery and relaxing atmosphere. Entry fee is 9.8 USD. Recommended visit: 3 hours. Discover Shimmering Grove Adventure Hub, a peaceful nature in Baku, Azerbaijan, ideal for nature lovers. Open 09:00-17:00, entry 9.8 USD.",9.8,09:00-17:00,3 hours,3.7,"No. 456 Riverside Avenue, Baku",40.320357262896415,50.41821247376568,"['with children', 'couples trip', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
11,Baku,Azerbaijan,Nature/Scenery/Park,Shimmering Bay Mangrove Walk,"Shimmering Bay Mangrove Walk is a nature in Baku, Azerbaijan, popular for its natural scenery and relaxing atmosphere. Entry fee is 19.18 USD. Recommended visit: 3 hours. Discover Shimmering Bay Mangrove Walk, a peaceful nature in Baku, Azerbaijan, ideal for nature lovers. Open 09:00-17:30, entry 19.18 USD.",19.18,09:00-17:30,3 hours,3.7,"351 Seongsan Road, Baku",40.06515496493307,49.57132865339267,"['nightlife enthusiast', 'with children', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours']"
12,Baku,Azerbaijan,Nature/Scenery/Park,Shirvan Wildscape Haven,"Shirvan Wildscape Haven is a nature in Baku, Azerbaijan, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Shirvan Wildscape Haven, a peaceful nature in Baku, Azerbaijan, ideal for nature lovers. Open 09:00-17:00, entry 24.24 USD.",24.24,09:00-17:00,3 hours,3.7,"No. 128, Yushan Road, Baku",40.545223560235385,50.06861548816379,"['fast-paced budget travel', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
13,Baku,Azerbaijan,Nature/Scenery/Park,Araz Valley Thermal Sanctuary,"Araz Valley Thermal Sanctuary is a nature in Baku, Azerbaijan, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Araz Valley Thermal Sanctuary, a peaceful nature in Baku, Azerbaijan, ideal for nature lovers. Open 08:30-17:00, entry 5.6 USD.",5.6,08:30-17:00,3 hours,3.7,"643 Suthep Road, Baku",40.24908127528696,51.06266995666713,"['nightlife enthusiast', 'with children', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours']"
14,Baku,Azerbaijan,Nature/Scenery/Park,Lapis Skywalk,"Lapis Skywalk is a nature in Baku, Azerbaijan, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Lapis Skywalk, a peaceful nature in Baku, Azerbaijan, ideal for nature lovers. Open 08:30-17:30, entry 12.32 USD.",12.32,08:30-17:30,3 hours,3.7,"288 Gwangalli Beach Road, Haeundae-gu, Baku",40.16916503418892,49.70420885230717,['with pets'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
15,Baku,Azerbaijan,Nature/Scenery/Park,Shirvanshah's Green Sanctuary,"Shirvanshah's Green Sanctuary is a nature in Baku, Azerbaijan, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.65 USD. Recommended visit: 3 hours. Discover Shirvanshah's Green Sanctuary, a peaceful nature in Baku, Azerbaijan, ideal for nature lovers. Open 09:00-18:00, entry 8.65 USD.",8.65,09:00-18:00,3 hours,3.7,"987 Seaside Promenade, Baku",39.72667124912736,49.78777903494326,"['fast-paced budget travel', 'with pets', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours']"
16,Baku,Azerbaijan,Nature/Scenery/Park,Shirvan Skyline Express,"Shirvan Skyline Express is a nature in Baku, Azerbaijan, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.87 USD. Recommended visit: 3 hours. Discover Shirvan Skyline Express, a peaceful nature in Baku, Azerbaijan, ideal for nature lovers. Open 09:00-17:30, entry 4.87 USD.",4.87,09:00-17:30,3 hours,3.7,"No. 456, Haiwen Road, Baku",40.063219260976425,50.3452289115229,"['nightlife enthusiast', 'solo women', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences']"
17,Baku,Azerbaijan,Nature/Scenery/Park,Shirvan Green Haven No.2,"Shirvan Green Haven is a nature in Baku, Azerbaijan, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Shirvan Green Haven, a peaceful nature in Baku, Azerbaijan, ideal for nature lovers. Open 09:00-21:00, entry 6.39 USD.",6.39,09:00-21:00,3 hours,3.7,"169 Shuri Street, Baku",40.14415465148594,50.25358148895432,"['photography', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
18,Baku,Azerbaijan,Nature/Scenery/Park,Shimmering Oasis Grove,"Shimmering Oasis Grove is a nature in Baku, Azerbaijan, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.76 USD. Recommended visit: 3 hours. Discover Shimmering Oasis Grove, a peaceful nature in Baku, Azerbaijan, ideal for nature lovers. Open 19:00-23:00, entry 11.76 USD.",11.76,19:00-23:00,3 hours,3.7,"265 Suthep Road, Baku",40.11617629340927,49.51265951339796,"['nightlife enthusiast', 'solo women', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'parking']"
19,Baku,Azerbaijan,Nature/Scenery/Park,Shirvan Skyline Garden & Caspian Vista Express,"Shirvan Skyline Garden & Caspian Vista Express is a nature in Baku, Azerbaijan, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.27 USD. Recommended visit: 3 hours. Discover Shirvan Skyline Garden & Caspian Vista Express, a peaceful nature in Baku, Azerbaijan, ideal for nature lovers. Open 08:00-20:00, entry 33.27 USD.",33.27,08:00-20:00,3 hours,3.7,"No. 456, Cultural Street, Baku",40.72386519537271,50.29787370515013,"['fast-paced budget travel', 'luxury travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'High speed WiFi']"
