attraction_id,city_name,attraction_name,address,longitude,latitude,open_hours,ticket_price,overview,facilities,type,duration_of_visit,rate_of_restaurant,facilities_group,country
1,Xi'an,Qin Shi Huang Tomb Museum Complex,"No. 125, Yanta District, Xi'an City",108.805164,34.24092,08:30-17:00,2.1,"Qin Shi Huang Tomb Museum Complex is a historic site in Xi'an, China, popular for its memorable experiences. Entry fee is 2.1 USD. Recommended visit: 2 hours. Discover Qin Shi Huang Tomb Museum Complex, a notable historic site in Xi'an, China, ideal for visitors. Open 08:30-17:00, entry 2.1 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Historic Site/Landmark,2 hours,3.5,"['Elderly Travelers', 'Fast-Paced Budget Travel', 'Solo Woman Travelers', 'Luxury Travelers', 'Photography']",China
2,Xi'an,Huaqing Palace Cultural Park,"No. 128, Huaqing Road, Beilin District",108.964092,34.162538,08:30-17:30,7.7,"Huaqing Palace Cultural Park is a historic site in Xi'an, China, popular for its memorable experiences. Entry fee is 7.7 USD. Recommended visit: 2 hours. Discover Huaqing Palace Cultural Park, a notable historic site in Xi'an, China, ideal for visitors. Open 08:30-17:30, entry 7.7 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi']",Historic Site/Landmark,2 hours,3.5,"['Road trip', 'Disabled Travelers', 'couples trip', 'Solo Woman Travelers', 'foodie']",China
3,Xi'an,Imperial Romance Show,"No. 456 Cultural Plaza, Beilin District",108.784991,34.276704,19:30-22:00,5.46,"Imperial Romance Show is a historic site in Xi'an, China, popular for its memorable experiences. Entry fee is 5.46 USD. Recommended visit: 2 hours. Discover Imperial Romance Show, a notable historic site in Xi'an, China, ideal for visitors. Open 19:30-22:00, entry 5.46 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'food markets', 'tasting tours', 'parking', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Historic Site/Landmark,2 hours,3.5,"['Road trip', 'Elderly Travelers', 'Pet Owners', 'Luxury Travelers', 'foodie', 'Photography']",China
4,Xi'an,Ancient Xi'an Ramparts,"No. 456 Cultural Street, Chengdu West District",108.953278,34.421453,08:30-17:30,3.5,"Ancient Xi'an Ramparts is a historic site in Xi'an, China, popular for its memorable experiences. Entry fee is 3.5 USD. Recommended visit: 2 hours. Discover Ancient Xi'an Ramparts, a notable historic site in Xi'an, China, ideal for visitors. Open 08:30-17:30, entry 3.5 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Historic Site/Landmark,2 hours,3.5,"['Elderly Travelers', 'Pet Owners', 'Disabled Travelers', 'couples trip', 'Solo Woman Travelers']",China
5,Xi'an,Hua Mountain Viewpoint,"No. 456, West Cultural Street, Xian City",108.896321,34.425945,08:30-17:30,21.7,"Hua Mountain Viewpoint is a nature in Xi'an, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 21.7 USD. Recommended visit: 3 hours. Discover Hua Mountain Viewpoint, a peaceful nature in Xi'an, China, ideal for nature lovers. Open 08:30-17:30, entry 21.7 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'food markets', 'tasting tours', 'family restrooms', 'nursing facilities', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Nature/Scenery/Park,3 hours,3.7,"['Family with children', 'Elderly Travelers', 'Pet Owners', 'Fast-Paced Budget Travel', 'foodie']",China
6,Xi'an,Xi'an Time Tower,"No. 456, East Chang'an Avenue, Xi'an City",108.952959,34.304804,08:30-18:00,2.8,"Xi'an Time Tower is a historic site in Xi'an, China, popular for its memorable experiences. Entry fee is 2.8 USD. Recommended visit: 2 hours. Discover Xi'an Time Tower, a notable historic site in Xi'an, China, ideal for visitors. Open 08:30-18:00, entry 2.8 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'group tours', 'security', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Historic Site/Landmark,2 hours,3.5,"['Elderly Travelers', 'Nightlife Enthusiast', 'Fast-Paced Budget Travel', 'couples trip', 'Solo Woman Travelers']",China
7,Xi'an,Tang Dynasty Garden Complex,"No. 128, Xingqing West Road, Yanta District",108.916696,34.427252,08:30-17:30,41.86,"Tang Dynasty Garden Complex is a theme park in Xi'an, China, popular for its memorable experiences. Entry fee is 41.86 USD. Recommended visit: 8 hours. Discover Tang Dynasty Garden Complex, a notable theme park in Xi'an, China, ideal for visitors. Open 08:30-17:30, entry 41.86 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'food markets', 'tasting tours', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Theme Park/Amusement Park,8 hours,3.75,"['Road trip', 'Elderly Travelers', 'Disabled Travelers', 'Fast-Paced Budget Travel', 'foodie', 'Photography']",China
8,Xi'an,Shaanxi Cultural Heritage Center,"No. 128, Yamen Road, Xincheng District",109.022724,34.201414,08:30-17:30,17.92,"Shaanxi Cultural Heritage Center is a museum in Xi'an, China, popular for its unique collections and exhibitions. Entry fee is 17.92 USD. Recommended visit: 2 hours. Discover Shaanxi Cultural Heritage Center, a renowned museum in Xi'an, China, ideal for art lovers. Open 08:30-17:30, entry 17.92 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'family restrooms', 'nursing facilities', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Museum/Art Gallery,2 hours,4.0,"['Family with children', 'Elderly Travelers', 'Pet Owners', 'Disabled Travelers', 'Fast-Paced Budget Travel']",China
9,Xi'an,Grand Tang Night Market,"No. 456 Cultural Street, Beilin District",108.768583,34.242505,08:30-22:00,10.92,"Grand Tang Night Market is a historic site in Xi'an, China, popular for its memorable experiences. Entry fee is 10.92 USD. Recommended visit: 2 hours. Discover Grand Tang Night Market, a notable historic site in Xi'an, China, ideal for visitors. Open 08:30-22:00, entry 10.92 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'night markets', 'bars', 'evening shows', 'parking', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Historic Site/Landmark,2 hours,3.5,"['Road trip', 'Elderly Travelers', 'Pet Owners', 'Nightlife Enthusiast', 'Fast-Paced Budget Travel', 'Photography']",China
10,Xi'an,Daming Palace Heritage Park,"No. 88, Zhongshan Road, Beilin District",108.958552,34.409072,08:30-17:30,18.9,"Daming Palace Heritage Park is a historic site in Xi'an, China, popular for its memorable experiences. Entry fee is 18.9 USD. Recommended visit: 2 hours. Discover Daming Palace Heritage Park, a notable historic site in Xi'an, China, ideal for visitors. Open 08:30-17:30, entry 18.9 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'group tours', 'security', 'food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'photo spots', 'guided photo tours', 'charging stations']",Historic Site/Landmark,2 hours,3.5,"['Disabled Travelers', 'Fast-Paced Budget Travel', 'couples trip', 'Solo Woman Travelers', 'foodie', 'Photography']",China
