attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Guatemala,Guatemala,Nature/Scenery/Park,El Cielo Verdant Reserve,"El Cielo Verdant Reserve is a nature in Guatemala, Guatemala, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.93 USD. Recommended visit: 3 hours. Discover El Cielo Verdant Reserve, a peaceful nature in Guatemala, Guatemala, ideal for nature lovers. Open 10:00-18:00, entry 12.93 USD.",12.93,10:00-18:00,3 hours,3.7,"517 Shinko-dori, Chuo-ku, Guatemala",14.648171720005392,-90.42962794063854,"['solo women', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
2,Guatemala,Guatemala,Nature/Scenery/Park,Verde Valley Wildscape Walk,"Verde Valley Wildscape Walk is a nature in Guatemala, Guatemala, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.12 USD. Recommended visit: 3 hours. Discover Verde Valley Wildscape Walk, a peaceful nature in Guatemala, Guatemala, ideal for nature lovers. Open 09:00-21:00, entry 4.12 USD.",4.12,09:00-21:00,3 hours,3.7,"237 Suthep Road, Guatemala",14.677277063234865,-90.41249397554104,"['nightlife enthusiast', 'solo women', 'with pets']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
3,Guatemala,Guatemala,Nature/Scenery/Park,Cielo Verde Sanctuary,"Cielo Verde Sanctuary is a nature in Guatemala, Guatemala, popular for its natural scenery and relaxing atmosphere. Entry fee is 75.28 USD. Recommended visit: 3 hours. Discover Cielo Verde Sanctuary, a peaceful nature in Guatemala, Guatemala, ideal for nature lovers. Open 09:00-17:30, entry 75.28 USD.",75.28,09:00-17:30,3 hours,3.7,"417 Seaside Promenade, Guatemala",14.677248679840927,-90.4791580027554,"['luxury travelers', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
4,Guatemala,Guatemala,Nature/Scenery/Park,Canyon Whisper Trail,"Canyon Whisper Trail is a nature in Guatemala, Guatemala, popular for its natural scenery and relaxing atmosphere. Entry fee is 94.11 USD. Recommended visit: 3 hours. Discover Canyon Whisper Trail, a peaceful nature in Guatemala, Guatemala, ideal for nature lovers. Open 08:30-20:00, entry 94.11 USD.",94.11,08:30-20:00,3 hours,3.7,"860 Sakura Street, Guatemala",14.68415527920102,-90.46344068553496,"['photography', 'with pets', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours']"
5,Guatemala,Guatemala,Nature/Scenery/Park,Lagoon Moonlight Drift,"Lagoon Moonlight Drift is a nature in Guatemala, Guatemala, popular for its natural scenery and relaxing atmosphere. Entry fee is 26.32 USD. Recommended visit: 3 hours. Discover Lagoon Moonlight Drift, a peaceful nature in Guatemala, Guatemala, ideal for nature lovers. Open 09:00-17:30, entry 26.32 USD.",26.32,09:00-17:30,3 hours,3.7,"No. 128, Tianhe Road, Tianhe District, Guatemala",14.6047595855048,-90.45187441923744,"['fast-paced budget travel', 'couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
6,Guatemala,Guatemala,Nature/Scenery/Park,Cielo Verde Summit,"Cielo Verde Summit is a nature in Guatemala, Guatemala, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Cielo Verde Summit, a peaceful nature in Guatemala, Guatemala, ideal for nature lovers. Open 09:00-17:30, entry 24.24 USD.",24.24,09:00-17:30,3 hours,3.7,"212 Shiroiwa Street, Guatemala",14.622063690499497,-90.47596091715724,"['road trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking', 'High speed WiFi']"
7,Guatemala,Guatemala,Nature/Scenery/Park,Verdant Heights Eco Retreat,"Verdant Heights Eco Retreat is a nature in Guatemala, Guatemala, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.17 USD. Recommended visit: 3 hours. Discover Verdant Heights Eco Retreat, a peaceful nature in Guatemala, Guatemala, ideal for nature lovers. Open 08:30-17:30, entry 6.17 USD.",6.17,08:30-17:30,3 hours,3.7,"No. 456, West Mountain Road, Guatemala",14.568299661165542,-90.54796713855993,"['business travelers', 'disabled traveler', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'High speed WiFi', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'parking']"
8,Guatemala,Guatemala,Nature/Scenery/Park,Cakol Forest Skyway Adventure,"Cakol Forest Skyway Adventure is a nature in Guatemala, Guatemala, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.27 USD. Recommended visit: 3 hours. Discover Cakol Forest Skyway Adventure, a peaceful nature in Guatemala, Guatemala, ideal for nature lovers. Open 08:30-17:00, entry 33.27 USD.",33.27,08:30-17:00,3 hours,3.7,"110 Seogwipo Road, Guatemala",14.633887811386522,-90.46942124664228,"['photography', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences']"
9,Guatemala,Guatemala,Nature/Scenery/Park,Skyline Vista,"Skyline Vista is a nature in Guatemala, Guatemala, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.57 USD. Recommended visit: 3 hours. Discover Skyline Vista, a peaceful nature in Guatemala, Guatemala, ideal for nature lovers. Open 09:30-17:00, entry 7.57 USD.",7.57,09:30-17:00,3 hours,3.7,"376 Sakura Street, Naka-ku, Guatemala",14.663181751617053,-90.50218391165038,"['foodie', 'couples trip', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']"
10,Guatemala,Guatemala,Nature/Scenery/Park,Verdant Vibe Playground,"Verdant Vibe Playground is a nature in Guatemala, Guatemala, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.65 USD. Recommended visit: 3 hours. Discover Verdant Vibe Playground, a peaceful nature in Guatemala, Guatemala, ideal for nature lovers. Open 18:00-21:00, entry 8.65 USD.",8.65,18:00-21:00,3 hours,3.7,"No. 456, Xuhui District, Guatemala",14.566783022221356,-90.52361314064302,"['disabled traveler', 'foodie', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'Food markets', 'tasting tours', 'wheelchair rental', 'benches/rest areas']"
11,Guatemala,Guatemala,Nature/Scenery/Park,Canyon of the Whispering Winds,"Canyon of the Whispering Winds is a nature in Guatemala, Guatemala, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.87 USD. Recommended visit: 3 hours. Discover Canyon of the Whispering Winds, a peaceful nature in Guatemala, Guatemala, ideal for nature lovers. Open 09:00-17:30, entry 4.87 USD.",4.87,09:00-17:30,3 hours,3.7,"No. 123, Zhongshan Road, Guatemala",14.623317473139178,-90.52965396093202,"['with children', 'couples trip', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events']"
12,Guatemala,Guatemala,Nature/Scenery/Park,Verde Selva EcoTrail,"Verde Selva EcoTrail is a nature in Guatemala, Guatemala, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Verde Selva EcoTrail, a peaceful nature in Guatemala, Guatemala, ideal for nature lovers. Open 09:00-17:30, entry 17.5 USD.",17.5,09:00-17:30,3 hours,3.7,"746 Shinkawa Street, Guatemala",14.59695011314655,-90.43282206685105,['fast-paced budget travel'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours']"
